province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
内蒙古自治区,鄂尔多斯市,2013-01-01,8.37,12.52,14.01,7.76,0.49,43.56,2.22,-3.83,256.24,55.76,87179.21,22,一级
内蒙古自治区,鄂尔多斯市,2013-01-02,8.56,11.09,11.16,7.38,0.5,48.05,-0.06,-3.41,251.5,54.23,88269.15,25,一级
内蒙古自治区,鄂尔多斯市,2013-01-03,15.8,20.24,23.93,11.22,0.49,47.76,-1.41,0.69,253.32,50.7,88328.16,24,一级
内蒙古自治区,鄂尔多斯市,2013-01-04,47.76,61.77,48.17,22.57,0.91,26.19,-1.4,1.26,256.67,55.33,87529.24,66,二级
内蒙古自治区,鄂尔多斯市,2013-01-05,59.2,75.8,78.27,29.14,1.15,26.62,1.03,-0.8,258.33,40.85,87417.64,81,二级
内蒙古自治区,鄂尔多斯市,2013-01-06,60.01,78.92,96.36,30.05,1.09,24.08,3.09,0.46,260.86,36.84,87293.85,82,二级
内蒙古自治区,鄂尔多斯市,2013-01-07,30.11,41.94,50.99,16.62,0.8,33.89,4.43,-1.91,261.75,49.88,87262.62,51,二级
内蒙古自治区,鄂尔多斯市,2013-01-08,14.28,20.37,38.34,13.96,0.57,41.58,2.32,-2.5,258.54,54.86,87682.75,39,一级
内蒙古自治区,鄂尔多斯市,2013-01-09,28.48,36.66,44.68,20.17,0.71,35.58,0.48,1.55,260.66,55.29,87419.46,45,一级
内蒙古自治区,鄂尔多斯市,2013-01-10,48.13,64.36,78.79,24.0,0.91,29.04,4.6,1.34,264.02,46.15,87120.73,67,二级
内蒙古自治区,鄂尔多斯市,2013-01-11,16.42,26.73,42.53,13.04,0.62,41.43,6.65,-0.6,264.14,54.73,87370.41,43,一级
内蒙古自治区,鄂尔多斯市,2013-01-12,34.72,48.31,57.96,20.89,0.87,33.17,3.84,1.93,266.7,41.28,86961.99,54,二级
内蒙古自治区,鄂尔多斯市,2013-01-13,38.24,53.2,53.14,20.56,0.99,32.53,-0.14,0.74,266.16,39.53,87011.15,55,二级
内蒙古自治区,鄂尔多斯市,2013-01-14,50.46,87.97,78.69,21.73,1.15,25.64,4.23,1.8,265.69,39.72,87206.91,70,二级
内蒙古自治区,鄂尔多斯市,2013-01-15,22.34,44.34,44.64,14.81,0.77,36.87,5.67,-1.94,265.37,57.03,87413.15,45,一级
内蒙古自治区,鄂尔多斯市,2013-01-16,21.52,33.37,37.8,16.06,0.93,36.14,0.88,-3.25,263.72,62.27,87879.82,38,一级
内蒙古自治区,鄂尔多斯市,2013-01-17,26.05,33.55,29.02,16.15,0.67,34.38,-1.57,3.36,264.03,61.31,88120.14,38,一级
内蒙古自治区,鄂尔多斯市,2013-01-18,63.86,82.7,47.47,20.1,0.96,24.83,0.03,2.17,266.36,57.35,87551.25,87,二级
内蒙古自治区,鄂尔多斯市,2013-01-19,103.63,131.77,64.27,24.76,1.32,23.35,-3.39,2.05,266.38,72.12,87006.37,136,三级
内蒙古自治区,鄂尔多斯市,2013-01-20,71.02,85.78,48.04,24.77,0.98,25.41,2.94,-1.92,265.37,82.24,87287.14,96,二级
内蒙古自治区,鄂尔多斯市,2013-01-21,25.6,32.54,32.98,16.86,0.65,37.67,1.76,-2.11,265.04,56.76,87638.43,37,一级
内蒙古自治区,鄂尔多斯市,2013-01-22,42.35,49.9,55.11,24.83,0.81,32.4,3.15,1.82,264.8,63.05,87386.29,60,二级
内蒙古自治区,鄂尔多斯市,2013-01-23,18.21,27.77,21.21,11.87,0.66,44.0,6.56,-2.55,266.33,60.3,87068.4,28,一级
内蒙古自治区,鄂尔多斯市,2013-01-24,12.13,17.5,34.62,13.9,0.46,44.31,6.61,-0.92,264.35,51.36,87442.08,35,一级
内蒙古自治区,鄂尔多斯市,2013-01-25,18.83,25.09,51.04,16.72,0.57,42.76,7.62,-2.05,267.75,38.51,87142.56,51,二级
内蒙古自治区,鄂尔多斯市,2013-01-26,20.28,27.36,42.12,16.65,0.55,36.07,2.82,-1.12,267.28,48.08,87468.24,43,一级
内蒙古自治区,鄂尔多斯市,2013-01-27,33.63,46.5,83.3,28.17,0.7,30.94,4.63,1.46,269.62,41.4,87431.17,67,二级
内蒙古自治区,鄂尔多斯市,2013-01-28,36.1,49.77,70.01,24.68,1.0,32.5,3.43,-0.26,270.21,39.88,87162.79,61,二级
内蒙古自治区,鄂尔多斯市,2013-01-29,46.62,58.31,90.23,32.13,0.89,30.32,3.6,1.89,271.42,37.31,87105.12,71,二级
内蒙古自治区,鄂尔多斯市,2013-01-30,33.27,41.25,43.94,17.95,0.59,31.07,1.1,3.34,272.92,41.36,86927.15,48,一级
内蒙古自治区,鄂尔多斯市,2013-01-31,37.4,49.8,48.47,12.92,0.56,44.98,5.56,0.09,272.6,52.78,86900.29,54,二级
内蒙古自治区,鄂尔多斯市,2013-02-01,11.61,17.21,25.19,11.97,0.46,45.54,0.2,-2.11,266.8,47.51,87591.0,26,一级
