province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
北京市,西城区,2013-01-01,42.89,69.33,44.86,38.34,1.72,32.76,4.36,-5.5,262.0,34.09,102156.66,60,二级
北京市,西城区,2013-01-02,17.26,30.12,26.22,21.58,0.85,42.32,6.17,-6.64,259.24,31.11,103488.27,31,一级
北京市,西城区,2013-01-03,30.68,44.01,40.47,34.2,0.88,36.55,4.59,-5.38,262.22,32.27,103844.17,45,一级
北京市,西城区,2013-01-04,123.26,196.34,186.54,81.45,2.72,9.03,2.46,-0.4,263.61,35.8,102917.16,162,四级
北京市,西城区,2013-01-05,152.77,206.25,124.72,75.5,3.25,16.94,1.83,-4.23,265.64,31.1,102532.37,203,五级
北京市,西城区,2013-01-06,181.09,251.71,176.26,91.46,3.94,6.76,0.77,-1.47,265.62,38.59,102481.38,232,五级
北京市,西城区,2013-01-07,232.33,313.2,200.54,100.01,6.22,5.48,0.46,-2.11,266.68,40.94,102285.47,283,五级
北京市,西城区,2013-01-08,100.77,130.79,109.91,63.02,2.91,20.97,1.03,-4.19,263.19,38.8,102893.55,133,三级
北京市,西城区,2013-01-09,62.45,96.23,80.06,57.07,1.52,22.12,3.25,-3.04,265.08,34.5,102741.25,85,二级
北京市,西城区,2013-01-10,354.46,492.42,206.37,118.74,5.02,4.03,-0.14,0.4,266.52,50.62,102405.39,403,六级
北京市,西城区,2013-01-11,290.97,425.41,202.65,110.6,4.01,10.6,2.86,-2.81,267.86,58.04,102048.95,341,六级
北京市,西城区,2013-01-12,655.9,860.06,319.04,154.65,11.29,2.93,-0.48,1.14,269.37,53.07,102021.02,600,六级
北京市,西城区,2013-01-13,323.16,454.23,295.66,98.66,7.49,3.16,-1.13,0.08,268.12,67.95,102080.91,374,六级
北京市,西城区,2013-01-14,209.04,283.12,168.34,79.6,5.55,6.47,-1.8,0.82,269.76,50.87,102385.7,260,五级
北京市,西城区,2013-01-15,103.03,152.65,105.61,64.29,1.68,7.78,-0.73,-0.49,266.83,70.83,102260.49,136,三级
北京市,西城区,2013-01-16,155.09,183.21,107.48,68.93,3.62,14.07,-0.2,-3.58,267.47,40.42,102989.79,206,五级
北京市,西城区,2013-01-17,48.36,63.93,44.49,80.46,1.94,13.52,0.76,0.54,267.99,44.19,103390.45,101,三级
北京市,西城区,2013-01-18,196.26,224.1,85.82,125.99,4.42,4.39,1.08,2.29,270.17,56.46,102438.27,247,五级
北京市,西城区,2013-01-19,175.82,204.75,91.87,103.04,4.11,6.17,-2.52,-0.78,269.38,54.39,102655.55,226,五级
北京市,西城区,2013-01-20,76.05,160.7,31.39,73.15,2.26,2.95,-1.7,-0.37,267.35,89.39,102717.73,106,三级
北京市,西城区,2013-01-21,119.04,178.28,64.93,85.6,3.21,7.56,-0.54,-2.18,269.03,65.21,102585.99,156,四级
北京市,西城区,2013-01-22,128.21,142.02,51.63,101.19,3.06,8.22,-0.69,-0.38,265.83,65.63,102575.82,169,四级
