province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
台湾省,南投县,2013-01-01,15.96,18.6,5.26,20.31,0.21,49.25,1.65,1.34,282.61,80.03,87217.89,26,一级
台湾省,南投县,2013-01-02,14.19,16.72,4.76,21.71,0.2,47.48,1.05,0.35,285.21,83.66,87395.46,28,一级
台湾省,南投县,2013-01-03,15.22,20.74,4.28,12.09,0.27,49.61,-4.17,0.38,286.62,78.48,87445.45,25,一级
台湾省,南投县,2013-01-04,10.05,14.91,3.71,14.0,0.24,50.77,-1.98,0.76,285.26,80.95,87278.86,26,一级
台湾省,南投县,2013-01-05,11.13,15.04,4.63,20.38,0.19,47.43,0.97,0.9,285.51,81.05,87086.62,26,一级
台湾省,南投县,2013-01-06,9.56,12.43,3.87,18.81,0.18,57.05,1.37,0.78,286.45,70.37,87177.08,29,一级
台湾省,南投县,2013-01-07,12.08,15.03,3.93,19.39,0.2,58.67,1.49,1.12,287.09,77.76,87205.51,30,一级
台湾省,南投县,2013-01-08,16.71,19.91,4.26,21.31,0.23,42.61,1.7,1.01,286.63,88.51,87157.85,27,一级
台湾省,南投县,2013-01-09,23.92,28.78,5.48,21.07,0.28,40.48,1.11,1.02,284.51,92.54,87092.7,35,一级
台湾省,南投县,2013-01-10,20.41,25.45,4.35,12.22,0.28,49.03,-2.58,1.67,284.23,79.34,87172.82,30,一级
台湾省,南投县,2013-01-11,10.77,13.8,3.46,12.58,0.24,56.5,-3.28,1.18,285.27,76.81,87310.74,29,一级
台湾省,南投县,2013-01-12,9.44,11.91,2.97,13.65,0.23,56.43,-3.3,0.56,287.31,79.05,87166.44,29,一级
台湾省,南投县,2013-01-13,11.19,14.58,3.58,18.03,0.22,48.09,0.78,-0.12,285.8,87.56,86827.16,25,一级
台湾省,南投县,2013-01-14,13.1,16.54,4.43,18.2,0.22,46.71,0.18,-1.45,283.75,39.39,87001.67,24,一级
台湾省,南投县,2013-01-15,17.17,20.8,5.4,19.54,0.23,52.62,-0.23,0.1,282.64,55.0,87331.67,27,一级
台湾省,南投县,2013-01-16,19.75,23.14,6.29,21.68,0.21,53.14,0.54,-0.7,282.68,57.14,87370.48,29,一级
台湾省,南投县,2013-01-17,38.28,44.17,7.51,18.34,0.37,49.24,0.38,0.17,281.72,75.05,87469.95,55,二级
台湾省,南投县,2013-01-18,14.41,18.52,4.15,11.55,0.26,58.55,-2.63,0.79,280.54,72.8,87532.58,30,一级
台湾省,南投县,2013-01-19,9.23,11.56,3.31,12.8,0.22,67.29,-3.9,0.88,282.32,70.97,87511.68,34,一级
台湾省,南投县,2013-01-20,8.35,10.26,3.4,15.65,0.22,66.09,-2.3,1.68,284.89,72.0,87571.1,34,一级
台湾省,南投县,2013-01-21,16.31,19.39,5.81,24.97,0.25,57.17,-0.5,0.7,286.19,77.01,87531.15,32,一级
台湾省,南投县,2013-01-22,25.7,30.24,6.69,24.31,0.29,56.0,0.34,-0.09,286.2,72.76,87426.91,37,一级
台湾省,南投县,2013-01-23,21.14,24.58,5.28,20.23,0.24,54.37,2.12,0.36,284.67,83.71,87285.2,31,一级
台湾省,南投县,2013-01-24,17.63,20.34,4.77,19.94,0.21,49.6,2.27,0.92,284.11,85.27,87201.12,26,一级
台湾省,南投县,2013-01-25,49.55,55.67,9.96,19.72,0.42,47.98,1.13,1.29,283.68,80.21,87161.56,69,二级
台湾省,南投县,2013-01-26,33.55,37.87,7.61,18.62,0.31,54.04,2.16,1.19,283.07,82.07,87176.86,48,一级
台湾省,南投县,2013-01-27,27.2,31.07,7.47,16.92,0.29,51.14,-0.23,0.72,282.83,79.03,87304.98,39,一级
台湾省,南投县,2013-01-28,15.64,18.3,4.81,11.1,0.24,63.0,-2.02,1.18,282.31,73.67,87427.0,32,一级
台湾省,南投县,2013-01-29,17.18,19.79,5.78,19.53,0.22,50.16,0.44,-0.1,282.78,70.15,87517.42,26,一级
台湾省,南投县,2013-01-30,14.35,17.14,6.28,20.7,0.22,55.45,-1.03,-0.47,284.76,50.81,87608.89,28,一级
台湾省,南投县,2013-01-31,17.02,20.02,6.82,22.75,0.25,61.11,-0.81,0.7,285.64,58.3,87619.21,31,一级
台湾省,南投县,2013-02-01,11.27,13.47,4.19,19.14,0.21,64.67,-0.36,0.45,287.83,67.66,87617.78,33,一级
台湾省,南投县,2013-02-02,12.1,15.06,3.08,14.55,0.23,60.53,-2.36,0.95,289.85,79.63,87626.42,31,一级
台湾省,南投县,2013-02-03,15.19,18.68,3.4,14.63,0.23,54.5,-2.22,1.51,289.31,83.39,87564.34,28,一级
