province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
吉林省,白城市,2013-01-01,16.14,18.71,8.45,7.97,0.32,39.62,3.01,-3.77,244.95,65.74,100080.97,24,一级
吉林省,白城市,2013-01-02,9.48,11.07,4.97,4.91,0.29,49.26,5.16,-4.01,249.94,59.82,100869.0,25,一级
吉林省,白城市,2013-01-03,7.47,8.92,3.94,3.92,0.27,48.98,6.4,-2.4,255.28,54.27,101495.97,25,一级
吉林省,白城市,2013-01-04,8.57,10.22,4.68,4.33,0.26,50.26,7.18,1.66,256.04,53.77,100663.09,26,一级
吉林省,白城市,2013-01-05,8.48,9.83,4.44,4.08,0.24,46.54,5.0,-3.47,256.74,56.31,100586.78,24,一级
吉林省,白城市,2013-01-06,15.33,17.71,7.63,6.71,0.3,35.86,2.34,-1.07,251.74,67.06,100896.15,22,一级
吉林省,白城市,2013-01-07,27.36,31.58,11.4,11.1,0.38,31.35,0.88,-3.4,246.27,72.3,101022.06,40,一级
吉林省,白城市,2013-01-08,18.78,21.57,9.19,7.84,0.34,38.92,2.87,-1.5,246.99,64.44,101118.43,27,一级
吉林省,白城市,2013-01-09,15.76,18.39,7.5,6.69,0.33,40.04,2.5,-1.48,247.42,64.84,100885.92,23,一级
吉林省,白城市,2013-01-10,20.15,23.31,9.72,8.26,0.36,36.13,1.84,-0.43,246.68,67.3,101092.97,29,一级
吉林省,白城市,2013-01-11,34.25,39.64,16.91,14.0,0.45,30.91,0.62,-1.45,244.96,72.8,100887.65,49,一级
吉林省,白城市,2013-01-12,33.03,37.6,14.34,12.15,0.42,33.37,1.76,-1.26,245.39,72.89,100815.74,48,一级
吉林省,白城市,2013-01-13,29.16,34.06,14.05,10.35,0.4,36.66,0.72,0.76,245.75,73.0,100782.62,42,一级
吉林省,白城市,2013-01-14,33.07,37.41,12.44,12.8,0.4,30.78,1.89,-3.95,247.32,72.48,101261.06,48,一级
吉林省,白城市,2013-01-15,38.92,44.11,15.39,13.89,0.43,29.44,0.04,-2.04,245.81,74.93,101249.14,55,二级
吉林省,白城市,2013-01-16,29.54,33.52,13.46,11.14,0.38,35.16,2.32,-2.94,248.15,71.86,101478.02,43,一级
吉林省,白城市,2013-01-17,16.86,19.61,7.9,6.76,0.31,39.52,2.89,0.65,253.42,70.44,101514.72,25,一级
吉林省,白城市,2013-01-18,34.5,39.78,11.89,14.7,0.45,29.0,1.42,-1.21,250.93,77.22,100836.12,50,一级
吉林省,白城市,2013-01-19,31.04,35.21,10.66,11.23,0.39,29.56,1.97,-2.75,250.69,74.81,101397.01,45,一级
吉林省,白城市,2013-01-20,47.04,53.54,16.47,13.75,0.49,30.82,-0.71,-0.57,250.07,77.05,101672.5,66,二级
吉林省,白城市,2013-01-21,57.15,63.95,17.5,17.1,0.54,25.09,1.34,-4.89,251.67,77.76,101438.76,78,二级
吉林省,白城市,2013-01-22,27.8,31.53,12.72,10.27,0.35,35.2,2.15,1.85,253.6,75.03,101005.28,40,一级
吉林省,白城市,2013-01-23,44.29,50.46,16.13,15.33,0.46,27.98,1.65,-2.43,249.39,77.08,99946.97,62,二级
吉林省,白城市,2013-01-24,6.54,7.55,3.61,3.53,0.25,49.6,6.87,-7.47,251.04,53.33,99885.67,25,一级
吉林省,白城市,2013-01-25,6.34,7.47,3.84,3.96,0.28,57.56,4.52,-6.68,251.9,53.02,100262.46,29,一级
吉林省,白城市,2013-01-26,13.84,15.99,6.9,6.73,0.33,49.27,3.02,-3.99,250.95,62.09,100921.21,25,一级
吉林省,白城市,2013-01-27,24.07,28.12,11.63,9.53,0.38,41.1,1.33,2.25,250.06,74.73,100717.36,35,一级
吉林省,白城市,2013-01-28,48.11,55.46,14.16,16.47,0.53,24.49,0.48,1.1,253.01,80.15,100347.92,67,二级
吉林省,白城市,2013-01-29,39.08,45.15,11.65,13.93,0.45,28.42,-0.56,-1.02,257.95,84.63,100607.35,56,二级
吉林省,白城市,2013-01-30,93.06,105.5,20.12,23.28,0.79,17.69,0.08,-2.81,252.19,81.0,100736.88,123,三级
吉林省,白城市,2013-01-31,73.75,82.74,14.74,17.26,0.62,18.75,-0.37,-4.5,255.31,82.76,100668.34,99,二级
吉林省,白城市,2013-02-01,24.79,27.89,6.59,7.29,0.34,35.4,6.14,-5.54,257.48,61.13,100527.72,36,一级
吉林省,白城市,2013-02-02,7.04,8.48,3.82,3.68,0.25,51.18,6.71,-0.98,255.27,52.68,100970.42,26,一级
吉林省,白城市,2013-02-03,23.11,27.19,10.09,10.44,0.34,39.4,0.36,-2.04,251.01,71.12,100601.17,34,一级
吉林省,白城市,2013-02-04,18.36,21.66,8.11,8.83,0.3,38.89,3.82,-1.31,254.32,69.41,100677.6,27,一级
吉林省,白城市,2013-02-05,19.45,22.67,8.56,8.61,0.31,39.52,2.43,-1.34,253.97,75.21,100564.24,28,一级
吉林省,白城市,2013-02-06,12.09,13.83,5.88,5.84,0.27,41.75,5.07,-5.89,249.86,62.53,100562.3,21,一级
吉林省,白城市,2013-02-07,6.26,7.33,4.02,4.1,0.25,59.56,4.05,-7.96,250.28,58.45,101280.61,30,一级
吉林省,白城市,2013-02-08,10.22,12.02,5.49,5.28,0.27,54.43,3.91,-0.77,251.88,61.44,101440.46,28,一级
吉林省,白城市,2013-02-09,20.52,23.95,9.58,8.91,0.34,44.91,2.17,-1.56,248.09,73.04,100781.81,30,一级
吉林省,白城市,2013-02-10,12.06,13.88,5.98,5.72,0.27,49.91,3.83,-3.95,251.2,65.86,101128.69,25,一级
吉林省,白城市,2013-02-11,10.95,13.03,5.83,5.4,0.28,52.05,3.82,1.92,254.38,69.0,101105.48,27,一级
吉林省,白城市,2013-02-12,17.13,20.14,8.09,7.12,0.33,49.31,2.63,1.86,254.11,75.92,100304.28,25,一级
吉林省,白城市,2013-02-13,10.47,12.26,5.34,4.47,0.26,47.32,6.37,-0.11,259.26,63.03,100040.44,24,一级
吉林省,白城市,2013-02-14,7.7,8.91,3.73,3.47,0.28,51.03,6.58,-3.11,257.92,53.24,100645.93,26,一级
吉林省,白城市,2013-02-15,11.4,13.22,5.49,5.03,0.3,47.08,3.43,-1.79,254.38,61.08,100829.9,24,一级
吉林省,白城市,2013-02-16,50.57,58.68,19.49,20.71,0.57,33.97,-0.22,3.3,253.1,80.34,100386.57,70,二级
吉林省,白城市,2013-02-17,40.57,46.53,12.92,13.35,0.46,38.51,4.97,-4.21,256.12,67.7,99806.92,57,二级
吉林省,白城市,2013-02-18,7.1,8.3,3.59,3.4,0.27,54.26,6.56,-3.28,257.96,51.08,100530.9,28,一级
吉林省,白城市,2013-02-19,6.15,7.08,3.14,2.73,0.25,55.28,7.58,-3.69,255.22,47.23,100716.12,28,一级
吉林省,白城市,2013-02-20,8.29,9.74,4.2,3.67,0.26,54.32,5.41,-1.66,254.12,54.87,100944.7,28,一级
吉林省,白城市,2013-02-21,9.67,11.55,4.98,4.37,0.25,53.21,5.18,0.04,255.97,61.51,100671.46,27,一级
吉林省,白城市,2013-02-22,7.5,8.69,3.89,3.32,0.25,52.69,6.79,-3.58,259.65,53.67,100627.91,27,一级
吉林省,白城市,2013-02-23,6.82,8.06,3.8,3.46,0.22,56.37,6.66,-4.91,260.67,49.87,100844.61,29,一级
吉林省,白城市,2013-02-24,16.88,19.52,7.77,6.99,0.29,45.42,1.4,-1.51,255.63,65.23,101588.58,25,一级
吉林省,白城市,2013-02-25,44.77,50.73,20.95,14.33,0.45,39.42,1.1,3.99,256.36,73.32,101277.25,63,二级
吉林省,白城市,2013-02-26,75.64,86.27,16.78,19.17,0.63,40.46,-0.48,-1.21,259.91,84.22,100039.26,101,三级
吉林省,白城市,2013-02-27,19.04,21.67,7.28,6.27,0.3,51.39,6.8,0.58,263.22,66.92,99628.77,28,一级
吉林省,白城市,2013-02-28,25.93,29.61,8.57,10.54,0.36,45.88,0.12,-5.53,260.57,73.62,99107.31,38,一级
吉林省,白城市,2013-03-01,12.37,13.59,4.79,3.21,0.25,57.97,5.97,-12.34,262.88,65.84,100329.77,29,一级
吉林省,白城市,2013-03-02,11.27,13.27,6.34,5.66,0.27,55.89,3.1,-0.3,259.52,58.45,101078.09,28,一级
吉林省,白城市,2013-03-03,44.18,51.48,16.55,17.85,0.48,38.18,0.41,-0.43,258.07,85.89,100167.24,62,二级
吉林省,白城市,2013-03-04,21.26,24.44,8.46,8.57,0.31,43.18,3.31,1.38,263.38,75.07,100034.51,31,一级
吉林省,白城市,2013-03-05,12.93,15.28,5.78,5.39,0.26,46.06,3.79,0.21,270.61,72.87,99458.9,24,一级
吉林省,白城市,2013-03-06,22.04,25.4,10.38,8.67,0.32,41.32,2.94,1.59,268.25,82.96,99756.41,32,一级
吉林省,白城市,2013-03-07,5.8,6.9,3.06,3.05,0.21,67.95,5.69,-4.08,266.68,49.37,99507.83,34,一级
吉林省,白城市,2013-03-08,10.35,12.15,4.55,4.5,0.23,59.1,0.45,-1.73,261.46,65.64,99581.45,30,一级
吉林省,白城市,2013-03-09,26.59,31.04,8.88,11.1,0.33,54.88,-1.81,-3.46,258.93,78.6,99503.79,38,一级
吉林省,白城市,2013-03-10,8.78,10.24,4.44,4.01,0.23,60.73,4.51,-2.01,261.56,56.88,100592.03,31,一级
吉林省,白城市,2013-03-11,28.06,33.2,10.79,9.57,0.36,43.81,2.71,3.92,267.63,69.57,99709.51,41,一级
吉林省,白城市,2013-03-12,6.25,7.41,3.06,3.16,0.21,68.8,4.8,-7.36,267.59,52.17,100136.98,35,一级
吉林省,白城市,2013-03-13,6.61,7.78,3.6,3.28,0.22,66.53,5.28,-5.6,262.59,55.93,100976.03,34,一级
吉林省,白城市,2013-03-14,12.72,15.39,6.67,5.51,0.26,53.74,5.15,4.8,267.37,53.95,100126.99,27,一级
吉林省,白城市,2013-03-15,12.58,14.82,5.61,5.49,0.25,51.15,0.57,-4.1,268.59,71.23,100378.34,26,一级
吉林省,白城市,2013-03-16,26.52,30.58,9.85,8.77,0.32,50.61,2.28,5.52,268.47,69.02,100276.76,38,一级
吉林省,白城市,2013-03-17,6.95,7.85,2.68,2.55,0.2,71.64,6.56,-4.32,273.05,50.43,99148.09,36,一级
吉林省,白城市,2013-03-18,5.21,6.26,2.95,2.69,0.21,72.37,5.08,-4.27,262.92,51.18,99222.7,37,一级
吉林省,白城市,2013-03-19,4.75,5.72,2.98,2.71,0.22,71.03,6.48,-4.28,259.87,48.96,99874.15,36,一级
吉林省,白城市,2013-03-20,6.22,7.54,3.55,3.21,0.23,68.22,5.35,-2.6,260.17,52.89,100190.47,35,一级
吉林省,白城市,2013-03-21,18.36,21.82,8.19,6.84,0.3,57.52,4.04,-0.04,263.48,61.38,98809.74,29,一级
吉林省,白城市,2013-03-22,4.28,5.24,2.59,2.33,0.21,69.13,6.94,-4.97,263.82,48.13,99743.21,35,一级
吉林省,白城市,2013-03-23,11.75,13.92,6.04,5.14,0.27,61.39,1.96,-3.58,261.82,68.16,100121.67,31,一级
吉林省,白城市,2013-03-24,9.44,11.04,5.0,4.51,0.26,66.99,3.52,-5.37,264.03,67.41,100218.58,34,一级
吉林省,白城市,2013-03-25,8.64,10.19,4.53,4.04,0.25,68.13,4.05,-2.74,266.46,61.92,100120.53,35,一级
吉林省,白城市,2013-03-26,21.78,25.63,8.85,6.93,0.31,57.89,5.22,3.16,270.56,57.76,98857.73,32,一级
吉林省,白城市,2013-03-27,3.71,4.36,2.3,2.05,0.2,72.51,9.66,-2.34,268.97,49.38,99128.17,37,一级
吉林省,白城市,2013-03-28,4.87,5.75,3.05,2.49,0.22,64.15,6.89,-4.79,268.43,52.82,99817.63,33,一级
吉林省,白城市,2013-03-29,5.48,6.47,3.2,2.78,0.23,69.52,5.02,-4.62,268.06,53.72,100315.07,35,一级
吉林省,白城市,2013-03-30,9.85,11.65,5.0,3.99,0.25,67.0,2.65,-1.47,268.5,51.85,100553.73,34,一级
吉林省,白城市,2013-03-31,10.46,12.31,4.57,3.84,0.25,73.72,1.28,-2.96,269.06,51.11,100403.33,37,一级
吉林省,白城市,2013-04-01,9.38,10.97,3.97,3.53,0.24,70.2,2.0,-0.97,271.85,49.63,100455.31,36,一级
吉林省,白城市,2013-04-02,11.21,12.13,2.55,2.98,0.2,55.1,6.21,3.72,277.04,44.87,99296.9,28,一级
吉林省,白城市,2013-04-03,2.32,2.74,1.14,1.35,0.18,79.42,8.27,-6.16,273.22,41.25,99780.02,40,一级
吉林省,白城市,2013-04-04,7.69,8.96,2.83,3.52,0.21,64.7,0.26,-2.76,270.97,59.16,100382.66,33,一级
吉林省,白城市,2013-04-05,22.78,26.72,8.74,10.91,0.28,55.18,-0.61,-5.67,270.35,81.87,100252.75,33,一级
吉林省,白城市,2013-04-06,10.77,12.34,3.56,4.13,0.22,70.82,0.69,-5.84,271.12,60.83,99865.9,36,一级
吉林省,白城市,2013-04-07,11.52,13.53,3.56,4.98,0.23,71.77,-2.99,-1.93,272.63,57.17,99344.01,36,一级
