province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
四川省,德阳市,2013-01-01,161.3,214.42,41.7,41.92,1.7,50.56,-0.55,0.34,275.72,30.62,92470.93,212,五级
四川省,德阳市,2013-01-02,123.85,142.55,31.54,35.73,1.23,38.77,-4.86,-6.26,275.88,39.75,92811.1,163,四级
四川省,德阳市,2013-01-03,57.38,57.48,18.6,15.9,0.67,49.16,-4.82,-5.11,270.34,76.72,93583.91,78,二级
四川省,德阳市,2013-01-04,77.52,70.41,22.08,18.39,0.88,37.17,-2.31,-2.38,271.14,84.38,92814.69,104,三级
四川省,德阳市,2013-01-05,71.91,60.46,21.44,15.9,0.96,35.4,-2.09,-2.43,273.22,64.47,92673.63,97,二级
四川省,德阳市,2013-01-06,79.94,70.51,22.15,20.0,1.09,39.79,-1.75,-1.4,274.42,56.31,92690.19,107,三级
四川省,德阳市,2013-01-07,83.74,96.08,24.91,21.28,1.23,45.12,-1.23,-1.39,275.07,48.93,92651.09,111,三级
四川省,德阳市,2013-01-08,106.36,123.85,16.98,26.29,1.26,39.83,-2.31,-3.9,275.06,49.54,92877.02,140,三级
四川省,德阳市,2013-01-09,125.2,151.6,20.62,24.47,1.36,50.72,-1.48,-0.56,275.23,49.99,92936.76,165,四级
四川省,德阳市,2013-01-10,125.84,134.28,41.26,31.46,1.39,38.35,-1.07,-0.21,274.79,73.28,92786.6,166,四级
四川省,德阳市,2013-01-11,99.35,130.0,34.74,25.4,1.58,33.61,0.21,-0.43,276.04,69.07,93040.38,131,三级
四川省,德阳市,2013-01-12,191.34,223.14,39.74,38.57,1.97,30.77,-0.44,0.41,276.83,55.14,92649.59,242,五级
四川省,德阳市,2013-01-13,260.78,276.67,43.45,26.48,2.18,35.27,-0.95,-0.9,277.97,53.07,92297.83,311,六级
四川省,德阳市,2013-01-14,174.28,214.18,36.97,26.42,1.79,32.15,-1.25,-1.57,278.56,56.12,92484.81,225,五级
四川省,德阳市,2013-01-15,126.21,146.0,23.63,23.74,1.27,39.57,-1.75,-2.45,278.96,49.87,92813.23,167,四级
四川省,德阳市,2013-01-16,126.3,153.21,26.78,27.95,1.25,36.53,-1.62,-2.81,278.44,63.28,92987.81,167,四级
