province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
四川省,攀枝花市,2013-01-01,25.47,29.66,16.32,8.82,0.34,57.18,0.31,0.77,280.2,63.05,80949.87,37,一级
四川省,攀枝花市,2013-01-02,20.26,23.51,11.32,7.28,0.31,61.19,1.63,4.96,284.07,43.59,80856.83,31,一级
四川省,攀枝花市,2013-01-03,36.37,41.46,17.41,9.84,0.44,56.87,-0.92,3.38,278.0,75.84,81316.18,52,二级
四川省,攀枝花市,2013-01-04,24.0,26.89,11.51,6.3,0.34,64.33,5.29,4.79,283.14,55.03,80860.55,35,一级
四川省,攀枝花市,2013-01-05,15.4,17.51,8.04,4.94,0.26,67.8,7.42,5.19,285.15,31.03,80711.31,34,一级
四川省,攀枝花市,2013-01-06,18.0,20.99,10.1,6.63,0.31,68.05,4.54,4.9,283.85,30.92,80819.22,35,一级
四川省,攀枝花市,2013-01-07,16.98,19.6,9.19,5.89,0.31,70.09,4.43,5.43,283.39,34.95,80752.28,36,一级
四川省,攀枝花市,2013-01-08,22.29,25.1,10.16,5.22,0.31,65.92,4.86,5.84,282.11,45.81,80727.95,33,一级
四川省,攀枝花市,2013-01-09,49.29,54.75,16.01,6.59,0.49,65.28,-0.97,1.46,277.52,62.92,80929.02,68,二级
四川省,攀枝花市,2013-01-10,32.53,36.82,14.71,7.91,0.39,63.9,0.83,4.1,278.28,79.79,80821.77,47,一级
四川省,攀枝花市,2013-01-11,60.33,67.19,19.09,7.44,0.57,63.44,-2.02,-0.41,277.15,73.4,81091.65,82,二级
四川省,攀枝花市,2013-01-12,79.7,88.93,25.47,8.78,0.74,64.37,0.57,0.71,275.8,74.06,81174.11,106,三级
四川省,攀枝花市,2013-01-13,32.57,38.26,15.77,9.6,0.42,60.73,1.49,2.42,280.74,41.55,80915.16,47,一级
四川省,攀枝花市,2013-01-14,21.6,25.04,10.32,6.71,0.32,60.94,3.14,4.22,281.18,46.91,80824.16,31,一级
四川省,攀枝花市,2013-01-15,21.67,25.68,12.11,8.23,0.32,62.6,1.38,2.42,281.03,53.27,81074.85,32,一级
四川省,攀枝花市,2013-01-16,16.54,19.48,9.68,6.92,0.28,61.25,3.34,3.94,283.86,40.89,81121.95,31,一级
