province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
四川省,泸州市,2013-01-01,77.55,117.71,41.15,26.9,1.22,38.31,-1.01,0.96,279.25,38.83,93780.36,104,三级
四川省,泸州市,2013-01-02,111.03,184.84,43.47,32.47,1.59,29.45,2.28,-0.97,278.66,39.42,93958.47,146,三级
四川省,泸州市,2013-01-03,86.03,130.34,28.4,23.46,1.48,23.26,0.31,0.78,274.59,66.99,94825.1,114,三级
四川省,泸州市,2013-01-04,66.69,81.99,30.42,13.59,1.06,36.25,-2.69,1.4,274.16,66.99,94086.82,90,二级
四川省,泸州市,2013-01-05,93.37,117.71,31.09,14.89,1.25,33.84,-0.83,0.2,274.98,56.73,93937.74,123,三级
四川省,泸州市,2013-01-06,92.34,129.57,37.18,20.74,1.21,35.07,-2.21,0.82,275.47,58.48,93984.23,122,三级
四川省,泸州市,2013-01-07,97.28,144.13,31.01,17.7,1.19,43.78,-0.36,-0.66,275.25,65.39,93955.18,128,三级
四川省,泸州市,2013-01-08,103.9,143.02,32.28,17.52,1.18,44.26,0.04,-1.4,275.69,70.58,94167.17,137,三级
四川省,泸州市,2013-01-09,124.09,167.17,39.39,18.85,1.37,40.64,-1.14,1.42,276.13,72.53,94294.18,163,四级
四川省,泸州市,2013-01-10,146.15,183.45,50.06,21.65,1.4,42.15,-3.12,3.12,276.68,56.75,94078.96,195,四级
四川省,泸州市,2013-01-11,139.67,172.41,39.01,14.13,1.37,49.3,-0.2,-0.78,276.67,72.01,94379.98,186,四级
四川省,泸州市,2013-01-12,164.29,198.93,46.98,20.84,1.55,43.25,-1.09,1.92,279.63,55.53,93975.0,215,五级
四川省,泸州市,2013-01-13,212.05,265.19,51.18,32.12,1.98,38.58,0.01,-0.31,281.12,51.11,93544.21,263,五级
四川省,泸州市,2013-01-14,172.04,227.39,49.51,24.07,1.48,37.3,-0.18,0.3,281.12,57.82,93700.44,223,五级
四川省,泸州市,2013-01-15,155.62,187.47,34.76,15.17,1.36,41.52,1.63,-1.31,279.97,68.28,94117.56,206,五级
四川省,泸州市,2013-01-16,167.07,194.82,40.51,23.5,1.74,31.93,0.05,-0.57,278.82,80.72,94265.9,218,五级
四川省,泸州市,2013-01-17,132.29,179.38,38.43,19.08,1.44,35.98,-0.99,1.99,279.89,72.79,94770.63,175,四级
四川省,泸州市,2013-01-18,127.88,182.33,50.58,27.63,1.45,36.21,-3.51,4.11,281.4,57.54,94317.29,169,四级
四川省,泸州市,2013-01-19,122.42,193.24,45.38,34.29,1.78,34.85,0.54,2.02,282.27,64.98,93360.75,161,四级
四川省,泸州市,2013-01-20,149.15,205.28,40.04,19.97,1.69,45.12,1.9,-1.32,281.14,56.68,93581.5,199,四级
四川省,泸州市,2013-01-21,78.77,110.31,25.87,15.1,1.31,42.03,1.1,-1.83,279.75,60.19,94180.62,105,三级
四川省,泸州市,2013-01-22,81.07,121.06,32.8,22.49,1.07,40.1,-0.78,-0.56,280.39,59.98,94192.25,108,三级
四川省,泸州市,2013-01-23,98.96,128.33,44.71,25.24,1.39,32.4,-1.24,0.23,282.39,64.42,93849.86,130,三级
四川省,泸州市,2013-01-24,105.88,136.32,25.36,18.75,1.13,46.29,2.25,-2.91,281.57,55.37,94271.06,139,三级
四川省,泸州市,2013-01-25,117.61,180.58,49.37,27.73,1.44,43.1,-2.25,1.97,282.91,48.32,93878.01,154,四级
四川省,泸州市,2013-01-26,96.5,151.33,26.79,22.87,1.12,49.51,0.97,-1.24,282.61,48.32,94048.17,127,三级
四川省,泸州市,2013-01-27,120.19,190.22,43.61,30.06,1.16,50.92,-1.63,2.55,284.13,46.21,94196.76,158,四级
四川省,泸州市,2013-01-28,120.37,180.24,45.68,25.89,1.2,46.26,0.78,3.5,285.62,45.16,93680.69,158,四级
四川省,泸州市,2013-01-29,103.71,140.03,40.63,22.31,1.32,49.3,-0.28,1.0,285.91,54.88,93601.4,136,三级
四川省,泸州市,2013-01-30,130.36,146.3,36.9,21.17,1.55,51.39,1.92,-0.44,285.2,57.28,93600.71,172,四级
