province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
四川省,甘孜藏族自治州,2013-01-01,1.22,1.31,0.26,0.65,0.13,86.88,6.93,-1.83,262.06,30.37,60708.66,44,一级
四川省,甘孜藏族自治州,2013-01-02,3.41,3.89,1.02,0.86,0.13,79.23,8.58,2.59,269.87,36.37,60668.88,40,一级
四川省,甘孜藏族自治州,2013-01-03,5.67,6.21,1.22,0.68,0.15,82.78,8.21,5.66,266.37,60.07,60542.52,42,一级
四川省,甘孜藏族自治州,2013-01-04,4.95,5.39,0.86,0.51,0.15,80.03,10.07,2.32,266.09,50.19,60455.52,41,一级
四川省,甘孜藏族自治州,2013-01-05,4.92,5.3,1.06,0.62,0.14,78.66,9.22,2.87,267.34,48.69,60358.62,40,一级
四川省,甘孜藏族自治州,2013-01-06,5.19,5.47,1.07,0.44,0.15,83.88,12.09,3.87,266.6,42.18,60275.49,42,一级
四川省,甘孜藏族自治州,2013-01-07,5.9,6.49,1.2,0.58,0.16,77.98,7.4,3.06,263.12,54.59,60244.22,39,一级
四川省,甘孜藏族自治州,2013-01-08,11.27,12.13,2.09,0.78,0.19,75.17,4.67,1.78,261.13,67.24,60227.52,38,一级
四川省,甘孜藏族自治州,2013-01-09,8.64,9.41,1.54,1.02,0.17,70.57,3.74,1.5,261.26,59.75,60391.84,36,一级
四川省,甘孜藏族自治州,2013-01-10,5.9,6.52,1.29,1.09,0.15,70.03,2.61,0.44,260.6,59.26,60370.62,36,一级
四川省,甘孜藏族自治州,2013-01-11,6.84,7.77,1.72,1.12,0.17,70.25,0.25,-0.04,258.64,62.23,60573.85,36,一级
四川省,甘孜藏族自治州,2013-01-12,4.71,5.29,1.04,0.76,0.15,75.31,6.41,-3.76,260.45,46.58,60633.72,38,一级
四川省,甘孜藏族自治州,2013-01-13,1.6,1.87,0.39,0.7,0.13,71.41,6.59,0.92,265.28,33.28,60572.7,36,一级
四川省,甘孜藏族自治州,2013-01-14,5.64,6.55,1.32,0.96,0.15,69.5,4.36,1.83,265.2,50.59,60485.09,35,一级
四川省,甘孜藏族自治州,2013-01-15,6.27,7.06,1.45,0.9,0.15,70.81,6.14,0.92,265.79,43.44,60720.2,36,一级
四川省,甘孜藏族自治州,2013-01-16,3.74,4.33,0.81,0.75,0.13,70.57,7.56,0.26,267.05,43.59,60893.03,36,一级
四川省,甘孜藏族自治州,2013-01-17,3.58,4.13,0.8,0.85,0.13,66.9,5.85,0.29,267.79,38.6,61196.11,34,一级
四川省,甘孜藏族自治州,2013-01-18,2.44,2.99,0.69,0.88,0.13,72.41,6.17,1.22,270.21,43.67,61261.88,37,一级
四川省,甘孜藏族自治州,2013-01-19,2.48,2.81,0.54,0.57,0.12,81.12,11.23,3.26,270.56,35.6,60866.39,41,一级
四川省,甘孜藏族自治州,2013-01-20,3.5,3.9,0.64,0.37,0.13,84.03,11.78,5.03,267.09,47.43,60592.28,43,一级
四川省,甘孜藏族自治州,2013-01-21,4.15,4.63,0.76,0.43,0.14,83.6,9.92,4.4,264.96,47.94,60657.25,42,一级
