province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
四川省,绵阳市,2013-01-01,98.45,119.13,28.69,19.69,1.03,61.25,0.17,0.41,273.74,35.18,87985.27,130,三级
四川省,绵阳市,2013-01-02,83.83,92.45,24.07,16.77,0.76,48.71,-3.79,-5.68,272.83,46.64,88343.01,112,三级
四川省,绵阳市,2013-01-03,51.05,53.38,18.91,10.74,0.52,45.88,-3.66,-2.68,267.6,78.33,88984.94,71,二级
四川省,绵阳市,2013-01-04,68.58,67.36,22.8,12.54,0.7,39.67,-2.12,-0.69,268.66,83.81,88258.17,92,二级
四川省,绵阳市,2013-01-05,66.81,64.58,20.96,8.69,0.71,46.3,-1.67,-1.61,270.79,67.41,88148.61,90,二级
四川省,绵阳市,2013-01-06,71.7,70.94,19.81,8.36,0.75,50.83,-1.73,-0.46,271.75,62.14,88179.89,96,二级
四川省,绵阳市,2013-01-07,65.23,72.5,16.53,9.04,0.74,50.06,-0.9,-1.33,272.55,52.32,88142.76,88,二级
四川省,绵阳市,2013-01-08,52.07,58.85,9.61,9.32,0.61,47.86,-2.39,-4.26,272.36,52.08,88371.35,72,二级
四川省,绵阳市,2013-01-09,79.86,90.61,16.8,11.7,0.76,52.08,-1.06,0.48,272.28,56.96,88411.73,107,三级
四川省,绵阳市,2013-01-10,122.16,133.0,39.63,17.23,1.13,47.22,-0.72,0.94,272.42,77.21,88275.35,161,四级
四川省,绵阳市,2013-01-11,80.9,94.82,25.98,11.16,0.94,49.11,0.2,-0.73,274.11,58.43,88528.7,108,三级
四川省,绵阳市,2013-01-12,144.53,163.96,35.01,17.45,1.35,49.67,0.21,0.92,274.36,56.79,88173.76,193,四级
四川省,绵阳市,2013-01-13,186.05,199.14,38.26,12.83,1.5,52.92,-0.27,-0.42,275.86,54.97,87862.47,237,五级
四川省,绵阳市,2013-01-14,136.17,159.31,32.57,9.44,1.22,53.35,-1.14,-1.03,276.01,60.4,88056.39,181,四级
四川省,绵阳市,2013-01-15,79.09,88.58,16.86,8.3,0.72,52.52,-1.68,-2.02,276.39,49.58,88359.32,106,三级
四川省,绵阳市,2013-01-16,80.01,92.98,18.77,10.08,0.76,53.66,-1.57,-2.05,276.12,64.4,88536.58,107,三级
四川省,绵阳市,2013-01-17,115.74,134.73,22.09,14.5,1.07,50.07,-1.5,-0.19,275.49,63.88,88947.8,152,四级
四川省,绵阳市,2013-01-18,120.63,137.41,33.1,16.41,1.12,36.93,-0.43,1.54,276.44,74.99,88598.08,159,四级
四川省,绵阳市,2013-01-19,121.04,138.0,33.36,14.66,1.16,43.92,-1.09,0.49,277.4,56.94,87740.4,159,四级
四川省,绵阳市,2013-01-20,67.06,71.62,19.48,7.69,0.7,50.38,-3.46,-5.07,275.93,55.89,87958.8,91,二级
四川省,绵阳市,2013-01-21,30.38,36.93,7.92,8.17,0.47,53.78,-1.96,-2.0,274.56,45.12,88399.88,44,一级
四川省,绵阳市,2013-01-22,42.65,56.25,9.99,10.08,0.52,57.62,-0.77,-2.06,275.84,42.17,88448.38,60,二级
四川省,绵阳市,2013-01-23,60.41,72.02,14.5,12.84,0.66,66.98,-0.29,-0.35,277.32,47.83,88187.39,82,二级
四川省,绵阳市,2013-01-24,38.29,47.29,6.45,11.23,0.5,55.68,-0.9,-1.93,277.27,27.44,88513.6,55,二级
四川省,绵阳市,2013-01-25,65.44,88.88,15.51,14.82,0.76,56.13,-1.29,-1.28,277.1,38.27,88237.95,89,二级
四川省,绵阳市,2013-01-26,36.17,45.56,6.72,9.22,0.48,58.58,-0.78,-2.38,278.81,35.05,88330.68,52,二级
四川省,绵阳市,2013-01-27,57.66,76.58,12.87,12.91,0.64,65.29,-0.41,0.21,279.19,39.98,88453.18,79,二级
四川省,绵阳市,2013-01-28,100.65,130.62,32.21,18.26,0.95,57.62,-1.56,0.05,279.14,63.01,88066.36,133,三级
四川省,绵阳市,2013-01-29,114.55,133.94,30.0,14.74,1.08,48.89,-1.02,-0.17,278.3,69.7,88036.55,150,三级
四川省,绵阳市,2013-01-30,77.32,85.34,19.12,8.58,0.7,58.75,-0.71,-1.63,280.66,54.55,87957.01,103,三级
四川省,绵阳市,2013-01-31,80.95,97.14,20.05,13.34,0.78,49.43,-0.87,-1.65,281.02,53.95,87831.97,108,三级
四川省,绵阳市,2013-02-01,73.25,89.23,12.45,11.7,0.79,52.8,-0.97,-1.46,281.21,55.27,88164.45,98,二级
四川省,绵阳市,2013-02-02,92.19,101.63,17.39,10.18,0.77,53.32,-1.88,-1.59,279.74,70.63,88311.57,122,三级
四川省,绵阳市,2013-02-03,91.87,102.42,23.17,11.88,0.83,47.3,-1.5,-1.38,281.42,72.26,87563.54,122,三级
四川省,绵阳市,2013-02-04,76.92,88.26,13.48,9.69,0.74,56.84,-1.08,-1.56,281.68,62.74,87725.85,103,三级
四川省,绵阳市,2013-02-05,75.98,87.38,12.62,10.86,0.78,48.47,-1.13,-1.99,282.38,59.05,88069.88,102,三级
四川省,绵阳市,2013-02-06,73.72,80.69,14.42,10.58,0.72,50.85,-1.76,-1.67,281.63,64.09,87826.3,99,二级
四川省,绵阳市,2013-02-07,66.08,71.33,19.85,9.4,0.74,48.55,-3.94,-5.12,277.04,78.39,88074.04,89,二级
四川省,绵阳市,2013-02-08,40.79,48.96,17.34,7.29,0.57,52.68,-3.86,-2.91,271.83,76.19,88714.86,58,二级
四川省,绵阳市,2013-02-09,50.67,51.03,15.59,8.26,0.6,59.12,-0.06,1.28,274.28,68.68,88421.16,70,二级
四川省,绵阳市,2013-02-10,76.7,84.79,23.46,8.99,0.71,62.69,-0.49,0.65,277.16,58.41,87925.4,103,三级
四川省,绵阳市,2013-02-11,62.02,65.69,19.08,5.48,0.65,65.35,-3.32,-3.65,275.73,66.19,88162.47,84,二级
四川省,绵阳市,2013-02-12,51.52,60.76,16.98,6.09,0.52,56.87,-2.36,-1.56,274.75,48.12,88590.35,71,二级
四川省,绵阳市,2013-02-13,73.05,90.41,23.87,8.66,0.71,59.66,-1.68,-0.38,275.31,69.5,87964.13,98,二级
四川省,绵阳市,2013-02-14,59.18,68.67,17.74,4.88,0.6,57.94,-2.93,-4.19,276.34,66.59,88019.97,81,二级
四川省,绵阳市,2013-02-15,40.37,44.88,14.63,6.23,0.49,59.62,-0.46,0.67,277.38,48.01,88242.45,57,二级
四川省,绵阳市,2013-02-16,77.32,87.76,25.14,10.7,0.76,59.77,-1.22,0.77,279.32,55.63,87529.08,103,三级
四川省,绵阳市,2013-02-17,59.28,62.48,16.06,5.28,0.55,63.06,-2.86,-3.54,280.11,50.88,87384.95,81,二级
四川省,绵阳市,2013-02-18,50.22,58.8,20.97,7.05,0.6,54.73,-4.62,-7.17,275.96,56.62,87678.55,70,二级
四川省,绵阳市,2013-02-19,49.75,55.01,17.77,8.0,0.57,55.69,-2.43,-0.52,274.03,65.34,88288.32,69,二级
四川省,绵阳市,2013-02-20,71.97,79.86,20.77,8.54,0.73,54.56,-2.13,-0.63,275.84,73.15,88369.67,97,二级
四川省,绵阳市,2013-02-21,61.19,69.06,16.44,6.66,0.66,61.65,-2.28,-2.62,276.99,72.23,88551.26,83,二级
四川省,绵阳市,2013-02-22,43.01,47.16,11.08,6.63,0.52,68.47,-0.17,0.31,278.86,59.46,88723.91,61,二级
四川省,绵阳市,2013-02-23,69.22,73.66,22.51,9.99,0.74,64.96,-1.05,1.06,280.01,62.55,88373.41,93,二级
四川省,绵阳市,2013-02-24,76.87,83.12,24.0,9.6,0.71,71.49,-0.67,0.03,282.17,55.32,87955.78,103,三级
四川省,绵阳市,2013-02-25,62.82,72.33,15.62,7.37,0.59,67.74,-2.55,-3.11,283.29,54.7,87998.4,85,二级
四川省,绵阳市,2013-02-26,64.77,76.43,14.85,8.06,0.63,69.54,-1.21,-0.15,282.77,58.26,88014.24,88,二级
四川省,绵阳市,2013-02-27,98.34,117.17,21.71,11.21,0.83,81.16,-0.77,0.76,283.56,61.38,87769.02,130,三级
四川省,绵阳市,2013-02-28,82.76,94.39,17.46,10.01,0.67,62.71,-3.1,-4.37,284.26,48.01,87291.44,110,三级
四川省,绵阳市,2013-03-01,54.82,90.19,9.92,6.07,0.36,56.35,-4.74,-4.2,279.07,36.69,88184.07,75,二级
四川省,绵阳市,2013-03-02,45.46,76.43,12.77,5.77,0.39,56.94,-2.54,-1.29,276.98,51.25,88991.58,64,二级
四川省,绵阳市,2013-03-03,54.56,83.95,13.11,11.96,0.47,64.4,0.99,1.7,280.51,32.64,88920.48,75,二级
四川省,绵阳市,2013-03-04,76.27,111.75,18.51,19.44,0.62,70.56,0.44,1.99,281.62,41.39,88602.77,102,三级
四川省,绵阳市,2013-03-05,78.02,108.1,23.31,15.47,0.62,84.57,0.04,1.73,283.96,39.18,88259.56,104,三级
四川省,绵阳市,2013-03-06,59.84,84.79,11.23,10.96,0.45,66.18,-2.89,-5.44,286.51,25.83,88342.41,82,二级
四川省,绵阳市,2013-03-07,58.34,86.84,11.37,19.49,0.54,77.21,0.85,2.13,287.16,29.82,88330.33,80,二级
四川省,绵阳市,2013-03-08,73.25,100.66,20.97,22.89,0.63,91.77,0.3,2.0,288.71,31.46,87843.08,98,二级
四川省,绵阳市,2013-03-09,87.63,105.55,13.41,14.75,0.5,71.68,-3.37,-6.63,288.79,26.0,87436.23,116,三级
四川省,绵阳市,2013-03-10,79.05,111.36,7.92,6.44,0.31,61.6,-3.42,-4.5,284.47,35.94,87896.76,106,三级
四川省,绵阳市,2013-03-11,80.9,159.86,16.1,9.34,0.46,59.96,-2.88,-2.31,282.52,66.98,87507.31,108,三级
四川省,绵阳市,2013-03-12,48.05,66.57,6.46,4.74,0.28,61.3,-2.93,-5.9,285.16,42.86,87566.92,67,二级
四川省,绵阳市,2013-03-13,64.49,117.02,7.7,8.55,0.33,57.92,-1.37,1.43,284.75,39.13,88083.83,87,二级
四川省,绵阳市,2013-03-14,84.9,156.17,24.07,14.69,0.52,57.43,-2.57,1.66,283.08,63.02,88159.99,113,三级
四川省,绵阳市,2013-03-15,80.89,129.34,23.31,11.71,0.57,71.69,-1.9,1.11,284.5,59.73,87870.41,108,三级
四川省,绵阳市,2013-03-16,76.64,113.33,19.37,7.86,0.56,81.9,-2.44,-1.62,286.22,62.86,87745.12,103,三级
四川省,绵阳市,2013-03-17,46.44,60.53,12.36,5.6,0.39,69.09,-2.11,-3.68,286.44,52.4,87834.48,65,二级
四川省,绵阳市,2013-03-18,38.87,48.93,9.02,10.25,0.41,67.48,1.78,1.2,285.41,52.64,87683.34,55,二级
四川省,绵阳市,2013-03-19,31.35,35.3,9.18,6.35,0.34,74.42,-0.91,-1.91,284.27,70.01,87282.71,45,一级
四川省,绵阳市,2013-03-20,43.94,56.95,8.72,9.32,0.38,80.04,-0.06,1.9,287.35,44.81,87902.44,62,二级
四川省,绵阳市,2013-03-21,63.49,75.94,21.95,11.01,0.5,83.28,-0.75,2.89,287.37,53.9,87232.72,86,二级
四川省,绵阳市,2013-03-22,40.1,46.32,11.43,5.51,0.34,78.9,-3.03,-3.58,287.36,53.08,87430.49,57,二级
四川省,绵阳市,2013-03-23,34.2,43.27,11.2,7.47,0.34,74.2,-0.49,0.47,285.27,51.35,87697.44,49,一级
四川省,绵阳市,2013-03-24,52.65,75.99,17.08,11.48,0.46,84.11,-0.74,1.79,285.89,55.44,87580.81,73,二级
四川省,绵阳市,2013-03-25,51.72,68.1,19.53,9.15,0.45,66.38,-4.29,-2.24,283.62,69.14,87495.24,71,二级
四川省,绵阳市,2013-03-26,32.16,43.4,9.29,7.07,0.3,74.54,-0.3,1.21,283.97,48.98,88008.62,46,一级
四川省,绵阳市,2013-03-27,52.83,74.86,21.34,14.7,0.46,77.86,-0.37,2.66,285.36,45.03,87614.39,73,二级
四川省,绵阳市,2013-03-28,50.66,67.45,15.45,9.41,0.44,81.03,-0.6,-0.53,287.42,42.23,87746.68,70,二级
四川省,绵阳市,2013-03-29,62.27,82.98,24.37,12.57,0.5,82.29,-0.34,3.28,287.22,48.35,87699.02,85,二级
四川省,绵阳市,2013-03-30,60.54,73.78,19.91,10.0,0.49,82.42,-1.01,1.82,287.26,50.08,87778.42,82,二级
四川省,绵阳市,2013-03-31,57.03,70.7,19.85,10.39,0.46,83.16,1.16,4.23,286.43,58.82,87867.35,78,二级
四川省,绵阳市,2013-04-01,42.5,48.65,10.88,6.27,0.35,77.07,-1.33,-0.93,287.39,54.25,87983.54,60,二级
四川省,绵阳市,2013-04-02,56.58,63.92,19.56,10.54,0.5,58.61,-1.9,1.16,284.79,81.59,87828.66,77,二级
四川省,绵阳市,2013-04-03,64.22,73.98,21.75,9.3,0.5,65.1,-1.48,1.05,285.68,79.05,87337.38,87,二级
四川省,绵阳市,2013-04-04,66.17,71.81,17.63,8.98,0.49,59.38,-3.11,-2.83,286.02,74.4,87029.13,89,二级
四川省,绵阳市,2013-04-05,31.87,32.88,2.66,2.27,0.17,70.94,-4.46,-9.07,281.05,45.72,87885.68,46,一级
四川省,绵阳市,2013-04-06,40.13,49.08,6.06,5.35,0.22,72.61,0.49,2.46,280.59,41.28,88026.39,57,二级
四川省,绵阳市,2013-04-07,57.26,74.6,15.95,12.77,0.35,68.36,-0.5,1.52,282.69,47.06,87419.73,78,二级
四川省,绵阳市,2013-04-08,52.24,63.23,10.36,7.93,0.31,73.63,-2.26,-1.82,285.13,44.66,87615.95,72,二级
四川省,绵阳市,2013-04-09,42.2,49.85,4.6,5.53,0.21,65.36,-4.55,-2.75,281.55,49.52,88348.55,60,二级
四川省,绵阳市,2013-04-10,44.49,51.91,9.98,9.18,0.28,60.38,-0.79,1.4,281.17,78.38,88382.87,62,二级
四川省,绵阳市,2013-04-11,44.61,52.05,12.44,9.05,0.34,66.62,0.66,2.21,283.18,71.02,88315.05,63,二级
四川省,绵阳市,2013-04-12,57.76,59.72,15.81,12.33,0.42,59.12,0.8,1.36,284.17,61.83,88417.74,79,二级
四川省,绵阳市,2013-04-13,42.03,50.79,11.5,9.63,0.34,72.6,1.17,1.42,285.66,51.81,88090.06,59,二级
四川省,绵阳市,2013-04-14,41.24,54.72,12.14,12.48,0.35,84.05,1.66,3.73,289.64,34.7,87782.76,58,二级
四川省,绵阳市,2013-04-15,49.81,70.86,15.16,11.68,0.43,85.47,-1.27,0.91,289.1,49.2,87179.59,69,二级
四川省,绵阳市,2013-04-16,30.74,38.19,6.37,5.91,0.25,86.53,0.14,-1.11,292.37,32.12,87138.37,44,一级
四川省,绵阳市,2013-04-17,59.52,81.12,15.4,12.94,0.44,93.59,0.63,3.26,292.11,35.66,86947.07,81,二级
四川省,绵阳市,2013-04-18,58.94,79.9,18.21,10.03,0.46,97.11,-1.41,1.14,292.35,46.46,86911.09,80,二级
四川省,绵阳市,2013-04-19,61.04,80.11,16.69,9.39,0.41,62.65,-4.83,-4.56,286.88,72.5,87199.45,83,二级
四川省,绵阳市,2013-04-20,44.75,61.89,11.15,5.1,0.3,68.35,-2.58,-0.48,285.47,54.23,87853.06,63,二级
四川省,绵阳市,2013-04-21,59.81,77.33,20.62,9.14,0.47,61.64,-1.77,0.84,284.58,79.33,87793.6,82,二级
四川省,绵阳市,2013-04-22,53.18,63.2,17.46,7.05,0.44,68.82,-2.4,-0.96,287.42,71.09,87379.49,73,二级
四川省,绵阳市,2013-04-23,39.74,45.65,9.24,6.57,0.34,67.28,-0.05,-2.36,288.47,64.63,87811.53,56,二级
四川省,绵阳市,2013-04-24,35.94,43.97,6.61,6.18,0.28,73.92,0.28,0.27,289.95,53.14,87909.41,52,二级
四川省,绵阳市,2013-04-25,39.74,49.81,7.58,6.39,0.31,84.74,-0.12,1.17,290.37,52.36,88007.38,56,二级
四川省,绵阳市,2013-04-26,69.71,85.46,17.11,12.53,0.46,87.83,0.62,4.1,290.89,58.85,87749.41,94,二级
四川省,绵阳市,2013-04-27,79.1,98.24,21.01,14.5,0.5,84.02,-1.42,1.47,292.25,52.46,87251.51,106,三级
四川省,绵阳市,2013-04-28,78.41,91.08,15.5,10.02,0.48,87.96,-2.15,-1.79,293.18,55.71,87371.61,105,三级
四川省,绵阳市,2013-04-29,22.9,24.7,7.15,3.56,0.21,73.17,-4.6,-10.68,287.59,65.59,87556.64,37,一级
四川省,绵阳市,2013-04-30,27.15,30.03,8.97,3.37,0.25,78.72,-2.33,-2.24,288.03,63.66,87929.78,40,一级
四川省,绵阳市,2013-05-01,62.43,64.95,18.34,9.66,0.45,73.33,-1.55,-0.22,286.79,80.21,87666.67,85,二级
四川省,绵阳市,2013-05-02,34.67,38.23,10.96,4.69,0.31,73.07,-1.41,0.18,287.44,74.41,87614.24,50,一级
四川省,绵阳市,2013-05-03,50.76,56.59,9.9,8.34,0.39,79.07,0.46,2.56,290.59,54.61,87736.03,70,二级
四川省,绵阳市,2013-05-04,65.53,71.43,18.7,12.13,0.44,73.84,-0.55,3.88,289.12,60.89,87785.22,89,二级
四川省,绵阳市,2013-05-05,60.38,61.43,18.69,9.46,0.42,61.99,-2.37,0.59,286.27,86.81,87637.15,82,二级
四川省,绵阳市,2013-05-06,43.98,48.03,12.94,4.52,0.37,75.88,-2.09,-1.83,289.14,77.6,87530.35,62,二级
四川省,绵阳市,2013-05-07,48.59,53.91,13.53,5.1,0.41,85.03,-1.68,-1.05,290.46,69.71,87615.26,67,二级
四川省,绵阳市,2013-05-08,53.68,55.59,15.2,4.89,0.43,78.42,-2.47,-1.49,289.47,78.55,87565.22,74,二级
四川省,绵阳市,2013-05-09,17.07,19.07,4.25,3.08,0.19,84.11,-2.13,-5.97,289.7,44.46,87855.81,43,一级
四川省,绵阳市,2013-05-10,32.36,37.62,7.85,5.4,0.26,89.11,0.09,2.31,290.33,39.9,87786.28,47,一级
四川省,绵阳市,2013-05-11,49.57,64.77,14.76,12.05,0.38,90.63,0.67,2.86,291.44,41.65,87474.69,69,二级
四川省,绵阳市,2013-05-12,64.14,80.66,20.49,13.29,0.45,99.31,0.05,3.37,292.94,39.29,87286.09,87,二级
四川省,绵阳市,2013-05-13,74.5,92.89,23.49,12.6,0.53,100.02,-1.1,1.79,293.51,44.08,87005.86,100,二级
四川省,绵阳市,2013-05-14,53.35,58.58,12.69,5.39,0.37,88.74,-2.03,-4.28,292.38,64.59,86979.16,73,二级
四川省,绵阳市,2013-05-15,42.69,44.52,11.52,3.29,0.31,85.39,-3.35,-3.22,290.68,74.65,87199.07,60,二级
四川省,绵阳市,2013-05-16,42.01,46.65,11.76,4.15,0.36,75.09,-2.37,-3.64,287.5,83.41,87641.35,59,二级
四川省,绵阳市,2013-05-17,32.26,33.91,8.58,3.37,0.3,71.78,-2.62,-4.47,286.41,87.09,87705.24,47,一级
四川省,绵阳市,2013-05-18,34.58,38.47,9.23,5.34,0.33,76.94,-0.32,0.34,289.16,69.25,87502.55,50,一级
四川省,绵阳市,2013-05-19,51.62,59.3,11.67,8.97,0.44,86.86,0.31,1.6,292.18,56.02,87441.44,71,二级
四川省,绵阳市,2013-05-20,38.74,45.82,9.32,7.17,0.36,96.9,0.57,2.36,293.69,43.58,87323.84,55,二级
