province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
天津市,西青区,2013-01-01,94.71,132.96,84.74,46.45,2.88,32.99,1.95,-7.22,262.04,42.75,102600.92,125,三级
天津市,西青区,2013-01-02,15.14,42.72,43.64,25.72,1.63,46.55,3.97,-7.48,259.52,36.08,103944.66,44,一级
天津市,西青区,2013-01-03,35.86,67.6,68.4,38.95,2.0,38.06,3.9,-5.7,261.32,40.29,104332.89,60,二级
天津市,西青区,2013-01-04,166.05,221.01,183.24,71.39,3.92,21.54,3.66,0.97,261.43,56.16,103466.94,217,五级
天津市,西青区,2013-01-05,125.04,178.72,159.42,66.92,3.27,19.78,2.06,-3.42,263.85,42.79,103015.11,165,四级
天津市,西青区,2013-01-06,146.84,210.95,161.36,87.98,3.49,13.36,0.21,-1.36,263.82,54.04,102994.86,196,四级
天津市,西青区,2013-01-07,282.58,411.7,265.9,119.52,5.44,15.74,-0.02,-1.79,264.9,54.16,102769.4,333,六级
天津市,西青区,2013-01-08,131.4,166.5,138.76,67.81,3.23,13.06,-1.44,-5.46,262.25,52.26,103333.06,174,四级
天津市,西青区,2013-01-09,74.52,110.92,95.64,54.5,2.32,21.26,2.59,-2.31,264.07,41.14,103269.68,100,二级
天津市,西青区,2013-01-10,212.86,293.15,174.88,76.59,3.42,9.52,0.26,2.64,266.12,76.64,102923.98,263,五级
天津市,西青区,2013-01-11,296.14,391.09,213.28,99.4,4.51,8.46,2.2,-2.17,268.0,76.76,102533.14,347,六级
天津市,西青区,2013-01-12,421.4,558.51,228.1,124.4,6.68,10.4,-1.82,0.71,268.12,70.62,102531.36,459,六级
天津市,西青区,2013-01-13,138.42,141.07,149.56,68.46,3.24,6.77,-3.9,-4.2,268.23,79.84,102468.46,184,四级
天津市,西青区,2013-01-14,148.23,176.29,170.3,70.16,3.53,11.41,-3.53,-0.45,268.73,77.03,102872.15,198,四级
天津市,西青区,2013-01-15,73.95,91.98,110.83,54.46,1.8,10.86,-0.88,-1.82,268.39,83.82,102704.98,99,二级
天津市,西青区,2013-01-16,149.4,204.44,141.0,64.22,3.06,7.89,-2.04,-3.14,266.02,54.07,103453.86,200,四级
天津市,西青区,2013-01-17,100.06,140.31,96.3,64.38,2.47,17.44,1.48,-2.79,267.41,41.44,103924.71,132,三级
天津市,西青区,2013-01-18,247.54,340.15,143.22,76.78,3.43,16.11,2.82,3.65,270.0,65.62,102997.2,298,五级
天津市,西青区,2013-01-19,246.42,338.52,181.72,91.52,4.82,12.78,-5.4,-1.84,269.52,80.44,103053.43,297,五级
天津市,西青区,2013-01-20,90.07,106.82,147.18,57.15,3.08,7.47,-4.42,-3.68,267.99,91.87,103107.08,119,三级
天津市,西青区,2013-01-21,188.82,246.98,210.82,82.37,5.34,6.12,-1.47,-3.38,268.88,81.61,103028.2,239,五级
天津市,西青区,2013-01-22,222.78,265.33,207.72,84.05,5.73,9.36,-2.51,0.23,267.76,68.62,103050.89,273,五级
天津市,西青区,2013-01-23,177.26,268.26,154.28,68.84,4.06,20.02,2.51,0.52,269.18,86.58,101969.26,228,五级
天津市,西青区,2013-01-24,117.92,147.96,132.14,73.99,3.46,19.08,1.78,-5.73,268.28,45.73,102548.97,155,四级
天津市,西青区,2013-01-25,53.3,81.26,122.78,57.16,2.41,11.78,-3.74,-1.61,265.37,55.94,102605.2,87,二级
天津市,西青区,2013-01-26,88.48,125.86,145.84,66.12,2.83,10.03,-2.34,-0.72,265.98,79.39,102894.75,117,三级
天津市,西青区,2013-01-27,174.52,229.28,128.4,71.82,3.31,21.41,-0.26,0.17,266.74,79.64,102916.26,225,五级
天津市,西青区,2013-01-28,221.64,343.69,199.88,86.52,4.18,11.65,0.41,0.48,270.27,87.39,102247.6,272,五级
天津市,西青区,2013-01-29,207.02,314.98,199.29,91.38,4.43,6.02,-1.98,-0.06,270.82,90.84,102506.04,258,五级
天津市,西青区,2013-01-30,190.46,307.56,142.14,78.43,5.16,5.5,-0.74,0.42,269.86,96.5,102602.64,241,五级
天津市,西青区,2013-01-31,162.58,265.62,149.18,78.94,5.64,3.63,-1.32,-2.31,271.09,96.84,102289.28,213,五级
天津市,西青区,2013-02-01,49.11,39.62,70.74,38.47,2.22,29.8,2.62,-8.03,270.86,51.28,102783.26,68,二级
天津市,西青区,2013-02-02,68.43,93.31,107.09,52.82,2.24,20.16,-0.62,-0.54,268.0,58.7,103462.62,92,二级
天津市,西青区,2013-02-03,89.78,83.36,87.33,46.5,2.09,6.75,-0.09,4.58,271.29,94.57,102248.22,119,三级
天津市,西青区,2013-02-04,54.22,55.88,62.98,33.38,1.54,39.77,-0.03,-4.56,269.52,49.44,102922.26,75,二级
天津市,西青区,2013-02-05,39.02,41.19,58.16,31.11,1.23,37.58,1.06,1.42,268.84,68.66,102631.78,56,二级
天津市,西青区,2013-02-06,103.31,126.85,94.1,38.22,2.33,32.82,0.44,-7.18,265.44,58.65,102946.84,136,三级
天津市,西青区,2013-02-07,19.01,35.2,51.21,23.55,1.12,46.08,0.79,-7.04,260.33,40.49,103986.32,51,二级
天津市,西青区,2013-02-08,56.44,77.57,86.3,35.78,2.02,32.76,-0.32,-1.4,261.24,52.71,103821.73,77,二级
天津市,西青区,2013-02-09,156.1,223.2,128.0,43.98,2.74,25.12,0.48,-0.2,266.13,68.38,102865.93,207,五级
天津市,西青区,2013-02-10,207.5,253.08,164.08,37.38,3.26,28.64,-2.16,-4.64,263.97,49.63,103429.54,258,五级
天津市,西青区,2013-02-11,58.66,72.27,79.63,24.44,1.95,28.98,-2.33,-1.52,265.4,75.85,103451.11,80,二级
天津市,西青区,2013-02-12,103.78,149.16,73.95,26.64,2.33,35.42,3.57,0.02,269.32,65.03,102761.78,136,三级
天津市,西青区,2013-02-13,172.08,224.32,110.09,45.92,3.16,27.33,1.87,2.81,271.61,69.14,102321.32,223,五级
天津市,西青区,2013-02-14,143.18,194.14,128.62,44.79,3.52,18.15,-3.3,-3.66,270.24,58.49,102786.14,191,四级
天津市,西青区,2013-02-15,53.0,64.96,87.46,33.48,1.88,30.32,-1.06,0.04,269.64,54.25,103024.62,73,二级
天津市,西青区,2013-02-16,136.5,214.82,110.26,45.08,2.66,9.5,-0.65,3.64,272.14,84.44,102215.52,181,四级
天津市,西青区,2013-02-17,130.82,194.82,100.32,38.75,2.7,26.46,1.18,-4.42,273.59,67.15,102089.62,173,四级
天津市,西青区,2013-02-18,33.38,48.86,58.54,30.22,1.49,37.05,0.38,-4.02,270.04,44.92,102952.6,55,二级
天津市,西青区,2013-02-19,37.47,63.45,72.16,32.72,1.77,37.17,-1.52,-1.42,267.55,38.25,103274.74,62,二级
天津市,西青区,2013-02-20,95.92,155.93,111.16,53.64,2.08,24.42,-0.76,-0.64,271.2,61.03,102974.04,127,三级
天津市,西青区,2013-02-21,195.61,281.2,135.29,70.42,3.22,14.23,0.62,-1.08,272.86,62.54,103002.2,246,五级
天津市,西青区,2013-02-22,109.85,134.66,63.52,51.4,2.58,30.75,0.73,-3.52,273.48,30.46,103235.84,144,三级
天津市,西青区,2013-02-23,114.48,153.61,109.94,59.01,2.3,32.18,1.13,0.62,274.87,46.69,103119.04,150,三级
天津市,西青区,2013-02-24,180.42,252.09,133.22,75.94,3.53,14.58,-5.82,0.29,274.37,76.25,102884.44,231,五级
天津市,西青区,2013-02-25,65.83,101.15,74.66,43.27,1.52,18.58,-6.14,-2.36,272.23,86.74,102739.99,89,二级
天津市,西青区,2013-02-26,166.42,240.66,87.62,61.08,2.97,19.04,2.83,-0.24,274.34,74.54,102210.07,217,五级
天津市,西青区,2013-02-27,278.36,366.24,97.68,78.9,3.72,26.86,0.84,-0.59,277.68,57.79,102026.44,329,六级
天津市,西青区,2013-02-28,237.58,396.85,64.23,50.72,2.57,32.8,2.57,-3.16,276.02,52.98,101624.4,288,五级
天津市,西青区,2013-03-01,19.89,31.06,27.6,25.22,1.12,56.2,2.79,-9.68,270.85,23.94,103209.83,32,一级
天津市,西青区,2013-03-02,59.3,88.31,72.16,51.86,2.13,24.14,0.08,-0.68,271.04,30.13,103380.91,81,二级
天津市,西青区,2013-03-03,126.5,185.24,80.64,56.72,2.52,24.78,3.92,-0.82,277.27,33.19,102195.64,167,四级
天津市,西青区,2013-03-04,63.26,86.86,48.94,41.09,1.61,39.24,1.1,-3.6,278.98,28.22,102520.89,86,二级
天津市,西青区,2013-03-05,133.78,224.44,84.61,63.67,2.41,27.98,3.2,5.16,282.53,32.47,101825.7,177,四级
天津市,西青区,2013-03-06,205.98,302.27,92.82,85.2,3.42,12.92,-2.62,-2.88,280.96,52.68,101493.42,256,五级
天津市,西青区,2013-03-07,272.8,419.42,103.18,91.46,4.8,25.2,-0.46,-0.53,282.91,40.37,101239.12,323,六级
天津市,西青区,2013-03-08,175.42,318.72,87.38,84.78,3.22,28.47,-5.7,1.23,277.77,63.62,100936.88,226,五级
天津市,西青区,2013-03-09,80.68,212.94,40.53,38.7,1.88,42.31,-0.39,-8.82,276.88,53.06,101128.47,132,三级
天津市,西青区,2013-03-10,38.14,93.67,34.94,35.51,1.38,45.94,0.34,0.06,276.74,22.27,102934.17,72,二级
天津市,西青区,2013-03-11,81.51,136.51,79.94,52.37,1.87,27.96,1.98,7.06,280.26,27.72,102237.53,109,三级
天津市,西青区,2013-03-12,94.14,101.0,43.78,53.03,2.38,8.53,-2.26,-0.24,278.23,64.4,101640.96,124,三级
天津市,西青区,2013-03-13,34.64,54.19,32.94,37.16,1.96,39.49,-2.78,-3.98,274.53,27.97,103114.22,53,二级
天津市,西青区,2013-03-14,60.5,82.73,59.44,46.48,1.56,34.08,1.7,6.3,276.89,35.89,102937.26,82,二级
天津市,西青区,2013-03-15,120.43,173.73,58.4,56.53,1.83,24.88,3.05,4.82,282.12,36.04,102148.0,158,四级
天津市,西青区,2013-03-16,169.47,230.0,76.79,72.12,3.2,25.98,-4.23,0.52,280.0,57.84,102416.36,220,五级
天津市,西青区,2013-03-17,214.06,280.82,76.85,67.5,2.82,34.94,1.28,4.2,284.28,53.23,100943.2,265,五级
天津市,西青区,2013-03-18,111.85,140.64,26.76,40.86,1.6,37.28,-3.98,-0.91,279.4,40.76,100930.64,147,三级
天津市,西青区,2013-03-19,38.42,64.31,25.13,34.86,1.83,34.96,-6.84,-1.34,274.12,56.84,101302.92,58,二级
天津市,西青区,2013-03-20,45.47,55.72,20.26,28.15,1.74,42.36,0.13,-1.9,272.97,45.11,102494.99,64,二级
天津市,西青区,2013-03-21,99.2,154.86,33.75,42.0,1.69,37.16,3.92,7.16,282.06,35.47,101033.22,131,三级
天津市,西青区,2013-03-22,71.1,109.01,26.15,41.94,1.88,36.0,-4.82,-1.47,276.59,30.28,101951.58,96,二级
天津市,西青区,2013-03-23,62.5,116.06,50.21,48.4,1.6,26.47,0.59,0.8,278.6,35.4,101386.38,85,二级
天津市,西青区,2013-03-24,34.06,55.56,20.32,30.1,1.64,48.8,-0.6,-5.17,275.18,22.34,102394.69,53,二级
天津市,西青区,2013-03-25,57.36,86.18,35.41,41.23,1.42,41.4,1.25,4.31,278.03,24.46,102270.49,78,二级
天津市,西青区,2013-03-26,91.5,150.55,39.2,38.31,1.36,41.06,4.47,8.51,282.38,37.73,101435.0,121,三级
天津市,西青区,2013-03-27,94.77,131.8,27.6,38.43,1.27,39.82,-0.08,0.34,282.63,59.58,101152.94,125,三级
天津市,西青区,2013-03-28,51.27,71.57,23.46,39.04,1.18,43.82,-3.0,-1.27,279.14,35.92,102251.41,71,二级
天津市,西青区,2013-03-29,59.28,98.88,49.71,55.54,1.42,29.12,-1.65,1.4,278.16,34.22,102359.27,81,二级
天津市,西青区,2013-03-30,61.12,81.72,37.43,46.46,1.23,39.32,-5.08,2.06,277.04,78.06,102305.06,83,二级
天津市,西青区,2013-03-31,133.92,168.97,43.02,48.37,1.89,33.82,0.44,5.83,281.76,63.35,101828.67,178,四级
天津市,西青区,2013-04-01,109.82,136.98,34.8,49.04,2.36,37.26,-0.24,-4.23,282.9,58.58,101633.32,144,三级
天津市,西青区,2013-04-02,82.04,112.4,32.37,42.55,1.68,53.56,3.88,3.57,282.84,37.28,101938.8,109,三级
天津市,西青区,2013-04-03,92.48,187.41,31.88,52.33,1.46,53.86,-3.84,2.38,284.08,36.05,101402.54,122,三级
天津市,西青区,2013-04-04,66.29,118.86,21.22,57.32,1.37,41.47,-7.28,-0.28,281.12,52.58,101495.56,90,二级
天津市,西青区,2013-04-05,91.54,124.28,23.99,51.8,1.97,25.44,-2.28,-3.18,280.16,65.5,101614.66,121,三级
天津市,西青区,2013-04-06,30.88,47.26,12.39,33.6,1.26,46.58,-0.29,-3.54,279.46,28.42,101745.65,48,一级
天津市,西青区,2013-04-07,69.6,119.98,37.41,53.14,1.34,37.47,0.2,4.52,283.79,26.75,100684.36,94,二级
天津市,西青区,2013-04-08,41.05,109.38,15.62,30.08,1.28,51.88,7.38,-6.99,281.5,23.08,101022.88,80,二级
天津市,西青区,2013-04-09,23.18,53.5,7.36,22.04,0.88,61.85,2.26,-4.72,279.6,30.28,101775.36,52,二级
天津市,西青区,2013-04-10,22.38,45.3,8.46,27.02,0.9,55.99,4.53,-6.79,280.41,26.01,101903.05,46,一级
天津市,西青区,2013-04-11,38.34,84.42,17.34,46.86,1.25,45.03,2.64,-6.0,281.24,25.44,101970.95,68,二级
天津市,西青区,2013-04-12,70.52,132.11,42.85,46.12,1.42,48.3,1.27,1.21,286.18,22.96,101527.09,95,二级
天津市,西青区,2013-04-13,91.81,173.18,39.08,50.59,1.56,42.93,2.17,-1.76,290.08,30.58,100704.02,122,三级
天津市,西青区,2013-04-14,41.2,121.56,21.23,34.57,1.41,58.72,-2.16,-0.18,282.7,23.96,101269.17,86,二级
天津市,西青区,2013-04-15,57.28,142.67,31.26,48.58,1.68,53.16,-6.58,-0.85,284.12,53.14,100187.98,97,二级
天津市,西青区,2013-04-16,54.3,141.13,29.22,39.56,2.2,74.45,-5.4,-2.26,282.5,40.17,100804.52,96,二级
天津市,西青区,2013-04-17,45.4,98.92,20.17,46.14,1.68,54.88,-5.44,1.62,281.32,45.21,101217.42,75,二级
天津市,西青区,2013-04-18,30.42,80.38,15.25,31.7,1.62,52.87,-2.98,-4.26,280.46,28.22,102329.18,66,二级
天津市,西青区,2013-04-19,40.08,76.74,22.37,38.42,1.8,42.09,0.06,-0.86,279.5,39.06,102581.96,64,二级
天津市,西青区,2013-04-20,65.14,77.06,17.72,29.7,1.99,54.53,3.58,1.49,279.71,60.72,102268.22,88,二级
天津市,西青区,2013-04-21,85.92,112.38,30.98,36.96,1.8,50.53,3.19,5.01,283.28,47.48,101965.21,114,三级
天津市,西青区,2013-04-22,119.75,151.55,38.66,39.7,1.73,50.08,2.42,7.31,286.26,43.36,101449.12,157,四级
天津市,西青区,2013-04-23,140.37,169.41,31.5,45.22,2.02,47.14,1.34,2.72,287.15,58.78,100996.83,187,四级
天津市,西青区,2013-04-24,164.32,235.98,28.34,51.21,2.38,43.54,3.16,-1.6,289.79,35.26,101040.76,215,五级
天津市,西青区,2013-04-25,28.1,81.0,10.22,32.54,1.18,53.7,4.78,-6.91,289.52,18.61,101309.14,66,二级
天津市,西青区,2013-04-26,77.15,148.31,51.98,57.8,1.69,46.14,-2.76,1.3,288.01,23.26,101078.82,103,三级
天津市,西青区,2013-04-27,56.5,137.24,27.88,48.02,1.48,73.76,-6.45,-2.08,286.85,42.92,100976.06,94,二级
天津市,西青区,2013-04-28,80.18,122.86,23.29,51.18,1.74,51.93,-1.86,-1.9,286.48,65.78,101009.66,107,三级
天津市,西青区,2013-04-29,89.17,149.57,23.62,42.72,1.73,58.7,4.28,-4.46,292.34,24.74,101377.26,118,三级
天津市,西青区,2013-04-30,53.59,108.68,25.44,38.86,1.36,62.04,-1.61,-6.9,292.13,12.63,101499.01,80,二级
天津市,西青区,2013-05-01,57.32,96.79,30.62,38.54,1.86,65.3,-2.4,-0.28,289.76,31.48,101581.18,78,二级
