province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
安徽省,亳州市,2013-01-01,57.22,129.52,44.79,41.4,1.81,22.66,1.98,-3.14,272.2,57.36,102159.26,90,二级
安徽省,亳州市,2013-01-02,40.52,82.96,55.9,34.26,1.73,27.05,-3.15,-7.97,267.3,48.4,103442.95,67,二级
安徽省,亳州市,2013-01-03,44.34,75.53,71.07,32.46,1.98,30.47,-0.86,-6.02,264.71,47.66,103987.48,63,二级
安徽省,亳州市,2013-01-04,62.08,96.22,46.64,37.88,1.51,26.18,-1.65,-2.46,266.84,43.23,103192.57,84,二级
安徽省,亳州市,2013-01-05,61.35,93.92,37.3,36.09,1.89,27.7,-0.87,-1.38,269.56,40.12,102659.71,83,二级
安徽省,亳州市,2013-01-06,122.79,178.02,100.87,51.18,2.83,20.79,-0.86,-1.41,270.77,37.46,102618.54,162,四级
安徽省,亳州市,2013-01-07,126.76,169.4,70.32,48.39,2.58,27.74,-0.94,0.87,272.66,42.22,102331.27,167,四级
安徽省,亳州市,2013-01-08,160.25,238.1,86.97,61.73,3.74,19.95,-1.73,-2.8,273.25,48.42,102551.3,211,五级
安徽省,亳州市,2013-01-09,138.4,197.33,96.54,55.76,2.73,15.31,-2.2,-3.88,271.9,63.98,102870.48,184,四级
安徽省,亳州市,2013-01-10,113.9,146.27,35.86,42.4,2.03,16.52,-2.96,3.44,273.96,66.91,102713.15,149,三级
安徽省,亳州市,2013-01-11,113.63,154.59,47.78,47.4,2.18,20.63,1.26,2.97,276.53,63.72,102416.65,149,三级
安徽省,亳州市,2013-01-12,165.81,228.51,66.48,67.72,3.09,23.2,-2.37,0.4,276.39,55.39,102332.5,216,五级
安徽省,亳州市,2013-01-13,184.99,241.52,62.57,65.31,3.17,19.26,-2.36,0.97,277.05,70.33,101919.14,235,五级
安徽省,亳州市,2013-01-14,168.98,225.33,42.84,61.29,3.39,19.82,-1.93,-1.97,276.25,76.09,102322.86,219,五级
安徽省,亳州市,2013-01-15,101.84,122.71,37.73,34.45,2.26,34.16,-1.61,0.15,276.73,75.88,102267.92,134,三级
安徽省,亳州市,2013-01-16,193.52,309.61,85.93,76.37,4.35,15.98,-1.97,-4.42,274.4,73.23,102706.83,244,五级
安徽省,亳州市,2013-01-17,153.41,230.52,69.68,55.1,3.24,16.26,-2.11,-4.57,272.55,60.37,103555.4,204,五级
安徽省,亳州市,2013-01-18,119.15,179.12,39.42,51.22,2.45,25.95,-1.03,3.43,273.42,49.47,103105.48,156,四级
安徽省,亳州市,2013-01-19,82.29,128.14,32.8,48.68,2.05,28.47,-3.79,3.67,276.63,50.85,102407.29,110,三级
安徽省,亳州市,2013-01-20,134.46,184.17,40.8,57.41,2.84,7.92,-2.98,-2.74,275.78,83.49,102217.32,178,四级
安徽省,亳州市,2013-01-21,139.81,171.12,52.17,50.0,2.82,12.96,2.42,-6.1,274.07,84.43,102442.32,186,四级
安徽省,亳州市,2013-01-22,173.31,232.77,69.86,57.42,3.92,8.84,-0.55,-3.34,273.51,83.23,102651.23,224,五级
安徽省,亳州市,2013-01-23,124.16,159.02,46.04,31.5,2.57,32.34,3.53,4.25,276.52,70.36,101981.67,164,四级
安徽省,亳州市,2013-01-24,97.47,138.7,42.87,36.46,2.27,29.19,2.71,-5.03,276.24,56.42,102174.52,129,三级
安徽省,亳州市,2013-01-25,78.0,116.35,28.11,39.0,1.83,28.9,2.66,1.63,277.28,44.45,102101.69,104,三级
安徽省,亳州市,2013-01-26,130.02,193.38,49.21,54.47,2.37,18.79,-1.61,-5.21,275.18,65.25,102263.22,172,四级
安徽省,亳州市,2013-01-27,92.15,121.57,25.19,37.41,1.54,30.16,-1.34,0.38,276.33,72.2,102630.14,122,三级
安徽省,亳州市,2013-01-28,118.8,152.22,36.83,44.33,2.03,31.38,1.03,5.94,280.49,59.23,102093.32,156,四级
安徽省,亳州市,2013-01-29,153.65,200.64,37.32,43.53,2.18,38.06,2.67,2.26,284.37,47.51,102008.69,204,五级
安徽省,亳州市,2013-01-30,155.36,224.14,32.06,54.92,2.71,24.47,-2.74,3.55,282.6,58.92,102142.89,206,五级
安徽省,亳州市,2013-01-31,170.57,208.23,27.67,43.74,2.39,11.5,-2.26,0.01,282.07,88.82,101723.7,221,五级
安徽省,亳州市,2013-02-01,167.2,234.69,48.36,59.24,3.85,12.96,0.63,-5.73,279.79,75.21,102145.05,218,五级
安徽省,亳州市,2013-02-02,63.98,97.8,29.44,29.43,1.67,29.11,-5.77,-2.51,277.13,55.08,102870.93,87,二级
