province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
安徽省,蚌埠市,2013-01-01,54.4,99.29,38.48,40.29,1.7,26.21,3.74,-2.3,272.57,61.06,102154.36,75,二级
安徽省,蚌埠市,2013-01-02,38.18,75.2,40.46,27.84,1.66,36.91,-2.01,-8.28,267.7,51.05,103375.34,63,二级
安徽省,蚌埠市,2013-01-03,39.5,61.13,61.79,30.26,1.92,37.56,0.43,-6.37,264.44,52.25,103932.27,56,二级
安徽省,蚌埠市,2013-01-04,56.93,74.32,34.16,30.4,1.6,38.7,-0.96,-3.14,267.08,48.96,103189.4,78,二级
安徽省,蚌埠市,2013-01-05,59.83,64.39,32.37,33.65,1.76,34.06,-1.03,-2.55,269.46,41.63,102677.13,82,二级
安徽省,蚌埠市,2013-01-06,95.31,124.68,75.88,48.59,2.23,22.45,-0.68,-2.4,270.65,42.55,102631.28,126,三级
安徽省,蚌埠市,2013-01-07,103.84,118.64,58.31,53.26,2.09,23.92,-0.96,-0.42,272.22,45.81,102384.39,137,三级
安徽省,蚌埠市,2013-01-08,163.57,209.55,87.73,59.84,3.36,25.33,-1.67,-3.11,273.3,48.27,102544.2,214,五级
安徽省,蚌埠市,2013-01-09,135.76,168.99,77.85,50.76,2.38,20.12,-2.04,-4.01,272.37,64.51,102860.06,180,四级
安徽省,蚌埠市,2013-01-10,97.55,115.95,33.22,39.75,1.71,22.18,-3.31,2.29,273.7,63.7,102801.69,129,三级
安徽省,蚌埠市,2013-01-11,107.33,158.68,50.22,61.13,2.06,18.01,0.37,3.82,275.92,62.28,102485.29,141,三级
安徽省,蚌埠市,2013-01-12,167.97,235.88,56.57,67.79,2.61,28.57,-2.54,-1.07,275.97,63.56,102380.25,218,五级
安徽省,蚌埠市,2013-01-13,145.68,188.08,48.9,65.85,2.36,22.42,-3.01,0.47,277.37,73.23,101961.02,194,四级
安徽省,蚌埠市,2013-01-14,109.97,166.96,27.35,49.13,2.4,34.28,-2.37,-1.52,276.9,75.83,102339.11,144,三级
安徽省,蚌埠市,2013-01-15,109.47,135.51,34.83,37.8,2.04,40.09,-2.21,0.72,276.93,74.98,102298.33,144,三级
安徽省,蚌埠市,2013-01-16,167.81,252.17,60.58,50.7,3.38,31.16,-1.81,-4.3,274.96,74.25,102685.77,218,五级
安徽省,蚌埠市,2013-01-17,128.79,180.14,40.5,42.71,2.31,28.15,-1.72,-5.13,272.31,54.1,103534.95,170,四级
