province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
山东省,东营市,2013-01-01,73.89,113.21,43.59,33.42,1.38,30.1,6.26,-4.63,266.16,64.85,102267.84,99,二级
山东省,东营市,2013-01-02,19.7,31.12,19.89,16.91,0.81,45.07,7.56,-5.03,262.34,59.59,103666.8,32,一级
山东省,东营市,2013-01-03,32.97,44.8,24.49,26.45,1.01,39.81,6.26,-3.64,263.53,62.25,104138.8,48,一级
山东省,东营市,2013-01-04,96.91,118.86,84.76,50.99,1.97,26.66,4.62,0.1,262.66,59.04,103439.0,128,三级
山东省,东营市,2013-01-05,92.1,106.62,86.18,51.02,1.48,26.53,4.7,-0.75,264.17,62.69,102883.45,122,三级
山东省,东营市,2013-01-06,91.41,112.12,60.14,45.3,1.48,34.35,2.4,-0.47,266.64,79.27,102873.33,121,三级
山东省,东营市,2013-01-07,177.44,208.8,123.18,67.93,2.32,20.99,2.19,-1.0,266.93,68.73,102638.93,228,五级
山东省,东营市,2013-01-08,66.62,84.18,44.41,32.47,1.04,37.07,0.18,-5.29,268.24,84.0,102960.52,90,二级
山东省,东营市,2013-01-09,53.3,74.9,38.79,36.55,1.13,31.91,4.79,-3.35,265.93,58.74,103166.19,73,二级
山东省,东营市,2013-01-10,168.01,246.85,158.99,71.47,3.03,16.17,1.43,2.74,267.79,64.98,102965.79,219,五级
山东省,东营市,2013-01-11,217.92,303.57,92.13,64.18,2.9,18.35,3.39,2.15,271.17,76.95,102511.08,268,五级
山东省,东营市,2013-01-12,212.93,288.68,102.93,73.25,3.29,23.02,1.09,1.09,271.07,66.59,102523.38,263,五级
山东省,东营市,2013-01-13,268.03,358.03,127.43,89.77,3.41,17.64,0.04,0.86,272.63,65.11,102303.93,319,六级
山东省,东营市,2013-01-14,165.86,224.07,49.76,50.18,2.07,27.18,-2.49,-2.64,270.41,86.22,102741.96,216,五级
山东省,东营市,2013-01-15,124.08,190.98,84.76,60.4,2.24,13.08,0.9,0.81,269.25,81.62,102603.94,163,四级
