province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
山东省,德州市,2013-01-01,114.72,205.34,90.54,46.64,2.17,32.5,2.2,-5.48,264.95,54.56,102380.84,150,三级
山东省,德州市,2013-01-02,35.74,53.06,37.59,23.31,1.4,53.03,1.38,-5.58,260.54,41.05,103813.47,52,二级
山东省,德州市,2013-01-03,76.68,99.33,66.79,41.44,1.7,44.65,0.65,-3.09,261.44,44.24,104218.14,103,三级
山东省,德州市,2013-01-04,80.85,101.09,123.77,56.33,1.81,36.2,0.57,2.52,263.17,48.25,103336.42,108,三级
山东省,德州市,2013-01-05,164.48,185.65,141.67,74.06,2.31,24.41,0.5,0.48,264.82,48.9,102834.82,215,五级
山东省,德州市,2013-01-06,260.75,310.2,160.46,78.65,3.79,15.17,-0.05,-1.22,265.01,58.07,102802.87,311,六级
山东省,德州市,2013-01-07,295.36,383.29,202.02,100.2,3.44,17.31,-1.19,-0.02,267.15,65.68,102512.93,346,六级
山东省,德州市,2013-01-08,308.92,383.5,148.15,84.69,4.16,15.18,-1.0,-6.33,265.37,74.77,102981.42,359,六级
山东省,德州市,2013-01-09,127.17,173.15,96.38,59.0,2.26,22.8,-0.21,-1.59,264.56,52.36,103142.06,168,四级
山东省,德州市,2013-01-10,189.87,275.04,153.85,76.3,2.72,21.96,-0.43,5.5,269.07,70.58,102743.64,240,五级
山东省,德州市,2013-01-11,291.59,408.23,129.13,76.17,3.6,21.43,3.04,3.12,272.14,76.02,102382.52,342,六级
山东省,德州市,2013-01-12,288.08,430.21,130.09,87.48,3.92,23.95,0.27,4.78,272.13,65.3,102328.52,339,六级
山东省,德州市,2013-01-13,267.81,379.3,88.56,81.74,3.66,18.89,1.1,0.82,272.36,74.2,102160.67,318,六级
山东省,德州市,2013-01-14,237.53,357.25,121.92,81.95,4.03,10.86,-2.81,-1.43,270.73,85.4,102585.73,288,五级
山东省,德州市,2013-01-15,181.93,316.83,122.13,83.76,3.08,12.75,-0.24,-0.12,270.67,76.28,102478.82,232,五级
山东省,德州市,2013-01-16,210.37,302.13,150.92,71.75,3.59,9.13,-1.56,-5.2,269.76,72.03,103125.79,261,五级
山东省,德州市,2013-01-17,222.22,274.64,100.76,73.48,3.33,17.06,-0.04,-2.82,268.36,49.03,103778.94,273,五级
山东省,德州市,2013-01-18,170.99,226.12,84.69,54.44,1.8,32.71,3.17,7.79,271.67,56.98,102932.41,221,五级
山东省,德州市,2013-01-19,241.24,353.88,139.25,91.94,2.91,19.71,-2.32,1.19,272.55,67.11,102685.51,292,五级
山东省,德州市,2013-01-20,229.78,285.99,134.87,79.76,2.54,10.71,-3.83,-1.85,272.56,89.21,102693.42,280,五级
