province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
山西省,运城市,2013-01-01,35.22,49.31,37.57,19.7,0.65,38.45,1.93,-4.85,270.54,37.01,94762.56,51,二级
山西省,运城市,2013-01-02,42.48,59.61,40.64,23.34,0.78,31.5,-1.58,-5.36,265.4,40.17,95890.32,60,二级
山西省,运城市,2013-01-03,45.3,58.07,46.15,22.81,0.72,33.59,0.38,-3.56,262.96,30.71,96274.23,63,二级
山西省,运城市,2013-01-04,115.16,145.67,90.73,39.78,1.51,16.53,-2.11,-0.91,265.54,33.46,95391.39,151,四级
山西省,运城市,2013-01-05,118.65,143.68,91.35,34.46,1.47,21.04,1.04,-2.49,268.28,29.86,95059.21,156,四级
山西省,运城市,2013-01-06,128.14,149.73,86.84,36.08,1.47,14.86,1.47,-1.12,269.17,27.11,95042.69,169,四级
山西省,运城市,2013-01-07,147.17,170.3,81.38,38.3,1.72,18.33,2.82,-1.3,271.68,27.49,94838.91,196,四级
山西省,运城市,2013-01-08,88.25,102.33,62.43,29.73,1.13,23.01,0.86,-4.39,271.47,33.03,95228.53,117,三级
山西省,运城市,2013-01-09,95.03,121.96,69.0,35.09,1.39,21.73,-1.72,-0.87,269.91,36.33,95286.09,126,三级
山西省,运城市,2013-01-10,192.09,237.89,94.73,46.91,2.14,16.21,-1.14,1.75,272.96,44.47,94939.06,243,五级
山西省,运城市,2013-01-11,114.32,138.87,72.15,33.23,1.45,26.83,3.1,-2.72,273.89,36.3,95083.29,150,三级
山西省,运城市,2013-01-12,104.92,133.16,74.45,37.99,1.7,27.75,-1.26,1.07,275.46,30.28,94718.85,138,三级
山西省,运城市,2013-01-13,181.09,211.51,105.29,46.0,2.4,23.45,-0.14,0.06,275.7,38.23,94499.68,232,五级
山西省,运城市,2013-01-14,267.95,314.58,118.98,58.85,3.24,20.29,-2.64,0.18,275.64,33.8,94832.1,318,六级
山西省,运城市,2013-01-15,92.56,124.52,60.88,29.54,1.29,24.12,2.82,-2.58,274.45,36.42,95018.76,122,三级
山西省,运城市,2013-01-16,88.36,120.6,71.6,34.29,1.35,19.46,0.84,-1.73,273.89,38.14,95351.52,117,三级
山西省,运城市,2013-01-17,161.97,204.04,81.51,42.83,2.14,17.62,-2.52,0.33,271.42,58.03,95963.81,212,五级
山西省,运城市,2013-01-18,180.75,224.88,81.97,48.28,2.55,20.63,-2.59,1.35,274.42,53.57,95275.79,231,五级
山西省,运城市,2013-01-19,222.93,258.16,85.68,48.44,3.04,20.28,-6.41,1.88,275.34,59.57,94587.83,273,五级
山西省,运城市,2013-01-20,266.21,299.21,83.25,50.16,3.04,15.23,-2.59,1.27,271.75,83.69,94899.07,317,六级
山西省,运城市,2013-01-21,105.77,128.23,69.92,30.32,1.41,22.1,2.99,-1.6,273.18,65.76,95135.91,139,三级
山西省,运城市,2013-01-22,187.59,217.4,102.73,46.54,2.11,12.95,0.19,0.54,271.72,71.69,95170.66,238,五级
山西省,运城市,2013-01-23,146.85,163.08,87.0,45.59,2.13,27.65,2.78,-1.32,272.87,65.14,94611.15,196,四级
山西省,运城市,2013-01-24,40.34,52.09,41.78,22.03,0.83,39.53,3.34,-4.74,272.08,43.03,95148.14,57,二级
山西省,运城市,2013-01-25,64.94,87.55,70.75,35.06,1.36,29.34,3.05,-0.96,274.99,33.55,94766.18,88,二级
