province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
山西省,阳泉市,2013-01-01,20.46,58.01,29.54,14.97,2.36,41.73,7.97,-6.02,258.73,45.59,90465.2,60,二级
山西省,阳泉市,2013-01-02,20.92,33.48,30.23,14.19,1.19,44.25,9.01,-7.69,253.77,40.84,91548.94,34,一级
山西省,阳泉市,2013-01-03,25.73,48.59,47.34,19.72,1.09,39.95,5.66,-4.05,257.79,33.7,91827.5,49,一级
山西省,阳泉市,2013-01-04,52.82,89.53,50.78,25.86,0.75,33.1,6.09,-1.96,261.57,27.99,91063.48,73,二级
山西省,阳泉市,2013-01-05,32.62,102.96,64.17,31.44,1.14,29.64,4.79,-3.54,263.51,25.73,90771.27,77,二级
山西省,阳泉市,2013-01-06,57.08,121.46,55.49,36.49,1.26,25.73,4.49,-1.91,265.28,26.44,90733.76,86,二级
山西省,阳泉市,2013-01-07,108.43,176.65,82.93,43.97,1.69,22.64,5.02,-2.62,266.97,34.37,90595.93,142,三级
山西省,阳泉市,2013-01-08,46.51,119.11,30.2,39.02,1.34,33.07,4.53,-4.65,263.38,43.22,91009.1,85,二级
山西省,阳泉市,2013-01-09,32.61,64.81,36.63,24.89,1.28,34.35,4.77,-1.91,263.63,36.19,90997.8,58,二级
山西省,阳泉市,2013-01-10,83.03,168.64,111.4,44.41,1.98,18.33,4.56,1.03,268.27,38.44,90686.0,111,三级
山西省,阳泉市,2013-01-11,96.62,121.32,57.51,35.05,2.61,35.6,10.86,-2.87,268.79,38.84,90631.57,128,三级
山西省,阳泉市,2013-01-12,64.32,174.59,105.13,47.68,2.69,23.52,6.76,2.28,271.04,34.11,90495.53,113,三级
山西省,阳泉市,2013-01-13,205.91,379.82,126.43,80.98,3.32,15.75,1.17,-1.31,268.7,49.59,90474.72,256,五级
山西省,阳泉市,2013-01-14,84.69,224.9,84.74,60.21,1.75,21.68,1.9,-0.52,270.41,42.32,90754.91,138,三级
山西省,阳泉市,2013-01-15,68.62,138.17,48.34,37.42,2.4,30.59,5.05,-2.3,268.9,52.79,90690.11,95,二级
山西省,阳泉市,2013-01-16,148.21,386.56,111.49,64.24,2.67,16.56,1.32,-3.01,267.04,61.48,91228.25,253,五级
山西省,阳泉市,2013-01-17,19.18,84.6,42.31,30.66,0.94,30.91,3.95,-1.85,267.27,38.98,91709.62,68,二级
山西省,阳泉市,2013-01-18,90.47,148.4,86.27,35.86,1.51,19.56,8.51,1.07,271.96,37.14,91030.31,120,三级
山西省,阳泉市,2013-01-19,172.76,285.66,101.26,60.46,2.83,14.19,-2.86,-1.52,267.02,60.97,90882.51,223,五级
山西省,阳泉市,2013-01-20,125.99,165.29,73.89,50.05,1.84,15.59,-2.0,-0.48,264.83,91.16,90899.8,166,四级
山西省,阳泉市,2013-01-21,191.68,228.43,78.21,54.78,2.35,15.29,1.65,-2.21,268.24,79.49,90948.72,242,五级
山西省,阳泉市,2013-01-22,114.05,309.57,121.65,54.15,2.56,14.0,2.16,0.17,267.77,75.2,90894.81,180,四级
山西省,阳泉市,2013-01-23,132.51,197.34,107.63,46.15,2.0,20.51,10.95,-1.48,270.66,49.17,90203.26,176,四级
山西省,阳泉市,2013-01-24,27.88,66.45,45.53,27.84,1.35,40.76,9.81,-4.18,265.77,45.12,90635.07,59,二级
山西省,阳泉市,2013-01-25,44.86,81.17,55.87,25.43,0.98,22.34,6.73,-1.35,267.41,45.64,90432.36,66,二级
山西省,阳泉市,2013-01-26,14.74,39.03,16.02,20.18,0.35,29.62,5.87,-4.15,268.38,48.44,90786.51,40,一级
山西省,阳泉市,2013-01-27,29.12,98.41,44.74,26.15,0.84,28.46,6.55,-0.24,271.97,38.47,90864.27,75,二级
山西省,阳泉市,2013-01-28,34.15,122.03,78.1,30.23,1.19,25.31,6.75,-0.57,274.88,35.02,90485.77,87,二级
山西省,阳泉市,2013-01-29,53.79,159.92,69.23,37.76,1.26,22.1,2.44,-0.43,274.16,42.96,90599.65,105,三级
山西省,阳泉市,2013-01-30,119.57,204.89,111.09,49.24,2.2,16.42,2.78,2.39,275.61,50.55,90590.03,157,四级
山西省,阳泉市,2013-01-31,98.21,195.78,108.4,61.53,2.36,17.12,0.55,0.21,272.79,84.94,90391.85,130,三级
山西省,阳泉市,2013-02-01,50.51,69.57,47.33,32.2,1.02,39.91,3.55,-3.62,271.15,44.5,90908.53,70,二级
山西省,阳泉市,2013-02-02,50.83,101.55,86.52,40.09,1.2,28.9,-1.06,0.32,268.69,63.22,91212.34,76,二级
山西省,阳泉市,2013-02-03,147.13,202.21,88.18,46.09,1.68,12.14,0.08,0.03,270.39,87.35,90191.12,196,四级
山西省,阳泉市,2013-02-04,80.09,97.64,51.84,27.9,0.94,38.33,-1.32,-0.96,268.07,53.04,90823.79,107,三级
山西省,阳泉市,2013-02-05,124.19,155.85,74.01,34.22,1.5,31.67,2.78,-1.66,268.52,73.9,90523.23,164,四级
山西省,阳泉市,2013-02-06,104.76,205.02,91.31,30.33,1.95,32.0,4.29,-4.05,266.83,54.51,90792.29,138,三级
山西省,阳泉市,2013-02-07,42.37,60.73,39.58,14.72,0.59,53.16,1.78,-1.53,258.94,61.97,91448.7,60,二级
山西省,阳泉市,2013-02-08,60.46,87.9,68.94,24.16,0.82,37.27,2.1,0.91,262.52,60.78,91259.81,82,二级
山西省,阳泉市,2013-02-09,113.82,168.74,91.53,31.74,1.34,32.15,5.06,0.58,269.26,64.09,90645.49,149,三级
山西省,阳泉市,2013-02-10,209.98,253.76,95.07,34.14,1.73,36.0,-4.37,-0.12,261.35,88.4,91037.74,260,五级
山西省,阳泉市,2013-02-11,117.56,129.52,66.63,27.95,1.23,33.7,-0.82,0.83,264.0,85.95,91110.07,154,四级
山西省,阳泉市,2013-02-12,31.52,45.93,25.62,12.49,0.81,55.64,9.69,-1.37,268.78,36.86,90844.86,46,一级
山西省,阳泉市,2013-02-13,61.48,92.77,60.78,21.82,1.2,35.7,8.54,0.57,271.64,31.08,90484.06,84,二级
山西省,阳泉市,2013-02-14,76.08,143.97,62.1,26.08,1.13,36.53,2.11,-2.03,268.45,54.36,90749.77,102,三级
山西省,阳泉市,2013-02-15,52.44,71.91,45.94,19.82,0.69,44.82,1.36,0.81,266.04,66.26,90822.2,72,二级
山西省,阳泉市,2013-02-16,132.76,176.57,85.72,33.38,1.49,20.09,3.49,2.46,271.69,72.46,90195.73,176,四级
山西省,阳泉市,2013-02-17,96.8,139.89,42.44,25.16,1.26,34.18,5.2,-4.38,271.7,49.37,90331.8,128,三级
山西省,阳泉市,2013-02-18,81.83,157.63,60.32,28.76,1.42,41.06,-0.81,-0.27,266.56,69.11,90813.51,109,三级
山西省,阳泉市,2013-02-19,116.06,175.58,95.73,35.34,1.69,27.78,-0.91,0.56,265.7,74.7,90958.81,152,四级
山西省,阳泉市,2013-02-20,103.84,154.11,66.55,39.03,1.13,33.46,2.12,-0.66,270.07,57.15,90895.35,137,三级
山西省,阳泉市,2013-02-21,96.23,149.52,60.35,30.65,1.16,34.71,3.76,-1.75,271.06,50.06,91051.71,127,三级
山西省,阳泉市,2013-02-22,54.3,98.41,38.43,25.89,0.75,51.65,2.61,-2.66,271.18,38.51,91260.1,75,二级
山西省,阳泉市,2013-02-23,124.83,182.77,99.45,56.04,1.36,34.01,0.16,-0.1,273.51,47.44,91174.62,165,四级
山西省,阳泉市,2013-02-24,263.85,388.91,141.84,67.28,2.31,34.97,-3.34,0.56,273.15,74.14,90903.06,314,六级
山西省,阳泉市,2013-02-25,241.18,316.45,107.71,61.96,2.2,22.32,-1.99,0.27,271.34,89.99,90766.89,292,五级
山西省,阳泉市,2013-02-26,129.45,157.56,44.61,34.67,0.9,28.12,5.41,-2.63,278.1,32.92,90608.67,171,四级
山西省,阳泉市,2013-02-27,129.63,209.58,54.47,48.36,1.29,30.09,1.35,0.62,278.38,32.08,90420.9,171,四级
山西省,阳泉市,2013-02-28,105.58,210.49,48.97,34.71,1.27,45.72,6.88,-4.44,275.54,38.48,90049.77,139,三级
山西省,阳泉市,2013-03-01,17.56,39.8,25.19,16.86,0.32,56.22,2.1,-4.9,269.15,31.93,91237.04,40,一级
山西省,阳泉市,2013-03-02,64.02,137.23,81.56,43.3,1.06,31.55,1.24,0.12,271.15,36.89,91331.51,94,二级
山西省,阳泉市,2013-03-03,38.58,112.74,43.11,21.08,0.68,42.46,8.68,-5.05,276.68,20.22,90756.42,82,二级
山西省,阳泉市,2013-03-04,31.95,96.69,35.6,23.49,0.49,47.02,4.39,-1.99,277.49,25.46,90939.38,74,二级
山西省,阳泉市,2013-03-05,88.13,190.82,90.97,49.56,1.4,37.63,9.05,3.63,282.96,21.38,90390.7,121,三级
山西省,阳泉市,2013-03-06,69.36,173.08,48.44,34.44,1.05,37.58,8.93,-4.08,282.67,28.53,90271.33,112,三级
山西省,阳泉市,2013-03-07,57.87,177.76,50.94,29.09,0.89,44.37,10.37,0.96,283.71,26.77,90015.74,114,三级
山西省,阳泉市,2013-03-08,85.01,293.25,62.48,34.49,0.84,40.94,8.9,1.71,288.68,21.71,89639.8,172,四级
山西省,阳泉市,2013-03-09,69.26,228.42,34.19,24.83,0.65,51.04,9.08,-4.64,284.23,21.43,89805.13,140,三级
山西省,阳泉市,2013-03-10,27.21,78.23,34.4,20.37,0.37,54.75,0.08,0.18,274.39,19.86,91058.31,65,二级
山西省,阳泉市,2013-03-11,56.91,166.75,88.0,42.93,0.75,33.78,0.86,1.48,278.33,34.98,90430.58,109,三级
山西省,阳泉市,2013-03-12,89.05,178.4,70.53,41.71,0.91,29.2,0.68,-1.48,279.43,59.0,89935.71,118,三级
山西省,阳泉市,2013-03-13,72.49,115.21,47.25,32.75,1.01,41.35,-4.66,1.01,272.21,71.15,91100.73,97,二级
山西省,阳泉市,2013-03-14,93.32,170.31,68.46,37.25,0.83,34.71,0.86,1.7,275.89,50.68,91000.83,123,三级
山西省,阳泉市,2013-03-15,122.62,235.02,79.02,42.09,1.22,34.68,3.39,1.14,281.51,42.36,90572.66,161,四级
山西省,阳泉市,2013-03-16,174.18,329.62,89.1,58.64,1.57,43.39,-3.24,-0.38,279.32,54.74,90783.77,225,五级
山西省,阳泉市,2013-03-17,91.04,145.79,50.6,26.31,1.0,46.48,8.7,-1.28,283.68,43.4,89821.09,121,三级
山西省,阳泉市,2013-03-18,61.31,187.04,36.68,21.65,0.72,51.1,4.62,-2.94,281.34,24.86,89417.8,119,三级
山西省,阳泉市,2013-03-19,65.08,192.68,64.79,37.18,1.17,40.84,-1.35,-0.87,277.42,41.64,89460.5,122,三级
山西省,阳泉市,2013-03-20,49.53,89.12,36.51,22.54,0.61,49.96,-0.79,-1.11,271.85,57.47,90532.36,70,二级
山西省,阳泉市,2013-03-21,94.1,171.63,74.3,41.52,1.31,40.86,8.68,2.54,283.54,33.65,89517.11,124,三级
山西省,阳泉市,2013-03-22,85.34,185.44,51.0,33.26,0.87,47.76,-2.25,-0.81,277.08,35.78,90193.4,118,三级
山西省,阳泉市,2013-03-23,70.23,148.42,60.96,30.76,0.81,46.88,8.86,-1.66,281.81,27.61,89804.07,100,二级
