province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广东省,云浮市,2013-01-01,34.33,52.83,16.15,29.47,0.8,32.46,-2.46,-2.68,281.61,41.7,99807.05,52,二级
广东省,云浮市,2013-01-02,41.49,62.62,16.33,35.25,0.94,32.46,-3.33,-2.31,284.64,55.87,99784.04,59,二级
广东省,云浮市,2013-01-03,33.9,54.56,15.51,22.31,1.04,25.86,-3.38,-6.82,281.21,75.58,100277.79,53,二级
广东省,云浮市,2013-01-04,23.94,36.64,10.69,15.08,0.89,26.3,-2.81,-4.66,278.14,75.46,100090.48,37,一级
广东省,云浮市,2013-01-05,24.74,34.32,10.34,16.44,0.96,22.7,-1.51,-2.76,279.11,77.41,99749.71,36,一级
广东省,云浮市,2013-01-06,29.79,39.69,12.06,15.94,1.12,22.34,-2.22,-4.02,280.55,78.13,99820.6,43,一级
广东省,云浮市,2013-01-07,41.73,47.6,11.73,17.93,1.23,35.9,-2.13,-3.15,281.82,74.38,99702.75,59,二级
广东省,云浮市,2013-01-08,51.01,57.61,12.56,19.78,1.27,37.7,-2.3,-3.53,283.41,70.92,99666.46,71,二级
广东省,云浮市,2013-01-09,47.01,47.84,16.44,14.99,1.2,32.55,-3.7,-5.85,282.25,64.03,99842.28,66,二级
广东省,云浮市,2013-01-10,81.78,84.94,20.66,24.43,1.2,49.88,-3.99,-4.55,281.66,58.74,99879.76,109,三级
广东省,云浮市,2013-01-11,101.2,115.79,15.74,27.01,1.33,44.35,-1.87,-4.39,282.36,75.34,99926.17,133,三级
广东省,云浮市,2013-01-12,77.01,88.27,13.4,16.35,1.28,46.82,-1.62,-4.15,284.74,71.74,99747.06,103,三级
广东省,云浮市,2013-01-13,52.41,68.68,12.7,14.08,1.28,52.11,0.62,-3.81,285.79,69.32,99430.19,72,二级
广东省,云浮市,2013-01-14,60.82,78.93,15.32,27.37,1.24,52.69,-4.86,-1.83,285.66,56.68,99662.94,83,二级
广东省,云浮市,2013-01-15,91.63,113.23,27.82,66.44,1.48,43.03,-3.63,-1.48,286.52,66.61,99864.99,121,三级
广东省,云浮市,2013-01-16,93.03,114.59,17.51,54.2,1.44,57.93,-2.78,-2.54,287.06,67.05,99936.59,123,三级
广东省,云浮市,2013-01-17,78.63,100.95,20.37,31.65,1.25,44.23,-5.08,-5.57,286.06,69.16,100284.27,105,三级
广东省,云浮市,2013-01-18,81.52,101.43,18.76,19.5,1.31,72.75,-5.05,-4.7,283.61,60.04,100421.72,109,三级
广东省,云浮市,2013-01-19,88.31,106.29,22.59,45.24,1.24,61.33,-4.8,-0.51,285.47,61.75,99982.45,117,三级
广东省,云浮市,2013-01-20,74.35,78.89,22.02,38.33,0.94,38.36,-4.12,2.5,289.81,86.29,99743.15,100,二级
广东省,云浮市,2013-01-21,77.27,85.15,16.57,38.95,1.08,53.46,-2.42,-0.45,292.06,83.63,99727.66,103,三级
广东省,云浮市,2013-01-22,78.35,100.16,15.3,33.47,1.46,39.99,-2.88,-4.04,287.76,81.07,99852.1,105,三级
广东省,云浮市,2013-01-23,62.54,85.83,17.01,23.94,1.64,48.93,-3.75,-2.81,286.61,73.99,99785.51,85,二级
广东省,云浮市,2013-01-24,87.48,117.83,23.17,29.51,1.73,62.33,-1.3,-2.49,288.14,73.7,99681.82,116,三级
广东省,云浮市,2013-01-25,45.24,69.01,20.95,15.6,1.68,65.12,-3.54,-3.52,286.03,66.89,99788.68,63,二级
广东省,云浮市,2013-01-26,88.78,98.57,22.56,33.7,1.56,38.57,-2.43,-2.72,286.25,81.15,99685.31,118,三级
广东省,云浮市,2013-01-27,56.06,62.43,13.66,13.42,1.24,57.43,-4.62,-4.42,287.37,66.88,99951.46,77,二级
广东省,云浮市,2013-01-28,64.9,80.37,18.63,30.02,1.14,57.31,-5.14,-0.71,287.14,55.28,99918.5,88,二级
广东省,云浮市,2013-01-29,81.97,89.63,21.32,42.87,1.08,55.86,-3.67,0.54,289.39,81.28,99848.84,109,三级
广东省,云浮市,2013-01-30,52.31,57.06,16.04,26.69,0.83,52.8,-4.27,2.62,290.63,83.67,99883.87,72,二级
广东省,云浮市,2013-01-31,35.24,39.27,6.51,14.34,0.57,58.3,-3.86,3.83,291.18,84.85,99812.17,51,二级
广东省,云浮市,2013-02-01,42.17,48.5,7.42,16.81,0.74,73.91,-3.03,1.48,292.33,80.44,99766.42,59,二级
广东省,云浮市,2013-02-02,69.12,76.91,10.63,35.13,1.03,72.08,-2.86,-2.07,293.25,71.24,99791.93,93,二级
广东省,云浮市,2013-02-03,44.89,53.78,12.8,22.77,0.79,61.59,-3.6,0.4,292.46,86.32,99617.08,63,二级
