province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广东省,潮州市,2013-01-01,28.52,38.38,14.18,18.84,0.4,43.42,-3.97,-4.37,284.25,48.95,99808.59,41,一级
广东省,潮州市,2013-01-02,35.76,46.99,12.56,17.96,0.44,40.48,-2.12,-5.19,287.18,62.44,99846.81,51,二级
广东省,潮州市,2013-01-03,33.53,39.86,13.61,16.86,0.42,41.16,-5.08,-6.63,286.8,74.39,100152.56,48,一级
广东省,潮州市,2013-01-04,35.31,36.58,11.44,15.07,0.41,34.99,-0.95,-7.13,282.87,73.53,99994.66,51,二级
广东省,潮州市,2013-01-05,47.08,45.2,11.43,16.78,0.45,37.02,0.26,-5.74,284.48,75.1,99675.68,66,二级
广东省,潮州市,2013-01-06,40.1,50.22,12.46,15.8,0.47,38.51,0.82,-5.81,285.58,75.2,99722.89,57,二级
广东省,潮州市,2013-01-07,38.09,55.06,13.05,17.07,0.54,42.05,-0.32,-4.45,287.01,76.23,99649.46,54,二级
广东省,潮州市,2013-01-08,42.06,70.31,15.3,25.09,0.67,40.17,-1.64,-4.24,287.04,80.17,99633.2,61,二级
广东省,潮州市,2013-01-09,45.44,72.58,17.72,20.51,0.66,44.48,-1.33,-5.49,285.02,73.54,99772.99,64,二级
广东省,潮州市,2013-01-10,41.8,54.21,14.33,15.49,0.49,43.96,-6.38,-6.14,284.46,70.89,99869.08,59,二级
广东省,潮州市,2013-01-11,21.85,26.45,8.54,11.52,0.31,55.76,-5.32,-5.82,286.48,71.79,99886.63,32,一级
广东省,潮州市,2013-01-12,28.04,33.32,10.59,19.96,0.4,42.37,-3.53,-5.36,287.25,75.4,99682.23,41,一级
广东省,潮州市,2013-01-13,36.68,41.71,11.25,15.55,0.5,48.12,0.81,-6.9,287.8,70.75,99331.43,53,二级
广东省,潮州市,2013-01-14,37.82,46.85,11.9,15.5,0.44,51.44,-4.01,-4.98,285.2,57.17,99729.6,54,二级
广东省,潮州市,2013-01-15,36.02,42.74,11.4,16.45,0.43,57.48,-5.67,-3.67,285.83,57.88,99984.61,52,二级
广东省,潮州市,2013-01-16,51.44,60.59,15.34,20.93,0.55,55.81,-2.66,-2.59,287.04,65.0,99990.76,71,二级
广东省,潮州市,2013-01-17,79.03,96.11,21.25,25.44,0.86,49.36,-5.08,-5.57,285.54,76.31,100305.77,106,三级
广东省,潮州市,2013-01-18,39.51,44.48,13.27,14.74,0.46,51.04,-6.9,-6.3,282.34,50.5,100495.13,56,二级
广东省,潮州市,2013-01-19,22.32,27.98,9.05,16.88,0.33,54.21,-6.99,-4.24,284.21,67.51,100159.92,32,一级
广东省,潮州市,2013-01-20,24.84,32.47,9.51,17.84,0.37,55.97,-5.5,-1.71,288.81,73.7,99982.88,36,一级
广东省,潮州市,2013-01-21,29.06,40.75,11.0,25.52,0.46,56.38,-3.72,-0.95,290.89,74.06,99875.95,42,一级
广东省,潮州市,2013-01-22,45.34,55.63,13.94,24.34,0.59,44.47,-1.65,-3.92,290.1,85.08,99849.65,63,二级
