province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广西壮族自治区,来宾市,2013-01-01,51.81,60.83,22.74,17.84,0.55,44.81,-1.79,-2.8,281.1,38.26,98701.54,72,二级
广西壮族自治区,来宾市,2013-01-02,68.56,77.82,25.67,17.32,0.63,44.13,-2.91,-1.46,284.36,51.01,98633.11,92,二级
广西壮族自治区,来宾市,2013-01-03,53.53,59.25,21.29,15.58,0.72,32.85,-4.32,-9.31,278.69,70.88,99290.95,74,二级
广西壮族自治区,来宾市,2013-01-04,48.93,54.83,18.53,12.86,0.65,36.95,-2.3,-6.06,275.99,73.3,99028.29,68,二级
广西壮族自治区,来宾市,2013-01-05,50.44,58.43,16.09,11.35,0.68,43.69,-1.89,-4.0,278.37,74.38,98660.11,70,二级
广西壮族自治区,来宾市,2013-01-06,60.11,71.4,18.65,10.34,0.74,48.23,-2.04,-5.88,278.47,67.38,98769.32,82,二级
广西壮族自治区,来宾市,2013-01-07,69.52,81.82,19.24,10.9,0.74,54.71,-1.51,-4.26,279.59,62.45,98635.59,94,二级
广西壮族自治区,来宾市,2013-01-08,77.37,87.81,18.8,10.78,0.77,51.19,-2.24,-5.13,281.18,59.41,98621.03,103,三级
广西壮族自治区,来宾市,2013-01-09,96.17,119.88,37.51,12.62,1.28,53.17,-3.43,-7.75,280.24,55.61,98839.08,127,三级
广西壮族自治区,来宾市,2013-01-10,128.61,149.21,34.15,20.7,1.16,49.23,-3.2,-5.35,280.44,52.8,98818.91,170,四级
广西壮族自治区,来宾市,2013-01-11,133.5,135.7,22.96,16.02,1.0,44.47,-2.34,-5.5,280.86,61.95,98888.73,177,四级
广西壮族自治区,来宾市,2013-01-12,95.39,103.12,21.86,13.64,0.88,40.94,-1.56,-4.89,281.5,64.89,98737.27,126,三级
广西壮族自治区,来宾市,2013-01-13,103.96,115.8,23.52,15.63,0.95,46.65,-0.97,-3.32,283.05,64.85,98396.9,137,三级
广西壮族自治区,来宾市,2013-01-14,109.26,125.68,26.11,20.57,1.19,45.16,-3.23,-1.47,285.17,51.43,98526.15,143,三级
广西壮族自治区,来宾市,2013-01-15,114.23,133.44,27.3,20.64,1.29,36.93,-2.19,-2.22,284.16,73.61,98777.37,150,三级
广西壮族自治区,来宾市,2013-01-16,93.55,104.24,23.2,18.08,1.1,37.53,-1.63,-2.79,284.96,80.48,98853.63,124,三级
广西壮族自治区,来宾市,2013-01-17,89.94,108.21,31.38,13.91,1.36,39.32,-4.04,-6.94,283.79,74.06,99262.72,119,三级
广西壮族自治区,来宾市,2013-01-18,96.49,119.62,26.6,17.44,1.08,46.36,-3.09,-4.47,282.13,62.71,99343.58,127,三级
广西壮族自治区,来宾市,2013-01-19,82.61,95.78,24.91,16.97,0.75,49.1,-2.74,1.98,284.45,66.46,98780.61,110,三级
广西壮族自治区,来宾市,2013-01-20,50.91,59.67,12.83,11.1,0.56,54.64,-1.68,6.85,289.13,81.96,98494.17,70,二级
广西壮族自治区,来宾市,2013-01-21,58.35,71.27,15.68,14.99,0.71,38.95,-1.2,-0.7,287.79,88.75,98676.8,80,二级
广西壮族自治区,来宾市,2013-01-22,105.87,120.67,19.61,17.04,1.05,39.32,-1.86,-4.82,284.44,79.65,98809.36,139,三级
广西壮族自治区,来宾市,2013-01-23,106.88,122.0,26.45,13.98,1.05,50.03,-1.38,-3.21,285.15,69.59,98688.39,140,三级
广西壮族自治区,来宾市,2013-01-24,126.26,136.27,31.38,17.67,1.12,43.25,-1.53,-3.68,285.03,75.84,98654.42,167,四级
广西壮族自治区,来宾市,2013-01-25,80.2,93.26,26.25,13.41,0.95,46.75,-2.44,-4.01,284.29,60.54,98712.37,107,三级
广西壮族自治区,来宾市,2013-01-26,85.83,89.0,21.81,13.42,0.83,47.84,-1.69,-2.92,285.76,72.45,98601.21,114,三级
广西壮族自治区,来宾市,2013-01-27,78.51,88.25,22.88,14.93,0.83,50.47,-4.31,-4.97,286.47,51.23,98887.41,105,三级
广西壮族自治区,来宾市,2013-01-28,88.71,95.62,23.84,17.84,0.8,44.58,-3.55,0.18,285.79,52.41,98776.91,118,三级
广西壮族自治区,来宾市,2013-01-29,95.95,101.89,24.84,17.9,0.8,50.93,-2.16,1.56,288.31,74.53,98694.88,127,三级
广西壮族自治区,来宾市,2013-01-30,73.78,78.21,20.65,15.19,0.7,43.84,-3.12,4.57,289.66,85.91,98674.28,99,二级
广西壮族自治区,来宾市,2013-01-31,42.77,44.8,10.14,9.05,0.48,57.08,-1.8,7.52,291.44,82.85,98562.14,60,二级
广西壮族自治区,来宾市,2013-02-01,35.69,41.73,10.46,8.71,0.45,60.87,-0.82,4.68,292.09,80.77,98591.21,51,二级
广西壮族自治区,来宾市,2013-02-02,48.87,59.37,16.37,11.74,0.54,58.87,-2.64,-0.94,291.24,82.57,98721.11,68,二级
广西壮族自治区,来宾市,2013-02-03,58.03,72.49,17.51,12.46,0.66,56.52,-0.99,2.81,291.97,80.35,98460.68,79,二级
广西壮族自治区,来宾市,2013-02-04,43.16,49.2,11.13,12.3,0.64,38.29,-0.42,6.63,292.4,90.8,98416.17,61,二级
广西壮族自治区,来宾市,2013-02-05,32.46,40.03,10.16,9.41,0.53,45.43,1.27,5.82,293.15,84.81,98390.73,47,一级
广西壮族自治区,来宾市,2013-02-06,41.66,49.07,13.59,8.92,0.54,50.39,-1.51,4.33,292.8,87.1,98153.3,59,二级
广西壮族自治区,来宾市,2013-02-07,45.16,52.64,14.31,10.23,0.53,43.44,-1.77,1.56,290.6,87.47,97956.27,63,二级
广西壮族自治区,来宾市,2013-02-08,44.61,52.23,18.84,13.7,0.83,32.15,-3.16,-9.99,279.0,80.16,98856.68,63,二级
广西壮族自治区,来宾市,2013-02-09,45.6,55.32,16.12,9.77,0.67,45.14,-1.38,-5.25,277.91,75.69,99068.05,64,二级
广西壮族自治区,来宾市,2013-02-10,73.74,83.48,19.38,10.4,0.75,47.78,-1.11,0.32,282.17,70.96,98684.86,99,二级
