province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广西壮族自治区,柳州市,2013-01-01,41.98,48.34,20.04,10.33,0.4,51.82,-1.49,-2.29,280.14,36.84,98033.62,59,二级
广西壮族自治区,柳州市,2013-01-02,59.67,67.34,22.92,11.34,0.49,47.92,-3.53,-1.74,282.71,46.85,98010.79,81,二级
广西壮族自治区,柳州市,2013-01-03,60.15,65.38,23.0,13.3,0.58,37.64,-3.86,-9.42,276.55,66.98,98772.88,82,二级
广西壮族自治区,柳州市,2013-01-04,57.42,63.85,20.25,10.64,0.54,43.08,-2.72,-5.96,274.22,68.83,98419.12,79,二级
广西壮族自治区,柳州市,2013-01-05,68.74,77.31,18.78,9.35,0.6,52.45,-2.62,-4.79,276.6,71.11,98033.78,93,二级
广西壮族自治区,柳州市,2013-01-06,83.1,93.86,22.65,8.76,0.69,57.94,-2.29,-5.82,276.16,65.29,98156.04,111,三级
广西壮族自治区,柳州市,2013-01-07,92.89,104.83,24.38,8.65,0.73,64.55,-1.75,-4.63,277.42,63.59,98002.85,123,三级
广西壮族自治区,柳州市,2013-01-08,102.28,113.83,24.51,7.74,0.77,63.07,-2.47,-5.86,278.97,58.65,98019.06,135,三级
广西壮族自治区,柳州市,2013-01-09,147.52,164.8,45.36,9.42,1.07,54.19,-3.19,-7.27,278.58,53.69,98260.34,197,四级
广西壮族自治区,柳州市,2013-01-10,179.67,198.22,37.47,12.17,1.19,48.92,-3.34,-4.88,278.96,52.58,98201.05,230,五级
广西壮族自治区,柳州市,2013-01-11,133.46,145.01,27.13,9.91,0.92,47.01,-1.92,-5.73,279.48,57.11,98270.75,177,四级
广西壮族自治区,柳州市,2013-01-12,99.66,110.95,27.03,10.09,0.75,48.96,-1.58,-4.04,280.83,57.91,98092.34,131,三级
广西壮族自治区,柳州市,2013-01-13,104.79,116.97,28.51,10.26,0.78,57.1,-0.88,-1.98,282.3,61.17,97736.42,138,三级
广西壮族自治区,柳州市,2013-01-14,98.01,109.09,26.49,9.48,0.76,58.79,-3.06,-1.71,283.96,50.14,97871.16,129,三级
广西壮族自治区,柳州市,2013-01-15,93.98,104.51,22.6,11.75,0.75,40.3,-1.77,-2.3,282.54,76.24,98132.88,124,三级
广西壮族自治区,柳州市,2013-01-16,98.86,109.96,23.4,10.78,0.79,41.65,-2.09,-2.79,283.24,80.78,98224.07,130,三级
广西壮族自治区,柳州市,2013-01-17,141.34,156.94,39.7,9.84,1.11,46.35,-4.05,-7.26,282.38,69.27,98690.01,188,四级
广西壮族自治区,柳州市,2013-01-18,118.04,132.47,27.28,12.65,0.94,43.19,-3.14,-3.82,280.8,59.88,98708.03,155,四级
广西壮族自治区,柳州市,2013-01-19,81.53,91.7,23.95,12.29,0.65,42.2,-1.49,2.94,282.81,67.97,98073.82,109,三级
广西壮族自治区,柳州市,2013-01-20,54.23,62.81,19.75,11.65,0.5,49.46,0.08,7.89,288.1,84.07,97768.54,75,二级
广西壮族自治区,柳州市,2013-01-21,72.21,82.02,20.99,13.2,0.64,36.56,-0.91,-1.91,285.0,86.16,98065.69,97,二级
广西壮族自治区,柳州市,2013-01-22,120.32,132.0,22.74,12.34,0.91,35.52,-1.79,-5.46,281.39,79.8,98221.01,158,四级
广西壮族自治区,柳州市,2013-01-23,119.5,132.89,27.58,10.23,0.9,48.33,-0.64,-2.84,282.99,69.01,98045.85,157,四级
广西壮族自治区,柳州市,2013-01-24,105.34,115.84,30.2,10.35,0.8,52.56,-1.25,-4.06,284.5,67.46,98022.86,138,三级
广西壮族自治区,柳州市,2013-01-25,59.86,67.25,22.47,9.19,0.56,47.81,-2.28,-3.68,282.95,56.24,98077.13,82,二级
