province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广西壮族自治区,桂林市,2013-01-01,50.41,57.44,19.58,9.18,0.43,50.11,-1.84,-1.78,278.6,34.76,96355.69,70,二级
广西壮族自治区,桂林市,2013-01-02,68.94,77.39,21.87,9.72,0.54,48.75,-4.28,-3.09,280.86,50.7,96416.0,93,二级
广西壮族自治区,桂林市,2013-01-03,64.31,69.78,23.54,14.86,0.59,34.74,-6.48,-8.86,274.34,74.54,97100.28,87,二级
广西壮族自治区,桂林市,2013-01-04,68.35,76.2,21.31,12.24,0.59,40.83,-4.59,-5.37,272.39,76.2,96731.88,92,二级
广西壮族自治区,桂林市,2013-01-05,84.08,94.34,19.46,10.5,0.67,51.64,-3.73,-4.28,274.38,78.95,96375.26,112,三级
广西壮族自治区,桂林市,2013-01-06,101.86,114.08,24.97,10.0,0.78,55.4,-3.87,-4.72,274.0,73.81,96475.24,134,三级
广西壮族自治区,桂林市,2013-01-07,117.46,131.21,27.66,8.89,0.84,62.02,-3.14,-3.38,275.59,68.39,96334.29,154,四级
广西壮族自治区,桂林市,2013-01-08,126.23,140.27,28.56,7.93,0.88,62.64,-3.99,-4.66,277.14,61.81,96361.23,167,四级
广西壮族自治区,桂林市,2013-01-09,182.01,200.43,51.91,10.8,1.18,52.04,-5.21,-6.56,276.59,61.39,96575.32,233,五级
广西壮族自治区,桂林市,2013-01-10,186.63,204.43,37.2,11.85,1.19,49.02,-4.75,-4.84,277.03,59.68,96529.01,237,五级
广西壮族自治区,桂林市,2013-01-11,127.53,141.21,25.32,10.17,0.86,46.38,-2.85,-4.08,278.31,68.17,96580.4,168,四级
广西壮族自治区,桂林市,2013-01-12,100.67,112.38,24.83,9.25,0.73,48.43,-3.41,-3.67,279.4,68.04,96410.12,133,三级
广西壮族自治区,桂林市,2013-01-13,109.54,121.95,27.21,7.83,0.76,59.0,-1.72,-2.32,281.29,62.73,96077.37,144,三级
