province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广西壮族自治区,贺州市,2013-01-01,47.3,59.13,16.9,10.33,0.46,44.6,-1.41,-3.35,279.93,41.83,97577.75,66,二级
广西壮族自治区,贺州市,2013-01-02,51.73,63.62,14.49,9.38,0.53,48.15,-3.03,-2.76,283.21,57.4,97599.39,71,二级
广西壮族自治区,贺州市,2013-01-03,51.94,65.54,20.86,15.52,0.64,32.21,-4.63,-11.2,276.68,73.6,98183.68,72,二级
广西壮族自治区,贺州市,2013-01-04,43.55,56.02,13.95,10.54,0.54,42.8,-3.27,-7.68,274.85,76.04,97897.62,61,二级
广西壮族自治区,贺州市,2013-01-05,51.23,65.92,13.41,9.66,0.64,49.66,-2.23,-6.11,277.34,77.05,97539.94,71,二级
广西壮族自治区,贺州市,2013-01-06,60.84,75.81,16.54,9.65,0.75,49.49,-2.92,-7.15,276.22,75.62,97645.29,83,二级
广西壮族自治区,贺州市,2013-01-07,75.8,89.06,18.14,10.14,0.86,54.79,-2.3,-5.58,277.85,68.46,97520.35,102,三级
广西壮族自治区,贺州市,2013-01-08,82.47,93.99,18.53,8.78,0.85,54.44,-2.78,-6.47,279.49,63.27,97514.69,110,三级
广西壮族自治区,贺州市,2013-01-09,97.76,110.63,34.9,10.1,1.1,45.25,-4.07,-8.58,278.46,65.43,97709.14,129,三级
广西壮族自治区,贺州市,2013-01-10,124.14,131.23,28.28,13.81,1.1,50.1,-3.6,-6.5,278.89,57.41,97699.4,164,四级
广西壮族自治区,贺州市,2013-01-11,115.02,128.75,19.06,11.52,0.9,45.07,-2.48,-5.77,279.76,72.77,97756.88,151,四级
广西壮族自治区,贺州市,2013-01-12,89.56,100.4,19.6,8.88,0.75,46.34,-1.99,-5.63,281.0,73.96,97586.37,119,三级
广西壮族自治区,贺州市,2013-01-13,79.81,95.23,18.21,6.97,0.82,54.15,-1.26,-4.81,283.15,63.12,97257.89,107,三级
广西壮族自治区,贺州市,2013-01-14,77.48,90.25,16.53,6.97,0.68,56.27,-3.08,-3.0,284.17,52.76,97456.44,104,三级
广西壮族自治区,贺州市,2013-01-15,78.83,85.63,13.18,11.27,0.67,46.03,-2.33,-1.74,283.6,66.96,97696.47,105,三级
广西壮族自治区,贺州市,2013-01-16,107.29,118.52,16.23,10.12,0.87,50.07,-1.57,-3.94,284.48,75.12,97768.28,141,三级
广西壮族自治区,贺州市,2013-01-17,121.44,149.32,35.8,12.54,1.24,45.39,-4.68,-8.49,282.53,73.54,98162.28,160,四级
广西壮族自治区,贺州市,2013-01-18,89.66,105.31,19.11,10.16,0.87,54.66,-3.54,-5.46,280.91,58.9,98226.31,119,三级
广西壮族自治区,贺州市,2013-01-19,64.36,68.78,11.25,9.56,0.56,53.11,-3.32,1.87,283.58,60.93,97740.16,87,二级
广西壮族自治区,贺州市,2013-01-20,60.2,64.91,17.75,22.95,0.58,40.83,-2.9,5.53,287.13,82.65,97515.38,82,二级
广西壮族自治区,贺州市,2013-01-21,87.69,94.35,18.66,20.62,0.76,40.45,-1.87,-1.17,287.44,90.3,97617.71,116,三级
广西壮族自治区,贺州市,2013-01-22,119.0,141.12,21.3,18.92,1.15,44.37,-2.35,-6.19,283.87,78.4,97725.38,156,四级
广西壮族自治区,贺州市,2013-01-23,95.22,121.77,24.97,10.39,1.16,56.33,-2.01,-3.02,284.43,73.1,97591.71,126,三级
广西壮族自治区,贺州市,2013-01-24,102.32,122.93,20.43,7.37,1.01,57.03,-1.94,-3.73,284.16,79.88,97553.38,135,三级
广西壮族自治区,贺州市,2013-01-25,60.49,87.63,28.61,9.28,1.06,54.39,-2.99,-4.64,283.07,70.2,97603.92,82,二级
广西壮族自治区,贺州市,2013-01-26,76.75,88.14,19.53,7.68,0.81,51.88,-1.78,-3.18,284.98,75.53,97509.87,103,三级
广西壮族自治区,贺州市,2013-01-27,70.88,80.49,20.13,7.73,0.75,52.11,-4.52,-6.02,284.92,52.94,97808.64,95,二级
广西壮族自治区,贺州市,2013-01-28,63.11,71.86,14.1,7.96,0.63,57.19,-3.23,0.72,285.42,52.93,97712.73,86,二级
广西壮族自治区,贺州市,2013-01-29,77.86,82.34,19.57,13.8,0.65,64.23,-1.56,2.46,288.14,69.48,97648.07,104,三级
广西壮族自治区,贺州市,2013-01-30,57.59,63.47,17.8,15.99,0.56,57.26,-2.91,4.35,288.95,81.74,97670.07,79,二级
广西壮族自治区,贺州市,2013-01-31,41.21,47.98,13.66,17.14,0.47,51.27,-2.49,6.31,289.4,84.9,97585.31,58,二级
广西壮族自治区,贺州市,2013-02-01,36.82,41.16,8.12,10.01,0.42,63.82,-1.28,3.9,290.83,83.69,97586.4,53,二级
广西壮族自治区,贺州市,2013-02-02,81.19,86.92,13.65,8.54,0.65,63.84,-2.76,-4.03,290.17,80.06,97685.81,108,三级
广西壮族自治区,贺州市,2013-02-03,83.91,96.47,16.13,10.13,0.76,52.79,-2.25,1.52,289.95,86.73,97450.69,112,三级
