province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广西壮族自治区,防城港市,2013-01-01,58.65,73.34,20.64,23.38,0.72,41.31,-2.2,-4.38,282.64,43.4,99389.94,80,二级
广西壮族自治区,防城港市,2013-01-02,82.3,96.08,14.36,19.86,0.83,39.6,-3.11,-2.42,286.73,56.95,99245.03,110,三级
广西壮族自治区,防城港市,2013-01-03,47.56,50.74,15.78,15.0,0.84,32.84,-3.38,-9.9,281.04,81.95,99831.44,66,二级
广西壮族自治区,防城港市,2013-01-04,41.99,44.58,15.18,13.36,0.79,30.97,-1.5,-8.07,277.38,78.01,99676.92,59,二级
广西壮族自治区,防城港市,2013-01-05,40.99,44.69,12.75,13.16,0.88,25.81,-1.05,-5.79,278.37,75.24,99340.41,58,二级
广西壮族自治区,防城港市,2013-01-06,39.66,46.39,13.04,10.03,0.76,38.87,-1.36,-6.85,280.8,65.62,99431.79,56,二级
广西壮族自治区,防城港市,2013-01-07,55.03,64.5,14.36,11.93,0.77,41.08,-1.72,-5.4,281.46,66.27,99320.91,76,二级
广西壮族自治区,防城港市,2013-01-08,61.76,68.67,13.99,13.52,0.81,37.37,-1.31,-5.56,282.68,64.08,99281.44,84,二级
广西壮族自治区,防城港市,2013-01-09,66.96,86.85,25.88,15.63,1.18,48.72,-1.83,-8.26,281.19,59.77,99482.39,90,二级
广西壮族自治区,防城港市,2013-01-10,118.8,136.08,31.82,22.05,1.12,52.0,-2.47,-6.75,281.54,54.85,99477.97,156,四级
广西壮族自治区,防城港市,2013-01-11,150.22,146.72,20.42,21.13,1.16,42.59,-1.76,-7.26,281.42,63.41,99539.87,201,五级
广西壮族自治区,防城港市,2013-01-12,102.57,107.96,17.42,14.33,1.0,42.83,-0.29,-7.47,282.29,65.96,99439.58,135,三级
广西壮族自治区,防城港市,2013-01-13,99.69,112.61,16.57,14.2,1.01,46.13,0.07,-4.74,283.83,64.55,99111.9,131,三级
广西壮族自治区,防城港市,2013-01-14,125.33,153.62,18.21,26.35,1.53,39.06,-2.88,-3.24,285.83,65.39,99199.3,165,四级
广西壮族自治区,防城港市,2013-01-15,134.2,181.41,18.38,27.37,1.84,32.92,-1.77,-4.79,285.5,82.03,99400.64,178,四级
广西壮族自治区,防城港市,2013-01-16,86.94,107.18,17.93,20.86,1.29,33.49,-1.95,-4.09,286.8,81.34,99495.88,115,三级
广西壮族自治区,防城港市,2013-01-17,66.9,79.52,17.62,16.97,1.3,35.41,-3.35,-7.66,285.29,80.63,99860.12,90,二级
广西壮族自治区,防城港市,2013-01-18,101.99,128.31,23.29,19.46,1.18,50.16,-3.33,-6.3,283.99,68.43,100003.77,134,三级
广西壮族自治区,防城港市,2013-01-19,106.19,124.76,18.37,18.89,0.93,59.05,-2.39,-1.14,285.29,76.78,99498.8,139,三级
广西壮族自治区,防城港市,2013-01-20,23.34,30.7,4.54,5.45,0.35,78.7,-1.07,5.88,291.05,88.51,99220.17,40,一级
广西壮族自治区,防城港市,2013-01-21,28.33,41.78,6.9,12.38,0.57,64.77,-1.89,0.15,290.74,93.47,99308.01,42,一级
广西壮族自治区,防城港市,2013-01-22,79.64,97.45,14.51,17.82,1.1,45.62,-3.14,-4.97,288.25,83.25,99402.1,106,三级
广西壮族自治区,防城港市,2013-01-23,86.0,99.12,17.63,15.27,1.06,48.8,-2.19,-4.79,286.68,74.14,99368.4,114,三级
广西壮族自治区,防城港市,2013-01-24,116.69,131.54,18.88,17.49,1.26,47.23,-1.24,-4.54,286.76,78.15,99304.41,153,四级
广西壮族自治区,防城港市,2013-01-25,94.11,111.41,22.76,20.92,1.31,37.4,-1.25,-6.06,284.28,69.76,99403.95,124,三级
广西壮族自治区,防城港市,2013-01-26,104.46,102.88,17.54,15.56,1.06,41.09,-0.66,-5.1,285.43,82.24,99267.02,137,三级
广西壮族自治区,防城港市,2013-01-27,84.38,95.27,18.15,18.22,0.93,52.94,-3.49,-6.33,287.49,69.62,99523.05,112,三级
广西壮族自治区,防城港市,2013-01-28,101.53,113.98,17.36,24.67,1.03,40.57,-2.81,-2.75,287.38,76.45,99435.11,134,三级
广西壮族自治区,防城港市,2013-01-29,97.66,108.07,11.86,22.75,0.93,44.18,-2.83,-1.68,288.46,92.39,99368.74,129,三级
广西壮族自治区,防城港市,2013-01-30,36.55,41.76,7.78,16.48,0.48,56.61,-3.82,3.5,291.2,92.79,99359.96,52,二级
广西壮族自治区,防城港市,2013-01-31,23.73,29.52,5.0,10.02,0.36,72.46,-3.04,5.39,291.77,92.53,99296.01,37,一级
广西壮族自治区,防城港市,2013-02-01,19.18,26.74,5.08,8.71,0.31,72.8,-2.0,3.6,292.1,91.76,99287.14,37,一级
广西壮族自治区,防城港市,2013-02-02,28.65,37.1,7.99,11.45,0.42,68.87,-1.82,-0.99,291.67,84.46,99380.37,41,一级
广西壮族自治区,防城港市,2013-02-03,43.49,56.37,11.62,12.57,0.59,68.65,-1.56,0.33,292.23,87.91,99164.95,61,二级
