province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
新疆维吾尔自治区,五家渠市,2013-01-01,59.85,51.66,3.65,25.3,0.91,54.68,1.0,-0.77,255.63,74.04,97072.9,82,二级
新疆维吾尔自治区,五家渠市,2013-01-02,123.1,125.04,26.99,59.04,2.58,26.21,-1.34,0.84,258.61,66.01,98066.33,162,四级
新疆维吾尔自治区,五家渠市,2013-01-03,59.87,45.49,1.32,31.04,0.99,38.41,-0.12,-0.89,256.54,70.56,97688.72,82,二级
新疆维吾尔自治区,五家渠市,2013-01-04,66.24,63.19,5.38,43.22,1.14,32.32,0.87,-0.5,253.43,73.95,97558.17,90,二级
新疆维吾尔自治区,五家渠市,2013-01-05,73.67,81.58,26.6,50.11,1.94,18.01,1.16,0.29,254.57,73.52,97694.48,99,二级
新疆维吾尔自治区,五家渠市,2013-01-06,78.49,76.11,15.38,44.26,2.35,23.79,-2.86,-0.32,257.25,80.8,97820.87,105,三级
新疆维吾尔自治区,五家渠市,2013-01-07,32.28,31.4,0.86,24.85,0.42,46.43,0.42,-0.84,253.69,77.38,97737.36,47,一级
新疆维吾尔自治区,五家渠市,2013-01-08,22.78,43.48,30.81,37.6,0.55,40.6,1.37,-0.84,254.64,70.76,97489.32,48,一级
新疆维吾尔自治区,五家渠市,2013-01-09,66.99,114.77,128.94,31.83,1.55,43.04,-0.01,-0.47,257.18,72.53,97168.71,90,二级
新疆维吾尔自治区,五家渠市,2013-01-10,61.27,65.21,25.02,34.76,1.83,34.88,-3.3,-0.24,263.33,79.23,97337.65,83,二级
新疆维吾尔自治区,五家渠市,2013-01-11,25.47,28.19,0.3,14.64,0.26,44.76,-0.96,-0.79,260.1,72.07,96976.81,37,一级
新疆维吾尔自治区,五家渠市,2013-01-12,41.51,45.75,3.23,10.05,0.66,48.37,0.99,-1.41,259.63,65.61,96310.63,59,二级
新疆维吾尔自治区,五家渠市,2013-01-13,72.7,55.5,21.86,47.12,2.04,21.72,0.47,2.21,267.12,86.03,97304.31,98,二级
新疆维吾尔自治区,五家渠市,2013-01-14,45.18,33.13,5.61,22.04,0.6,33.98,-4.42,0.81,265.36,76.27,97588.92,63,二级
新疆维吾尔自治区,五家渠市,2013-01-15,27.42,36.76,2.28,8.4,0.44,46.78,-2.38,-0.2,263.61,73.66,97098.79,40,一级
新疆维吾尔自治区,五家渠市,2013-01-16,84.68,66.87,3.46,27.82,1.34,61.82,0.93,-0.74,259.2,76.09,97405.79,113,三级
新疆维吾尔自治区,五家渠市,2013-01-17,83.3,67.9,18.11,48.35,1.55,25.75,-1.36,0.52,261.08,72.87,97954.34,111,三级
新疆维吾尔自治区,五家渠市,2013-01-18,42.85,38.67,7.23,35.05,0.61,38.72,-1.17,-0.22,259.61,82.39,97687.2,60,二级
新疆维吾尔自治区,五家渠市,2013-01-19,67.6,73.51,24.47,46.27,0.68,34.33,0.39,-0.24,257.98,81.12,97561.29,91,二级
新疆维吾尔自治区,五家渠市,2013-01-20,26.65,32.47,3.11,31.39,0.44,38.37,-0.36,-0.78,258.12,79.26,97618.99,40,一级
新疆维吾尔自治区,五家渠市,2013-01-21,42.51,44.96,5.31,25.63,0.51,24.71,-0.16,-0.22,258.86,74.68,97431.27,60,二级
新疆维吾尔自治区,五家渠市,2013-01-22,68.28,83.45,2.43,17.53,0.42,29.1,-2.91,0.06,263.29,67.91,97112.82,92,二级
新疆维吾尔自治区,五家渠市,2013-01-23,45.79,60.36,6.74,40.46,0.67,33.91,0.1,-0.22,260.56,74.11,97493.54,64,二级
新疆维吾尔自治区,五家渠市,2013-01-24,108.96,130.65,22.6,56.07,1.73,24.55,-1.86,0.27,263.77,66.76,97511.35,143,三级
新疆维吾尔自治区,五家渠市,2013-01-25,38.21,56.74,1.52,36.03,0.45,38.6,-1.33,-0.27,264.07,70.09,97278.47,55,二级
新疆维吾尔自治区,五家渠市,2013-01-26,107.1,135.2,31.14,47.67,0.99,25.5,0.18,-0.15,262.11,72.26,97388.99,141,三级
新疆维吾尔自治区,五家渠市,2013-01-27,155.99,199.49,46.7,32.22,1.79,31.62,-2.59,0.11,268.39,64.1,97194.58,206,五级
新疆维吾尔自治区,五家渠市,2013-01-28,205.43,249.06,4.96,2.96,2.57,36.45,-0.84,0.58,267.19,75.85,96626.85,256,五级
新疆维吾尔自治区,五家渠市,2013-01-29,57.63,58.67,20.67,33.34,1.49,37.45,1.26,-0.75,267.43,91.28,97116.65,79,二级
新疆维吾尔自治区,五家渠市,2013-01-30,49.32,42.82,16.21,28.41,1.6,38.33,3.39,-0.02,262.73,90.34,97298.92,68,二级
新疆维吾尔自治区,五家渠市,2013-01-31,24.87,23.01,5.44,20.6,0.72,46.48,-2.06,-0.18,258.15,75.95,97606.48,36,一级
新疆维吾尔自治区,五家渠市,2013-02-01,19.97,20.72,1.88,13.91,0.46,53.02,-1.61,-1.13,257.87,72.58,97779.66,29,一级
新疆维吾尔自治区,五家渠市,2013-02-02,29.57,28.54,12.34,30.66,0.93,45.18,2.63,-1.48,257.22,77.33,96629.5,43,一级
新疆维吾尔自治区,五家渠市,2013-02-03,65.54,66.04,22.89,58.68,1.54,33.85,-0.8,-0.24,263.4,78.22,96752.19,89,二级
新疆维吾尔自治区,五家渠市,2013-02-04,28.89,31.58,7.28,19.54,0.57,41.99,-2.15,-0.36,267.71,84.78,96964.37,42,一级
新疆维吾尔自治区,五家渠市,2013-02-05,65.98,67.33,11.54,45.39,1.16,41.73,0.73,-0.49,263.04,93.11,97479.2,89,二级
新疆维吾尔自治区,五家渠市,2013-02-06,153.62,155.11,56.5,83.97,3.25,25.87,1.38,0.34,261.97,92.78,97867.45,204,五级
新疆维吾尔自治区,五家渠市,2013-02-07,66.39,50.68,19.76,42.71,2.55,23.46,-0.67,0.93,266.09,92.26,98149.99,90,二级
新疆维吾尔自治区,五家渠市,2013-02-08,23.49,22.65,4.77,13.6,0.51,46.09,-1.73,-0.36,262.28,88.15,97352.66,34,一级
新疆维吾尔自治区,五家渠市,2013-02-09,44.84,37.86,23.39,30.09,2.48,42.98,3.11,0.46,260.73,92.15,97569.3,63,二级
新疆维吾尔自治区,五家渠市,2013-02-10,47.75,47.07,14.42,30.02,2.63,40.07,2.1,1.0,259.12,82.88,98447.98,66,二级
新疆维吾尔自治区,五家渠市,2013-02-11,49.01,47.92,8.21,26.22,1.29,34.37,-1.69,0.39,256.42,80.23,98735.24,68,二级
新疆维吾尔自治区,五家渠市,2013-02-12,58.83,56.61,7.89,20.9,0.74,48.63,-2.26,0.42,257.36,70.52,97985.2,80,二级
新疆维吾尔自治区,五家渠市,2013-02-13,47.15,49.12,10.93,22.3,0.94,52.12,-0.13,-0.56,258.42,86.2,98110.78,66,二级
新疆维吾尔自治区,五家渠市,2013-02-14,18.3,21.48,2.91,11.39,0.43,53.6,-3.27,-0.28,257.76,77.13,97648.2,27,一级
新疆维吾尔自治区,五家渠市,2013-02-15,49.86,55.39,8.41,20.98,0.79,51.32,-0.89,-0.21,258.69,74.53,97149.53,69,二级
新疆维吾尔自治区,五家渠市,2013-02-16,43.51,39.33,13.11,15.88,2.04,59.81,2.86,0.16,259.72,82.03,98149.44,61,二级
新疆维吾尔自治区,五家渠市,2013-02-17,27.5,28.82,8.36,23.59,1.23,51.75,-1.34,-0.1,252.46,76.29,98456.96,40,一级
新疆维吾尔自治区,五家渠市,2013-02-18,18.3,21.18,2.92,8.73,0.69,62.2,0.12,-0.93,250.07,70.38,97920.56,32,一级
新疆维吾尔自治区,五家渠市,2013-02-19,30.47,34.65,1.67,11.11,0.61,66.11,0.02,-0.95,253.53,70.93,97793.16,44,一级
新疆维吾尔自治区,五家渠市,2013-02-20,34.22,38.75,2.45,11.55,0.57,70.48,0.09,-0.98,256.57,71.16,97823.96,49,一级
新疆维吾尔自治区,五家渠市,2013-02-21,26.99,37.87,6.26,18.92,0.87,67.16,0.7,-1.27,259.25,71.46,97666.11,39,一级
新疆维吾尔自治区,五家渠市,2013-02-22,48.79,57.22,19.55,46.67,1.16,44.98,2.85,-0.98,259.26,78.39,97219.52,68,二级
新疆维吾尔自治区,五家渠市,2013-02-23,63.58,68.61,14.06,35.12,2.15,41.55,-1.64,-0.68,263.72,77.76,97275.64,86,二级
新疆维吾尔自治区,五家渠市,2013-02-24,99.8,112.55,19.06,47.79,2.94,33.54,-0.13,-0.14,266.62,88.72,97062.65,132,三级
新疆维吾尔自治区,五家渠市,2013-02-25,42.0,43.03,2.78,31.2,0.92,38.94,-3.0,0.3,267.12,87.3,97479.11,59,二级
新疆维吾尔自治区,五家渠市,2013-02-26,36.21,35.15,3.26,27.58,0.77,46.36,-1.18,-0.19,265.57,92.29,97465.64,52,二级
新疆维吾尔自治区,五家渠市,2013-02-27,43.62,36.44,10.17,20.13,1.41,45.57,-0.93,-0.8,264.31,90.31,97467.34,61,二级
新疆维吾尔自治区,五家渠市,2013-02-28,19.38,15.25,6.81,13.07,1.53,51.53,2.09,-1.51,260.8,84.14,97179.2,39,一级
新疆维吾尔自治区,五家渠市,2013-03-01,27.31,22.71,7.32,33.66,0.66,40.26,-3.0,-0.12,265.35,76.95,97457.12,43,一级
新疆维吾尔自治区,五家渠市,2013-03-02,48.85,52.73,5.75,8.16,1.06,38.81,-2.79,0.28,269.77,67.73,97563.65,68,二级
新疆维吾尔自治区,五家渠市,2013-03-03,30.26,48.47,2.1,0.65,0.9,46.16,-0.89,-0.79,269.96,71.1,97058.14,49,一级
新疆维吾尔自治区,五家渠市,2013-03-04,55.62,72.36,22.19,32.87,1.77,35.74,1.95,-0.76,268.56,85.65,96972.53,76,二级
新疆维吾尔自治区,五家渠市,2013-03-05,92.88,145.61,18.47,56.36,4.75,22.1,-2.11,1.87,274.23,85.12,97465.3,123,三级
新疆维吾尔自治区,五家渠市,2013-03-06,21.66,33.66,4.52,9.8,0.59,37.05,-2.99,-0.07,273.61,72.49,96950.69,34,一级
新疆维吾尔自治区,五家渠市,2013-03-07,38.36,49.3,8.53,7.85,0.98,39.72,-2.5,-0.43,276.28,72.97,96267.67,55,二级
新疆维吾尔自治区,五家渠市,2013-03-08,19.45,25.15,4.51,9.57,1.43,56.39,2.86,-2.07,271.67,77.56,97485.11,36,一级
新疆维吾尔自治区,五家渠市,2013-03-09,6.28,10.56,2.22,5.96,0.73,62.71,-1.34,-1.17,264.91,75.99,97312.55,32,一级
新疆维吾尔自治区,五家渠市,2013-03-10,19.96,27.38,7.06,22.13,1.03,60.03,0.24,-0.54,265.48,78.07,97468.3,31,一级
新疆维吾尔自治区,五家渠市,2013-03-11,19.72,27.25,5.93,11.9,0.71,70.58,0.04,-0.45,264.11,89.01,97388.66,36,一级
新疆维吾尔自治区,五家渠市,2013-03-12,17.34,23.52,3.04,11.12,0.71,64.96,-0.01,-1.16,266.78,86.82,97001.26,33,一级
新疆维吾尔自治区,五家渠市,2013-03-13,24.87,30.96,1.54,20.3,0.86,56.89,1.03,-1.18,269.31,89.72,96833.9,36,一级
新疆维吾尔自治区,五家渠市,2013-03-14,57.48,72.03,8.26,42.01,2.47,36.95,0.69,-0.16,271.72,85.74,96943.01,79,二级
