province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-01,3.76,4.18,1.36,1.3,0.18,77.42,5.05,-1.86,262.76,30.64,69647.92,39,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-02,1.49,1.7,0.58,1.3,0.18,66.8,3.47,-3.49,258.9,41.56,70087.57,34,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-03,3.16,3.51,1.12,1.15,0.17,69.69,4.54,-0.36,257.5,53.69,69932.6,35,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-04,2.3,2.6,0.87,0.95,0.18,72.59,6.87,-2.98,256.35,47.36,69700.52,37,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-05,2.72,3.05,0.97,0.85,0.17,71.81,7.01,-3.42,258.18,40.39,69788.54,36,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-06,3.69,4.11,1.23,1.07,0.17,70.86,4.11,-0.33,259.3,37.33,69901.44,36,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-07,4.12,4.58,1.32,1.05,0.18,72.98,3.59,-1.58,259.64,41.5,69959.8,37,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-08,4.02,4.49,1.32,0.99,0.17,70.82,3.93,-1.03,259.62,45.27,69982.97,36,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-09,3.57,3.99,1.17,0.96,0.18,68.75,4.32,-2.68,261.58,45.81,69955.1,35,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-10,2.43,2.76,0.89,0.84,0.17,73.93,3.97,-1.25,261.97,46.07,70083.73,37,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-11,3.06,3.43,1.05,0.99,0.17,71.66,6.69,-0.1,263.77,51.15,69982.14,36,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-12,3.27,3.66,1.07,1.6,0.21,73.4,5.85,-1.95,262.91,56.63,69537.53,37,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-13,0.33,0.41,0.16,0.71,0.17,73.87,6.83,-8.64,259.49,34.96,69951.48,37,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-14,1.52,1.76,0.64,0.84,0.15,68.11,3.7,-0.58,259.85,36.99,70144.37,35,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-15,3.22,3.59,1.12,1.14,0.17,72.91,3.67,0.87,260.29,50.29,69981.41,37,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-16,4.07,4.5,1.33,1.06,0.18,71.94,5.04,-0.88,260.37,54.03,70083.5,36,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-17,4.8,5.27,1.35,0.88,0.18,70.87,1.98,-0.67,259.45,58.1,70196.48,36,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-18,5.72,6.27,1.59,0.98,0.17,73.65,1.22,-0.14,258.77,66.86,69932.31,37,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-19,3.69,4.08,1.11,0.74,0.16,72.86,3.38,-3.45,260.72,43.32,69934.85,37,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-20,4.12,4.58,1.25,0.87,0.17,67.95,5.23,-1.27,260.19,49.41,70097.41,34,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-21,3.93,4.37,1.16,0.92,0.16,65.09,6.07,-1.94,262.31,35.95,70174.95,33,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-22,4.36,4.84,1.3,1.26,0.18,68.31,5.61,0.36,263.3,43.36,70112.68,35,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-23,2.18,2.46,0.71,1.24,0.19,65.18,4.91,-3.09,261.9,47.61,70144.15,33,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-24,3.51,3.93,1.09,0.87,0.17,68.45,3.28,-1.41,263.33,34.6,70392.62,35,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-25,4.45,4.95,1.36,1.0,0.17,68.41,4.87,-1.05,264.3,44.4,70327.17,35,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-26,2.06,2.33,0.66,0.69,0.16,66.44,5.42,-3.15,265.11,45.64,70426.82,34,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-27,3.38,3.81,1.11,0.94,0.16,64.06,5.23,-0.98,265.49,50.3,70345.93,33,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-28,1.78,2.01,0.63,0.81,0.17,67.12,8.1,-5.36,265.73,49.32,70194.87,34,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-29,0.83,0.97,0.35,0.57,0.14,67.15,8.25,-3.94,266.87,40.44,70094.62,34,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-30,1.24,1.42,0.48,0.68,0.15,67.88,6.91,-3.69,268.39,47.63,69940.43,34,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-01-31,3.01,3.39,1.07,1.1,0.18,67.45,5.9,-1.64,268.56,55.64,70094.46,34,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-01,4.39,4.89,1.38,1.13,0.18,65.1,3.56,0.45,266.74,53.92,70374.24,33,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-02,5.57,6.16,1.64,1.43,0.19,65.69,5.73,0.7,267.27,53.61,69915.89,33,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-03,1.37,1.57,0.53,0.92,0.18,64.85,4.37,-1.9,267.39,46.01,69844.72,33,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-04,6.07,6.63,1.77,1.33,0.19,64.06,-0.19,2.0,264.82,64.28,69817.72,33,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-05,8.22,8.82,1.9,1.07,0.19,65.94,-0.46,0.03,262.77,71.39,69971.19,33,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-06,4.07,4.4,1.13,0.68,0.17,66.9,3.9,-5.97,261.46,58.78,70044.09,34,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-07,2.22,2.47,1.01,0.59,0.16,72.09,1.91,-4.71,263.54,29.13,70698.91,37,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-08,2.54,2.85,0.98,0.75,0.16,78.65,6.03,-2.46,266.4,23.98,70355.63,40,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-09,0.79,0.9,0.37,0.5,0.16,68.45,9.37,-7.67,266.66,40.41,69812.78,35,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-10,3.6,4.02,1.17,1.11,0.19,59.46,3.42,-0.67,261.85,66.26,70039.53,30,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-11,6.36,7.01,1.95,1.41,0.19,53.74,0.96,0.88,257.94,80.13,70390.74,27,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-12,4.31,4.72,1.32,0.98,0.17,65.35,3.41,-0.68,260.23,62.43,70273.52,33,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-13,2.87,3.21,0.99,0.79,0.17,73.93,3.89,-3.42,263.35,45.75,70079.18,37,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-14,2.64,2.97,0.86,0.73,0.16,73.95,4.45,-2.17,263.01,50.4,70120.84,37,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-15,1.57,1.76,0.56,0.5,0.16,74.92,5.18,-6.65,264.02,38.04,69892.18,38,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-16,0.94,1.08,0.39,0.44,0.15,82.45,3.25,-5.99,262.54,31.22,69794.74,42,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-17,3.18,3.55,1.09,0.78,0.16,73.9,2.44,-0.12,259.82,50.15,69792.29,37,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-18,3.99,4.43,1.35,1.04,0.17,59.9,4.83,-0.33,261.41,59.27,69874.54,30,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-19,3.23,3.64,1.22,1.03,0.18,61.08,5.16,-0.74,263.1,55.8,70007.46,31,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-20,3.69,4.13,1.26,1.07,0.18,60.4,5.29,-0.38,263.06,54.08,70186.38,31,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-21,3.66,4.08,1.17,1.04,0.17,60.55,3.21,1.22,263.62,51.02,70285.29,31,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2013-02-22,4.65,5.14,1.33,1.0,0.17,63.05,1.89,0.32,263.54,60.05,70061.86,32,一级
