province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
新疆维吾尔自治区,克拉玛依市,2013-01-01,12.38,14.34,14.62,8.75,0.24,58.89,-1.88,-1.24,258.31,61.1,98110.73,30,一级
新疆维吾尔自治区,克拉玛依市,2013-01-02,9.77,11.14,9.39,5.95,0.23,55.69,-1.96,-1.44,257.46,68.38,99104.75,28,一级
新疆维吾尔自治区,克拉玛依市,2013-01-03,10.87,12.72,13.2,8.01,0.23,44.13,-2.23,-2.05,257.36,64.87,98775.62,23,一级
新疆维吾尔自治区,克拉玛依市,2013-01-04,15.3,17.76,19.01,11.1,0.25,47.48,-0.73,-0.02,255.1,69.31,98577.63,24,一级
新疆维吾尔自治区,克拉玛依市,2013-01-05,15.75,17.79,14.27,8.02,0.25,51.36,0.45,0.79,255.41,72.72,98648.56,26,一级
新疆维吾尔自治区,克拉玛依市,2013-01-06,14.4,15.99,11.58,6.58,0.26,45.0,-2.52,-1.79,255.13,73.11,98884.22,23,一级
新疆维吾尔自治区,克拉玛依市,2013-01-07,15.1,17.13,16.34,9.51,0.27,47.46,-1.73,-1.04,255.04,73.87,98792.03,24,一级
新疆维吾尔自治区,克拉玛依市,2013-01-08,13.99,16.13,16.98,9.8,0.26,53.64,-1.59,-1.27,256.71,67.37,98555.52,27,一级
新疆维吾尔自治区,克拉玛依市,2013-01-09,11.84,13.72,13.99,8.38,0.23,57.54,-1.11,-0.36,257.56,68.44,98179.09,29,一级
新疆维吾尔自治区,克拉玛依市,2013-01-10,10.17,11.67,10.33,6.43,0.21,51.97,-2.41,-1.96,259.94,81.51,98412.9,26,一级
新疆维吾尔自治区,克拉玛依市,2013-01-11,12.09,14.15,15.4,8.78,0.23,52.27,-1.9,-1.42,260.19,81.82,98017.21,27,一级
新疆维吾尔自治区,克拉玛依市,2013-01-12,10.63,12.39,12.8,7.52,0.22,55.99,-0.93,-1.5,261.64,65.35,97355.6,28,一级
新疆维吾尔自治区,克拉玛依市,2013-01-13,6.08,7.16,7.72,5.47,0.25,52.39,2.82,-0.34,269.1,74.92,98125.3,27,一级
新疆维吾尔自治区,克拉玛依市,2013-01-14,10.87,12.54,12.28,8.02,0.27,43.63,-1.8,-1.64,263.49,84.26,98609.44,22,一级
新疆维吾尔自治区,克拉玛依市,2013-01-15,10.21,11.96,12.41,7.99,0.25,47.02,-2.09,-2.5,262.68,81.57,98190.21,24,一级
新疆维吾尔自治区,克拉玛依市,2013-01-16,12.16,14.14,14.32,8.97,0.24,51.85,-0.23,-0.06,261.43,70.19,98332.96,26,一级
新疆维吾尔自治区,克拉玛依市,2013-01-17,12.96,14.59,12.23,7.33,0.24,47.2,-1.14,-0.29,260.69,79.43,98961.17,24,一级
新疆维吾尔自治区,克拉玛依市,2013-01-18,13.04,14.69,12.38,7.44,0.24,47.33,-1.24,-0.6,258.56,80.03,98722.57,24,一级
新疆维吾尔自治区,克拉玛依市,2013-01-19,17.7,19.88,17.24,9.68,0.25,46.61,-1.03,-0.53,258.42,79.45,98565.47,26,一级
新疆维吾尔自治区,克拉玛依市,2013-01-20,12.21,14.07,14.58,8.82,0.24,49.06,-1.7,-1.28,258.97,83.31,98687.14,25,一级
新疆维吾尔自治区,克拉玛依市,2013-01-21,15.42,17.91,19.5,10.72,0.26,52.74,-0.48,-0.11,259.68,77.78,98406.29,27,一级
新疆维吾尔自治区,克拉玛依市,2013-01-22,13.31,15.15,13.98,7.75,0.23,53.26,-2.48,-1.96,261.59,78.31,98159.41,27,一级
新疆维吾尔自治区,克拉玛依市,2013-01-23,12.94,14.71,13.5,7.66,0.23,54.53,-1.67,-1.02,261.3,78.77,98513.66,28,一级
新疆维吾尔自治区,克拉玛依市,2013-01-24,13.21,14.99,13.66,7.8,0.23,55.93,-1.59,-0.92,261.13,79.14,98532.36,28,一级
新疆维吾尔自治区,克拉玛依市,2013-01-25,14.46,16.38,14.99,8.18,0.23,53.78,-1.98,-1.33,262.79,77.16,98324.04,27,一级
新疆维吾尔自治区,克拉玛依市,2013-01-26,14.85,16.89,16.35,9.0,0.23,56.97,-1.15,-0.36,263.15,73.34,98375.05,29,一级
新疆维吾尔自治区,克拉玛依市,2013-01-27,13.67,15.6,14.72,7.87,0.23,55.45,-1.72,-1.45,265.56,86.04,98231.08,28,一级
新疆维吾尔自治区,克拉玛依市,2013-01-28,15.39,17.56,16.66,8.72,0.24,55.3,-0.51,-0.13,265.27,85.19,97586.41,28,一级
新疆维吾尔自治区,克拉玛依市,2013-01-29,9.35,10.52,9.96,5.57,0.24,45.92,-2.42,-1.53,264.27,80.42,98216.57,23,一级
新疆维吾尔自治区,克拉玛依市,2013-01-30,9.37,10.92,11.97,7.43,0.24,49.07,-0.41,0.25,261.08,84.71,98266.86,25,一级
新疆维吾尔自治区,克拉玛依市,2013-01-31,9.2,10.82,12.18,7.44,0.24,48.84,-2.7,-2.41,258.86,76.08,98661.09,25,一级
新疆维吾尔自治区,克拉玛依市,2013-02-01,10.35,12.17,13.7,8.73,0.24,53.83,-2.55,-1.49,257.49,71.68,98863.76,27,一级
新疆维吾尔自治区,克拉玛依市,2013-02-02,9.75,11.32,11.72,7.66,0.22,61.53,-1.44,-0.87,260.46,65.15,97651.05,31,一级
新疆维吾尔自治区,克拉玛依市,2013-02-03,11.08,12.95,13.54,8.98,0.22,58.85,-1.06,0.01,262.39,71.81,97731.07,30,一级
新疆维吾尔自治区,克拉玛依市,2013-02-04,10.67,12.2,10.93,6.86,0.21,54.03,-2.05,-1.62,264.48,83.73,98007.96,28,一级
新疆维吾尔自治区,克拉玛依市,2013-02-05,15.08,17.38,17.33,9.9,0.24,53.37,-0.99,-0.75,262.82,84.6,98489.06,27,一级
新疆维吾尔自治区,克拉玛依市,2013-02-06,16.09,18.03,13.48,7.87,0.24,57.21,0.22,0.28,262.28,88.83,98817.73,29,一级
新疆维吾尔自治区,克拉玛依市,2013-02-07,12.68,14.04,9.73,5.02,0.24,52.0,-2.61,-2.19,262.61,88.45,99149.64,26,一级
新疆维吾尔自治区,克拉玛依市,2013-02-08,11.61,13.06,11.39,6.34,0.25,49.87,-2.56,-2.65,261.62,86.15,98401.89,25,一级
新疆维吾尔自治区,克拉玛依市,2013-02-09,9.45,10.48,9.12,4.37,0.24,54.49,1.77,-0.45,262.46,73.4,98470.55,28,一级
新疆维吾尔自治区,克拉玛依市,2013-02-10,10.68,11.92,10.99,5.14,0.25,46.2,-2.23,-2.35,258.04,81.1,99462.76,24,一级
新疆维吾尔自治区,克拉玛依市,2013-02-11,14.29,16.16,16.43,7.96,0.26,47.83,-1.51,-1.08,255.09,79.04,99761.21,24,一级
新疆维吾尔自治区,克拉玛依市,2013-02-12,19.34,21.33,16.34,7.96,0.26,49.62,-1.65,-0.36,255.5,76.62,98993.73,28,一级
新疆维吾尔自治区,克拉玛依市,2013-02-13,14.54,16.01,11.98,6.05,0.24,49.7,-2.3,-1.89,257.23,81.08,99144.16,25,一级
新疆维吾尔自治区,克拉玛依市,2013-02-14,13.67,15.59,15.62,8.59,0.26,51.74,-2.11,-1.79,255.64,78.1,98729.29,26,一级
新疆维吾尔自治区,克拉玛依市,2013-02-15,15.68,17.27,12.92,6.78,0.24,58.81,-0.18,0.15,256.11,69.78,98136.14,30,一级
新疆维吾尔自治区,克拉玛依市,2013-02-16,8.76,9.74,8.13,4.83,0.25,56.22,-1.61,-2.05,257.17,69.42,99162.76,29,一级
