province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
新疆维吾尔自治区,图木舒克市,2013-01-01,24.69,27.03,7.41,3.02,0.3,70.42,3.01,0.82,262.29,73.02,89291.13,36,一级
新疆维吾尔自治区,图木舒克市,2013-01-02,26.45,28.9,6.86,2.66,0.32,63.36,1.12,-0.15,262.08,75.7,90017.36,38,一级
新疆维吾尔自治区,图木舒克市,2013-01-03,20.46,22.36,8.27,3.17,0.28,59.45,0.41,-0.8,259.35,79.01,90108.72,30,一级
新疆维吾尔自治区,图木舒克市,2013-01-04,20.77,22.71,6.5,2.67,0.29,63.89,2.7,1.2,260.05,79.18,89805.28,32,一级
新疆维吾尔自治区,图木舒克市,2013-01-05,23.03,25.1,6.31,2.29,0.29,63.34,2.31,1.43,261.13,78.84,89796.13,33,一级
新疆维吾尔自治区,图木舒克市,2013-01-06,19.68,21.41,5.68,1.87,0.27,60.18,0.52,0.59,261.25,79.09,89941.79,31,一级
新疆维吾尔自治区,图木舒克市,2013-01-07,20.88,22.84,5.16,2.24,0.28,64.66,3.43,1.42,262.03,77.02,89934.06,33,一级
新疆维吾尔自治区,图木舒克市,2013-01-08,21.33,23.29,5.81,2.13,0.27,67.74,1.26,0.88,261.61,79.72,89992.86,34,一级
新疆维吾尔自治区,图木舒克市,2013-01-09,27.02,29.54,6.08,2.31,0.31,65.87,4.3,2.17,261.88,75.7,89745.33,39,一级
新疆维吾尔自治区,图木舒克市,2013-01-10,28.72,31.39,6.85,2.4,0.32,67.14,3.23,1.27,262.83,72.13,89878.06,42,一级
新疆维吾尔自治区,图木舒克市,2013-01-11,20.64,22.56,5.99,2.35,0.27,69.46,2.04,0.75,262.82,77.54,89746.29,35,一级
新疆维吾尔自治区,图木舒克市,2013-01-12,19.6,21.47,6.2,2.66,0.26,65.6,1.73,0.53,262.66,82.62,89132.16,33,一级
新疆维吾尔自治区,图木舒克市,2013-01-13,7.93,8.84,2.58,2.19,0.23,62.06,1.06,-0.99,270.1,49.38,89479.67,32,一级
新疆维吾尔自治区,图木舒克市,2013-01-14,12.7,13.98,4.34,2.5,0.24,53.91,-2.86,-1.3,266.97,77.35,90047.62,27,一级
新疆维吾尔自治区,图木舒克市,2013-01-15,13.43,14.74,5.78,2.48,0.24,60.18,-0.15,-0.53,265.52,83.38,89902.33,31,一级
新疆维吾尔自治区,图木舒克市,2013-01-16,12.61,13.84,5.13,2.42,0.24,65.9,1.72,0.86,266.64,75.82,89951.98,33,一级
新疆维吾尔自治区,图木舒克市,2013-01-17,11.93,13.08,4.44,1.88,0.23,64.28,-0.16,-0.38,267.58,68.13,90114.11,33,一级
新疆维吾尔自治区,图木舒克市,2013-01-18,11.11,12.19,4.44,2.0,0.22,60.52,0.45,-0.77,267.93,65.83,89831.47,31,一级
新疆维吾尔自治区,图木舒克市,2013-01-19,24.15,26.5,5.78,2.42,0.3,60.43,4.28,1.83,268.71,70.44,89639.58,35,一级
新疆维吾尔自治区,图木舒克市,2013-01-20,24.3,26.48,6.09,1.85,0.29,56.68,-1.58,-1.05,267.68,68.48,89954.87,35,一级
新疆维吾尔自治区,图木舒克市,2013-01-21,18.35,19.99,5.41,1.98,0.26,50.85,-0.72,-0.23,268.11,59.6,89922.23,27,一级
新疆维吾尔自治区,图木舒克市,2013-01-22,13.36,14.59,4.45,1.68,0.22,53.8,-0.03,0.36,269.41,52.43,89793.53,27,一级
新疆维吾尔自治区,图木舒克市,2013-01-23,13.96,15.3,4.37,1.95,0.22,58.16,0.81,0.45,270.28,50.35,89786.66,30,一级
新疆维吾尔自治区,图木舒克市,2013-01-24,12.7,13.94,4.41,1.78,0.22,52.86,-0.66,-0.15,270.11,52.15,90093.79,27,一级
新疆维吾尔自治区,图木舒克市,2013-01-25,11.17,12.26,3.77,1.63,0.21,56.11,0.68,1.18,270.87,46.84,89948.64,29,一级
新疆维吾尔自治区,图木舒克市,2013-01-26,15.46,17.0,3.99,1.69,0.24,53.52,2.09,1.67,272.17,46.05,89909.08,27,一级
新疆维吾尔自治区,图木舒克市,2013-01-27,13.17,14.46,3.74,1.6,0.22,45.92,-2.57,-1.23,270.84,43.64,89902.48,23,一级
新疆维吾尔自治区,图木舒克市,2013-01-28,13.42,14.85,4.17,2.11,0.23,51.05,3.82,1.03,273.45,38.79,89480.65,26,一级
新疆维吾尔自治区,图木舒克市,2013-01-29,15.14,16.68,4.91,2.2,0.24,46.48,-2.17,-0.98,272.68,38.01,89370.92,24,一级
新疆维吾尔自治区,图木舒克市,2013-01-30,13.34,14.67,4.65,2.07,0.23,48.15,-1.45,-0.43,273.14,39.26,89085.4,25,一级
新疆维吾尔自治区,图木舒克市,2013-01-31,13.64,14.98,4.27,2.17,0.23,42.11,-3.47,-1.47,272.38,45.21,89362.05,22,一级
新疆维吾尔自治区,图木舒克市,2013-02-01,11.56,12.69,3.74,1.86,0.21,41.54,-3.61,-1.72,272.49,37.26,89859.46,21,一级
新疆维吾尔自治区,图木舒克市,2013-02-02,10.43,11.49,4.14,2.1,0.2,39.88,-0.76,0.12,272.13,40.65,89269.97,20,一级
新疆维吾尔自治区,图木舒克市,2013-02-03,13.06,14.52,3.61,2.14,0.24,40.38,1.82,1.98,275.12,34.4,88993.71,21,一级
新疆维吾尔自治区,图木舒克市,2013-02-04,12.06,13.35,4.58,2.62,0.22,35.14,-3.42,-1.85,272.18,46.72,89253.45,18,一级
新疆维吾尔自治区,图木舒克市,2013-02-05,16.63,18.27,7.02,3.01,0.24,47.6,-2.26,-1.97,272.62,45.71,89500.96,24,一级
新疆维吾尔自治区,图木舒克市,2013-02-06,15.02,16.5,6.5,2.7,0.22,51.56,-1.95,-1.71,272.99,59.12,89581.0,26,一级
新疆维吾尔自治区,图木舒克市,2013-02-07,13.1,14.35,5.16,1.94,0.2,54.48,-1.12,-0.26,273.59,75.55,90334.47,28,一级
新疆维吾尔自治区,图木舒克市,2013-02-08,10.03,10.93,3.46,1.25,0.19,53.19,3.76,3.08,274.93,47.59,89747.21,27,一级
新疆维吾尔自治区,图木舒克市,2013-02-09,11.7,12.93,3.74,1.85,0.22,51.68,0.43,0.62,274.6,34.02,88949.06,26,一级
新疆维吾尔自治区,图木舒克市,2013-02-10,9.67,10.56,3.14,1.78,0.19,39.53,-6.36,-2.73,271.31,57.92,89763.73,20,一级
新疆维吾尔自治区,图木舒克市,2013-02-11,6.75,7.47,3.2,1.57,0.18,50.64,-5.23,-1.58,269.61,62.81,90517.33,26,一级
新疆维吾尔自治区,图木舒克市,2013-02-12,5.82,6.44,3.33,1.48,0.18,64.69,2.7,1.61,270.73,53.49,90162.29,33,一级
新疆维吾尔自治区,图木舒克市,2013-02-13,12.95,14.33,3.8,1.95,0.23,55.94,4.04,1.91,273.38,49.7,89584.68,28,一级
新疆维吾尔自治区,图木舒克市,2013-02-14,10.3,11.39,3.78,1.68,0.21,50.06,-2.31,-0.51,272.03,51.77,89745.4,26,一级
新疆维吾尔自治区,图木舒克市,2013-02-15,7.05,7.84,3.29,1.61,0.19,56.43,1.39,0.33,274.22,44.42,89214.81,29,一级
新疆维吾尔自治区,图木舒克市,2013-02-16,7.27,8.06,3.02,1.49,0.19,59.12,-3.96,-2.72,273.77,38.98,89185.92,30,一级
新疆维吾尔自治区,图木舒克市,2013-02-17,6.52,7.24,2.78,1.56,0.18,48.26,-6.27,-2.39,270.31,40.71,89587.44,25,一级
新疆维吾尔自治区,图木舒克市,2013-02-18,6.04,6.75,3.04,1.44,0.18,50.24,-3.91,-1.41,269.3,39.21,89686.87,26,一级
新疆维吾尔自治区,图木舒克市,2013-02-19,5.77,6.46,3.39,1.48,0.18,54.3,-1.07,0.64,271.95,33.6,89657.53,28,一级
新疆维吾尔自治区,图木舒克市,2013-02-20,5.9,6.6,2.8,1.25,0.18,46.92,-2.04,0.22,273.0,31.58,89844.06,24,一级
新疆维吾尔自治区,图木舒克市,2013-02-21,6.21,6.91,2.55,1.16,0.19,47.87,-3.48,-0.91,273.2,31.56,89956.7,24,一级
新疆维吾尔自治区,图木舒克市,2013-02-22,7.0,7.79,3.05,1.48,0.19,47.95,-1.32,0.52,274.48,30.23,89614.04,24,一级
新疆维吾尔自治区,图木舒克市,2013-02-23,4.65,5.24,2.34,1.18,0.18,51.24,0.26,1.29,275.77,24.95,89495.91,26,一级
新疆维吾尔自治区,图木舒克市,2013-02-24,7.44,8.33,3.09,1.67,0.2,55.69,2.64,1.44,276.96,26.88,89442.28,28,一级
新疆维吾尔自治区,图木舒克市,2013-02-25,10.94,12.23,4.21,2.15,0.22,50.44,-1.17,-1.27,278.0,29.68,89541.99,26,一级
新疆维吾尔自治区,图木舒克市,2013-02-26,6.35,7.16,2.64,1.57,0.19,44.28,-4.5,-1.1,277.98,30.14,89544.52,23,一级
新疆维吾尔自治区,图木舒克市,2013-02-27,8.54,9.52,3.55,1.81,0.2,44.62,-5.33,-1.93,277.49,36.7,89081.62,23,一级
新疆维吾尔自治区,图木舒克市,2013-02-28,18.94,19.83,3.65,1.78,0.19,46.88,-6.08,-3.18,276.58,51.06,89248.17,28,一级
新疆维吾尔自治区,图木舒克市,2013-03-01,23.14,24.14,4.02,2.08,0.2,48.8,1.0,0.19,277.28,48.97,89886.63,34,一级
新疆维吾尔自治区,图木舒克市,2013-03-02,18.38,19.34,3.36,1.81,0.2,51.28,-0.76,0.21,278.71,35.56,90234.13,27,一级
新疆维吾尔自治区,图木舒克市,2013-03-03,22.16,23.01,2.99,1.5,0.19,50.63,-0.84,0.74,279.81,27.53,89999.67,32,一级
新疆维吾尔自治区,图木舒克市,2013-03-04,18.87,19.72,2.9,1.67,0.19,50.26,2.1,0.82,281.1,23.97,89488.37,27,一级
新疆维吾尔自治区,图木舒克市,2013-03-05,2.79,3.13,1.32,1.04,0.17,63.82,0.74,-2.46,285.42,19.63,89783.07,32,一级
新疆维吾尔自治区,图木舒克市,2013-03-06,9.85,10.76,3.11,1.76,0.19,51.78,-2.24,-0.66,282.95,26.03,89927.05,26,一级
新疆维吾尔自治区,图木舒克市,2013-03-07,6.57,7.2,2.42,1.34,0.17,61.1,0.57,1.31,285.42,19.43,89397.36,31,一级
新疆维吾尔自治区,图木舒克市,2013-03-08,6.82,7.6,2.64,1.5,0.18,61.2,1.09,0.54,286.54,18.71,88847.29,31,一级
新疆维吾尔自治区,图木舒克市,2013-03-09,34.82,35.38,2.55,1.44,0.17,49.52,-9.7,-4.1,282.01,32.47,88971.7,50,一级
新疆维吾尔自治区,图木舒克市,2013-03-10,63.36,64.18,3.61,1.77,0.18,49.6,-0.98,-0.6,280.3,30.91,89092.15,86,二级
新疆维吾尔自治区,图木舒克市,2013-03-11,74.76,75.59,3.32,1.61,0.18,46.71,-0.15,1.24,281.63,28.2,89311.06,100,二级
新疆维吾尔自治区,图木舒克市,2013-03-12,57.44,58.36,3.04,1.58,0.19,43.45,-3.26,-0.93,282.22,21.88,89210.72,79,二级
新疆维吾尔自治区,图木舒克市,2013-03-13,52.24,53.04,2.62,1.48,0.18,45.73,-2.64,-0.18,283.24,21.43,89168.26,72,二级
新疆维吾尔自治区,图木舒克市,2013-03-14,38.23,38.93,2.48,1.29,0.17,49.28,-1.98,-0.18,284.37,20.66,89145.8,55,二级
新疆维吾尔自治区,图木舒克市,2013-03-15,22.88,23.56,2.23,1.14,0.17,52.26,-2.02,1.08,284.85,27.93,89374.77,33,一级
新疆维吾尔自治区,图木舒克市,2013-03-16,20.75,21.55,2.49,1.33,0.17,52.5,-4.99,-0.1,285.22,28.26,89685.44,30,一级
新疆维吾尔自治区,图木舒克市,2013-03-17,18.74,19.5,2.38,1.23,0.17,51.88,-5.34,-0.58,284.72,25.15,89864.61,27,一级
新疆维吾尔自治区,图木舒克市,2013-03-18,16.22,17.05,2.8,1.34,0.17,56.33,-4.41,-0.7,284.66,21.44,89319.49,29,一级
新疆维吾尔自治区,图木舒克市,2013-03-19,12.83,13.51,2.33,1.28,0.16,61.98,0.7,0.82,286.61,21.23,88869.66,31,一级
新疆维吾尔自治区,图木舒克市,2013-03-20,8.09,8.74,2.22,1.28,0.17,63.91,1.35,0.23,288.23,20.33,88827.98,32,一级
新疆维吾尔自治区,图木舒克市,2013-03-21,7.63,8.15,1.89,1.16,0.16,58.08,-5.69,-1.2,287.63,16.59,88843.44,30,一级
新疆维吾尔自治区,图木舒克市,2013-03-22,8.34,8.83,1.73,0.98,0.16,60.52,-6.45,-2.34,287.9,24.13,88989.02,31,一级
新疆维吾尔自治区,图木舒克市,2013-03-23,10.24,10.83,2.11,1.23,0.16,56.56,-7.03,-2.28,286.74,27.56,88821.22,29,一级
新疆维吾尔自治区,图木舒克市,2013-03-24,16.17,16.87,2.49,1.34,0.16,59.97,-6.51,-1.54,287.56,25.76,89049.53,30,一级
新疆维吾尔自治区,图木舒克市,2013-03-25,24.62,25.28,2.45,1.31,0.16,57.12,-7.06,-1.88,287.33,24.87,89305.06,36,一级
新疆维吾尔自治区,图木舒克市,2013-03-26,85.15,85.58,1.83,0.91,0.15,60.4,-0.6,0.89,287.93,25.92,89178.87,113,三级
新疆维吾尔自治区,图木舒克市,2013-03-27,72.84,73.48,2.16,1.16,0.16,61.64,-2.41,0.35,289.35,26.4,89093.72,98,二级
新疆维吾尔自治区,图木舒克市,2013-03-28,27.07,27.67,2.04,1.2,0.16,59.33,-3.84,-0.88,289.53,27.25,89253.62,39,一级
新疆维吾尔自治区,图木舒克市,2013-03-29,24.74,25.45,2.31,1.31,0.17,61.72,-3.46,0.39,290.4,24.21,89026.41,36,一级
新疆维吾尔自治区,图木舒克市,2013-03-30,21.5,22.06,1.8,1.01,0.16,60.85,-4.34,0.14,291.75,17.34,88967.44,31,一级
新疆维吾尔自治区,图木舒克市,2013-03-31,14.23,14.81,1.92,1.12,0.16,61.7,-7.52,-2.26,291.23,22.93,89034.02,31,一级
新疆维吾尔自治区,图木舒克市,2013-04-01,36.02,36.63,2.09,1.19,0.16,52.19,-7.83,-2.4,289.79,23.17,88844.55,52,二级
