province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
新疆维吾尔自治区,昌吉回族自治州,2013-01-01,16.91,19.35,3.9,8.33,0.42,62.77,-2.5,0.79,263.27,44.52,90019.48,32,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-02,24.37,26.6,7.66,13.71,0.7,53.84,-2.62,1.11,260.64,51.79,90920.74,35,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-03,23.38,23.34,3.39,10.17,0.46,54.1,-3.13,1.73,260.62,50.85,90508.51,34,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-04,20.06,20.57,5.61,11.43,0.46,51.57,-1.32,1.17,259.14,52.23,90339.18,29,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-05,31.49,34.73,11.1,16.56,0.68,45.53,1.73,0.76,257.68,58.19,90428.8,45,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-06,25.7,26.38,9.21,12.55,0.68,46.72,0.01,0.78,258.29,65.37,90629.64,37,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-07,16.23,17.59,3.38,7.89,0.35,57.15,-0.5,0.5,260.01,52.35,90565.23,29,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-08,14.72,21.03,9.37,9.96,0.41,59.32,-2.01,1.36,261.99,46.83,90384.54,30,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-09,26.84,41.39,31.31,10.93,0.68,55.64,-0.05,0.91,262.31,50.71,90102.18,42,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-10,21.53,24.25,7.39,9.32,0.57,54.41,0.07,0.53,263.99,64.59,90364.19,31,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-11,18.73,20.54,2.47,5.71,0.42,60.69,-0.72,1.5,265.02,43.39,90015.3,31,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-12,20.1,23.49,3.96,5.36,0.55,62.01,-1.36,1.89,266.57,38.68,89389.72,32,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-13,18.33,16.25,6.83,11.18,0.53,49.5,3.12,-0.15,264.82,74.69,90259.3,27,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-14,11.76,10.02,3.15,6.0,0.38,55.6,-0.61,1.22,265.01,66.88,90586.67,28,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-15,16.55,16.76,2.94,4.12,0.49,59.95,-2.05,2.21,266.3,49.51,90172.5,30,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-16,21.14,19.19,3.66,7.74,0.52,57.48,0.25,2.04,264.9,51.54,90348.96,31,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-17,18.53,17.82,5.85,10.54,0.5,53.92,0.03,0.8,263.55,56.68,90847.49,27,一级
新疆维吾尔自治区,昌吉回族自治州,2013-01-18,18.08,19.18,4.99,10.68,0.4,56.18,-0.21,0.67,262.86,61.62,90587.73,29,一级
