province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
新疆维吾尔自治区,阿勒泰地区,2013-01-01,1.31,1.52,0.85,0.83,0.19,65.15,-4.67,2.28,262.83,42.56,88572.37,33,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-02,1.22,1.39,0.76,0.82,0.17,60.83,-4.81,3.64,260.07,45.56,89430.71,31,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-03,1.37,1.53,0.89,0.75,0.17,60.91,-5.98,3.27,260.85,47.08,89088.52,31,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-04,2.21,2.44,1.19,0.88,0.18,59.63,-4.1,2.43,260.43,49.38,88855.27,30,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-05,4.38,4.72,2.01,1.45,0.19,57.32,-2.32,2.77,257.92,56.63,88821.7,29,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-06,9.2,9.72,4.56,2.21,0.22,53.4,-2.21,1.86,254.88,72.86,89043.37,27,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-07,4.18,4.49,1.98,1.04,0.2,60.07,-3.83,2.13,257.88,52.39,89034.09,31,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-08,1.89,2.1,0.99,0.81,0.19,62.23,-5.07,3.93,260.98,48.64,88891.33,32,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-09,2.34,2.64,1.11,0.97,0.18,59.85,-3.14,3.45,261.26,66.17,88547.57,30,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-10,3.83,4.15,1.84,1.14,0.19,61.42,-2.92,1.76,260.59,71.71,88822.3,31,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-11,2.18,2.38,1.11,0.89,0.18,65.82,-4.23,3.22,263.6,51.83,88538.35,33,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-12,1.76,1.97,0.97,0.85,0.18,67.04,-5.42,3.81,266.37,39.19,87961.59,34,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-13,4.32,4.52,1.73,1.58,0.19,59.03,0.09,2.58,262.31,71.44,88590.34,30,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-14,5.14,5.44,2.26,1.82,0.23,53.7,-2.03,2.49,261.17,86.14,89050.53,27,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-15,1.72,1.87,0.88,0.92,0.2,60.61,-5.79,4.11,264.21,63.55,88735.08,31,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-16,2.08,2.19,0.88,0.92,0.17,60.02,-3.72,5.27,264.64,53.94,88789.55,31,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-17,3.44,3.7,1.42,1.21,0.18,55.98,-1.24,3.94,261.01,76.3,89257.29,28,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-18,3.15,3.43,1.43,1.09,0.19,59.45,-1.85,3.64,260.1,78.28,89018.65,30,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-19,3.76,4.11,1.79,1.14,0.19,61.85,-0.64,1.26,260.0,79.44,88859.34,31,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-20,3.01,3.29,1.43,0.94,0.19,62.99,-4.14,2.77,260.67,63.02,89038.75,32,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-21,2.76,2.98,1.24,1.01,0.18,60.6,-3.79,3.75,262.85,59.79,88816.7,31,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-22,4.62,4.99,1.8,1.16,0.18,59.45,-3.31,2.69,263.0,71.76,88679.89,30,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-23,2.84,3.13,1.31,0.91,0.18,63.3,-4.24,3.2,264.43,51.81,88996.65,32,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-24,2.63,2.91,1.18,0.99,0.18,62.16,-3.27,4.06,264.69,57.99,89010.53,32,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-25,3.71,4.08,1.72,1.11,0.19,65.12,-3.44,2.57,266.5,61.41,88894.19,33,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-26,2.69,2.94,1.25,0.99,0.19,66.37,-2.94,3.37,267.58,63.73,88932.87,34,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-27,4.35,4.7,1.86,1.15,0.2,64.32,-3.22,3.35,267.46,77.34,88859.62,33,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-28,3.83,4.15,1.99,1.13,0.2,61.6,-2.08,4.82,268.22,74.02,88230.28,31,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-29,3.78,4.04,3.94,1.55,0.22,56.49,0.21,-1.85,259.6,74.25,88584.55,29,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-30,3.14,3.39,2.81,1.22,0.2,66.28,0.52,-1.29,256.84,71.19,88487.11,34,一级
新疆维吾尔自治区,阿勒泰地区,2013-01-31,2.45,2.68,1.83,1.06,0.19,67.51,-1.67,-0.22,256.43,59.15,88898.49,34,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-01,1.59,1.77,1.05,0.89,0.18,69.61,-3.63,1.92,259.9,49.28,89173.24,35,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-02,1.08,1.21,0.68,0.79,0.16,66.86,-5.2,3.3,265.53,36.88,88223.19,34,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-03,1.91,2.15,1.01,1.07,0.16,65.28,-2.86,2.76,265.94,48.75,88322.08,33,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-04,3.34,3.65,1.57,1.1,0.17,61.22,-3.17,2.27,266.01,65.61,88624.32,31,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-05,2.78,3.06,1.42,0.96,0.19,65.44,-2.35,1.06,265.68,65.13,88984.57,33,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-06,3.8,4.08,1.93,1.17,0.2,67.28,0.15,-0.12,263.55,82.89,89162.25,34,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-07,5.54,5.78,3.66,1.24,0.22,63.42,-0.11,-0.04,259.99,86.92,89452.68,32,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-08,4.36,4.63,2.72,1.08,0.21,65.6,-3.26,2.39,260.27,82.69,88801.07,33,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-09,4.38,4.61,3.53,0.99,0.21,61.17,0.54,-1.13,258.19,82.71,88691.72,31,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-10,6.2,6.56,6.02,1.3,0.22,57.61,-0.66,-0.94,254.76,76.54,89509.86,29,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-11,6.23,6.61,5.68,1.26,0.21,63.32,-0.97,1.17,255.05,75.04,89780.59,32,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-12,6.98,7.48,5.04,1.5,0.21,64.14,-0.99,1.88,255.59,81.74,89132.21,33,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-13,5.54,5.87,3.88,1.14,0.21,65.29,-1.37,-1.02,254.88,70.66,89212.63,33,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-14,3.58,3.81,2.2,0.87,0.2,69.3,-3.52,3.84,256.2,61.17,88914.79,35,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-15,4.13,4.46,2.23,1.13,0.19,67.18,0.16,3.41,255.81,73.1,88300.26,34,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-16,3.99,4.28,3.39,1.51,0.23,64.88,0.67,-2.25,250.3,74.1,89088.96,33,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-17,2.73,2.97,2.4,1.17,0.22,71.11,-2.03,0.19,250.32,62.07,89437.86,36,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-18,1.69,1.87,1.14,0.87,0.19,74.75,-3.39,2.5,254.19,45.13,89049.76,38,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-19,1.67,1.89,1.09,0.91,0.18,79.08,-2.34,1.2,257.05,55.97,89019.41,40,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-20,2.22,2.49,1.2,0.92,0.18,81.97,-2.63,1.21,260.02,54.94,89141.32,41,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-21,2.14,2.39,1.07,0.81,0.18,81.48,-4.47,3.21,263.17,46.95,89139.61,41,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-22,2.02,2.22,0.95,0.79,0.17,66.64,-4.79,3.94,266.73,48.48,88736.7,34,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-23,3.59,3.89,1.39,1.14,0.18,58.47,-2.67,2.86,265.22,63.97,88821.48,30,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-24,5.99,6.38,2.1,1.42,0.19,56.4,-0.88,3.08,264.83,72.85,88488.48,29,一级
新疆维吾尔自治区,阿勒泰地区,2013-02-25,7.9,8.36,3.11,1.51,0.22,57.0,-0.91,3.48,262.81,86.41,88920.48,29,一级
