province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江苏省,盐城市,2013-01-01,63.59,130.21,39.76,45.01,1.5,34.67,6.16,-0.83,272.43,68.29,102270.58,91,二级
江苏省,盐城市,2013-01-02,23.33,45.57,15.7,15.25,0.7,66.75,3.75,-8.17,270.71,56.91,103357.61,46,一级
江苏省,盐城市,2013-01-03,30.16,46.43,24.55,19.39,0.88,60.36,3.95,-6.86,269.37,74.15,103870.56,47,一级
江苏省,盐城市,2013-01-04,48.11,68.29,33.89,28.08,1.03,53.79,2.93,-4.55,270.57,77.37,103272.85,67,二级
江苏省,盐城市,2013-01-05,68.8,105.84,47.83,40.71,1.29,53.46,3.44,-3.86,270.7,55.97,102803.17,93,二级
江苏省,盐城市,2013-01-06,97.81,147.97,78.76,61.2,1.57,41.33,2.42,-3.95,272.42,62.52,102756.23,129,三级
江苏省,盐城市,2013-01-07,110.07,177.86,72.55,69.33,1.72,39.67,2.2,-2.97,272.96,50.13,102579.89,144,三级
江苏省,盐城市,2013-01-08,125.96,191.8,69.82,66.45,1.89,45.12,1.45,-4.63,274.38,62.17,102669.09,166,四级
江苏省,盐城市,2013-01-09,73.42,102.84,36.21,42.46,1.2,41.25,1.22,-6.32,273.48,63.32,102978.67,99,二级
江苏省,盐城市,2013-01-10,44.1,77.32,25.23,31.93,1.0,51.37,0.07,-1.65,273.07,58.34,103105.15,64,二级
江苏省,盐城市,2013-01-11,57.15,96.92,29.5,47.4,1.1,48.97,0.01,4.31,275.14,69.82,102789.01,78,二级
江苏省,盐城市,2013-01-12,123.76,202.78,38.87,63.24,1.71,39.26,-1.12,-1.24,275.82,76.26,102638.68,163,四级
江苏省,盐城市,2013-01-13,68.73,115.34,17.23,25.94,1.19,56.58,-3.15,-1.19,276.82,82.05,102262.47,93,二级
江苏省,盐城市,2013-01-14,100.48,144.2,26.05,35.46,1.5,57.58,-0.4,-4.52,275.9,80.0,102551.58,132,三级
江苏省,盐城市,2013-01-15,129.52,169.16,26.08,31.91,1.37,57.64,-1.76,0.81,276.22,80.18,102585.62,171,四级
江苏省,盐城市,2013-01-16,121.54,174.97,38.51,35.11,1.53,57.94,-0.23,-5.32,274.92,79.28,102844.39,160,四级
江苏省,盐城市,2013-01-17,40.19,59.71,21.44,18.76,0.81,61.11,1.49,-7.61,272.39,64.11,103596.59,57,二级
江苏省,盐城市,2013-01-18,102.15,143.67,34.61,39.43,1.21,50.91,2.75,-0.46,272.38,55.64,103408.86,134,三级
江苏省,盐城市,2013-01-19,138.03,190.19,48.58,56.34,1.52,53.51,-1.87,2.18,274.17,57.19,102938.31,183,四级
江苏省,盐城市,2013-01-20,34.4,57.16,14.14,22.17,0.82,58.37,-4.92,2.12,278.39,92.94,102531.52,54,二级
江苏省,盐城市,2013-01-21,59.23,78.91,18.51,28.37,1.31,33.98,3.93,-3.82,277.23,95.12,102332.48,81,二级
江苏省,盐城市,2013-01-22,72.94,91.92,20.25,17.84,0.91,65.25,2.15,-6.21,273.48,77.76,102717.61,98,二级
江苏省,盐城市,2013-01-23,119.5,155.62,33.58,32.48,1.41,49.91,3.94,0.83,274.35,66.61,102281.45,157,四级
江苏省,盐城市,2013-01-24,135.57,199.09,36.36,40.67,1.6,45.95,3.68,-2.97,275.23,68.14,102205.72,180,四级
江苏省,盐城市,2013-01-25,125.82,175.8,26.43,45.57,1.56,40.79,4.15,0.26,275.79,58.04,102369.6,166,四级
江苏省,盐城市,2013-01-26,79.82,103.34,16.74,26.6,0.96,54.77,-2.77,-5.05,275.55,79.23,102419.59,107,三级
江苏省,盐城市,2013-01-27,40.59,61.68,16.75,21.34,0.69,59.64,-0.48,-1.53,274.95,64.92,102923.2,57,二级
江苏省,盐城市,2013-01-28,94.99,137.63,35.86,53.21,1.21,52.64,0.9,6.38,278.14,63.82,102559.15,125,三级
