province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江西省,九江市,2013-01-01,43.22,54.9,19.46,18.82,0.6,48.35,0.58,0.73,276.93,51.88,99891.58,61,二级
江西省,九江市,2013-01-02,52.98,76.66,22.25,30.37,1.01,30.23,-6.21,-6.89,275.05,77.2,100343.44,73,二级
江西省,九江市,2013-01-03,32.19,47.66,14.65,16.85,0.81,45.59,-5.11,-7.69,271.22,57.63,101113.27,48,一级
江西省,九江市,2013-01-04,44.39,50.27,19.29,22.57,1.0,34.01,-3.62,-4.21,271.12,76.77,100561.48,62,二级
江西省,九江市,2013-01-05,59.04,64.63,21.78,27.31,1.1,27.54,-2.4,-3.81,272.27,79.77,100146.09,81,二级
江西省,九江市,2013-01-06,72.4,74.63,25.97,31.74,1.19,28.92,-2.33,-3.75,273.18,81.79,100148.41,97,二级
江西省,九江市,2013-01-07,81.55,89.57,31.37,30.76,1.29,28.21,-0.97,-2.04,273.48,80.99,99998.9,109,三级
江西省,九江市,2013-01-08,114.29,126.4,46.98,43.26,1.57,20.48,-1.4,-3.14,274.46,72.7,100078.06,150,三级
江西省,九江市,2013-01-09,128.62,147.11,66.85,72.94,1.77,33.77,-4.29,-4.66,274.96,65.56,100300.04,170,四级
江西省,九江市,2013-01-10,120.96,128.47,29.33,42.97,1.33,40.01,-4.76,-3.08,275.91,68.49,100273.99,159,四级
江西省,九江市,2013-01-11,92.16,85.3,17.85,28.49,0.9,33.5,-2.17,-1.17,277.01,75.25,100154.46,122,三级
江西省,九江市,2013-01-12,89.62,96.78,24.51,24.65,1.19,33.97,-2.28,-2.11,278.59,69.54,99974.7,119,三级
江西省,九江市,2013-01-13,82.98,95.3,21.22,19.16,1.21,45.58,-1.17,-1.83,279.81,73.07,99577.27,110,三级
江西省,九江市,2013-01-14,67.41,87.55,20.14,27.83,1.36,38.4,-3.57,-2.46,279.77,71.72,99917.98,91,二级
江西省,九江市,2013-01-15,70.85,81.82,21.17,23.56,1.09,35.95,-1.23,-1.08,280.17,74.33,99941.99,95,二级
江西省,九江市,2013-01-16,101.39,116.76,31.44,35.48,1.54,37.3,-1.41,-3.45,279.69,68.9,100186.4,133,三级
江西省,九江市,2013-01-17,131.8,152.34,31.73,33.98,1.43,38.11,-5.1,-5.81,276.42,67.33,100872.89,175,四级
江西省,九江市,2013-01-18,90.64,98.26,19.05,23.99,0.95,42.07,-3.44,-1.61,275.69,58.61,100780.71,120,三级
江西省,九江市,2013-01-19,72.1,81.17,17.39,23.25,0.78,46.5,-3.11,2.55,279.24,55.04,100042.07,97,二级
江西省,九江市,2013-01-20,71.52,88.75,15.55,29.87,0.9,35.7,-1.61,2.79,282.98,72.2,99725.87,96,二级
江西省,九江市,2013-01-21,103.11,106.62,32.97,40.12,1.56,17.42,1.02,-4.19,278.09,87.49,100052.83,136,三级
江西省,九江市,2013-01-22,124.11,127.51,38.93,32.87,1.59,27.07,-1.53,-3.84,277.0,73.22,100232.64,164,四级
江西省,九江市,2013-01-23,125.7,137.31,34.43,27.07,1.36,35.57,-0.32,-0.26,278.24,68.94,99920.57,166,四级
江西省,九江市,2013-01-24,120.44,135.15,31.78,24.12,1.12,40.28,1.58,-2.98,279.58,70.74,99866.17,158,四级
江西省,九江市,2013-01-25,103.64,120.26,20.67,25.18,0.96,52.02,-1.74,-1.05,278.92,58.97,99983.72,136,三级
江西省,九江市,2013-01-26,98.1,124.1,21.71,19.36,1.07,44.14,-0.51,-2.13,280.89,56.1,99844.2,129,三级
江西省,九江市,2013-01-27,131.63,166.26,30.34,33.46,1.28,47.18,-2.92,-3.2,280.28,58.15,100261.88,174,四级
江西省,九江市,2013-01-28,135.76,156.96,24.28,34.56,1.09,51.99,-2.73,2.26,282.22,52.82,99994.22,180,四级
江西省,九江市,2013-01-29,90.96,111.8,17.57,22.06,0.77,59.16,-0.64,1.03,284.75,55.05,99858.39,120,三级
江西省,九江市,2013-01-30,80.99,100.58,16.17,21.19,0.78,59.93,-3.44,3.39,285.77,64.82,99834.53,108,三级
江西省,九江市,2013-01-31,84.39,109.12,15.28,29.0,0.94,42.48,0.5,6.81,288.17,81.12,99510.91,112,三级
江西省,九江市,2013-02-01,59.33,62.1,16.96,32.1,1.58,36.14,0.84,-0.71,286.4,86.07,99735.71,81,二级
江西省,九江市,2013-02-02,88.03,96.81,27.77,52.63,2.18,18.56,-4.07,-5.1,281.68,90.4,100172.71,117,三级
江西省,九江市,2013-02-03,88.76,108.34,18.22,31.74,1.81,33.86,-0.82,2.92,285.78,85.76,99499.33,118,三级
江西省,九江市,2013-02-04,72.76,88.99,16.26,23.05,1.45,28.49,-1.56,-0.18,285.23,87.31,99520.41,98,二级
