province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江西省,宜春市,2013-01-01,40.8,52.27,19.74,18.0,0.65,43.35,-0.67,-0.02,276.21,48.09,99957.2,58,二级
江西省,宜春市,2013-01-02,74.74,103.6,30.88,34.38,1.27,26.74,-4.36,-5.37,276.69,67.9,100252.79,100,二级
江西省,宜春市,2013-01-03,34.92,50.37,17.35,17.54,0.89,40.2,-4.82,-7.68,272.61,60.86,101035.96,51,二级
江西省,宜春市,2013-01-04,49.18,54.18,21.49,23.71,1.1,29.67,-2.94,-3.92,271.64,79.61,100562.92,68,二级
江西省,宜春市,2013-01-05,64.73,68.3,24.52,28.25,1.16,24.15,-1.87,-3.26,272.41,83.25,100169.09,88,二级
江西省,宜春市,2013-01-06,76.03,78.83,28.84,31.58,1.19,25.51,-1.12,-3.34,273.35,85.44,100179.37,102,三级
江西省,宜春市,2013-01-07,89.6,98.55,33.13,30.61,1.27,24.35,-0.54,-2.63,273.41,84.67,100044.58,119,三级
江西省,宜春市,2013-01-08,114.59,130.77,44.16,36.11,1.47,20.2,-1.14,-4.07,274.41,77.2,100099.58,150,三级
江西省,宜春市,2013-01-09,134.8,155.02,62.82,64.36,1.66,34.41,-3.3,-4.86,275.41,63.48,100293.45,179,四级
江西省,宜春市,2013-01-10,127.66,139.75,37.84,45.01,1.49,37.72,-4.66,-3.89,276.11,70.99,100254.82,169,四级
江西省,宜春市,2013-01-11,99.64,104.07,24.08,34.51,0.99,27.69,-2.14,-1.73,276.93,82.88,100193.69,131,三级
江西省,宜春市,2013-01-12,105.32,110.21,30.88,30.61,1.14,29.41,-1.92,-1.87,278.14,78.21,100014.09,138,三级
江西省,宜春市,2013-01-13,90.31,103.43,24.23,20.91,1.16,42.46,-1.2,-1.54,280.23,72.42,99620.13,120,三级
江西省,宜春市,2013-01-14,82.93,103.9,21.2,26.18,1.38,34.9,-3.82,-2.67,280.18,73.54,99930.34,110,三级
江西省,宜春市,2013-01-15,73.43,84.52,22.39,26.65,1.12,26.69,-0.6,-0.71,279.63,79.6,99998.55,99,二级
江西省,宜春市,2013-01-16,96.62,113.01,33.72,26.54,1.32,36.17,-1.16,-2.27,280.28,75.78,100201.23,128,三级
江西省,宜春市,2013-01-17,147.1,167.58,38.77,39.07,1.62,39.11,-4.28,-5.78,277.82,65.18,100824.05,196,四级
江西省,宜春市,2013-01-18,94.17,106.39,27.64,29.62,1.15,36.38,-4.07,-2.44,276.24,60.52,100803.28,124,三级
江西省,宜春市,2013-01-19,83.76,97.32,23.97,28.08,0.98,42.97,-3.03,0.36,279.14,57.97,100090.03,111,三级
江西省,宜春市,2013-01-20,65.5,74.48,16.22,23.55,0.81,40.3,-1.43,1.3,283.81,70.37,99763.56,89,二级
江西省,宜春市,2013-01-21,84.64,89.52,29.8,36.14,1.38,19.6,-0.52,-3.58,280.73,87.04,100048.03,113,三级
江西省,宜春市,2013-01-22,120.33,121.19,42.22,29.1,1.65,28.21,-1.6,-3.19,278.9,71.32,100246.26,158,四级
江西省,宜春市,2013-01-23,130.11,150.24,39.27,23.72,1.61,30.68,-1.03,-0.67,278.76,68.76,99986.21,172,四级
江西省,宜春市,2013-01-24,117.55,134.63,34.98,25.66,1.49,33.94,0.45,-2.64,279.97,75.04,99909.78,154,四级
江西省,宜春市,2013-01-25,107.28,124.69,25.78,25.4,1.3,47.38,-2.07,-2.15,279.48,59.35,100027.13,141,三级
江西省,宜春市,2013-01-26,95.09,121.04,21.16,20.15,1.33,38.27,-1.65,-1.81,281.53,56.26,99875.54,126,三级
江西省,宜春市,2013-01-27,123.22,162.4,36.43,36.94,1.47,48.12,-3.19,-3.26,281.49,53.97,100278.93,162,四级
江西省,宜春市,2013-01-28,142.05,176.58,32.41,39.24,1.26,49.63,-2.71,-0.13,282.41,53.2,100046.34,189,四级
江西省,宜春市,2013-01-29,105.05,140.05,25.08,31.66,0.99,55.34,-0.92,0.0,285.78,51.1,99895.75,138,三级
江西省,宜春市,2013-01-30,88.52,119.46,21.63,31.94,0.95,57.3,-2.49,1.54,286.77,65.58,99875.9,117,三级
江西省,宜春市,2013-01-31,83.01,112.07,15.82,26.21,1.02,40.59,0.93,5.82,288.69,79.79,99621.57,111,三级
江西省,宜春市,2013-02-01,49.38,56.23,15.28,21.04,1.02,42.81,1.13,0.47,288.91,84.1,99756.19,68,二级
江西省,宜春市,2013-02-02,90.58,98.01,27.26,44.44,2.14,22.66,-2.6,-4.04,283.76,89.88,100135.6,120,三级
江西省,宜春市,2013-02-03,95.68,117.08,20.05,29.66,1.97,36.13,-0.37,2.23,287.14,83.81,99581.06,126,三级
江西省,宜春市,2013-02-04,58.33,67.66,14.25,19.42,1.26,24.98,-0.67,0.86,287.48,88.71,99545.88,80,二级
江西省,宜春市,2013-02-05,33.87,40.73,14.98,19.07,1.1,20.11,1.22,-1.82,284.96,88.55,99579.32,49,一级
江西省,宜春市,2013-02-06,49.74,55.7,22.52,18.72,1.24,28.99,-2.84,-2.8,281.11,83.31,99696.78,69,二级
江西省,宜春市,2013-02-07,38.22,44.83,21.29,22.92,1.27,24.0,-4.7,-7.64,278.02,91.21,99739.39,55,二级
江西省,宜春市,2013-02-08,31.1,33.2,14.56,12.64,0.59,48.68,-4.62,-7.31,271.93,86.72,100632.91,45,一级
江西省,宜春市,2013-02-09,45.63,47.16,15.45,10.96,0.53,53.86,-1.84,-1.98,273.12,78.35,100475.26,64,二级
江西省,宜春市,2013-02-10,100.15,101.27,24.96,13.63,0.73,42.97,-2.78,-0.73,275.84,76.61,100061.05,132,三级
江西省,宜春市,2013-02-11,74.51,87.97,18.95,16.24,0.94,36.68,-2.63,-2.74,277.88,86.52,100016.2,100,二级
江西省,宜春市,2013-02-12,83.08,84.34,19.67,12.33,0.99,51.8,-0.75,-4.16,279.23,79.81,100306.84,111,三级
江西省,宜春市,2013-02-13,76.52,82.63,17.22,12.21,0.88,43.45,-2.97,-1.81,279.22,75.02,99992.14,102,三级
江西省,宜春市,2013-02-14,48.67,52.6,10.61,12.14,0.87,36.46,-1.63,-1.84,279.37,88.92,99699.61,68,二级
江西省,宜春市,2013-02-15,78.69,88.22,22.68,14.07,1.05,57.53,-2.78,-4.44,280.28,69.88,100056.53,105,三级
江西省,宜春市,2013-02-16,82.31,98.83,20.95,17.6,1.1,36.82,-3.55,0.0,281.52,76.85,99642.59,110,三级
江西省,宜春市,2013-02-17,65.72,74.67,15.59,15.91,0.91,35.59,-0.47,1.05,284.93,90.88,99125.03,89,二级
江西省,宜春市,2013-02-18,35.46,36.33,19.47,16.13,1.12,32.13,-3.12,-4.04,281.84,96.19,99152.75,51,二级
江西省,宜春市,2013-02-19,24.52,28.69,13.66,12.15,0.69,47.15,-3.48,-6.5,276.92,87.56,100012.13,36,一级
江西省,宜春市,2013-02-20,36.42,45.6,17.24,13.89,0.57,44.4,-3.24,-3.4,277.68,77.19,100229.37,52,二级
江西省,宜春市,2013-02-21,48.79,62.03,16.02,16.14,0.71,39.58,-0.91,-3.38,278.2,83.69,100247.29,68,二级
江西省,宜春市,2013-02-22,50.87,67.26,20.35,16.38,0.8,52.85,-1.28,-3.69,280.64,73.56,100404.17,70,二级
江西省,宜春市,2013-02-23,61.26,87.0,16.67,21.32,1.12,40.53,-4.66,-3.07,282.23,60.3,100318.05,83,二级
江西省,宜春市,2013-02-24,72.28,95.47,19.06,22.63,0.93,42.96,-2.38,0.26,285.92,64.4,99834.79,97,二级
江西省,宜春市,2013-02-25,99.01,117.86,17.62,24.62,1.1,39.68,-2.48,0.12,287.96,81.71,99629.92,131,三级
江西省,宜春市,2013-02-26,69.51,70.22,14.96,15.36,0.9,39.33,-0.68,-0.96,287.02,94.44,99442.76,94,二级
江西省,宜春市,2013-02-27,90.63,107.88,20.21,18.72,1.14,42.19,-1.22,-2.03,285.42,87.83,99406.02,120,三级
江西省,宜春市,2013-02-28,81.06,106.03,18.44,17.24,1.2,44.75,-1.67,1.14,288.39,84.5,98870.97,108,三级
江西省,宜春市,2013-03-01,49.31,79.32,16.79,15.42,0.9,44.94,-3.34,-6.15,283.28,87.17,99419.46,68,二级
江西省,宜春市,2013-03-02,31.35,46.15,16.55,15.34,0.52,48.57,-4.1,-6.1,278.46,57.41,100566.67,47,一级
