province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江西省,抚州市,2013-01-01,43.65,53.27,13.47,13.39,0.43,51.72,-1.17,-1.45,276.63,49.62,99577.16,61,二级
江西省,抚州市,2013-01-02,71.88,90.07,21.33,20.01,0.75,42.43,-1.84,-4.64,279.0,61.4,99753.0,97,二级
江西省,抚州市,2013-01-03,36.76,46.79,14.95,17.07,0.6,38.24,-2.84,-8.24,273.61,71.37,100449.94,53,二级
江西省,抚州市,2013-01-04,54.3,58.05,17.44,22.75,0.8,27.91,-1.37,-4.63,271.5,85.37,100092.89,75,二级
江西省,抚州市,2013-01-05,62.45,66.01,17.94,23.4,0.76,31.51,-0.71,-3.64,272.39,89.42,99720.92,85,二级
江西省,抚州市,2013-01-06,80.47,82.26,23.12,27.06,0.86,31.57,-0.48,-3.15,273.32,92.07,99739.71,107,三级
江西省,抚州市,2013-01-07,90.57,93.27,24.79,22.86,0.86,39.48,-0.5,-2.85,274.56,90.05,99621.26,120,三级
江西省,抚州市,2013-01-08,112.17,114.83,28.82,27.93,1.01,37.9,-0.95,-4.2,275.53,83.45,99638.0,147,三级
江西省,抚州市,2013-01-09,119.31,131.05,39.33,45.37,1.16,45.45,-1.87,-5.35,275.39,70.14,99808.22,157,四级
江西省,抚州市,2013-01-10,100.28,107.02,25.87,37.09,0.96,44.23,-3.04,-4.12,276.7,72.41,99792.1,132,三级
江西省,抚州市,2013-01-11,62.47,61.81,13.53,19.92,0.56,34.31,-1.77,-1.49,277.39,86.54,99789.23,85,二级
江西省,抚州市,2013-01-12,71.3,74.52,15.13,15.92,0.66,37.58,-1.07,-2.96,278.41,89.59,99598.8,96,二级
江西省,抚州市,2013-01-13,73.2,78.64,16.41,15.13,0.71,41.12,-0.41,-2.44,279.5,90.34,99230.82,98,二级
江西省,抚州市,2013-01-14,60.17,68.36,13.32,14.41,0.71,45.55,-2.32,-3.23,279.49,80.63,99525.1,82,二级
江西省,抚州市,2013-01-15,53.31,59.57,15.57,16.27,0.62,37.46,-0.55,0.87,280.58,74.3,99633.52,73,二级
江西省,抚州市,2013-01-16,93.75,104.48,27.58,18.56,0.87,38.82,0.14,-2.71,279.68,85.01,99798.28,124,三级
江西省,抚州市,2013-01-17,128.57,142.24,30.74,27.23,1.17,43.25,-2.75,-6.28,278.43,64.58,100314.89,170,四级
江西省,抚州市,2013-01-18,51.71,58.43,13.79,15.66,0.57,43.66,-2.9,-4.04,276.81,51.44,100364.51,71,二级
江西省,抚州市,2013-01-19,38.61,42.74,9.78,11.21,0.42,57.42,-2.64,1.6,281.11,50.82,99755.75,55,二级
江西省,抚州市,2013-01-20,23.67,28.58,7.09,7.84,0.33,63.68,-1.91,4.46,286.49,72.08,99481.64,34,一级
江西省,抚州市,2013-01-21,52.95,54.34,15.73,19.53,0.8,36.06,0.0,-1.81,283.2,92.81,99640.74,73,二级
江西省,抚州市,2013-01-22,104.3,109.81,28.15,21.44,1.27,32.5,-0.08,-4.17,279.46,79.06,99816.18,137,三级
江西省,抚州市,2013-01-23,108.83,117.27,24.5,15.38,1.05,40.41,-0.5,-2.52,279.32,72.27,99606.48,143,三级
江西省,抚州市,2013-01-24,132.83,147.51,27.25,20.09,1.26,38.41,0.29,-1.58,279.45,83.71,99516.84,176,四级
江西省,抚州市,2013-01-25,113.78,127.68,27.1,16.41,0.95,49.12,-1.28,-3.13,279.65,70.27,99616.81,149,三级
江西省,抚州市,2013-01-26,74.81,91.82,13.98,10.76,0.77,52.11,-1.23,-2.61,281.32,60.14,99487.27,100,二级
江西省,抚州市,2013-01-27,89.79,111.46,23.3,17.64,0.87,52.33,-1.87,-4.4,281.46,54.83,99855.4,119,三级
江西省,抚州市,2013-01-28,85.95,95.88,17.14,16.62,0.64,59.81,-2.94,0.98,283.42,52.05,99700.19,114,三级
江西省,抚州市,2013-01-29,44.51,56.07,11.9,11.18,0.44,65.36,-1.18,1.52,286.1,59.78,99578.14,62,二级
江西省,抚州市,2013-01-30,45.43,54.5,11.12,8.93,0.45,69.43,-2.27,3.59,288.18,61.0,99591.41,64,二级
江西省,抚州市,2013-01-31,45.3,57.45,10.71,12.19,0.48,57.31,-0.57,6.13,289.15,64.77,99427.19,63,二级
江西省,抚州市,2013-02-01,31.82,35.34,9.58,10.15,0.45,57.53,1.13,1.91,290.2,78.61,99446.93,46,一级
