province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江西省,鹰潭市,2013-01-01,60.3,73.18,17.87,19.82,0.54,47.72,-1.14,-1.24,276.25,50.81,100599.94,82,二级
江西省,鹰潭市,2013-01-02,77.23,96.87,23.68,25.59,0.8,37.8,-4.32,-3.82,279.16,58.7,100809.29,103,三级
江西省,鹰潭市,2013-01-03,35.19,47.46,15.09,16.98,0.61,38.71,-5.43,-6.92,273.83,60.94,101558.74,51,二级
江西省,鹰潭市,2013-01-04,56.8,61.46,19.2,26.61,0.86,24.26,-2.78,-4.11,271.74,86.98,101144.4,78,二级
江西省,鹰潭市,2013-01-05,63.44,67.77,20.83,28.14,0.8,28.67,-2.03,-2.69,272.33,89.41,100759.56,86,二级
江西省,鹰潭市,2013-01-06,75.82,78.8,25.88,33.86,0.93,27.7,-2.26,-1.74,273.26,93.16,100764.73,102,三级
江西省,鹰潭市,2013-01-07,84.42,90.9,27.4,30.58,0.94,33.16,-1.71,-1.62,274.57,89.4,100644.64,112,三级
江西省,鹰潭市,2013-01-08,112.69,118.33,31.67,37.21,1.11,31.94,-2.97,-2.65,275.51,82.02,100669.24,148,三级
江西省,鹰潭市,2013-01-09,127.61,144.1,45.56,55.48,1.26,38.42,-4.37,-3.83,275.42,66.43,100863.16,169,四级
江西省,鹰潭市,2013-01-10,96.82,105.7,27.52,43.89,0.97,39.34,-6.11,-3.39,276.71,68.4,100852.73,128,三级
江西省,鹰潭市,2013-01-11,79.77,79.76,15.14,28.09,0.7,31.59,-2.82,-1.16,277.12,79.88,100819.35,106,三级
江西省,鹰潭市,2013-01-12,76.98,83.56,16.24,18.95,0.72,34.69,-2.73,-1.94,278.5,86.8,100619.88,103,三级
江西省,鹰潭市,2013-01-13,69.42,77.41,17.35,19.42,0.76,34.83,-1.76,-1.22,279.38,90.78,100226.37,94,二级
江西省,鹰潭市,2013-01-14,59.94,71.69,15.77,20.94,0.84,41.33,-4.52,-1.8,279.48,78.21,100553.69,82,二级
江西省,鹰潭市,2013-01-15,65.35,72.98,17.72,24.45,0.77,31.58,-0.81,1.23,281.02,66.02,100613.95,88,二级
江西省,鹰潭市,2013-01-16,96.46,106.84,25.58,21.39,0.91,37.64,0.06,-1.92,280.46,79.77,100791.29,127,三级
江西省,鹰潭市,2013-01-17,125.6,145.48,31.98,32.35,1.12,37.43,-5.82,-4.29,278.18,60.4,101391.6,166,四级
江西省,鹰潭市,2013-01-18,58.36,68.54,16.88,20.33,0.63,39.4,-5.06,-2.72,276.23,48.87,101423.08,80,二级
江西省,鹰潭市,2013-01-19,57.78,64.67,13.07,17.96,0.56,48.17,-3.77,0.9,280.71,46.55,100775.01,79,二级
江西省,鹰潭市,2013-01-20,30.8,38.48,8.48,12.56,0.41,59.68,-1.42,4.44,287.07,66.52,100454.25,44,一级
江西省,鹰潭市,2013-01-21,58.84,65.02,16.05,23.74,0.85,31.81,1.26,-1.97,282.84,89.94,100620.69,80,二级
江西省,鹰潭市,2013-01-22,105.92,108.26,28.8,25.01,1.31,29.28,0.02,-2.9,279.09,78.14,100813.83,139,三级
江西省,鹰潭市,2013-01-23,110.42,117.77,25.06,18.04,1.02,37.02,0.13,-1.69,279.14,70.82,100597.92,145,三级
江西省,鹰潭市,2013-01-24,138.48,153.83,26.69,21.0,1.18,38.7,0.44,-0.86,279.24,84.01,100502.65,184,四级
江西省,鹰潭市,2013-01-25,114.3,130.61,23.6,19.99,0.93,49.4,-2.56,-2.66,279.65,64.26,100626.7,150,三级
江西省,鹰潭市,2013-01-26,84.8,106.15,16.38,14.69,0.89,48.09,-1.02,-2.24,281.08,57.36,100485.98,113,三级
江西省,鹰潭市,2013-01-27,98.89,122.34,26.43,22.12,0.92,49.46,-3.31,-2.88,281.69,51.1,100865.38,130,三级
江西省,鹰潭市,2013-01-28,113.77,125.95,20.64,26.8,0.82,53.42,-3.56,0.44,283.33,47.39,100701.51,149,三级
江西省,鹰潭市,2013-01-29,51.36,62.79,13.54,16.4,0.51,62.77,-0.9,1.71,286.15,56.86,100555.78,71,二级
江西省,鹰潭市,2013-01-30,56.19,65.52,11.98,12.39,0.56,63.69,-3.74,2.46,287.88,55.04,100573.69,77,二级
江西省,鹰潭市,2013-01-31,48.28,59.93,12.76,16.6,0.51,56.15,-0.4,6.92,289.79,62.88,100353.03,67,二级
江西省,鹰潭市,2013-02-01,39.56,43.25,11.83,15.08,0.57,48.5,1.91,2.42,289.62,78.85,100402.9,56,二级
江西省,鹰潭市,2013-02-02,64.32,76.04,22.83,30.29,1.22,38.39,-4.76,-2.49,287.63,82.43,100671.25,87,二级
江西省,鹰潭市,2013-02-03,59.67,74.13,13.18,19.45,0.94,44.09,-1.84,3.75,289.59,75.7,100227.03,81,二级
江西省,鹰潭市,2013-02-04,43.2,53.07,8.82,12.09,0.59,35.43,0.55,2.86,290.32,89.16,100192.24,61,二级
江西省,鹰潭市,2013-02-05,28.45,37.55,11.69,16.34,0.72,30.24,2.67,0.56,287.53,89.04,100172.46,41,一级
江西省,鹰潭市,2013-02-06,49.94,62.32,19.77,18.51,0.87,32.3,-1.31,-2.77,282.87,84.71,100305.54,69,二级
江西省,鹰潭市,2013-02-07,51.23,60.23,24.06,25.36,0.93,23.35,-6.15,-5.74,279.96,89.03,100238.45,71,二级
江西省,鹰潭市,2013-02-08,29.4,33.98,12.34,14.26,0.43,47.63,-5.9,-6.18,272.15,90.69,101174.75,42,一级
江西省,鹰潭市,2013-02-09,43.38,49.11,13.88,12.27,0.45,53.55,-2.11,-2.47,272.72,79.35,101089.27,61,二级
江西省,鹰潭市,2013-02-10,88.77,89.52,14.76,12.65,0.52,52.82,-3.34,-1.78,276.52,78.67,100701.54,118,三级
江西省,鹰潭市,2013-02-11,62.65,71.29,13.97,12.29,0.6,47.34,-3.91,-1.68,279.85,87.15,100597.91,85,二级
江西省,鹰潭市,2013-02-12,64.41,70.0,13.88,13.23,0.69,44.08,0.92,-2.95,279.92,87.71,100844.67,87,二级
江西省,鹰潭市,2013-02-13,56.52,68.73,15.22,11.6,0.61,42.98,-3.23,-1.1,280.38,76.39,100612.39,77,二级
江西省,鹰潭市,2013-02-14,56.38,65.15,12.06,12.33,0.62,39.14,-0.96,-0.61,281.31,89.88,100311.64,77,二级
江西省,鹰潭市,2013-02-15,64.04,79.85,18.98,12.64,0.77,52.94,-2.02,-3.43,281.14,79.13,100611.98,87,二级
江西省,鹰潭市,2013-02-16,57.89,70.18,17.1,11.47,0.66,48.79,-4.49,1.03,283.49,70.36,100308.32,79,二级
江西省,鹰潭市,2013-02-17,32.92,38.63,8.91,8.24,0.47,55.17,-0.26,4.7,287.68,80.9,99798.28,48,一级
江西省,鹰潭市,2013-02-18,41.3,44.29,14.76,14.08,0.72,37.31,-0.71,-1.48,285.51,96.61,99715.86,58,二级
江西省,鹰潭市,2013-02-19,26.57,33.25,15.02,15.8,0.52,42.49,-5.24,-5.01,277.91,88.84,100521.87,38,一级
江西省,鹰潭市,2013-02-20,31.65,39.8,14.0,11.54,0.42,51.81,-3.77,-2.31,278.78,71.9,100805.0,46,一级
江西省,鹰潭市,2013-02-21,41.12,48.16,9.94,9.94,0.44,60.07,-1.84,-1.86,280.83,82.96,100797.26,58,二级
江西省,鹰潭市,2013-02-22,47.68,56.83,9.96,11.6,0.53,58.77,-0.27,-1.84,281.06,89.28,100963.52,66,二级
江西省,鹰潭市,2013-02-23,51.18,67.73,15.25,18.89,0.7,50.94,-5.85,-2.5,282.99,61.07,100929.35,71,二级
江西省,鹰潭市,2013-02-24,57.25,70.82,12.32,13.53,0.61,54.97,-3.84,1.84,286.7,54.11,100513.13,78,二级
江西省,鹰潭市,2013-02-25,61.07,69.83,10.51,15.94,0.61,53.08,-2.09,1.21,288.63,79.67,100299.11,83,二级
江西省,鹰潭市,2013-02-26,57.71,65.33,11.67,14.89,0.7,48.05,0.42,0.24,287.77,95.43,100045.38,79,二级
江西省,鹰潭市,2013-02-27,81.74,100.89,20.4,20.27,0.79,39.66,-1.91,-0.85,286.29,92.21,99983.74,109,三级
