province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河北省,张家口市,2013-01-01,12.49,15.46,18.15,6.47,0.34,49.54,7.89,-6.6,249.09,58.96,87338.24,25,一级
河北省,张家口市,2013-01-02,14.98,16.52,18.46,7.52,0.3,53.69,6.96,-7.76,246.34,56.51,88501.63,27,一级
河北省,张家口市,2013-01-03,23.39,31.04,34.19,12.98,0.37,55.29,4.55,-4.73,249.73,54.07,88904.71,35,一级
河北省,张家口市,2013-01-04,41.08,61.33,71.49,27.18,0.72,51.17,4.32,-3.0,252.52,46.11,88153.19,61,二级
河北省,张家口市,2013-01-05,38.15,55.99,37.68,20.58,0.47,54.41,4.1,-4.14,253.92,42.14,87938.63,54,二级
河北省,张家口市,2013-01-06,42.42,68.7,61.18,30.79,0.73,43.89,4.62,-1.78,255.33,44.15,87813.41,60,二级
河北省,张家口市,2013-01-07,51.53,83.48,59.74,30.82,0.73,33.03,5.98,-2.9,256.43,57.26,87689.07,71,二级
河北省,张家口市,2013-01-08,24.91,38.71,38.31,15.33,0.5,51.98,5.79,-4.98,251.02,64.26,88047.79,39,一级
河北省,张家口市,2013-01-09,24.86,42.36,52.68,22.11,0.58,47.97,6.2,-3.22,253.49,60.15,87982.52,52,二级
河北省,张家口市,2013-01-10,50.37,86.46,74.91,38.5,0.85,30.46,4.55,1.03,258.92,55.23,87729.18,70,二级
河北省,张家口市,2013-01-11,40.95,72.16,74.72,29.26,0.73,37.41,7.82,-2.95,259.07,64.6,87611.91,63,二级
河北省,张家口市,2013-01-12,46.52,86.27,67.98,30.76,0.86,41.91,5.29,0.29,263.05,54.02,87576.42,69,二级
河北省,张家口市,2013-01-13,76.3,126.77,101.8,45.41,1.33,31.88,3.59,-0.17,261.87,61.83,87641.76,102,三级
河北省,张家口市,2013-01-14,78.07,132.26,108.77,54.93,1.42,33.74,2.33,1.72,263.58,51.9,87849.28,104,三级
河北省,张家口市,2013-01-15,67.73,102.16,64.03,43.81,1.22,35.97,6.0,-2.43,260.75,72.89,87716.07,91,二级
河北省,张家口市,2013-01-16,23.55,28.92,28.7,11.9,0.39,55.61,4.29,-6.05,255.81,66.98,88383.95,34,一级
河北省,张家口市,2013-01-17,28.95,41.58,37.53,20.26,0.59,51.34,4.78,-2.34,259.38,57.92,88764.44,42,一级
河北省,张家口市,2013-01-18,52.93,89.79,75.08,39.97,1.03,34.28,6.51,-1.95,264.34,46.13,88148.78,73,二级
河北省,张家口市,2013-01-19,75.13,120.57,69.74,51.86,1.35,35.65,-0.66,1.89,263.43,55.06,88079.75,101,三级
河北省,张家口市,2013-01-20,97.96,129.86,73.69,60.71,1.53,26.76,-0.14,2.39,262.89,87.48,88038.7,129,三级
河北省,张家口市,2013-01-21,39.11,46.97,29.92,18.06,0.77,55.43,2.59,-4.77,259.4,67.53,88202.69,56,二级
河北省,张家口市,2013-01-22,45.8,60.27,53.72,31.17,0.73,50.55,3.11,0.1,261.32,55.23,87972.54,64,二级
河北省,张家口市,2013-01-23,48.15,65.29,56.97,30.67,0.84,37.06,7.78,-3.49,262.56,67.75,87262.13,67,二级
河北省,张家口市,2013-01-24,14.67,18.09,26.61,10.79,0.37,53.03,8.04,-7.02,256.77,60.93,87574.65,27,一级
河北省,张家口市,2013-01-25,29.42,39.42,38.86,20.71,0.61,42.42,5.46,-3.13,258.86,64.46,87461.3,43,一级
河北省,张家口市,2013-01-26,25.6,29.14,28.36,16.74,0.51,43.55,5.57,-4.06,260.37,71.59,87854.22,37,一级
河北省,张家口市,2013-01-27,38.05,55.71,54.51,29.13,0.76,35.97,5.76,-0.95,263.95,66.49,87880.42,54,二级
河北省,张家口市,2013-01-28,41.22,63.01,43.18,26.42,0.82,39.2,5.5,-3.12,266.02,64.14,87635.96,58,二级
河北省,张家口市,2013-01-29,51.26,75.71,61.84,35.35,0.76,38.13,3.61,0.27,266.65,64.56,87745.81,71,二级
河北省,张家口市,2013-01-30,107.48,154.66,82.77,65.35,1.79,21.52,4.35,2.23,269.8,52.36,87764.03,141,三级
河北省,张家口市,2013-01-31,123.79,176.03,72.65,77.14,2.8,24.92,1.84,3.75,269.42,76.88,87519.44,163,四级
河北省,张家口市,2013-02-01,15.0,21.35,15.9,9.83,0.4,49.09,5.93,-6.02,258.33,62.13,88079.59,25,一级
河北省,张家口市,2013-02-02,29.29,40.17,35.03,24.78,0.58,43.46,4.89,-0.69,259.96,60.9,88255.48,42,一级
河北省,张家口市,2013-02-03,84.07,118.11,57.78,43.36,1.28,30.61,2.99,1.87,265.69,79.35,87327.84,112,三级
河北省,张家口市,2013-02-04,16.28,23.52,19.91,12.63,0.4,56.95,3.43,-3.5,257.56,56.54,87964.74,29,一级
河北省,张家口市,2013-02-05,38.42,56.4,41.77,23.56,0.71,46.69,3.99,-1.95,262.31,68.12,87629.03,55,二级
河北省,张家口市,2013-02-06,15.29,19.41,12.12,8.72,0.37,59.06,7.39,-7.97,254.04,55.26,87899.35,30,一级
河北省,张家口市,2013-02-07,9.32,10.18,7.55,5.07,0.28,65.14,5.2,-8.01,249.33,55.55,88508.31,33,一级
河北省,张家口市,2013-02-08,26.51,36.85,32.51,20.75,0.56,54.24,3.12,-0.83,255.43,59.29,88248.47,38,一级
河北省,张家口市,2013-02-09,32.57,48.25,31.66,20.66,0.61,39.67,5.44,-3.9,258.51,69.5,87777.14,49,一级
河北省,张家口市,2013-02-10,23.69,27.58,17.68,10.26,0.38,64.9,2.03,-4.12,254.78,59.24,88191.04,34,一级
河北省,张家口市,2013-02-11,35.09,44.17,31.59,16.99,0.61,60.96,2.22,0.08,257.56,65.13,88144.73,51,二级
河北省,张家口市,2013-02-12,24.74,58.02,38.57,14.9,0.51,56.07,8.59,-2.48,260.63,57.72,87734.79,55,二级
河北省,张家口市,2013-02-13,32.2,68.33,40.87,18.13,0.62,54.83,6.87,-2.73,263.56,54.1,87557.4,60,二级
河北省,张家口市,2013-02-14,25.13,36.9,29.83,11.37,0.44,59.45,2.74,-3.58,258.38,67.31,87911.59,37,一级
河北省,张家口市,2013-02-15,25.55,37.56,41.59,16.39,0.59,55.03,3.25,0.58,259.11,65.14,87826.81,42,一级
河北省,张家口市,2013-02-16,84.83,113.2,67.93,38.53,1.2,40.17,2.25,3.1,266.71,69.96,87315.82,113,三级
河北省,张家口市,2013-02-17,39.41,54.16,25.43,17.12,0.63,53.94,6.45,-5.07,262.36,57.64,87489.01,56,二级
河北省,张家口市,2013-02-18,16.96,23.54,16.09,10.23,0.44,60.28,5.03,-4.7,256.64,58.28,87952.94,31,一级
河北省,张家口市,2013-02-19,21.52,32.21,22.05,15.71,0.52,58.55,4.04,-0.96,257.21,52.01,87973.87,33,一级
河北省,张家口市,2013-02-20,26.81,37.37,22.61,16.97,0.55,53.55,4.54,-2.98,259.68,56.05,87997.47,39,一级
河北省,张家口市,2013-02-21,27.04,39.15,25.5,15.56,0.61,58.93,6.42,-2.44,262.28,50.08,88074.22,40,一级
