province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河南省,信阳市,2013-01-01,68.99,84.27,33.48,34.36,0.84,23.86,2.08,0.18,274.94,55.94,101101.96,93,二级
河南省,信阳市,2013-01-02,60.85,71.43,17.85,26.62,0.76,28.37,-6.87,-7.2,269.79,52.1,102183.46,83,二级
河南省,信阳市,2013-01-03,51.63,59.79,17.7,17.94,0.74,38.15,-3.68,-6.2,267.03,41.36,102816.41,71,二级
河南省,信阳市,2013-01-04,87.94,90.58,19.88,23.36,0.93,29.31,-3.28,-2.98,268.24,42.31,102042.97,117,三级
河南省,信阳市,2013-01-05,125.62,123.2,19.57,23.77,1.13,33.83,-2.0,-1.71,270.47,42.67,101545.5,166,四级
河南省,信阳市,2013-01-06,194.53,187.9,32.43,28.17,1.39,29.93,-2.19,-1.71,271.58,39.83,101520.03,245,五级
河南省,信阳市,2013-01-07,210.82,206.7,46.75,28.33,1.33,36.21,-0.5,0.1,273.78,39.24,101257.3,261,五级
河南省,信阳市,2013-01-08,266.15,266.33,50.62,31.15,1.72,34.77,-1.56,-2.54,274.67,45.84,101440.6,317,六级
河南省,信阳市,2013-01-09,141.48,141.26,33.02,37.18,1.17,21.23,-2.77,-4.07,273.18,57.0,101755.59,188,四级
河南省,信阳市,2013-01-10,179.14,173.55,28.62,37.35,1.34,22.72,-2.76,1.63,275.41,58.44,101589.67,230,五级
河南省,信阳市,2013-01-11,153.82,156.56,37.56,37.12,1.22,24.69,2.08,1.21,277.73,50.57,101404.87,204,五级
河南省,信阳市,2013-01-12,162.25,170.71,33.01,34.65,1.28,25.97,-1.17,-0.92,276.8,47.01,101269.4,213,五级
河南省,信阳市,2013-01-13,152.8,156.75,33.79,28.06,1.11,40.57,-0.65,0.73,278.99,51.22,100831.65,203,五级
河南省,信阳市,2013-01-14,262.74,266.21,35.38,36.29,1.99,37.05,-1.98,-1.89,276.99,67.67,101249.39,313,六级
河南省,信阳市,2013-01-15,241.59,239.61,37.07,32.73,1.7,34.8,0.38,-0.42,278.38,61.56,101211.45,292,五级
河南省,信阳市,2013-01-16,269.06,287.75,44.46,35.06,2.01,29.45,-1.48,-3.82,276.21,63.2,101595.55,320,六级
河南省,信阳市,2013-01-17,162.1,165.07,28.6,31.93,1.29,21.85,-3.97,-4.62,273.57,63.11,102419.47,213,五级
河南省,信阳市,2013-01-18,118.92,119.55,22.38,31.65,1.05,27.24,-1.46,2.55,274.91,50.68,102023.85,156,四级
河南省,信阳市,2013-01-19,105.6,112.0,25.23,28.31,1.07,35.12,-2.79,3.65,278.53,45.5,101233.73,139,三级
河南省,信阳市,2013-01-20,139.17,144.23,22.23,37.79,1.25,15.71,-2.01,-2.15,277.17,81.98,101081.86,185,四级
河南省,信阳市,2013-01-21,188.6,168.31,42.44,39.51,1.73,18.15,1.11,-5.22,274.69,78.1,101469.8,239,五级
河南省,信阳市,2013-01-22,191.69,183.73,35.3,36.35,1.63,23.32,-1.27,-3.19,274.23,78.63,101603.82,242,五级
河南省,信阳市,2013-01-23,183.7,191.87,48.23,38.22,1.57,32.51,2.65,4.21,277.28,68.54,101031.52,234,五级
河南省,信阳市,2013-01-24,112.34,114.05,32.39,29.96,1.05,27.15,2.07,-4.19,277.7,53.47,101218.26,147,三级
河南省,信阳市,2013-01-25,79.81,84.65,25.34,31.09,0.8,32.71,2.45,3.49,278.56,43.92,101128.14,107,三级
河南省,信阳市,2013-01-26,155.45,171.7,34.19,41.42,1.42,27.17,-0.35,-4.11,277.12,54.16,101198.08,206,五级
河南省,信阳市,2013-01-27,174.42,172.63,25.04,31.48,1.22,34.96,-1.5,-1.76,277.1,65.83,101573.08,225,五级
河南省,信阳市,2013-01-28,134.47,130.11,32.27,33.84,1.14,34.86,1.31,6.12,281.85,50.95,101078.68,178,四级
河南省,信阳市,2013-01-29,100.74,100.69,30.79,25.15,0.82,47.6,1.89,2.83,284.32,51.33,101010.33,133,三级
河南省,信阳市,2013-01-30,110.68,110.63,23.3,22.68,0.99,37.79,-2.35,2.56,282.22,67.17,101046.21,145,三级
河南省,信阳市,2013-01-31,144.16,129.79,18.44,29.62,1.28,19.71,-0.69,-0.81,281.34,94.13,100671.03,192,四级
河南省,信阳市,2013-02-01,182.36,183.53,37.81,38.65,2.28,25.14,-0.58,-4.27,279.95,79.52,101117.84,233,五级
河南省,信阳市,2013-02-02,122.95,117.46,26.2,35.65,1.42,17.26,-5.1,-3.47,278.09,72.81,101675.52,162,四级
