province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河南省,南阳市,2013-01-01,52.09,68.5,30.18,24.18,0.65,29.53,-0.57,-2.17,275.46,35.88,98893.86,72,二级
河南省,南阳市,2013-01-02,57.54,70.17,28.97,26.81,0.84,21.98,-6.63,-4.95,269.37,46.4,100031.16,79,二级
河南省,南阳市,2013-01-03,63.47,80.04,34.04,28.04,0.86,22.25,-3.35,-2.13,267.1,38.85,100615.14,86,二级
河南省,南阳市,2013-01-04,94.89,114.27,31.88,25.53,1.05,25.25,-2.12,-0.07,267.6,30.94,99801.42,125,三级
河南省,南阳市,2013-01-05,127.67,155.91,42.08,26.69,1.26,27.42,-0.3,0.01,270.68,30.33,99312.48,169,四级
河南省,南阳市,2013-01-06,196.41,233.42,69.98,35.93,1.67,21.63,-0.83,-0.39,271.84,35.01,99299.42,247,五级
河南省,南阳市,2013-01-07,189.92,217.67,70.86,28.11,1.45,27.65,0.55,0.04,274.17,32.6,99019.02,240,五级
河南省,南阳市,2013-01-08,280.93,318.68,79.46,43.13,2.39,15.73,-1.99,-3.65,274.33,35.1,99321.18,331,六级
河南省,南阳市,2013-01-09,182.01,205.11,48.01,36.96,1.91,15.66,-2.81,-1.47,272.33,49.82,99599.91,233,五级
河南省,南阳市,2013-01-10,181.34,209.79,47.12,30.36,1.69,23.68,-0.71,1.59,274.21,50.19,99318.47,232,五级
河南省,南阳市,2013-01-11,156.73,180.35,52.5,23.12,1.38,31.85,1.83,-1.0,277.38,40.69,99211.99,207,五级
河南省,南阳市,2013-01-12,95.69,111.3,37.86,25.97,1.05,27.4,-0.43,0.49,276.85,36.03,99054.29,126,三级
河南省,南阳市,2013-01-13,167.43,191.78,60.34,30.99,1.6,26.4,-1.44,-0.46,277.7,45.51,98657.2,218,五级
河南省,南阳市,2013-01-14,290.9,334.69,56.68,38.68,2.7,26.35,-2.43,-0.7,276.4,51.14,99075.17,341,六级
河南省,南阳市,2013-01-15,205.32,233.52,45.55,25.7,1.78,31.64,0.27,-1.84,277.82,45.7,99085.59,256,五级
河南省,南阳市,2013-01-16,154.31,186.47,51.49,33.57,1.59,20.1,-1.82,-3.29,276.55,41.28,99471.84,205,五级
河南省,南阳市,2013-01-17,150.88,173.19,44.17,34.43,1.79,16.16,-3.35,-2.51,272.66,60.13,100284.95,201,五级
河南省,南阳市,2013-01-18,137.49,161.58,41.3,27.72,1.45,23.32,0.0,2.03,273.76,59.67,99736.71,183,四级
河南省,南阳市,2013-01-19,144.18,172.66,52.29,24.42,1.56,29.45,-3.14,2.85,276.79,62.48,98895.71,192,四级
