province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河南省,周口市,2013-01-01,101.45,249.74,49.67,41.4,3.02,23.64,0.43,-3.66,272.36,48.32,101932.11,150,三级
河南省,周口市,2013-01-02,55.64,85.04,25.74,28.12,2.19,26.82,-4.62,-7.12,267.46,47.67,103252.83,76,二级
河南省,周口市,2013-01-03,60.75,91.97,29.83,26.78,2.34,28.22,-1.89,-4.44,265.54,41.19,103784.36,83,二级
河南省,周口市,2013-01-04,83.97,118.34,30.0,33.51,2.28,26.18,-1.97,-1.0,267.24,38.42,102943.86,112,三级
河南省,周口市,2013-01-05,146.45,222.02,41.01,41.51,3.35,30.13,-0.67,0.69,269.86,38.22,102392.6,195,四级
河南省,周口市,2013-01-06,218.7,317.58,69.38,51.28,4.45,65.58,-0.95,0.18,270.96,40.09,102362.73,269,五级
河南省,周口市,2013-01-07,240.53,331.24,68.63,44.62,3.01,25.99,-0.14,2.38,272.93,40.48,102032.84,291,五级
河南省,周口市,2013-01-08,422.99,505.22,100.54,78.9,5.26,16.02,-2.04,-4.17,272.81,54.45,102341.35,449,六级
河南省,周口市,2013-01-09,178.11,214.67,51.24,54.96,3.35,17.26,-2.61,-3.67,271.46,64.19,102659.88,229,五级
河南省,周口市,2013-01-10,262.37,358.17,35.17,51.19,3.11,20.01,-1.97,3.98,274.29,61.32,102389.18,313,六级
河南省,周口市,2013-01-11,245.67,332.84,54.43,45.63,2.75,17.04,2.09,2.14,276.77,53.67,102134.3,296,五级
河南省,周口市,2013-01-12,348.97,445.73,44.35,56.31,4.01,27.17,-1.73,2.3,276.48,44.75,102049.02,399,六级
河南省,周口市,2013-01-13,280.45,350.48,44.73,43.28,3.8,27.63,-1.3,0.56,276.7,62.45,101662.13,331,六级
河南省,周口市,2013-01-14,389.7,498.26,48.11,60.2,5.32,25.07,-1.8,-2.07,275.23,67.92,102092.93,427,六级
