province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河南省,洛阳市,2013-01-01,40.71,79.31,34.41,25.02,0.8,34.4,3.07,-2.84,272.08,37.33,94788.74,65,二级
河南省,洛阳市,2013-01-02,53.6,82.14,43.22,32.23,1.31,19.25,-3.27,-2.08,266.07,54.03,95897.55,74,二级
河南省,洛阳市,2013-01-03,46.18,68.99,48.44,33.05,0.95,21.92,0.15,-1.83,264.16,38.68,96306.45,64,二级
河南省,洛阳市,2013-01-04,80.65,119.99,49.08,35.62,1.2,18.2,-1.0,0.27,265.93,38.66,95491.8,108,三级
河南省,洛阳市,2013-01-05,110.0,160.21,69.24,37.78,1.68,21.07,1.43,-1.07,268.94,35.39,95096.07,144,三级
河南省,洛阳市,2013-01-06,140.79,171.06,86.93,40.92,1.5,14.02,1.39,-1.0,269.77,33.81,95098.4,187,四级
河南省,洛阳市,2013-01-07,135.07,158.1,74.15,40.15,1.81,19.55,3.11,-1.97,272.24,28.95,94860.48,179,四级
河南省,洛阳市,2013-01-08,258.96,316.09,120.1,59.13,3.75,13.8,0.57,-2.8,271.34,37.9,95240.56,309,六级
河南省,洛阳市,2013-01-09,230.74,276.63,84.73,57.37,3.54,13.98,-0.73,-0.37,269.68,50.21,95401.13,281,五级
河南省,洛阳市,2013-01-10,281.02,362.92,72.05,47.18,3.86,20.29,0.57,1.72,272.85,51.24,95077.86,332,六级
河南省,洛阳市,2013-01-11,156.86,202.08,54.42,31.4,2.58,32.78,5.86,-2.21,274.92,38.87,95096.78,207,五级
河南省,洛阳市,2013-01-12,115.92,146.08,43.1,34.06,2.35,34.41,1.48,2.11,275.77,29.89,94861.14,152,四级
河南省,洛阳市,2013-01-13,186.48,226.3,74.37,45.88,3.16,23.49,0.34,-0.33,275.53,44.59,94602.72,237,五级
河南省,洛阳市,2013-01-14,290.11,371.68,66.8,59.63,5.05,21.23,-0.58,1.06,275.24,43.17,94957.49,341,六级
