province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河南省,濮阳市,2013-01-01,85.46,216.44,62.35,41.35,2.34,20.06,0.53,-5.82,268.98,43.79,102043.56,134,三级
河南省,濮阳市,2013-01-02,38.5,81.28,36.36,28.31,2.75,28.19,-1.0,-5.68,263.83,44.35,103450.17,69,二级
河南省,濮阳市,2013-01-03,80.98,141.34,63.6,43.76,1.95,20.78,-0.37,-2.85,263.76,43.95,103854.71,108,三级
河南省,濮阳市,2013-01-04,100.95,148.44,66.92,50.73,1.63,25.08,-0.44,2.81,265.41,42.24,102965.92,133,三级
河南省,濮阳市,2013-01-05,148.29,220.28,83.94,62.6,2.8,17.91,-0.04,1.54,268.05,38.09,102424.59,198,四级
河南省,濮阳市,2013-01-06,219.34,316.14,121.87,87.54,3.63,17.3,-1.6,-0.03,269.14,43.02,102402.78,270,五级
河南省,濮阳市,2013-01-07,306.22,370.76,94.67,81.39,4.12,24.24,-0.69,0.72,271.65,51.16,102068.09,357,六级
河南省,濮阳市,2013-01-08,354.01,448.49,148.7,115.38,4.53,10.9,-1.4,-6.41,269.11,63.79,102546.39,403,六级
河南省,濮阳市,2013-01-09,177.74,238.93,79.68,66.3,2.61,16.9,-1.39,-2.09,268.46,64.35,102759.37,228,五级
河南省,濮阳市,2013-01-10,317.1,411.02,79.69,75.52,2.51,15.31,-0.48,6.25,272.33,67.59,102343.23,368,六级
河南省,濮阳市,2013-01-11,373.51,465.45,88.85,83.89,3.08,14.28,1.27,2.99,275.0,55.58,102061.92,416,六级
河南省,濮阳市,2013-01-12,387.8,480.65,87.1,92.12,3.9,20.72,0.08,5.2,274.87,53.51,101979.36,426,六级
河南省,濮阳市,2013-01-13,334.37,453.22,68.35,83.28,5.0,11.12,0.07,-1.4,273.27,64.89,101793.33,385,六级
河南省,濮阳市,2013-01-14,261.2,475.14,107.37,101.41,5.21,8.64,-1.99,-1.13,272.69,71.69,102162.73,369,六级
河南省,濮阳市,2013-01-15,239.49,483.76,130.38,93.88,5.13,14.85,-0.71,-0.12,272.86,72.18,102099.63,380,六级
河南省,濮阳市,2013-01-16,218.26,364.84,156.19,92.57,4.4,7.74,-2.6,-4.85,271.97,65.29,102689.74,269,五级
河南省,濮阳市,2013-01-17,162.62,228.58,71.75,65.02,2.79,19.86,-1.16,-2.49,270.75,57.11,103429.42,213,五级
河南省,濮阳市,2013-01-18,186.59,242.03,53.73,55.67,2.25,24.46,2.43,7.92,273.47,56.03,102642.51,237,五级
河南省,濮阳市,2013-01-19,227.03,318.32,64.02,58.75,3.47,16.84,-1.46,1.81,274.21,66.59,102200.31,278,五级
河南省,濮阳市,2013-01-20,275.03,329.94,106.21,75.1,4.41,11.68,-1.55,-5.3,273.13,79.6,102257.73,326,六级
河南省,濮阳市,2013-01-21,173.93,208.91,80.97,62.77,2.73,9.7,0.04,-6.22,272.59,83.62,102360.06,224,五级
河南省,濮阳市,2013-01-22,222.03,264.07,92.33,66.7,3.44,8.56,-0.74,-1.72,270.92,86.26,102494.48,273,五级
河南省,濮阳市,2013-01-23,221.71,324.1,85.52,78.63,3.44,12.68,2.51,4.85,274.26,78.24,101519.74,272,五级
河南省,濮阳市,2013-01-24,226.41,348.81,91.2,74.71,5.13,18.49,2.05,-4.77,273.38,52.84,102027.32,277,五级
河南省,濮阳市,2013-01-25,137.86,280.45,80.49,67.12,3.48,17.18,0.88,-2.98,271.0,69.44,101902.11,183,四级
河南省,濮阳市,2013-01-26,207.89,271.73,118.3,76.34,2.97,13.4,-0.99,-4.45,270.36,83.3,102249.49,258,五级
河南省,濮阳市,2013-01-27,194.4,265.64,78.5,69.61,1.98,16.27,-0.36,1.77,273.6,68.67,102358.56,245,五级
河南省,濮阳市,2013-01-28,224.28,315.82,60.15,55.86,2.81,15.54,2.16,5.59,278.6,59.38,101662.83,275,五级
河南省,濮阳市,2013-01-29,192.12,321.28,98.24,73.47,3.37,10.83,-0.68,-4.06,276.09,82.74,101835.69,243,五级
河南省,濮阳市,2013-01-30,174.78,346.1,91.24,78.8,3.87,11.81,-1.71,2.43,277.32,81.26,101922.54,225,五级
河南省,濮阳市,2013-01-31,133.47,222.5,84.27,71.73,4.66,5.35,-0.79,-1.1,275.82,89.55,101635.76,177,四级
河南省,濮阳市,2013-02-01,125.56,191.22,97.38,71.1,3.96,15.61,-0.87,-5.95,274.59,70.89,102151.51,166,四级
河南省,濮阳市,2013-02-02,93.07,142.16,72.01,53.78,2.27,18.01,-2.32,-2.09,273.88,56.9,102803.47,123,三级
河南省,濮阳市,2013-02-03,79.69,94.71,42.09,40.53,1.79,11.17,-3.02,4.61,274.39,82.46,101644.35,106,三级
河南省,濮阳市,2013-02-04,87.52,108.7,65.31,43.78,2.21,21.69,-2.41,-6.1,272.46,77.19,102174.56,116,三级
河南省,濮阳市,2013-02-05,94.51,112.99,57.01,46.59,1.92,17.8,-0.88,0.42,272.11,88.87,102008.09,125,三级
