province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河南省,许昌市,2013-01-01,86.35,236.7,57.76,43.04,3.04,30.38,0.32,-4.19,273.59,36.98,101051.24,144,三级
河南省,许昌市,2013-01-02,50.06,84.74,33.29,28.77,2.89,29.68,-4.98,-6.01,267.61,43.62,102388.0,73,二级
河南省,许昌市,2013-01-03,53.65,91.16,51.55,37.31,2.82,23.2,-2.05,-2.41,265.79,36.45,102884.49,74,二级
河南省,许昌市,2013-01-04,83.49,129.46,65.95,44.63,3.1,22.34,-1.09,0.78,267.48,29.77,102016.08,111,三级
河南省,许昌市,2013-01-05,139.42,244.58,91.24,67.89,4.62,20.1,0.13,0.84,270.02,29.69,101461.35,185,四级
河南省,许昌市,2013-01-06,249.33,370.73,163.3,78.53,6.04,37.17,-0.54,0.37,270.8,40.34,101446.96,300,五级
河南省,许昌市,2013-01-07,188.52,269.23,124.79,75.25,3.52,16.65,1.23,0.09,273.39,34.65,101101.25,239,五级
河南省,许昌市,2013-01-08,436.67,543.97,165.87,115.13,7.22,12.6,-2.7,-5.91,272.28,49.37,101507.61,458,六级
河南省,许昌市,2013-01-09,234.06,285.69,123.63,78.27,4.67,14.67,-2.31,-2.65,271.17,59.35,101790.87,285,五级
河南省,许昌市,2013-01-10,353.69,504.56,108.6,102.35,4.55,17.14,-0.49,3.98,273.89,58.15,101437.0,405,六级
河南省,许昌市,2013-01-11,303.6,431.0,94.76,85.55,4.49,22.8,5.01,-0.01,277.36,40.81,101231.32,354,六级
河南省,许昌市,2013-01-12,370.64,490.06,78.25,96.33,4.99,23.04,0.01,2.12,276.68,34.48,101124.54,414,六级
河南省,许昌市,2013-01-13,272.06,350.97,77.29,71.7,5.69,20.32,-1.18,-0.91,275.64,52.08,100794.08,323,六级
河南省,许昌市,2013-01-14,421.41,563.54,75.75,91.42,7.42,17.54,-1.35,-0.82,275.13,53.8,101212.38,464,六级
河南省,许昌市,2013-01-15,333.06,471.73,87.11,82.52,6.15,17.34,0.61,-1.45,276.46,53.32,101157.38,384,六级
河南省,许昌市,2013-01-16,319.76,497.45,71.11,87.64,6.4,13.54,-2.19,-4.3,273.79,57.59,101659.16,397,六级
河南省,许昌市,2013-01-17,163.11,215.35,117.61,58.31,3.79,19.78,-2.51,-3.67,271.98,57.59,102481.0,214,五级
河南省,许昌市,2013-01-18,170.83,245.6,72.53,54.31,2.88,25.11,0.98,4.99,274.04,58.23,101825.78,221,五级
河南省,许昌市,2013-01-19,200.33,311.77,58.29,54.15,3.78,37.98,-2.36,3.08,276.86,59.03,101114.04,251,五级
河南省,许昌市,2013-01-20,218.61,261.6,83.41,58.25,4.15,20.31,-3.25,-6.33,273.21,82.94,101235.82,269,五级
河南省,许昌市,2013-01-21,214.21,264.87,104.15,56.18,5.42,12.16,-1.01,-4.01,273.84,74.57,101463.22,265,五级
河南省,许昌市,2013-01-22,232.62,330.8,130.12,59.15,4.61,15.46,-1.35,-2.44,272.56,81.84,101584.29,283,五级
河南省,许昌市,2013-01-23,239.85,329.51,76.64,49.18,3.9,35.65,3.99,3.1,276.59,68.07,100759.45,290,五级
河南省,许昌市,2013-01-24,89.28,123.08,59.76,42.23,2.55,28.13,3.82,-5.91,277.09,38.37,101192.98,118,三级
河南省,许昌市,2013-01-25,65.76,124.53,78.73,46.38,2.34,18.68,3.18,-1.12,277.54,37.67,100962.24,89,二级
河南省,许昌市,2013-01-26,151.52,188.63,90.45,47.78,3.41,19.62,-2.38,-4.62,273.9,60.46,101263.0,202,五级
河南省,许昌市,2013-01-27,203.31,285.96,79.91,52.43,2.87,15.05,0.17,1.04,275.84,59.25,101475.49,254,五级
河南省,许昌市,2013-01-28,215.13,284.18,51.85,41.66,2.57,23.05,2.94,5.22,279.96,53.74,100830.3,266,五级
河南省,许昌市,2013-01-29,256.11,333.49,64.57,55.43,3.62,13.5,-0.73,-1.92,279.55,63.39,100889.5,307,六级
河南省,许昌市,2013-01-30,188.85,277.43,63.07,54.56,3.75,13.56,-2.08,-1.04,277.83,79.33,100980.96,239,五级
河南省,许昌市,2013-01-31,122.41,169.21,65.75,51.25,5.87,11.91,-1.2,-2.1,277.39,88.66,100686.8,161,四级
河南省,许昌市,2013-02-01,198.34,299.98,109.71,63.85,8.42,14.91,-1.86,-4.31,277.57,65.94,101165.23,249,五级
河南省,许昌市,2013-02-02,97.47,138.07,53.67,44.84,6.54,21.29,-3.82,-3.16,275.6,57.2,101773.42,129,三级
河南省,许昌市,2013-02-03,83.68,88.07,33.66,33.21,5.72,10.22,-2.67,0.37,276.38,84.84,100648.75,111,三级
河南省,许昌市,2013-02-04,97.31,125.11,54.79,34.52,6.15,15.84,-2.95,-5.27,275.25,71.94,101086.17,128,三级
河南省,许昌市,2013-02-05,91.2,117.97,51.3,37.51,4.94,25.12,-0.27,-3.41,273.66,82.24,101049.33,121,三级
河南省,许昌市,2013-02-06,143.73,205.25,56.95,40.45,5.84,18.48,-2.19,-2.06,277.14,69.21,101034.86,192,四级
河南省,许昌市,2013-02-07,59.21,82.55,27.77,19.58,5.31,44.8,-7.46,-8.77,268.36,40.69,102161.56,107,三级
河南省,许昌市,2013-02-08,38.08,68.78,44.21,26.74,4.27,40.56,-2.05,-0.99,267.68,35.1,102321.45,102,三级
河南省,许昌市,2013-02-09,75.96,112.53,33.62,25.39,4.17,49.59,1.9,5.66,273.06,55.15,101357.79,102,三级
河南省,许昌市,2013-02-10,232.06,322.65,60.43,37.74,5.11,32.44,-3.29,-3.24,273.25,76.9,101289.97,283,五级
河南省,许昌市,2013-02-11,135.18,159.29,54.42,26.42,4.46,35.51,-3.19,-6.42,272.22,77.06,101676.41,179,四级
河南省,许昌市,2013-02-12,80.84,108.29,60.69,30.85,4.81,26.23,2.24,-2.75,276.44,44.03,101594.0,108,三级
河南省,许昌市,2013-02-13,75.65,124.09,54.7,31.7,4.76,52.47,1.67,3.75,277.56,37.34,101060.39,104,三级
河南省,许昌市,2013-02-14,152.31,214.29,77.16,37.59,4.56,52.39,-0.78,-2.65,276.94,49.93,100983.53,203,五级
河南省,许昌市,2013-02-15,188.36,251.01,64.64,36.66,3.6,31.92,-2.75,-2.8,275.4,58.63,101435.11,239,五级
河南省,许昌市,2013-02-16,206.53,268.69,35.79,28.25,2.86,48.62,-2.57,5.7,279.18,57.33,100662.26,257,五级
河南省,许昌市,2013-02-17,193.52,317.46,53.22,39.48,2.98,25.56,-2.34,-3.32,279.93,57.9,100390.69,244,五级
河南省,许昌市,2013-02-18,100.39,147.75,47.51,31.66,1.7,32.79,-5.04,-7.41,274.08,61.08,101176.64,132,三级
河南省,许昌市,2013-02-19,75.96,116.18,48.3,32.46,1.3,35.01,-0.65,1.94,274.58,76.98,101580.16,102,三级
河南省,许昌市,2013-02-20,80.32,121.51,39.03,33.28,1.22,39.95,1.15,3.95,276.76,71.2,101441.59,107,三级
河南省,许昌市,2013-02-21,147.8,217.79,60.91,50.49,1.73,21.82,-0.59,-0.19,277.42,72.32,101505.53,197,四级
河南省,许昌市,2013-02-22,206.79,293.31,84.72,53.89,2.6,34.12,-1.97,-3.59,280.17,36.68,101623.19,257,五级
河南省,许昌市,2013-02-23,244.81,292.96,69.58,56.51,2.17,38.01,-2.62,-0.32,279.72,45.02,101517.9,295,五级
河南省,许昌市,2013-02-24,238.1,276.79,56.44,49.9,2.18,46.76,-3.73,-2.24,281.22,59.88,100988.25,289,五级
河南省,许昌市,2013-02-25,310.83,386.25,65.49,57.53,3.72,27.24,-3.12,-5.44,280.44,68.99,100949.34,361,六级
河南省,许昌市,2013-02-26,254.12,335.92,78.35,55.85,3.76,15.42,-1.25,-2.55,281.56,59.44,100783.18,305,六级
河南省,许昌市,2013-02-27,338.73,478.93,90.23,62.02,3.38,26.81,-0.34,1.23,282.4,59.9,100576.44,389,六级
河南省,许昌市,2013-02-28,222.48,262.29,58.63,47.01,2.41,27.79,-0.06,0.33,283.45,72.45,99948.9,273,五级
河南省,许昌市,2013-03-01,56.21,118.2,19.73,18.74,1.34,54.42,-5.97,-8.89,276.44,21.61,101615.75,85,二级
河南省,许昌市,2013-03-02,32.29,62.03,39.14,32.93,1.4,38.4,-1.47,0.81,276.83,21.9,102019.63,57,二级
河南省,许昌市,2013-03-03,67.44,192.58,66.47,44.58,1.72,28.62,5.88,-0.28,283.79,20.63,101137.92,122,三级
河南省,许昌市,2013-03-04,76.18,205.69,70.6,52.25,2.71,25.27,-1.59,-4.06,284.97,20.35,101201.67,128,三级
河南省,许昌市,2013-03-05,92.24,137.56,57.18,47.8,2.05,37.58,1.55,5.28,286.35,34.62,100733.81,122,三级
河南省,许昌市,2013-03-06,78.05,150.5,55.18,53.78,1.88,32.18,7.23,1.81,290.41,28.65,100269.14,104,三级
河南省,许昌市,2013-03-07,75.44,135.7,67.43,45.78,1.92,38.04,4.99,-0.49,291.85,20.22,100211.09,101,三级
河南省,许昌市,2013-03-08,75.07,131.61,49.57,49.5,1.98,36.28,4.54,2.35,295.74,18.23,99620.67,101,三级
河南省,许昌市,2013-03-09,107.78,262.43,33.02,30.71,1.83,56.28,2.85,0.01,294.68,22.95,99451.21,157,四级
河南省,许昌市,2013-03-10,32.63,119.43,25.46,24.24,2.44,52.5,-7.03,-5.8,280.08,18.39,101406.36,85,二级
河南省,许昌市,2013-03-11,38.66,46.86,25.79,33.92,2.28,30.36,-4.58,2.64,280.75,43.21,100847.36,57,二级
河南省,许昌市,2013-03-12,86.52,117.51,60.49,44.3,2.34,19.28,1.5,1.11,284.77,52.81,99917.1,115,三级
河南省,许昌市,2013-03-13,67.68,83.13,35.47,29.96,2.45,38.56,-6.87,-7.24,279.86,48.58,101309.02,91,二级
河南省,许昌市,2013-03-14,55.46,76.36,29.81,34.46,1.89,37.3,-3.88,2.39,277.33,41.27,101607.95,76,二级
河南省,许昌市,2013-03-15,69.7,102.01,41.89,39.1,1.98,35.87,-1.06,3.47,281.26,41.29,100903.29,94,二级
河南省,许昌市,2013-03-16,94.8,140.51,38.91,52.41,2.45,30.92,-1.3,0.05,281.86,65.46,100751.09,125,三级
河南省,许昌市,2013-03-17,141.61,210.94,83.71,56.9,3.32,29.35,3.04,-0.66,286.67,51.98,99938.34,189,四级
河南省,许昌市,2013-03-18,78.6,196.81,51.58,43.39,2.49,38.86,7.27,-1.26,292.53,20.92,99408.89,124,三级
河南省,许昌市,2013-03-19,62.42,73.79,32.38,30.78,1.53,60.77,4.06,3.11,289.82,42.48,99285.71,85,二级
河南省,许昌市,2013-03-20,55.16,95.21,30.47,27.31,2.34,42.32,-4.91,-6.99,278.94,50.78,100840.04,76,二级
河南省,许昌市,2013-03-21,81.82,116.34,31.93,29.26,1.93,39.86,0.93,7.32,282.82,57.09,100037.01,109,三级
河南省,许昌市,2013-03-22,140.48,256.88,53.51,38.05,2.27,42.12,-1.95,-5.35,284.38,50.12,100113.62,187,四级
河南省,许昌市,2013-03-23,121.45,201.94,46.41,46.07,1.76,31.97,0.85,2.86,284.58,49.86,100037.33,160,四级
河南省,许昌市,2013-03-24,81.18,111.6,48.12,33.55,1.75,41.2,-7.14,-7.93,281.87,25.59,100696.95,108,三级
河南省,许昌市,2013-03-25,60.06,85.93,32.8,39.77,1.61,27.28,-4.57,0.53,279.28,42.55,100801.99,82,二级
河南省,许昌市,2013-03-26,74.99,96.0,31.13,30.11,1.7,36.62,-0.64,2.53,279.59,80.52,100545.29,100,二级
河南省,许昌市,2013-03-27,77.16,118.61,35.64,34.26,1.66,42.41,2.99,7.12,287.03,57.26,99828.58,103,三级
河南省,许昌市,2013-03-28,100.8,176.87,55.86,35.19,2.55,40.01,-3.68,-6.51,285.91,52.52,100266.2,133,三级
河南省,许昌市,2013-03-29,72.27,95.07,45.77,37.47,2.22,39.06,-3.71,-1.47,281.82,67.49,100594.73,97,二级
河南省,许昌市,2013-03-30,94.04,119.74,33.3,35.07,2.69,27.67,-3.59,-4.53,282.83,72.22,100489.08,124,三级
河南省,许昌市,2013-03-31,108.1,150.72,32.97,33.82,2.57,34.73,-1.94,2.85,283.74,65.14,100650.44,142,三级
河南省,许昌市,2013-04-01,124.0,211.9,50.54,38.83,2.47,47.98,-0.79,-0.51,289.44,47.03,100264.4,163,四级
河南省,许昌市,2013-04-02,55.92,93.73,31.44,32.02,1.78,55.26,-3.36,0.08,285.54,35.98,100867.52,77,二级
河南省,许昌市,2013-04-03,76.87,94.57,37.39,35.98,1.95,60.14,-1.72,4.55,287.48,40.29,100014.7,103,三级
河南省,许昌市,2013-04-04,118.54,160.31,37.18,44.67,2.19,59.62,-3.81,0.44,288.39,51.02,99639.68,156,四级
河南省,许昌市,2013-04-05,128.0,138.26,43.63,49.37,2.77,25.55,-1.99,-8.06,287.03,49.66,100009.8,169,四级
河南省,许昌市,2013-04-06,52.76,73.49,35.34,33.51,1.65,41.38,-0.39,-4.67,283.28,22.28,100494.3,73,二级
河南省,许昌市,2013-04-07,61.79,122.99,33.8,33.69,1.65,48.8,4.48,9.08,286.53,36.01,99728.97,87,二级
河南省,许昌市,2013-04-08,57.51,114.04,38.11,32.67,1.45,44.49,2.21,-3.48,287.44,33.45,100022.31,83,二级
河南省,许昌市,2013-04-09,29.4,82.15,29.1,27.92,1.29,50.21,4.8,-5.95,283.2,12.18,101000.06,67,二级
河南省,许昌市,2013-04-10,47.98,109.93,53.86,40.06,1.38,37.31,2.97,-3.63,283.42,17.93,100892.89,80,二级
河南省,许昌市,2013-04-11,55.1,102.69,65.55,45.34,1.28,35.94,1.91,-1.72,288.21,21.53,100621.95,77,二级
河南省,许昌市,2013-04-12,68.63,94.8,46.34,41.4,1.27,42.47,0.31,2.88,289.7,31.46,100470.26,93,二级
河南省,许昌市,2013-04-13,51.85,109.08,37.59,36.53,0.77,54.74,7.51,3.19,296.51,21.54,99666.2,80,二级
河南省,许昌市,2013-04-14,51.72,119.13,40.61,32.83,1.15,53.74,-3.01,-2.48,291.59,38.21,99745.3,85,二级
河南省,许昌市,2013-04-15,75.78,134.76,48.66,38.66,0.88,66.06,5.6,7.76,297.77,27.11,98952.66,101,三级
河南省,许昌市,2013-04-16,75.8,126.82,37.91,30.37,1.49,59.09,0.7,-2.12,294.22,37.6,98988.01,102,三级
河南省,许昌市,2013-04-17,87.01,123.01,39.39,31.56,1.32,54.06,-3.09,-0.65,290.07,54.92,99310.08,116,三级
河南省,许昌市,2013-04-18,77.18,156.16,39.47,26.44,1.57,52.13,-6.83,-8.34,286.89,40.71,100162.61,104,三级
河南省,许昌市,2013-04-19,32.25,43.65,41.75,29.12,1.59,36.81,-5.48,-6.29,279.47,45.57,100739.51,47,一级
河南省,许昌市,2013-04-20,44.12,53.0,35.59,30.65,1.48,42.6,-0.77,-4.73,275.19,86.19,100996.95,62,二级
河南省,许昌市,2013-04-21,84.58,116.67,44.28,36.55,1.88,56.04,-0.74,2.29,281.07,64.15,100783.64,112,三级
河南省,许昌市,2013-04-22,78.21,97.42,23.51,39.64,2.25,30.22,-2.1,2.57,281.53,74.95,100260.45,105,三级
河南省,许昌市,2013-04-23,101.19,150.59,38.0,44.56,2.2,28.52,2.87,3.14,285.91,70.06,99925.63,133,三级
河南省,许昌市,2013-04-24,134.61,212.63,47.73,47.92,1.94,33.66,2.75,-1.59,293.13,24.15,100025.97,179,四级
河南省,许昌市,2013-04-25,64.09,148.13,46.21,38.91,1.13,44.15,-0.19,-2.09,292.66,22.13,100210.0,100,二级
河南省,许昌市,2013-04-26,79.35,135.63,39.68,34.06,1.57,60.98,2.29,5.66,294.07,35.88,99842.15,106,三级
河南省,许昌市,2013-04-27,72.98,122.06,32.79,29.42,0.83,71.11,2.54,6.67,298.3,31.13,99360.39,98,二级
河南省,许昌市,2013-04-28,91.06,133.29,52.29,39.82,0.73,84.69,1.76,2.92,296.83,45.05,99474.15,121,三级
河南省,许昌市,2013-04-29,85.29,112.58,37.81,39.28,1.45,56.91,-4.46,-6.55,293.95,32.13,100097.4,113,三级
河南省,许昌市,2013-04-30,87.68,156.27,65.64,55.74,1.63,66.36,0.28,-1.12,294.17,24.47,100073.07,116,三级
河南省,许昌市,2013-05-01,103.88,178.65,65.94,54.11,1.71,55.7,1.81,2.65,294.99,24.3,99952.59,137,三级
河南省,许昌市,2013-05-02,85.67,124.36,38.06,37.3,1.02,67.26,0.21,1.98,293.82,33.52,99711.73,114,三级
河南省,许昌市,2013-05-03,89.72,147.2,44.47,41.34,1.6,75.48,-1.54,-1.09,294.56,42.88,99914.62,119,三级
河南省,许昌市,2013-05-04,101.25,137.93,45.83,40.54,1.77,79.74,-3.1,-1.25,292.01,50.11,100456.31,133,三级
河南省,许昌市,2013-05-05,90.91,136.05,33.29,43.36,1.71,82.42,-2.77,1.72,293.98,50.99,100318.6,120,三级
河南省,许昌市,2013-05-06,105.32,123.53,41.12,43.97,1.33,72.16,-1.36,0.64,292.54,79.04,100178.29,138,三级
河南省,许昌市,2013-05-07,107.18,137.59,30.75,50.31,2.5,31.07,-3.85,-2.42,292.6,71.55,100113.28,141,三级
河南省,许昌市,2013-05-08,70.19,79.22,30.3,40.86,2.49,29.34,-2.98,-3.4,291.14,88.1,99901.89,94,二级
河南省,许昌市,2013-05-09,106.83,182.45,39.42,54.48,1.57,33.06,0.99,-2.52,292.63,66.96,99641.63,140,三级
河南省,许昌市,2013-05-10,83.47,146.79,41.04,52.21,1.05,50.77,4.93,-3.65,296.88,14.48,99557.39,111,三级
河南省,许昌市,2013-05-11,49.5,121.51,37.87,45.9,1.0,70.48,4.82,4.03,298.0,21.44,99043.57,86,二级
河南省,许昌市,2013-05-12,51.73,113.25,36.4,43.55,0.81,81.53,4.15,5.79,300.45,29.41,98857.42,82,二级
河南省,许昌市,2013-05-13,60.85,106.09,33.62,41.48,1.11,89.34,2.85,7.14,301.97,34.44,98912.52,83,二级
河南省,许昌市,2013-05-14,75.42,132.45,50.78,33.76,0.93,96.54,-1.48,0.75,300.41,37.78,99216.96,101,三级
河南省,许昌市,2013-05-15,59.32,117.97,51.85,32.82,1.13,95.72,-7.1,-5.93,297.05,36.0,99694.05,84,二级
河南省,许昌市,2013-05-16,45.47,80.98,43.12,30.05,0.97,77.17,-5.15,-4.55,293.98,43.34,100051.13,66,二级
河南省,许昌市,2013-05-17,66.68,101.7,48.69,40.86,1.22,75.44,-2.46,-1.81,293.83,49.38,99874.6,90,二级
河南省,许昌市,2013-05-18,81.04,82.35,34.86,34.29,1.3,71.89,1.13,0.24,294.5,64.41,99397.79,108,三级
河南省,许昌市,2013-05-19,96.09,155.91,53.11,45.71,1.28,65.16,5.53,3.1,299.18,40.45,98998.29,127,三级
河南省,许昌市,2013-05-20,63.51,164.62,44.14,34.74,1.0,77.52,-2.47,-1.68,298.01,16.35,99205.03,108,三级
河南省,许昌市,2013-05-21,90.01,150.13,36.3,38.87,1.18,95.49,2.52,6.73,301.02,36.94,98842.62,119,三级
河南省,许昌市,2013-05-22,127.99,164.96,38.47,32.65,1.74,97.04,-0.78,4.69,302.03,39.86,99133.07,169,四级
河南省,许昌市,2013-05-23,134.02,147.1,50.96,48.5,1.51,81.96,-2.61,0.67,300.6,41.98,99540.56,178,四级
河南省,许昌市,2013-05-24,172.5,174.76,41.42,62.69,2.15,60.87,-2.77,0.18,300.6,44.85,99629.94,223,五级
河南省,许昌市,2013-05-25,106.85,102.94,30.27,54.8,1.53,44.47,-3.7,-1.87,297.86,65.47,99519.74,140,三级
河南省,许昌市,2013-05-26,58.96,39.95,21.89,30.8,1.55,50.06,-5.88,-7.62,293.84,89.32,98819.37,80,二级
河南省,许昌市,2013-05-27,54.48,51.6,27.18,30.51,1.28,59.74,-0.81,-6.92,295.0,66.45,99076.14,75,二级
河南省,许昌市,2013-05-28,59.35,78.37,34.94,47.74,1.5,54.53,1.23,0.41,296.11,69.56,99385.84,81,二级
河南省,许昌市,2013-05-29,26.6,56.48,36.33,49.74,1.09,42.08,4.41,-1.28,293.25,53.93,100055.81,63,二级
河南省,许昌市,2013-05-30,37.3,87.12,35.92,57.7,1.24,53.16,3.13,2.98,293.66,41.93,99826.85,73,二级
