province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河南省,鹤壁市,2013-01-01,76.38,207.78,75.14,41.09,2.53,22.23,0.35,-6.66,270.32,37.69,101113.89,129,三级
河南省,鹤壁市,2013-01-02,53.26,94.96,56.79,34.45,4.14,24.48,-1.97,-6.35,264.3,43.56,102505.68,101,三级
河南省,鹤壁市,2013-01-03,60.62,104.89,83.21,43.83,1.91,21.35,-0.61,-2.41,264.54,35.37,102884.55,83,二级
河南省,鹤壁市,2013-01-04,99.89,156.28,71.14,46.83,1.98,23.02,0.63,3.93,266.36,37.56,101965.6,132,三级
河南省,鹤壁市,2013-01-05,165.83,264.11,150.63,63.07,3.2,11.9,0.37,-0.79,268.77,32.01,101459.98,216,五级
河南省,鹤壁市,2013-01-06,220.3,339.99,149.8,77.44,4.24,18.45,-0.45,-0.68,269.53,36.45,101445.67,271,五级
河南省,鹤壁市,2013-01-07,307.53,431.26,124.48,85.87,4.86,14.53,-0.34,-1.52,271.87,43.12,101121.09,358,六级
河南省,鹤壁市,2013-01-08,459.87,607.72,206.86,110.82,6.28,11.25,-1.38,-7.54,269.64,53.68,101639.42,600,六级
河南省,鹤壁市,2013-01-09,205.94,273.6,107.31,73.04,3.32,16.81,-1.57,-1.09,269.21,59.6,101806.85,256,五级
河南省,鹤壁市,2013-01-10,377.96,514.95,103.49,90.72,4.05,10.89,2.16,6.82,273.06,60.05,101335.34,419,六级
河南省,鹤壁市,2013-01-11,379.87,503.68,101.35,95.58,3.52,14.44,1.89,0.98,276.35,41.8,101110.18,420,六级
河南省,鹤壁市,2013-01-12,396.12,493.6,104.82,98.98,4.77,28.3,1.88,5.54,276.01,38.68,101006.22,431,六级
河南省,鹤壁市,2013-01-13,396.93,529.47,133.11,103.7,5.56,7.72,-0.25,-4.12,272.97,58.07,100886.99,432,六级
河南省,鹤壁市,2013-01-14,248.63,444.87,118.76,88.58,4.72,11.01,-0.64,-0.37,273.84,56.28,101220.66,332,六级
河南省,鹤壁市,2013-01-15,158.08,387.21,129.36,75.65,3.85,17.21,-0.72,-0.48,273.59,62.79,101165.52,254,五级
河南省,鹤壁市,2013-01-16,242.4,438.99,179.32,90.8,5.51,12.97,-1.85,-5.38,272.18,62.56,101774.04,324,六级
河南省,鹤壁市,2013-01-17,164.13,235.14,89.26,61.24,3.92,20.18,-0.89,-1.04,271.33,54.79,102483.87,215,五级
河南省,鹤壁市,2013-01-18,202.48,276.9,89.4,75.87,3.56,16.41,4.25,8.37,274.41,53.34,101634.85,253,五级
河南省,鹤壁市,2013-01-19,316.29,403.7,113.33,76.04,4.44,11.42,0.62,-2.91,273.74,64.87,101263.5,367,六级
河南省,鹤壁市,2013-01-20,238.42,285.32,127.64,73.43,4.71,5.58,-0.09,-7.59,271.42,88.24,101384.65,289,五级
河南省,鹤壁市,2013-01-21,163.1,211.84,137.97,64.1,3.19,8.92,-0.64,-5.47,272.49,82.07,101479.42,214,五级
河南省,鹤壁市,2013-01-22,210.16,271.32,107.34,64.4,4.27,10.24,-0.18,-1.23,271.19,84.58,101563.91,261,五级
河南省,鹤壁市,2013-01-23,210.82,320.73,109.76,81.82,4.15,14.68,2.57,2.45,276.35,60.22,100565.13,261,五级
河南省,鹤壁市,2013-01-24,147.01,250.02,103.01,70.81,4.23,18.87,1.3,-4.31,274.44,45.11,101129.29,196,四级
河南省,鹤壁市,2013-01-25,110.17,264.15,106.11,64.14,4.33,11.6,-0.38,-4.48,270.06,59.32,100994.26,158,四级
河南省,鹤壁市,2013-01-26,161.83,222.98,109.7,56.26,3.38,16.25,-0.97,-4.46,269.98,78.57,101342.49,212,五级
河南省,鹤壁市,2013-01-27,172.34,250.16,75.96,55.23,2.65,17.36,0.62,2.77,274.76,62.25,101399.36,223,五级
河南省,鹤壁市,2013-01-28,231.07,342.19,65.99,59.36,3.97,9.35,2.77,4.67,279.71,45.66,100702.69,282,五级
河南省,鹤壁市,2013-01-29,196.84,319.2,102.76,65.72,4.41,10.22,-0.51,-5.23,276.01,75.0,100955.2,247,五级
河南省,鹤壁市,2013-01-30,179.57,273.09,71.55,60.18,3.81,20.35,-0.13,3.37,277.55,76.19,100976.76,230,五级
河南省,鹤壁市,2013-01-31,181.16,261.64,113.52,69.01,5.41,8.51,-0.15,-2.42,275.46,86.46,100734.6,232,五级
河南省,鹤壁市,2013-02-01,152.04,219.94,115.1,67.25,3.76,14.2,-1.48,-5.44,275.21,64.69,101260.74,203,五级
河南省,鹤壁市,2013-02-02,88.34,124.02,77.59,44.88,2.17,21.66,-1.75,-3.17,273.59,57.5,101874.64,117,三级
河南省,鹤壁市,2013-02-03,81.64,89.02,36.89,33.41,1.82,16.01,-1.22,4.43,274.76,81.81,100670.71,109,三级
河南省,鹤壁市,2013-02-04,85.95,117.49,82.5,36.93,2.53,23.61,-1.81,-6.84,273.11,71.22,101265.71,114,三级
