province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
浙江省,台州市,2013-01-01,44.39,69.22,21.29,41.42,0.77,36.95,2.08,-1.1,278.28,36.6,99508.17,62,二级
浙江省,台州市,2013-01-02,57.92,88.32,27.56,45.89,0.97,21.59,-0.2,-6.92,278.4,71.62,99838.01,79,二级
浙江省,台州市,2013-01-03,34.99,48.69,22.59,26.73,0.84,38.31,1.1,-9.64,274.61,78.2,100386.46,50,一级
浙江省,台州市,2013-01-04,53.19,56.9,28.99,45.78,1.0,17.51,0.88,-7.61,274.72,89.49,99957.18,73,二级
浙江省,台州市,2013-01-05,55.13,61.69,33.16,53.29,1.34,12.12,1.56,-6.78,274.49,92.26,99563.68,76,二级
浙江省,台州市,2013-01-06,44.28,52.9,28.78,56.99,1.35,10.64,1.58,-6.44,275.21,92.36,99577.39,72,二级
浙江省,台州市,2013-01-07,52.89,65.11,37.25,56.06,1.48,9.77,1.97,-5.33,275.2,90.83,99479.81,73,二级
浙江省,台州市,2013-01-08,88.84,108.13,52.58,62.77,1.56,15.67,2.07,-6.33,275.18,84.23,99512.38,118,三级
浙江省,台州市,2013-01-09,109.86,128.92,51.17,65.71,1.38,21.66,0.92,-7.81,276.12,81.9,99715.32,144,三级
浙江省,台州市,2013-01-10,74.31,92.04,29.14,40.23,1.11,40.96,-1.62,-6.79,276.2,76.94,99939.91,100,二级
浙江省,台州市,2013-01-11,66.23,87.86,16.06,36.79,1.07,38.1,-2.18,-3.84,278.81,84.25,99797.01,90,二级
浙江省,台州市,2013-01-12,77.22,104.72,31.51,60.54,1.3,25.17,-0.13,-4.8,279.37,77.45,99619.9,103,三级
浙江省,台州市,2013-01-13,41.33,51.02,17.31,46.74,1.01,31.94,0.22,-6.04,280.05,92.94,99059.52,59,二级
浙江省,台州市,2013-01-14,66.56,85.14,28.98,49.8,1.27,44.49,2.12,-7.1,277.9,77.35,99477.33,90,二级
浙江省,台州市,2013-01-15,97.25,130.02,20.51,51.23,1.29,39.4,-0.66,-0.84,279.22,75.95,99648.77,128,三级
浙江省,台州市,2013-01-16,129.3,172.16,31.54,62.3,1.52,34.37,2.15,-4.11,279.88,71.9,99682.7,171,四级
浙江省,台州市,2013-01-17,111.65,146.3,31.59,41.17,1.45,38.49,0.99,-8.24,275.67,72.34,100293.32,146,三级
浙江省,台州市,2013-01-18,61.54,81.5,24.04,42.14,1.2,50.33,-0.32,-5.44,274.25,66.71,100397.84,84,二级
浙江省,台州市,2013-01-19,53.98,76.13,13.67,41.18,1.18,46.0,-2.28,-0.85,278.37,85.35,100001.96,74,二级
浙江省,台州市,2013-01-20,43.44,74.09,13.35,42.32,1.27,42.55,-2.72,1.39,284.67,96.12,99664.65,63,二级
浙江省,台州市,2013-01-21,95.17,132.34,22.85,62.31,1.55,27.95,2.12,-0.73,285.26,88.64,99447.17,126,三级
浙江省,台州市,2013-01-22,63.16,82.15,31.67,58.57,1.65,15.71,1.92,-5.4,278.11,80.83,99648.33,86,二级
浙江省,台州市,2013-01-23,88.53,112.23,31.24,53.47,1.57,28.9,2.35,-3.94,277.88,69.12,99492.53,117,三级
