province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
浙江省,绍兴市,2013-01-01,54.42,87.59,33.01,53.79,1.19,28.03,2.27,1.9,276.8,46.9,100307.19,75,二级
浙江省,绍兴市,2013-01-02,72.38,118.42,38.46,52.13,1.43,21.13,-1.04,-6.36,276.74,80.03,100796.11,97,二级
浙江省,绍兴市,2013-01-03,47.37,56.87,34.2,41.08,1.38,29.74,1.3,-7.69,272.68,80.78,101398.25,66,二级
浙江省,绍兴市,2013-01-04,76.45,74.25,53.69,63.84,1.55,11.82,0.87,-5.49,272.6,95.36,100918.34,102,三级
浙江省,绍兴市,2013-01-05,98.08,96.35,51.22,66.16,1.7,8.91,2.02,-3.79,272.17,95.53,100503.91,129,三级
浙江省,绍兴市,2013-01-06,81.64,80.69,45.57,66.92,1.58,10.52,1.5,-3.81,272.95,96.71,100505.73,109,三级
浙江省,绍兴市,2013-01-07,106.52,114.37,65.92,80.0,1.82,10.21,2.09,-2.39,272.56,94.6,100388.43,140,三级
浙江省,绍兴市,2013-01-08,150.25,168.7,81.38,88.01,2.05,13.26,2.29,-3.79,273.58,84.32,100419.14,201,五级
浙江省,绍兴市,2013-01-09,137.89,150.56,76.09,79.62,1.86,21.02,0.39,-5.86,275.39,80.01,100637.51,183,四级
浙江省,绍兴市,2013-01-10,96.3,117.46,51.33,69.4,1.6,25.55,-2.61,-4.5,275.3,71.24,100828.08,127,三级
浙江省,绍兴市,2013-01-11,110.58,138.98,44.09,71.81,1.38,15.88,-1.99,-0.66,277.15,77.64,100648.9,145,三级
浙江省,绍兴市,2013-01-12,141.5,181.31,69.91,93.13,1.76,16.45,-0.1,-1.75,278.18,77.09,100463.15,188,四级
浙江省,绍兴市,2013-01-13,106.09,110.82,41.56,99.63,1.73,15.15,-0.36,-3.43,278.66,95.95,99951.72,139,三级
浙江省,绍兴市,2013-01-14,104.26,119.13,37.56,69.89,1.57,21.97,1.8,-3.54,275.9,96.12,100379.16,137,三级
浙江省,绍兴市,2013-01-15,124.81,148.65,31.12,67.7,1.49,25.74,-0.67,0.63,278.48,73.74,100419.55,165,四级
浙江省,绍兴市,2013-01-16,160.47,186.64,47.22,72.03,1.65,20.54,1.3,-2.8,277.8,81.4,100556.5,211,五级
浙江省,绍兴市,2013-01-17,108.56,134.0,38.34,49.88,1.58,30.88,0.53,-7.06,274.81,74.28,101233.82,142,三级
浙江省,绍兴市,2013-01-18,80.06,97.21,36.32,61.98,1.29,39.22,-0.79,-3.48,273.45,66.38,101266.86,107,三级
浙江省,绍兴市,2013-01-19,81.85,103.41,20.62,55.7,1.2,36.43,-2.89,2.55,278.16,68.53,100754.63,109,三级
浙江省,绍兴市,2013-01-20,58.59,88.11,22.71,50.04,1.26,38.59,-2.51,4.58,285.24,82.04,100365.95,80,二级
浙江省,绍兴市,2013-01-21,103.17,129.06,38.14,69.74,1.77,17.48,1.97,-0.72,281.71,89.35,100297.9,136,三级
浙江省,绍兴市,2013-01-22,77.27,86.76,44.3,65.47,2.0,11.84,2.24,-4.42,276.21,83.24,100534.62,103,三级
浙江省,绍兴市,2013-01-23,99.87,121.15,38.88,59.3,1.67,29.62,2.12,-1.95,276.54,72.37,100313.58,132,三级
浙江省,绍兴市,2013-01-24,131.65,168.16,46.79,59.49,1.75,36.6,2.04,-1.05,279.47,68.11,100115.64,174,四级
浙江省,绍兴市,2013-01-25,140.04,178.33,41.67,60.88,1.63,40.7,0.25,-1.68,277.19,65.34,100391.46,186,四级
浙江省,绍兴市,2013-01-26,117.87,157.16,35.62,68.94,1.34,43.68,1.32,-0.78,279.71,54.24,100214.91,155,四级
浙江省,绍兴市,2013-01-27,127.98,153.68,36.0,62.53,1.37,33.85,-1.35,-2.95,277.69,76.11,100708.5,169,四级
浙江省,绍兴市,2013-01-28,85.07,109.87,21.61,53.14,1.13,41.99,-2.24,3.49,279.71,56.63,100623.01,113,三级
浙江省,绍兴市,2013-01-29,65.39,90.7,17.09,58.57,1.08,39.65,-0.55,2.86,283.0,60.65,100386.37,88,二级
浙江省,绍兴市,2013-01-30,74.43,97.86,16.38,43.36,0.92,57.34,-2.76,2.75,284.24,55.06,100564.85,100,二级
浙江省,绍兴市,2013-01-31,61.42,81.62,13.55,42.57,0.93,60.01,-1.35,6.26,287.25,61.66,100244.88,84,二级
浙江省,绍兴市,2013-02-01,66.27,76.32,17.27,50.75,1.33,35.58,2.51,1.17,287.67,80.38,100161.65,90,二级
浙江省,绍兴市,2013-02-02,79.82,102.27,19.38,50.01,1.66,21.99,-2.2,-4.04,279.68,90.83,100823.92,107,三级
浙江省,绍兴市,2013-02-03,32.03,47.15,9.66,24.62,0.71,45.03,-2.74,3.94,283.96,80.52,100211.16,48,一级
浙江省,绍兴市,2013-02-04,64.82,79.23,17.37,36.19,1.27,22.83,1.05,-0.84,284.49,86.84,100150.48,88,二级
浙江省,绍兴市,2013-02-05,37.4,42.29,12.42,34.5,1.02,22.99,-0.12,-0.88,282.43,92.97,99900.68,54,二级
浙江省,绍兴市,2013-02-06,49.29,54.5,14.6,30.02,1.0,28.78,0.05,-3.64,278.42,81.61,100212.31,68,二级
浙江省,绍兴市,2013-02-07,43.6,50.62,20.14,26.2,0.89,43.57,-2.84,-6.98,275.8,90.65,100460.02,61,二级
浙江省,绍兴市,2013-02-08,28.86,31.76,15.64,19.58,0.73,50.28,0.09,-7.33,271.69,87.52,101049.81,42,一级
浙江省,绍兴市,2013-02-09,65.76,68.88,18.63,21.35,0.87,45.38,0.58,-3.28,271.79,89.14,100862.04,89,二级
浙江省,绍兴市,2013-02-10,133.91,142.87,18.35,20.06,0.9,45.03,-1.78,-1.68,274.6,84.91,100591.86,178,四级
浙江省,绍兴市,2013-02-11,68.05,71.64,11.76,19.28,0.82,54.81,-3.79,-2.11,277.58,90.6,100593.55,92,二级
浙江省,绍兴市,2013-02-12,37.92,39.78,11.1,17.18,0.78,55.93,0.12,-4.39,278.18,92.24,100547.58,54,二级
浙江省,绍兴市,2013-02-13,66.46,69.98,13.86,17.79,0.93,58.43,-2.83,-1.35,277.55,77.49,100539.69,90,二级
浙江省,绍兴市,2013-02-14,68.88,74.59,8.2,27.16,1.17,38.78,-0.91,0.1,280.17,92.11,100087.45,93,二级
