province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
海南省,乐东黎族自治县,2013-01-01,23.56,26.49,8.33,4.21,0.29,63.34,-2.98,-2.56,289.43,75.15,98096.92,34,一级
海南省,乐东黎族自治县,2013-01-02,26.97,30.49,7.39,4.14,0.29,62.4,-3.24,-1.32,292.15,81.33,98059.29,39,一级
海南省,乐东黎族自治县,2013-01-03,31.35,36.54,8.85,5.51,0.35,62.11,-6.27,-4.84,292.2,80.91,98239.1,45,一级
海南省,乐东黎族自治县,2013-01-04,34.5,38.92,8.46,6.43,0.38,48.14,-6.25,-6.27,289.8,80.63,98139.63,50,一级
海南省,乐东黎族自治县,2013-01-05,29.93,34.07,6.95,5.66,0.35,51.47,-4.64,-4.51,290.0,79.56,97946.74,43,一级
海南省,乐东黎族自治县,2013-01-06,36.38,40.56,7.28,5.13,0.37,55.5,-4.98,-5.64,289.18,80.32,98029.63,52,二级
海南省,乐东黎族自治县,2013-01-07,37.79,42.07,6.78,3.87,0.38,62.69,-3.87,-4.01,290.25,79.45,97986.88,54,二级
海南省,乐东黎族自治县,2013-01-08,41.74,45.83,6.71,4.04,0.39,60.45,-3.03,-3.48,291.3,81.01,97956.99,59,二级
海南省,乐东黎族自治县,2013-01-09,49.34,55.53,8.9,4.27,0.46,63.43,-5.08,-6.04,289.59,81.22,98014.53,68,二级
海南省,乐东黎族自治县,2013-01-10,59.98,70.29,12.02,4.6,0.56,64.3,-5.31,-5.2,289.19,79.78,98059.11,82,二级
海南省,乐东黎族自治县,2013-01-11,67.58,71.66,11.21,5.34,0.55,63.02,-5.32,-4.61,290.88,79.27,98089.79,91,二级
海南省,乐东黎族自治县,2013-01-12,48.98,51.05,9.13,4.3,0.45,64.56,-4.56,-5.51,290.88,78.05,98026.87,68,二级
海南省,乐东黎族自治县,2013-01-13,44.66,50.28,7.29,2.9,0.45,70.04,-2.09,-5.01,290.43,75.78,97888.98,63,二级
海南省,乐东黎族自治县,2013-01-14,48.67,53.77,7.06,3.03,0.46,74.69,-2.46,-1.7,291.15,68.59,97993.95,68,二级
海南省,乐东黎族自治县,2013-01-15,21.51,25.33,2.98,2.29,0.28,76.86,-3.9,-1.45,291.79,71.37,98159.01,39,一级
海南省,乐东黎族自治县,2013-01-16,17.24,21.55,1.75,2.29,0.26,71.24,-3.21,-2.18,291.76,77.48,98279.88,36,一级
海南省,乐东黎族自治县,2013-01-17,27.93,33.31,7.93,3.22,0.35,79.32,-5.49,-4.46,291.54,72.74,98433.0,40,一级
海南省,乐东黎族自治县,2013-01-18,68.71,81.28,15.57,5.08,0.67,67.99,-6.16,-5.88,290.12,75.07,98588.88,93,二级
海南省,乐东黎族自治县,2013-01-19,41.1,47.31,7.88,3.06,0.42,68.76,-4.29,-2.61,290.49,76.59,98297.81,58,二级
