province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
海南省,定安县,2013-01-01,41.53,58.02,13.3,22.38,0.35,50.32,-1.42,-3.89,289.2,79.57,100776.31,59,二级
海南省,定安县,2013-01-02,46.45,60.47,9.38,23.45,0.33,52.56,-3.7,-2.5,291.71,90.9,100702.16,65,二级
海南省,定安县,2013-01-03,42.85,58.09,10.56,19.37,0.4,55.06,-5.32,-5.71,291.42,87.41,100976.28,60,二级
海南省,定安县,2013-01-04,43.79,50.39,9.32,22.9,0.39,26.2,-3.93,-6.42,289.37,87.52,100886.72,61,二级
海南省,定安县,2013-01-05,44.52,54.35,9.16,28.91,0.39,16.72,-3.28,-4.41,289.74,87.83,100661.12,62,二级
海南省,定安县,2013-01-06,47.83,58.64,9.43,19.21,0.42,29.31,-2.54,-4.93,289.3,88.8,100747.92,67,二级
海南省,定安县,2013-01-07,47.66,54.9,8.96,20.12,0.45,32.53,-2.14,-4.1,289.79,87.28,100690.01,66,二级
海南省,定安县,2013-01-08,65.79,76.75,10.96,22.24,0.75,43.1,-1.46,-3.56,290.05,89.53,100649.0,89,二级
海南省,定安县,2013-01-09,53.72,65.87,10.97,17.9,0.85,31.51,-3.04,-5.2,289.58,85.66,100735.76,74,二级
海南省,定安县,2013-01-10,56.89,72.67,12.56,17.25,0.76,42.77,-3.83,-4.68,289.55,84.25,100772.12,78,二级
海南省,定安县,2013-01-11,92.16,105.09,13.73,22.32,1.03,50.67,-3.55,-5.07,290.8,87.87,100787.33,122,三级
海南省,定安县,2013-01-12,101.79,112.57,12.25,26.78,1.21,38.64,-2.78,-5.33,290.73,83.41,100735.09,134,三级
海南省,定安县,2013-01-13,60.9,74.04,10.7,19.4,1.01,49.81,1.48,-3.85,289.71,78.69,100536.83,83,二级
海南省,定安县,2013-01-14,65.08,81.45,10.19,38.36,1.28,64.87,-2.89,-1.64,290.9,76.07,100639.59,88,二级
海南省,定安县,2013-01-15,28.46,41.6,3.4,11.44,0.3,73.82,-5.11,-1.67,292.13,79.29,100809.47,42,一级
海南省,定安县,2013-01-16,31.34,47.88,3.45,9.28,0.3,70.76,-4.31,-2.76,291.91,85.97,100926.87,48,一级
海南省,定安县,2013-01-17,37.0,53.57,9.44,10.9,0.45,84.49,-4.96,-4.75,291.76,80.96,101127.88,53,二级
海南省,定安县,2013-01-18,67.46,89.54,15.1,13.71,0.75,65.75,-4.82,-5.98,290.26,80.19,101314.16,91,二级
海南省,定安县,2013-01-19,38.88,58.12,5.98,10.13,0.38,74.3,-4.94,-2.53,290.7,83.99,100973.44,55,二级
海南省,定安县,2013-01-20,23.38,43.61,1.8,14.08,0.23,52.96,-3.7,-0.66,293.03,88.36,100780.54,44,一级
海南省,定安县,2013-01-21,20.74,37.4,2.03,10.0,0.22,63.44,-2.0,-2.34,293.55,90.1,100777.53,38,一级
海南省,定安县,2013-01-22,21.23,34.62,5.06,15.69,0.37,60.99,-2.76,-2.79,292.94,90.71,100794.38,35,一级
海南省,定安县,2013-01-23,35.8,56.41,10.5,16.91,0.59,61.74,-3.9,-3.06,292.39,87.88,100758.08,54,二级
海南省,定安县,2013-01-24,35.19,56.2,5.38,22.15,0.72,55.05,-2.92,-1.81,292.54,90.81,100686.15,54,二级
海南省,定安县,2013-01-25,74.8,91.71,11.59,15.34,0.97,75.05,-3.76,-3.21,291.83,88.04,100760.91,100,二级
海南省,定安县,2013-01-26,53.66,74.63,6.85,13.82,0.8,76.15,-3.74,0.47,292.5,88.17,100656.42,74,二级
海南省,定安县,2013-01-27,46.24,55.01,7.58,15.69,1.07,69.86,-4.1,-3.17,292.07,91.02,100873.8,65,二级
海南省,定安县,2013-01-28,41.89,60.65,5.94,10.91,0.65,77.66,-5.2,-1.47,291.92,85.09,100890.62,59,二级
海南省,定安县,2013-01-29,25.12,50.04,2.36,10.06,0.44,61.14,-4.94,-0.35,293.02,87.0,100850.22,51,二级
海南省,定安县,2013-01-30,14.72,28.5,1.69,9.11,0.33,59.23,-5.86,0.07,293.59,85.47,100896.36,30,一级
海南省,定安县,2013-01-31,15.52,28.53,1.63,7.49,0.32,62.44,-5.02,1.61,293.95,84.01,100849.59,32,一级
海南省,定安县,2013-02-01,18.68,32.35,1.61,9.78,0.37,64.61,-3.81,-0.73,293.83,86.72,100817.37,33,一级
海南省,定安县,2013-02-02,21.78,28.58,3.39,15.69,0.4,65.96,-3.08,-2.38,293.24,89.05,100835.72,33,一级
海南省,定安县,2013-02-03,19.11,29.02,4.25,15.02,0.47,58.76,-2.3,-0.98,294.44,92.73,100635.65,30,一级
海南省,定安县,2013-02-04,13.61,21.45,2.1,11.19,0.49,50.61,-2.44,-0.88,294.77,95.42,100724.11,26,一级
海南省,定安县,2013-02-05,10.83,16.77,1.76,10.02,0.38,45.04,-2.09,0.19,294.9,92.22,100708.45,23,一级
海南省,定安县,2013-02-06,11.64,15.89,1.82,6.93,0.27,45.33,-2.18,1.25,294.04,93.12,100510.06,23,一级
海南省,定安县,2013-02-07,7.34,11.76,1.43,4.36,0.19,44.28,-2.87,4.2,294.9,89.04,100150.18,23,一级
海南省,定安县,2013-02-08,8.58,17.62,4.14,6.93,0.34,55.46,-4.42,-2.58,293.48,92.19,100532.22,28,一级
海南省,定安县,2013-02-09,16.75,26.65,8.24,11.45,0.81,37.62,-4.66,-5.75,290.8,89.99,100928.3,27,一级
海南省,定安县,2013-02-10,24.31,35.88,7.36,6.72,0.53,55.24,-4.74,-3.04,291.7,87.83,100827.69,36,一级
海南省,定安县,2013-02-11,18.4,26.68,3.68,5.99,0.33,55.99,-4.53,-0.55,292.99,87.96,100677.68,28,一级
海南省,定安县,2013-02-12,17.3,29.03,4.14,6.84,0.34,60.76,-4.82,-3.34,293.26,88.64,100774.06,31,一级
海南省,定安县,2013-02-13,22.64,39.04,8.1,8.18,0.59,50.18,-4.4,-4.31,292.07,85.47,100740.88,40,一级
海南省,定安县,2013-02-14,20.64,37.12,3.55,9.41,0.45,49.58,-3.18,-1.66,293.71,91.89,100522.99,38,一级
海南省,定安县,2013-02-15,28.04,45.4,3.66,10.18,0.52,52.96,-2.8,-2.58,294.01,94.01,100557.56,46,一级
海南省,定安县,2013-02-16,26.44,41.44,6.75,10.16,0.69,46.62,-4.4,-2.32,293.45,87.33,100572.24,42,一级
海南省,定安县,2013-02-17,17.81,33.28,2.0,7.76,0.36,45.7,-3.74,0.97,294.2,90.36,100322.72,34,一级
海南省,定安县,2013-02-18,15.79,25.66,1.7,5.94,0.31,58.44,-2.44,3.11,294.54,91.82,100162.19,30,一级
海南省,定安县,2013-02-19,12.07,19.07,1.89,6.66,0.26,50.29,-3.14,0.37,294.0,90.51,100281.59,26,一级
海南省,定安县,2013-02-20,19.03,35.0,6.8,10.22,0.52,53.72,-5.27,-3.97,292.87,87.56,100650.75,36,一级
海南省,定安县,2013-02-21,17.69,34.98,4.69,6.18,0.35,74.67,-5.39,-3.88,293.18,88.36,100742.66,38,一级
海南省,定安县,2013-02-22,37.56,47.28,8.26,10.42,0.68,79.52,-4.12,-6.01,292.35,81.6,100942.22,54,二级
海南省,定安县,2013-02-23,37.55,50.78,9.3,14.4,0.7,55.81,-3.78,-5.69,291.82,82.9,100949.71,54,二级
海南省,定安县,2013-02-24,24.52,40.36,3.02,8.22,0.43,79.12,-4.75,-3.3,293.22,90.96,100730.66,41,一级
海南省,定安县,2013-02-25,31.09,71.83,1.73,8.74,0.43,69.65,-5.46,-0.3,295.34,91.8,100584.87,61,二级
海南省,定安县,2013-02-26,24.89,47.53,1.52,9.47,0.41,54.61,-3.11,0.85,295.82,92.18,100458.36,48,一级
海南省,定安县,2013-02-27,16.0,24.72,1.89,7.57,0.3,45.13,-2.1,1.76,295.55,90.55,100293.98,25,一级
海南省,定安县,2013-02-28,11.3,16.45,1.7,5.35,0.22,41.66,-2.25,5.16,295.67,89.48,100102.0,21,一级
海南省,定安县,2013-03-01,9.13,13.91,1.65,5.06,0.23,47.26,-1.42,7.11,297.73,82.38,100098.07,24,一级
海南省,定安县,2013-03-02,11.4,18.8,5.1,10.94,0.38,47.11,-3.64,-1.68,293.9,94.28,100684.6,24,一级
海南省,定安县,2013-03-03,35.34,45.64,10.87,18.33,0.99,40.37,-3.6,-6.36,290.04,86.93,101117.68,51,二级
海南省,定安县,2013-03-04,36.63,47.16,10.9,10.81,0.57,70.74,-2.98,-4.47,290.57,73.67,101115.82,53,二级
海南省,定安县,2013-03-05,31.68,53.55,5.68,10.07,0.45,93.05,-4.22,-3.34,291.94,77.3,101026.83,52,二级
海南省,定安县,2013-03-06,22.33,61.57,2.42,13.1,0.43,81.72,-4.68,-1.38,293.31,85.03,100868.46,56,二级
海南省,定安县,2013-03-07,27.37,58.08,2.44,7.35,0.42,80.51,-3.61,-1.8,293.85,80.14,100834.91,55,二级
海南省,定安县,2013-03-08,27.16,43.14,3.09,10.42,0.41,71.87,-2.61,0.55,293.59,72.05,100634.05,44,一级
海南省,定安县,2013-03-09,28.65,47.56,3.45,8.54,0.37,76.31,-2.14,3.27,293.96,74.82,100382.94,48,一级
海南省,定安县,2013-03-10,21.34,33.85,2.18,5.14,0.3,76.92,-2.48,3.63,294.82,78.62,100320.89,39,一级
海南省,定安县,2013-03-11,14.29,21.44,1.63,4.52,0.25,65.39,-3.97,2.21,294.78,80.15,100435.88,33,一级
海南省,定安县,2013-03-12,16.0,26.15,1.5,4.84,0.25,51.5,-3.58,3.41,294.49,87.54,100300.02,27,一级
海南省,定安县,2013-03-13,21.19,36.21,2.23,8.48,0.34,42.56,-1.89,2.82,295.98,87.02,100291.42,37,一级
海南省,定安县,2013-03-14,24.95,36.6,4.21,6.29,0.37,58.3,-3.75,-1.09,294.58,91.31,100645.27,37,一级
海南省,定安县,2013-03-15,24.64,45.03,2.37,4.17,0.49,70.03,-5.16,-0.26,294.63,89.3,100792.36,46,一级
海南省,定安县,2013-03-16,16.7,32.67,1.59,3.36,0.34,69.08,-4.65,2.43,295.07,89.32,100680.94,35,一级
海南省,定安县,2013-03-17,17.4,28.16,1.66,3.19,0.33,58.7,-2.66,5.94,296.19,86.68,100188.12,30,一级
海南省,定安县,2013-03-18,15.76,26.1,1.78,4.57,0.29,48.02,-1.45,6.18,297.53,82.24,99893.98,27,一级
海南省,定安县,2013-03-19,10.56,20.86,1.47,3.24,0.3,49.27,-1.44,7.6,298.39,82.03,99892.46,25,一级
海南省,定安县,2013-03-20,8.24,15.7,1.36,4.03,0.25,48.15,-0.74,6.84,298.66,76.53,99996.42,25,一级
海南省,定安县,2013-03-21,9.89,15.84,1.53,3.6,0.2,38.82,-2.46,4.94,297.5,87.41,100062.32,20,一级
海南省,定安县,2013-03-22,11.09,17.13,1.53,3.19,0.21,38.04,-2.32,5.37,297.61,86.31,100021.99,20,一级
海南省,定安县,2013-03-23,12.1,18.96,1.67,4.13,0.23,39.4,-1.77,4.93,298.07,82.73,99989.77,20,一级
海南省,定安县,2013-03-24,13.41,22.09,2.16,5.7,0.24,44.43,-0.8,3.56,298.82,75.38,99893.35,23,一级
海南省,定安县,2013-03-25,10.84,18.41,1.56,3.59,0.22,35.17,-2.88,5.48,297.79,86.72,99856.59,19,一级
海南省,定安县,2013-03-26,7.53,14.76,1.73,6.43,0.19,35.59,-1.39,6.28,299.25,79.18,99843.68,18,一级
海南省,定安县,2013-03-27,13.03,23.12,4.12,7.23,0.26,46.92,-2.11,0.11,297.8,85.93,100059.63,24,一级
海南省,定安县,2013-03-28,6.83,12.53,1.37,4.02,0.2,38.5,-1.45,4.77,298.5,86.83,100005.24,20,一级
海南省,定安县,2013-03-29,9.28,13.42,1.63,4.82,0.26,46.98,-1.48,4.65,297.99,86.56,99999.93,24,一级
海南省,定安县,2013-03-30,11.8,20.63,1.67,6.2,0.26,43.4,-2.26,5.9,298.15,87.33,99967.03,22,一级
海南省,定安县,2013-03-31,12.09,16.34,2.71,6.81,0.3,52.23,-2.51,0.73,297.37,90.77,100097.21,27,一级
海南省,定安县,2013-04-01,12.57,24.45,1.96,4.68,0.32,49.36,-3.94,2.29,297.46,88.8,100232.61,25,一级
海南省,定安县,2013-04-02,12.5,19.29,1.6,4.39,0.3,46.72,-2.76,3.25,297.66,89.39,100172.98,24,一级
海南省,定安县,2013-04-03,11.33,18.43,1.48,5.2,0.3,37.85,-2.36,5.38,298.37,83.82,99877.98,19,一级
海南省,定安县,2013-04-04,8.54,14.53,1.41,3.06,0.21,30.16,-0.63,8.13,299.58,78.92,99482.18,16,一级
海南省,定安县,2013-04-05,15.62,29.53,1.7,9.5,0.4,42.58,2.88,6.72,302.61,65.45,99304.83,30,一级
海南省,定安县,2013-04-06,27.91,45.16,9.25,10.44,0.75,37.48,-0.44,-7.04,294.97,74.14,99920.2,46,一级
海南省,定安县,2013-04-07,31.38,47.76,9.18,6.68,0.57,65.87,-3.91,-3.31,293.82,78.73,100063.67,48,一级
海南省,定安县,2013-04-08,23.85,45.5,3.72,7.39,0.58,64.0,-3.65,0.54,296.38,89.31,100003.9,46,一级
海南省,定安县,2013-04-09,40.79,62.74,2.06,11.39,0.68,55.96,-4.86,-1.26,297.45,91.18,100155.61,58,二级
海南省,定安县,2013-04-10,22.11,34.54,3.9,5.83,0.56,76.0,-5.78,-3.5,296.53,90.68,100345.07,38,一级
海南省,定安县,2013-04-11,39.19,59.56,4.01,8.85,0.6,80.96,-5.13,-3.52,295.76,86.44,100420.62,56,二级
海南省,定安县,2013-04-12,26.67,37.19,6.12,9.61,0.59,57.29,-4.31,-4.76,294.47,88.58,100622.24,39,一级
海南省,定安县,2013-04-13,35.65,60.52,4.16,10.88,0.58,56.04,-3.18,-2.53,294.72,88.92,100494.08,56,二级
海南省,定安县,2013-04-14,34.4,51.22,4.1,8.4,0.49,72.84,-1.63,-0.7,295.82,86.71,100314.91,51,二级
海南省,定安县,2013-04-15,31.59,48.05,4.1,13.84,0.49,65.05,-1.6,3.21,296.65,88.35,99988.19,49,一级
海南省,定安县,2013-04-16,21.27,30.43,2.31,7.78,0.4,63.26,-1.15,5.12,298.52,83.87,99714.54,32,一级
海南省,定安县,2013-04-17,20.29,31.08,2.18,14.6,0.46,48.57,-1.26,4.17,298.36,87.48,99673.94,32,一级
海南省,定安县,2013-04-18,9.17,12.86,1.54,5.64,0.28,37.32,-1.56,5.84,299.23,84.56,99672.99,19,一级
海南省,定安县,2013-04-19,4.83,9.75,1.44,6.73,0.2,32.61,-0.89,6.17,299.69,84.16,99652.07,17,一级
海南省,定安县,2013-04-20,3.93,7.75,1.31,4.24,0.17,34.25,-0.62,6.24,300.23,82.27,99818.59,18,一级
海南省,定安县,2013-04-21,6.16,13.99,2.68,4.99,0.19,34.54,-3.31,1.94,298.15,90.99,100118.78,18,一级
海南省,定安县,2013-04-22,11.95,21.63,1.57,3.88,0.21,32.4,-4.67,1.93,297.74,88.94,100231.31,22,一级
海南省,定安县,2013-04-23,11.46,20.67,1.3,3.68,0.21,42.05,-3.2,3.63,298.44,89.21,100199.4,22,一级
海南省,定安县,2013-04-24,10.42,18.04,1.66,4.89,0.22,43.82,-1.35,4.2,299.42,86.8,100099.93,22,一级
海南省,定安县,2013-04-25,8.53,15.8,1.64,5.38,0.21,38.66,-0.1,4.92,300.26,78.45,100000.12,20,一级
海南省,定安县,2013-04-26,6.43,12.48,1.83,4.98,0.2,45.54,-0.81,3.36,299.17,84.89,100013.29,23,一级
海南省,定安县,2013-04-27,7.41,15.5,1.58,4.08,0.28,48.08,-1.87,4.0,298.81,86.53,99920.16,25,一级
海南省,定安县,2013-04-28,4.11,8.53,1.5,4.99,0.21,31.06,-1.39,4.62,299.34,85.27,99837.66,16,一级
海南省,定安县,2013-04-29,4.08,8.5,1.31,5.78,0.2,31.76,-1.94,6.15,299.73,82.87,99860.46,16,一级
海南省,定安县,2013-04-30,5.72,9.7,1.66,5.17,0.22,37.43,0.89,4.53,300.42,77.89,99774.22,19,一级
海南省,定安县,2013-05-01,11.08,25.77,7.42,10.0,0.43,66.48,-1.99,-2.48,298.03,90.43,99736.83,34,一级
海南省,定安县,2013-05-02,22.29,38.45,5.5,5.85,0.51,88.04,-2.54,-1.76,297.55,89.41,99693.37,45,一级
海南省,定安县,2013-05-03,12.86,22.38,2.14,7.58,0.33,73.87,-4.57,-1.01,297.48,89.55,99824.04,37,一级
海南省,定安县,2013-05-04,22.03,36.88,3.85,5.55,0.39,79.24,-3.81,-2.32,297.38,90.18,100080.23,40,一级
海南省,定安县,2013-05-05,22.73,34.75,2.64,5.72,0.38,61.68,-4.18,-0.27,297.82,90.26,100154.97,35,一级
海南省,定安县,2013-05-06,18.14,28.59,1.91,4.72,0.34,47.12,-2.7,1.72,298.55,89.89,100010.54,29,一级
海南省,定安县,2013-05-07,12.9,20.0,1.8,5.7,0.24,34.9,-2.15,3.19,298.95,89.55,99882.82,20,一级
海南省,定安县,2013-05-08,10.52,17.1,1.8,6.31,0.26,37.99,-1.35,3.86,299.3,87.3,99785.02,19,一级
海南省,定安县,2013-05-09,10.41,17.39,1.95,5.65,0.26,30.85,-0.29,4.38,300.2,82.71,99762.08,18,一级
海南省,定安县,2013-05-10,8.01,13.58,2.08,7.61,0.25,31.03,0.05,3.26,300.54,80.77,99681.72,16,一级
海南省,定安县,2013-05-11,11.76,20.14,4.53,9.58,0.3,47.29,0.21,-0.14,299.06,87.63,99637.7,24,一级
海南省,定安县,2013-05-12,14.82,31.95,5.31,9.63,0.39,60.47,0.62,-0.11,298.96,86.49,99727.05,32,一级
海南省,定安县,2013-05-13,12.3,21.76,2.97,7.65,0.33,46.6,-0.27,2.82,299.88,84.55,99608.93,24,一级
海南省,定安县,2013-05-14,7.01,15.35,1.81,5.05,0.27,42.2,-0.35,4.85,301.12,82.0,99403.09,22,一级
海南省,定安县,2013-05-15,6.58,14.7,1.52,5.36,0.2,37.99,-0.02,6.61,301.81,80.19,99320.48,19,一级
海南省,定安县,2013-05-16,6.56,14.17,1.55,4.99,0.2,39.48,0.24,6.07,302.5,78.77,99349.68,20,一级
海南省,定安县,2013-05-17,8.48,17.08,2.17,5.84,0.24,40.01,0.32,3.53,302.43,79.29,99583.22,21,一级
海南省,定安县,2013-05-18,8.93,17.16,1.81,7.43,0.23,41.52,0.04,4.15,302.48,81.3,99532.88,21,一级
海南省,定安县,2013-05-19,10.62,19.43,2.12,6.28,0.26,48.73,1.1,4.0,302.81,76.25,99427.64,25,一级
海南省,定安县,2013-05-20,8.26,14.95,1.78,6.43,0.25,47.52,2.03,3.41,303.18,67.52,99372.6,24,一级
海南省,定安县,2013-05-21,6.13,12.23,1.75,7.27,0.28,41.06,1.43,3.04,302.31,73.42,99413.75,21,一级
海南省,定安县,2013-05-22,7.59,14.6,1.98,12.38,0.35,27.88,-0.42,3.21,300.74,83.38,99502.38,16,一级
海南省,定安县,2013-05-23,8.03,13.64,2.02,7.69,0.28,28.66,0.53,1.8,301.5,79.19,99683.23,15,一级
海南省,定安县,2013-05-24,6.79,13.08,1.92,8.05,0.28,33.06,-1.28,3.14,301.25,84.71,99734.34,17,一级
海南省,定安县,2013-05-25,6.29,11.98,1.74,6.24,0.22,32.14,-0.17,4.74,300.99,83.68,99668.35,17,一级
海南省,定安县,2013-05-26,4.88,8.71,1.37,5.35,0.27,37.35,0.9,5.21,301.64,77.88,99564.2,19,一级
