province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖北省,咸宁市,2013-01-01,49.35,62.88,30.81,27.93,0.79,50.04,0.82,1.96,277.78,45.28,100344.37,68,二级
湖北省,咸宁市,2013-01-02,78.78,93.3,23.02,28.19,1.05,36.4,-6.51,-3.68,275.8,68.94,100867.08,105,三级
湖北省,咸宁市,2013-01-03,33.3,39.6,17.73,17.21,0.87,47.13,-3.34,-6.62,271.67,52.49,101700.86,48,一级
湖北省,咸宁市,2013-01-04,63.27,59.96,20.33,17.43,0.86,36.95,-3.1,-2.38,271.75,56.55,101087.72,86,二级
湖北省,咸宁市,2013-01-05,101.1,94.3,25.72,28.74,1.04,29.49,-2.02,-1.98,272.67,65.37,100674.5,133,三级
湖北省,咸宁市,2013-01-06,122.94,104.71,29.09,21.88,1.13,40.44,-1.39,-0.87,273.49,67.46,100672.61,162,四级
湖北省,咸宁市,2013-01-07,142.8,121.23,32.61,22.28,1.17,60.79,-0.99,0.32,274.2,65.24,100496.86,190,四级
湖北省,咸宁市,2013-01-08,163.86,151.96,46.63,45.6,1.43,41.88,-1.42,-1.88,275.52,59.07,100594.05,214,五级
湖北省,咸宁市,2013-01-09,189.14,169.76,57.62,48.17,1.68,40.78,-3.5,-2.3,275.39,58.19,100826.52,240,五级
湖北省,咸宁市,2013-01-10,193.29,168.77,30.2,48.0,1.48,33.82,-4.87,-0.19,276.28,66.75,100761.03,244,五级
湖北省,咸宁市,2013-01-11,156.16,125.61,21.54,36.33,1.14,33.58,-1.47,-0.42,278.44,63.25,100629.97,207,五级
湖北省,咸宁市,2013-01-12,163.79,152.21,28.53,47.49,1.56,29.42,-3.06,-0.92,279.16,60.5,100459.03,214,五级
湖北省,咸宁市,2013-01-13,136.73,117.44,21.84,27.9,1.17,51.98,-1.12,0.29,280.29,62.97,100055.48,182,四级
湖北省,咸宁市,2013-01-14,140.82,138.29,27.15,30.35,1.36,48.82,-3.74,-0.14,280.68,60.54,100379.22,187,四级
湖北省,咸宁市,2013-01-15,135.85,125.28,24.32,32.4,1.26,44.64,-0.97,-0.1,280.98,67.33,100418.37,180,四级
湖北省,咸宁市,2013-01-16,165.59,175.29,43.65,61.95,1.72,26.71,-1.7,-2.92,280.32,59.71,100693.51,216,五级
湖北省,咸宁市,2013-01-17,182.19,175.5,34.2,32.62,1.69,43.33,-4.32,-3.77,277.12,63.66,101403.49,233,五级
湖北省,咸宁市,2013-01-18,139.85,130.5,19.57,26.12,1.14,38.13,-3.43,1.1,276.89,55.42,101235.08,186,四级
湖北省,咸宁市,2013-01-19,92.0,90.79,18.42,27.51,0.87,42.25,-2.33,3.84,280.67,52.31,100409.43,122,三级
湖北省,咸宁市,2013-01-20,97.31,85.34,18.54,27.66,0.98,29.65,-1.34,1.0,282.62,74.04,100150.26,128,三级
