province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖北省,孝感市,2013-01-01,59.25,75.99,44.97,39.45,0.88,31.83,0.47,0.34,275.89,59.82,101460.39,81,二级
湖北省,孝感市,2013-01-02,70.55,77.33,17.34,27.15,0.81,35.66,-7.61,-9.38,272.1,55.17,102317.34,95,二级
湖北省,孝感市,2013-01-03,37.31,42.97,13.78,13.65,0.72,49.18,-4.19,-8.4,269.04,39.55,103094.26,53,二级
湖北省,孝感市,2013-01-04,73.79,70.11,16.26,15.03,0.81,40.82,-3.22,-4.64,269.63,41.43,102360.84,99,二级
湖北省,孝感市,2013-01-05,125.85,105.1,17.32,18.93,1.01,39.28,-1.88,-3.6,271.74,42.11,101886.52,166,四级
湖北省,孝感市,2013-01-06,187.45,145.45,23.42,14.23,1.1,48.64,-2.26,-3.38,273.27,43.25,101857.7,238,五级
湖北省,孝感市,2013-01-07,202.67,147.76,38.77,23.97,1.17,79.42,-0.7,-0.9,274.71,35.15,101635.49,253,五级
湖北省,孝感市,2013-01-08,248.98,190.15,52.96,22.65,1.34,54.83,-1.25,-3.47,275.89,42.44,101778.83,299,五级
湖北省,孝感市,2013-01-09,162.25,138.02,36.64,26.85,1.15,40.3,-3.04,-5.73,274.73,50.08,102070.63,213,五级
湖北省,孝感市,2013-01-10,264.4,240.14,50.47,86.66,1.79,17.77,-2.45,0.7,276.31,57.46,101935.68,315,六级
湖北省,孝感市,2013-01-11,216.4,216.63,53.7,85.3,1.68,19.03,-0.37,-0.16,278.12,56.47,101791.68,267,五级
湖北省,孝感市,2013-01-12,109.57,89.8,31.73,56.23,1.06,25.08,-1.85,-2.5,278.28,42.26,101622.27,144,三级
湖北省,孝感市,2013-01-13,154.71,149.91,47.33,70.85,1.3,56.03,-1.33,0.18,279.34,54.27,101185.14,205,五级
湖北省,孝感市,2013-01-14,241.8,213.95,32.57,39.51,1.6,40.77,-2.98,-3.38,278.79,56.78,101561.63,292,五级
湖北省,孝感市,2013-01-15,256.76,237.92,42.7,46.51,1.89,40.12,-1.16,-1.41,279.63,61.31,101574.13,307,六级
湖北省,孝感市,2013-01-16,252.28,259.53,42.94,42.49,1.96,33.34,-2.42,-5.25,278.68,49.71,101903.33,303,六级
湖北省,孝感市,2013-01-17,179.83,165.96,27.68,21.0,1.25,63.76,-3.97,-6.97,275.3,61.82,102702.13,230,五级
湖北省,孝感市,2013-01-18,162.7,171.07,28.01,59.45,1.33,20.91,-2.52,1.59,275.98,53.72,102391.64,213,五级
湖北省,孝感市,2013-01-19,144.7,156.34,46.21,73.61,1.52,24.67,-4.13,4.27,278.97,58.9,101539.46,193,四级
湖北省,孝感市,2013-01-20,125.54,109.09,28.09,43.91,1.12,22.25,-3.13,-2.21,278.88,80.05,101365.68,166,四级
湖北省,孝感市,2013-01-21,173.38,127.92,46.81,41.54,1.64,21.18,-0.78,-6.36,276.27,70.9,101835.17,224,五级
湖北省,孝感市,2013-01-22,220.86,178.89,37.44,37.89,1.82,33.22,-2.21,-4.16,276.12,67.45,101957.16,271,五级
