province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖北省,潜江市,2013-01-01,51.35,67.58,47.42,28.86,0.83,42.6,0.99,1.65,277.25,55.68,102068.21,71,二级
湖北省,潜江市,2013-01-02,71.67,86.52,25.32,30.46,0.88,29.89,-6.78,-8.97,274.26,57.78,102845.05,96,二级
湖北省,潜江市,2013-01-03,37.56,45.72,18.64,13.22,0.71,42.5,-4.75,-7.73,270.99,35.82,103727.27,54,二级
湖北省,潜江市,2013-01-04,59.98,63.84,20.65,15.42,0.79,38.72,-3.36,-4.37,271.07,35.42,102995.49,82,二级
湖北省,潜江市,2013-01-05,101.52,96.63,26.07,20.96,0.94,37.91,-2.64,-3.07,272.78,38.13,102529.02,134,三级
湖北省,潜江市,2013-01-06,137.33,122.42,32.32,15.35,0.98,46.4,-1.97,-2.67,274.19,38.6,102508.14,182,四级
湖北省,潜江市,2013-01-07,166.43,144.71,49.01,24.16,1.1,74.56,-0.74,-0.32,275.42,35.68,102279.29,217,五级
湖北省,潜江市,2013-01-08,223.48,189.79,72.03,29.36,1.21,48.88,-0.88,-3.23,276.72,34.79,102417.0,274,五级
湖北省,潜江市,2013-01-09,200.63,181.73,47.27,29.56,1.34,36.21,-3.28,-5.22,276.09,44.5,102698.02,251,五级
湖北省,潜江市,2013-01-10,231.47,215.8,39.18,52.18,1.45,24.97,-3.76,-1.03,276.79,53.99,102549.7,282,五级
湖北省,潜江市,2013-01-11,193.91,186.38,40.9,46.18,1.33,28.13,-1.46,-1.53,279.29,53.22,102411.8,244,五级
湖北省,潜江市,2013-01-12,135.54,116.26,42.51,50.94,1.21,21.84,-3.54,-1.99,279.59,42.92,102236.74,180,四级
湖北省,潜江市,2013-01-13,155.38,147.57,44.06,41.94,1.21,51.09,-1.77,0.17,280.39,53.13,101785.09,206,五级
湖北省,潜江市,2013-01-14,190.77,175.75,47.11,44.7,1.25,49.59,-3.45,-2.86,280.0,50.02,102156.38,241,五级
湖北省,潜江市,2013-01-15,217.03,203.99,45.1,38.93,1.52,40.97,-1.94,-3.06,280.6,57.29,102193.62,268,五级
湖北省,潜江市,2013-01-16,198.18,202.24,48.29,37.94,1.51,29.76,-3.41,-3.67,280.2,47.23,102513.22,249,五级
湖北省,潜江市,2013-01-17,195.8,184.14,34.31,20.57,1.35,41.61,-4.18,-6.87,277.06,56.16,103317.34,246,五级
湖北省,潜江市,2013-01-18,181.85,192.78,31.49,38.64,1.4,25.67,-2.39,-0.3,276.6,58.44,103016.35,232,五级
湖北省,潜江市,2013-01-19,161.15,172.15,38.64,43.58,1.42,21.33,-1.95,3.41,278.74,62.66,102110.49,212,五级
湖北省,潜江市,2013-01-20,137.24,129.87,33.85,36.1,1.23,17.05,-2.19,-4.48,279.31,86.47,101948.61,182,四级
湖北省,潜江市,2013-01-21,159.75,125.74,45.9,36.85,1.52,25.13,-2.03,-5.05,277.68,65.5,102488.03,210,五级
湖北省,潜江市,2013-01-22,224.22,191.5,51.93,36.57,1.83,30.77,-3.06,-2.62,277.64,61.76,102597.83,275,五级
湖北省,潜江市,2013-01-23,162.48,145.06,55.56,25.96,1.68,46.37,-0.15,3.36,279.11,64.54,102102.91,213,五级
湖北省,潜江市,2013-01-24,113.3,103.15,35.87,21.35,0.88,34.2,-1.19,-5.67,280.56,49.4,102255.86,148,三级
湖北省,潜江市,2013-01-25,87.48,95.62,34.25,35.43,0.76,39.6,-0.82,1.78,280.05,41.78,102187.31,116,三级
湖北省,潜江市,2013-01-26,108.17,126.54,46.21,29.16,0.73,50.76,-2.53,-1.82,281.44,46.99,102103.95,142,三级
湖北省,潜江市,2013-01-27,242.8,221.28,38.06,35.75,1.38,52.97,-2.63,-2.88,280.04,50.15,102555.08,293,五级
湖北省,潜江市,2013-01-28,201.23,192.29,45.85,47.68,1.39,37.47,0.45,3.04,282.5,55.36,102098.94,252,五级
湖北省,潜江市,2013-01-29,134.51,123.51,46.48,20.87,0.89,55.34,-0.44,1.43,284.05,61.4,101983.64,178,四级
湖北省,潜江市,2013-01-30,111.47,116.61,32.01,35.47,1.07,22.7,-4.18,0.65,282.79,82.54,101895.52,146,三级
湖北省,潜江市,2013-01-31,135.24,120.0,35.66,32.09,1.8,12.45,-1.01,-3.41,281.94,95.86,101588.24,179,四级
湖北省,潜江市,2013-02-01,92.99,76.1,35.98,28.97,1.73,31.98,-2.32,-4.25,282.93,74.99,102038.44,123,三级
湖北省,潜江市,2013-02-02,151.79,138.04,36.74,37.8,1.9,15.61,-2.35,-6.33,279.58,81.66,102539.3,202,五级
湖北省,潜江市,2013-02-03,149.34,145.33,39.86,38.1,2.32,10.77,-0.64,-0.08,281.92,88.3,101587.31,200,四级
湖北省,潜江市,2013-02-04,83.21,76.98,31.04,18.37,0.88,22.11,-2.22,-6.52,280.3,83.21,101791.9,111,三级
湖北省,潜江市,2013-02-05,63.52,63.32,31.1,21.44,0.81,26.35,-0.52,-5.79,280.24,77.71,101927.75,86,二级
湖北省,潜江市,2013-02-06,89.11,90.63,32.23,30.42,1.12,20.38,-3.08,-2.18,277.87,81.78,101964.14,118,三级
湖北省,潜江市,2013-02-07,54.6,47.75,22.69,13.26,0.76,40.75,-6.58,-10.67,275.72,76.88,102468.62,75,二级
湖北省,潜江市,2013-02-08,37.8,37.85,14.58,10.16,0.44,56.15,-4.25,-7.28,271.29,42.52,103271.11,54,二级
湖北省,潜江市,2013-02-09,65.16,64.93,21.9,12.78,0.5,53.45,-1.08,1.04,273.12,57.56,102721.03,88,二级
湖北省,潜江市,2013-02-10,117.65,123.34,31.03,17.98,0.67,46.4,-2.62,1.91,276.92,75.4,102203.75,154,四级
湖北省,潜江市,2013-02-11,126.11,113.42,25.85,17.02,0.78,47.36,-3.52,-4.48,278.13,73.1,102356.2,166,四级
湖北省,潜江市,2013-02-12,151.22,133.08,34.9,13.66,0.88,67.76,-1.74,-5.06,278.83,57.14,102696.61,202,五级
湖北省,潜江市,2013-02-13,142.92,128.2,40.55,25.8,1.01,38.2,-2.61,0.43,279.19,55.79,102179.77,190,四级
湖北省,潜江市,2013-02-14,122.1,108.06,31.34,20.56,0.89,35.01,-2.35,-0.88,279.74,67.95,101929.18,161,四级
湖北省,潜江市,2013-02-15,146.25,130.86,35.99,21.82,0.96,53.02,-3.44,-4.1,280.72,49.13,102375.51,195,四级
湖北省,潜江市,2013-02-16,103.81,95.05,30.61,16.12,0.85,59.39,-2.59,3.28,281.69,59.22,101690.22,137,三级
湖北省,潜江市,2013-02-17,96.55,96.85,31.21,28.49,0.81,27.93,-2.43,-0.96,282.31,76.53,101237.74,127,三级
湖北省,潜江市,2013-02-18,103.31,84.68,32.72,15.46,0.85,45.09,-3.93,-8.0,279.31,83.31,101651.83,136,三级
湖北省,潜江市,2013-02-19,45.82,39.32,16.14,14.73,0.6,47.26,-3.3,-6.51,274.66,84.64,102586.61,64,二级
湖北省,潜江市,2013-02-20,56.23,57.41,20.7,20.97,0.59,39.16,-2.93,-1.82,276.85,75.77,102557.74,77,二级
湖北省,潜江市,2013-02-21,76.62,81.06,29.05,20.62,0.57,38.89,-1.62,-2.6,279.14,69.98,102554.78,103,三级
湖北省,潜江市,2013-02-22,102.9,105.01,41.59,16.4,0.66,57.32,-0.89,-2.29,280.86,64.03,102679.07,135,三级
湖北省,潜江市,2013-02-23,118.67,124.18,40.6,32.45,0.98,64.59,-2.75,0.65,283.17,55.22,102498.16,156,四级
湖北省,潜江市,2013-02-24,84.31,86.36,25.44,19.43,0.68,46.14,-3.16,2.0,285.28,63.67,101887.82,112,三级
湖北省,潜江市,2013-02-25,142.9,143.64,33.39,42.62,1.01,23.72,-3.44,-2.71,284.34,81.71,101756.38,190,四级
湖北省,潜江市,2013-02-26,218.55,170.58,24.39,13.93,1.14,51.6,-2.34,-4.5,285.46,77.51,101687.6,269,五级
湖北省,潜江市,2013-02-27,213.88,209.47,31.54,25.54,1.28,46.66,-2.58,-1.46,284.0,78.42,101585.69,264,五级
湖北省,潜江市,2013-02-28,120.63,125.04,37.24,29.92,1.4,29.05,-2.05,1.03,284.89,88.4,100909.27,159,四级
湖北省,潜江市,2013-03-01,44.76,59.16,17.82,11.28,0.62,51.6,-5.03,-11.13,280.87,42.77,102133.15,63,二级
湖北省,潜江市,2013-03-02,29.14,44.85,18.55,11.48,0.46,49.0,-3.62,-5.47,279.03,25.58,103020.59,45,一级
湖北省,潜江市,2013-03-03,49.46,66.91,33.14,18.14,0.52,53.03,0.89,1.96,281.99,30.9,102576.54,69,二级
湖北省,潜江市,2013-03-04,49.11,79.53,32.66,20.55,0.54,52.98,1.83,2.84,287.23,36.67,102247.69,68,二级
湖北省,潜江市,2013-03-05,64.03,118.12,33.64,29.12,0.69,52.73,0.5,7.14,289.23,36.36,102004.25,87,二级
湖北省,潜江市,2013-03-06,69.86,108.16,29.16,31.79,0.75,60.72,1.27,5.04,290.98,39.92,101634.07,94,二级
湖北省,潜江市,2013-03-07,58.27,102.58,26.72,17.49,0.54,64.47,0.45,1.56,291.55,42.27,101633.95,80,二级
湖北省,潜江市,2013-03-08,68.4,99.97,24.95,20.41,0.67,75.27,3.36,5.63,295.57,31.62,101038.36,92,二级
湖北省,潜江市,2013-03-09,81.76,116.07,23.8,21.65,0.81,75.78,2.66,7.15,296.88,46.2,100582.44,109,三级
湖北省,潜江市,2013-03-10,28.58,107.54,13.62,12.34,0.4,55.13,-5.82,-10.76,285.46,34.3,101832.8,79,二级
湖北省,潜江市,2013-03-11,42.91,73.38,26.74,29.22,0.58,24.87,-3.56,-1.48,284.31,63.77,101714.37,62,二级
湖北省,潜江市,2013-03-12,107.0,126.47,39.2,36.09,0.94,16.81,-1.59,-3.44,285.24,78.92,100982.83,140,三级
湖北省,潜江市,2013-03-13,100.43,104.29,32.42,22.37,0.74,29.85,-4.45,-7.26,285.39,52.23,101919.99,132,三级
湖北省,潜江市,2013-03-14,48.39,53.78,22.93,22.76,0.57,47.46,-5.89,-1.98,282.98,45.13,102423.57,67,二级
湖北省,潜江市,2013-03-15,52.52,66.61,20.74,22.32,0.53,56.93,-2.98,2.0,286.0,49.8,101905.5,72,二级
湖北省,潜江市,2013-03-16,71.96,86.19,24.08,34.35,0.76,24.83,-4.19,-1.03,286.91,81.39,101514.39,97,二级
湖北省,潜江市,2013-03-17,86.24,82.13,29.94,22.12,0.8,35.33,-0.75,-5.31,284.84,88.23,101073.09,115,三级
湖北省,潜江市,2013-03-18,61.69,75.38,34.76,21.6,0.73,49.47,3.51,4.32,289.26,64.79,100869.82,84,二级
湖北省,潜江市,2013-03-19,77.25,74.19,34.31,31.48,0.94,41.57,-0.18,3.61,288.77,75.9,100555.18,103,三级
湖北省,潜江市,2013-03-20,88.72,78.59,30.44,23.51,0.68,38.37,-3.7,-7.65,286.2,59.55,101521.16,118,三级
湖北省,潜江市,2013-03-21,85.37,91.08,28.67,25.22,0.78,40.67,-2.31,2.07,286.28,62.68,101183.88,113,三级
湖北省,潜江市,2013-03-22,105.48,112.42,33.97,22.61,0.89,56.86,-2.78,-3.16,291.17,62.9,100814.66,139,三级
湖北省,潜江市,2013-03-23,116.26,97.1,31.61,22.87,0.72,24.89,-0.97,-6.01,285.37,80.44,101070.75,152,四级
