province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖北省,荆州市,2013-01-01,54.16,70.59,47.41,27.55,0.8,45.57,1.48,0.67,277.11,52.47,101819.27,74,二级
湖北省,荆州市,2013-01-02,81.97,98.81,33.05,30.91,0.96,28.48,-5.26,-8.95,275.25,62.16,102530.4,109,三级
湖北省,荆州市,2013-01-03,43.83,52.86,22.17,15.22,0.72,39.88,-4.2,-8.29,271.61,38.48,103429.3,62,二级
湖北省,荆州市,2013-01-04,66.25,70.64,26.16,17.48,0.86,36.1,-2.47,-4.48,271.69,39.75,102713.35,90,二级
湖北省,荆州市,2013-01-05,105.28,102.87,34.77,22.62,1.05,34.15,-1.63,-3.32,273.25,40.89,102258.85,138,三级
湖北省,荆州市,2013-01-06,142.0,134.17,48.97,20.4,1.15,39.61,-0.11,-3.25,273.97,42.55,102252.43,189,四级
湖北省,荆州市,2013-01-07,161.75,150.08,62.6,24.85,1.27,60.76,0.88,-1.16,274.66,42.68,102028.87,212,五级
湖北省,荆州市,2013-01-08,212.42,196.42,82.55,31.93,1.49,42.79,-0.13,-3.89,276.38,42.83,102159.78,263,五级
湖北省,荆州市,2013-01-09,223.12,207.45,56.83,32.18,1.67,34.22,-2.57,-5.55,276.37,47.15,102426.03,274,五级
湖北省,荆州市,2013-01-10,227.81,210.63,52.87,41.64,1.57,30.12,-2.58,-1.39,277.12,54.36,102287.59,278,五级
湖北省,荆州市,2013-01-11,199.85,187.32,56.3,33.56,1.46,36.24,-0.5,-1.4,279.57,51.56,102157.34,250,五级
湖北省,荆州市,2013-01-12,160.47,145.1,53.61,40.55,1.41,27.91,-2.33,-2.27,279.97,47.58,101976.18,211,五级
湖北省,荆州市,2013-01-13,166.48,155.03,55.57,29.14,1.38,48.94,-0.84,-0.07,280.89,53.01,101528.6,217,五级
湖北省,荆州市,2013-01-14,197.03,187.32,64.89,37.93,1.51,45.24,-2.77,-2.82,280.67,53.29,101890.07,248,五级
湖北省,荆州市,2013-01-15,205.18,197.43,58.82,27.73,1.58,45.07,-1.25,-2.59,281.28,56.64,101941.26,256,五级
湖北省,荆州市,2013-01-16,196.12,201.3,54.74,36.16,1.59,30.1,-2.42,-4.17,280.79,50.18,102244.05,247,五级
湖北省,荆州市,2013-01-17,195.22,186.41,40.96,26.5,1.48,37.83,-3.64,-7.24,277.64,56.9,103033.31,246,五级
湖北省,荆州市,2013-01-18,193.74,188.32,41.1,31.69,1.42,28.29,-1.43,-0.12,277.14,57.72,102754.51,244,五级
湖北省,荆州市,2013-01-19,156.26,160.9,43.02,35.13,1.29,25.48,-0.81,3.51,279.24,63.33,101841.51,207,五级
湖北省,荆州市,2013-01-20,151.64,141.21,41.27,32.43,1.25,16.79,-1.46,-4.21,279.62,85.6,101684.63,202,五级
湖北省,荆州市,2013-01-21,162.39,136.96,49.64,35.78,1.49,24.79,-1.7,-5.15,277.69,68.18,102232.34,213,五级
湖北省,荆州市,2013-01-22,221.66,195.94,61.55,35.74,1.82,27.73,-2.15,-2.8,278.09,63.21,102332.61,272,五级
湖北省,荆州市,2013-01-23,163.95,151.47,54.49,24.54,1.61,41.32,-0.06,2.84,279.57,63.53,101847.82,214,五级
湖北省,荆州市,2013-01-24,114.06,101.2,37.73,20.36,0.96,35.93,-1.66,-5.5,280.77,50.67,101996.58,149,三级
湖北省,荆州市,2013-01-25,87.6,93.64,37.58,29.15,0.8,39.17,-0.63,1.45,280.59,43.8,101934.62,116,三级
湖北省,荆州市,2013-01-26,111.03,124.8,50.64,28.66,0.91,48.14,-1.71,-2.22,282.17,48.59,101838.6,146,三级
湖北省,荆州市,2013-01-27,223.06,208.73,44.18,34.09,1.39,46.38,-2.29,-3.08,280.75,51.94,102292.27,274,五级
湖北省,荆州市,2013-01-28,189.62,184.25,48.39,34.51,1.32,41.49,0.43,2.35,282.93,53.76,101846.89,240,五级
湖北省,荆州市,2013-01-29,130.11,124.17,45.28,19.95,1.0,53.22,-0.52,0.58,284.24,61.37,101734.64,172,四级
湖北省,荆州市,2013-01-30,144.01,152.56,45.09,27.68,1.24,30.99,-2.39,0.11,283.46,81.0,101637.45,192,四级
湖北省,荆州市,2013-01-31,181.62,181.08,55.4,31.0,1.84,15.24,-0.43,-2.82,282.8,94.79,101333.19,232,五级
湖北省,荆州市,2013-02-01,100.73,96.39,41.95,27.38,1.61,32.04,-1.93,-4.17,283.32,76.25,101778.78,133,三级
湖北省,荆州市,2013-02-02,156.59,148.35,42.91,38.32,1.94,14.39,-1.69,-6.53,280.09,81.87,102271.6,207,五级
湖北省,荆州市,2013-02-03,143.45,148.52,42.56,34.98,2.11,18.25,-0.1,0.58,282.62,85.53,101327.18,191,四级
湖北省,荆州市,2013-02-04,99.98,98.82,40.67,23.18,1.11,19.02,-2.06,-6.51,281.06,83.56,101519.93,132,三级
湖北省,荆州市,2013-02-05,70.15,75.68,35.68,24.09,0.89,23.65,-0.95,-5.51,280.35,78.72,101678.46,94,二级
湖北省,荆州市,2013-02-06,102.97,108.45,42.81,31.22,1.16,19.8,-2.33,-2.77,278.7,81.05,101694.93,135,三级
湖北省,荆州市,2013-02-07,63.67,63.79,29.51,18.67,0.82,34.3,-5.32,-10.75,276.19,82.75,102157.24,86,二级
湖北省,荆州市,2013-02-08,40.82,42.19,17.2,12.16,0.47,53.14,-3.39,-7.96,271.58,49.29,102985.48,58,二级
湖北省,荆州市,2013-02-09,67.99,70.08,25.52,14.16,0.55,51.6,-0.34,0.74,273.66,60.06,102457.57,92,二级
湖北省,荆州市,2013-02-10,112.33,117.78,37.51,17.9,0.73,47.7,-0.98,1.11,276.58,73.8,101939.81,147,三级
湖北省,荆州市,2013-02-11,126.22,121.19,36.51,18.06,0.83,46.75,-1.96,-4.98,278.06,77.2,102092.36,167,四级
湖北省,荆州市,2013-02-12,153.52,139.83,38.25,15.45,0.94,59.68,-1.48,-5.37,278.86,60.05,102443.87,204,五级
湖北省,荆州市,2013-02-13,144.99,136.51,48.42,21.57,1.0,40.92,-1.57,0.29,279.5,57.29,101919.35,193,四级
湖北省,荆州市,2013-02-14,123.96,119.32,40.85,17.27,0.9,39.22,-1.59,-1.79,279.87,70.0,101668.87,163,四级
湖北省,荆州市,2013-02-15,147.89,140.12,42.13,22.05,1.03,49.36,-3.0,-4.17,280.84,51.15,102114.28,197,四级
湖北省,荆州市,2013-02-16,117.66,117.76,37.66,15.98,0.94,56.78,-1.78,3.17,282.04,55.16,101430.5,154,四级
湖北省,荆州市,2013-02-17,107.85,112.48,37.83,21.83,0.93,36.94,-1.67,-1.4,282.63,74.86,100982.49,142,三级
湖北省,荆州市,2013-02-18,106.02,98.81,37.57,20.57,0.93,36.52,-3.27,-8.35,279.68,85.52,101362.34,139,三级
湖北省,荆州市,2013-02-19,50.3,48.89,20.65,17.55,0.65,43.83,-2.87,-6.98,275.26,85.27,102307.08,70,二级
湖北省,荆州市,2013-02-20,63.54,67.41,26.64,17.35,0.63,48.05,-2.47,-2.07,277.5,76.08,102289.79,86,二级
湖北省,荆州市,2013-02-21,87.33,91.83,44.55,21.83,0.69,39.12,-0.85,-2.22,278.69,76.15,102302.79,116,三级
湖北省,荆州市,2013-02-22,90.79,95.09,41.33,15.3,0.67,56.71,-0.62,-2.47,281.11,62.19,102430.3,120,三级
湖北省,荆州市,2013-02-23,106.12,114.2,40.25,21.8,0.86,64.24,-2.15,0.49,283.49,55.75,102236.68,139,三级
湖北省,荆州市,2013-02-24,86.99,92.71,29.34,16.41,0.72,51.26,-2.04,1.9,285.72,61.62,101629.15,115,三级
湖北省,荆州市,2013-02-25,148.52,148.83,46.26,30.84,1.06,31.95,-2.37,-2.93,285.27,81.96,101489.44,198,四级
湖北省,荆州市,2013-02-26,199.76,166.81,34.26,16.34,1.17,47.23,-1.66,-4.24,285.17,81.63,101438.36,250,五级
湖北省,荆州市,2013-02-27,199.3,193.77,37.8,22.32,1.29,48.18,-1.8,-1.42,284.81,78.18,101326.78,250,五级
湖北省,荆州市,2013-02-28,135.03,143.17,42.31,25.56,1.39,37.75,-1.37,0.93,285.9,86.14,100643.99,179,四级
湖北省,荆州市,2013-03-01,50.51,60.92,21.01,13.32,0.64,49.39,-4.67,-11.6,281.11,47.75,101847.56,70,二级
