province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖北省,鄂州市,2013-01-01,76.2,98.91,46.66,54.83,1.23,29.12,-0.94,0.17,276.29,70.24,102116.26,102,三级
湖北省,鄂州市,2013-01-02,93.25,108.04,25.74,34.31,1.17,29.87,-5.16,-3.81,274.74,61.43,102765.39,123,三级
湖北省,鄂州市,2013-01-03,39.61,41.3,19.07,17.75,0.81,48.52,-1.38,-6.82,271.96,46.07,103547.11,56,二级
湖北省,鄂州市,2013-01-04,96.67,83.04,28.6,23.11,0.92,32.87,-1.9,-1.41,272.36,47.93,102917.6,128,三级
湖北省,鄂州市,2013-01-05,145.99,137.0,33.18,32.61,1.13,31.06,-1.4,-1.05,273.41,52.08,102471.77,195,四级
湖北省,鄂州市,2013-01-06,176.06,149.94,38.04,31.71,1.35,35.88,-1.18,0.17,274.48,58.46,102447.84,227,五级
湖北省,鄂州市,2013-01-07,198.58,169.1,41.63,47.48,1.42,53.58,-0.69,0.09,275.3,56.73,102261.21,249,五级
湖北省,鄂州市,2013-01-08,229.39,220.98,42.27,46.12,1.76,45.08,-0.42,-2.72,276.48,51.5,102345.28,280,五级
湖北省,鄂州市,2013-01-09,252.48,216.79,63.29,52.38,2.05,39.59,-1.24,-1.32,276.56,49.17,102613.19,303,六级
湖北省,鄂州市,2013-01-10,257.84,231.13,42.63,71.44,1.99,25.07,-4.31,1.02,276.94,58.12,102567.71,308,六级
湖北省,鄂州市,2013-01-11,209.72,158.2,29.45,65.01,1.66,19.31,-2.17,-0.02,278.4,66.43,102402.01,260,五级
湖北省,鄂州市,2013-01-12,182.25,159.62,28.06,58.76,1.53,24.41,-1.6,-0.92,279.21,58.94,102221.16,233,五级
湖北省,鄂州市,2013-01-13,190.14,180.83,36.43,64.06,1.57,41.85,-1.59,-0.35,280.11,60.59,101798.77,241,五级
湖北省,鄂州市,2013-01-14,181.18,193.46,35.35,50.48,1.68,34.7,-2.86,0.82,280.27,63.55,102151.78,232,五级
湖北省,鄂州市,2013-01-15,185.64,175.57,33.93,59.55,1.72,31.26,-1.84,-0.32,280.46,69.54,102165.67,236,五级
湖北省,鄂州市,2013-01-16,206.35,214.17,37.59,46.11,1.77,34.39,-0.56,-2.62,280.25,59.19,102442.02,257,五级
湖北省,鄂州市,2013-01-17,207.62,204.64,40.56,29.53,1.81,75.41,-1.97,-2.57,277.98,57.5,103204.5,258,五级
湖北省,鄂州市,2013-01-18,201.08,193.84,39.16,53.94,1.79,27.06,-3.91,2.33,276.65,52.4,103048.16,252,五级
湖北省,鄂州市,2013-01-19,131.04,135.39,42.75,58.26,1.31,31.61,-5.64,3.82,279.72,57.95,102212.82,173,四级
湖北省,鄂州市,2013-01-20,113.33,109.33,33.58,43.07,1.25,23.53,-3.7,1.16,281.56,75.42,101915.23,148,三级
湖北省,鄂州市,2013-01-21,158.54,105.42,36.97,46.69,1.59,15.41,1.96,-6.16,277.89,73.03,102360.98,209,五级
湖北省,鄂州市,2013-01-22,184.92,148.76,36.36,43.92,1.8,32.09,0.47,-4.47,277.55,66.0,102507.38,235,五级
湖北省,鄂州市,2013-01-23,140.67,152.07,41.28,66.75,1.94,22.15,-0.25,0.01,278.09,69.47,102134.87,187,四级
湖北省,鄂州市,2013-01-24,167.57,156.27,39.42,44.49,1.47,38.04,0.26,-4.5,279.29,61.5,102146.83,218,五级
湖北省,鄂州市,2013-01-25,114.42,126.33,28.92,52.07,1.0,42.09,-0.98,0.53,279.49,53.04,102197.37,150,三级
