province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖南省,娄底市,2013-01-01,56.45,70.91,39.68,29.4,0.7,40.82,0.01,0.39,277.47,40.23,97926.39,77,二级
湖南省,娄底市,2013-01-02,103.39,119.04,40.03,39.75,1.25,21.5,-3.05,-6.22,276.31,63.16,98241.98,136,三级
湖南省,娄底市,2013-01-03,45.6,56.98,24.9,19.62,0.97,30.5,-3.65,-8.85,271.2,59.45,99108.98,64,二级
湖南省,娄底市,2013-01-04,54.56,57.5,24.07,18.1,1.05,33.26,-2.73,-4.35,270.51,67.62,98560.6,75,二级
湖南省,娄底市,2013-01-05,89.96,91.93,31.96,24.4,1.1,26.02,-2.25,-3.28,271.59,75.55,98182.56,119,三级
湖南省,娄底市,2013-01-06,89.55,90.45,38.92,23.27,1.12,36.41,-1.57,-3.27,272.06,64.22,98232.36,119,三级
湖南省,娄底市,2013-01-07,125.97,123.48,38.56,21.47,1.31,33.38,-1.23,-1.5,273.19,56.19,98050.7,166,四级
湖南省,娄底市,2013-01-08,156.17,146.54,49.97,26.89,1.57,27.64,-1.86,-3.35,274.46,66.45,98142.9,207,五级
湖南省,娄底市,2013-01-09,215.0,180.26,59.42,37.7,1.69,31.92,-1.59,-5.75,274.74,61.72,98358.75,266,五级
湖南省,娄底市,2013-01-10,231.48,208.82,50.92,43.21,1.99,38.95,-2.75,-2.92,275.29,66.37,98265.95,282,五级
湖南省,娄底市,2013-01-11,148.97,139.76,32.24,25.6,1.26,43.39,-0.83,-2.67,277.73,58.96,98235.06,199,四级
湖南省,娄底市,2013-01-12,150.29,141.31,41.47,31.85,1.54,34.54,-2.03,-2.15,278.6,55.96,98051.17,201,五级
湖南省,娄底市,2013-01-13,157.65,168.23,54.72,25.45,1.64,37.31,-0.53,-0.35,280.07,56.55,97660.82,208,五级
湖南省,娄底市,2013-01-14,188.79,184.16,52.26,45.18,2.08,31.79,-3.19,-1.6,280.22,61.78,97919.54,239,五级
湖南省,娄底市,2013-01-15,173.38,166.99,39.86,30.9,1.67,36.56,-0.87,-0.89,280.56,72.21,98056.41,224,五级
湖南省,娄底市,2013-01-16,178.8,185.66,45.63,24.77,2.12,35.91,-1.64,-2.78,280.65,68.6,98253.6,229,五级
湖南省,娄底市,2013-01-17,208.93,206.71,40.85,40.59,1.92,31.97,-3.15,-7.41,278.02,62.08,98870.84,259,五级
湖南省,娄底市,2013-01-18,195.94,214.02,32.24,36.28,1.83,26.07,-2.95,-1.59,276.76,65.77,98753.27,246,五级
湖南省,娄底市,2013-01-19,152.25,207.69,44.08,41.24,2.08,29.45,-1.32,2.74,278.62,68.9,97943.09,203,五级
湖南省,娄底市,2013-01-20,135.49,154.24,39.43,26.08,1.65,25.75,-0.52,1.92,283.06,81.46,97665.07,180,四级
湖南省,娄底市,2013-01-21,118.92,89.59,31.9,29.64,1.54,19.1,-1.11,-4.55,276.3,84.93,98221.93,156,四级
湖南省,娄底市,2013-01-22,191.85,169.51,54.73,39.69,2.04,16.77,-1.1,-2.66,276.4,78.32,98343.89,242,五级
湖南省,娄底市,2013-01-23,190.23,202.39,53.64,23.39,1.84,31.13,-0.6,0.13,279.22,64.27,97995.92,241,五级
湖南省,娄底市,2013-01-24,109.62,109.0,32.13,18.98,1.31,37.21,-1.18,-4.76,280.85,65.38,98039.0,144,三级
湖南省,娄底市,2013-01-25,79.83,80.9,28.61,28.21,1.06,31.67,-1.98,-1.62,279.7,46.81,98068.31,107,三级
湖南省,娄底市,2013-01-26,90.98,119.46,36.3,34.58,1.57,41.04,-0.87,-2.14,282.33,44.22,97919.4,120,三级
湖南省,娄底市,2013-01-27,126.58,128.5,40.11,39.32,1.41,45.51,-3.12,-3.27,281.95,55.34,98326.67,167,四级
湖南省,娄底市,2013-01-28,166.61,160.73,43.17,39.46,1.74,43.14,-0.98,1.16,282.46,56.51,97998.92,217,五级
湖南省,娄底市,2013-01-29,111.18,126.31,31.32,26.08,1.4,47.24,-1.72,1.05,284.79,62.02,97899.71,146,三级
湖南省,娄底市,2013-01-30,109.51,116.57,41.74,20.55,1.7,55.01,-0.54,4.44,287.04,75.86,97763.18,144,三级
湖南省,娄底市,2013-01-31,74.28,89.33,23.17,14.67,1.01,42.42,1.67,8.36,290.48,78.01,97493.4,100,二级
湖南省,娄底市,2013-02-01,65.34,76.51,24.77,19.93,1.46,30.02,-1.35,-0.55,285.0,88.75,97842.72,88,二级
湖南省,娄底市,2013-02-02,111.17,107.09,35.54,32.1,2.21,19.12,-1.29,-4.38,280.68,92.29,98251.91,146,三级
湖南省,娄底市,2013-02-03,65.47,85.27,28.46,23.78,2.47,41.54,0.71,5.42,286.91,77.89,97518.28,89,二级
湖南省,娄底市,2013-02-04,59.65,72.38,19.75,15.03,1.41,28.08,-0.02,0.69,285.45,83.33,97550.36,81,二级
湖南省,娄底市,2013-02-05,58.21,59.78,25.89,16.95,1.05,19.51,-1.64,-2.72,280.27,88.78,97740.28,80,二级
湖南省,娄底市,2013-02-06,88.19,95.33,26.07,17.87,1.13,22.99,-2.18,-1.69,279.68,87.72,97700.53,117,三级
湖南省,娄底市,2013-02-07,43.9,42.29,23.45,22.36,1.3,15.38,-3.1,-8.51,276.59,92.26,97825.2,62,二级
湖南省,娄底市,2013-02-08,41.75,38.33,15.59,12.89,0.62,44.16,-2.59,-8.31,270.03,84.19,98716.58,59,二级
湖南省,娄底市,2013-02-09,60.19,65.14,19.32,10.69,0.57,51.77,-1.18,-1.77,272.67,72.15,98474.54,82,二级
湖南省,娄底市,2013-02-10,103.74,130.0,30.05,13.2,0.83,42.51,-1.97,0.8,277.35,68.26,97946.4,136,三级
湖南省,娄底市,2013-02-11,114.49,98.78,24.81,14.43,1.06,30.96,-2.2,-3.28,276.38,86.92,98043.67,150,三级
湖南省,娄底市,2013-02-12,157.78,141.01,26.87,11.82,1.16,61.08,-1.98,-5.49,277.34,74.33,98443.22,208,五级
湖南省,娄底市,2013-02-13,136.15,133.03,29.57,14.75,1.2,42.74,-2.56,-0.29,278.54,68.28,97964.21,181,四级
湖南省,娄底市,2013-02-14,87.77,80.25,20.76,13.98,1.05,36.97,-1.59,-1.29,278.65,80.36,97700.02,116,三级
湖南省,娄底市,2013-02-15,123.08,119.5,31.32,16.58,1.16,49.48,-2.99,-4.36,279.77,67.58,98136.85,162,四级
湖南省,娄底市,2013-02-16,104.89,115.9,30.95,17.88,1.31,42.7,-2.0,2.36,281.68,58.5,97547.36,138,三级
湖南省,娄底市,2013-02-17,70.97,81.68,22.55,15.7,1.02,36.28,-0.76,0.68,284.42,85.7,97058.12,95,二级
湖南省,娄底市,2013-02-18,70.52,63.96,26.43,19.17,1.24,23.64,-2.14,-5.71,279.94,94.56,97237.65,95,二级
湖南省,娄底市,2013-02-19,58.99,56.8,20.6,14.22,1.0,37.48,-1.77,-7.82,274.72,88.22,98153.49,80,二级
湖南省,娄底市,2013-02-20,50.47,60.01,18.3,12.11,0.69,45.34,-2.04,-2.9,277.18,80.6,98264.38,70,二级
湖南省,娄底市,2013-02-21,54.47,61.23,18.84,13.11,0.68,36.93,-1.28,-2.82,277.26,84.88,98324.34,75,二级
湖南省,娄底市,2013-02-22,65.32,75.11,26.02,10.53,0.7,49.04,-1.53,-3.71,279.59,72.05,98508.94,88,二级
湖南省,娄底市,2013-02-23,72.77,95.34,26.52,18.3,1.07,41.46,-2.85,-0.96,281.8,69.54,98313.01,98,二级
湖南省,娄底市,2013-02-24,70.52,91.97,27.52,16.42,1.08,47.14,-1.61,1.86,285.91,65.55,97781.32,95,二级
湖南省,娄底市,2013-02-25,105.61,135.71,28.63,16.41,1.2,45.38,-2.51,1.5,287.99,84.02,97581.75,139,三级
湖南省,娄底市,2013-02-26,103.39,99.46,24.83,12.01,1.12,24.72,-1.37,-2.84,284.03,93.52,97579.45,136,三级
湖南省,娄底市,2013-02-27,141.16,129.41,25.99,11.92,1.07,52.5,-1.76,-1.26,284.78,82.88,97492.87,188,四级
湖南省,娄底市,2013-02-28,94.39,133.97,24.08,16.4,1.24,43.97,-0.35,4.34,289.91,77.81,96795.18,125,三级
湖南省,娄底市,2013-03-01,61.19,68.24,17.51,11.27,0.81,46.76,-2.82,-10.41,280.52,84.2,97657.98,83,二级
湖南省,娄底市,2013-03-02,30.85,46.16,19.85,14.29,0.5,46.6,-2.87,-7.06,277.45,56.25,98693.7,47,一级
湖南省,娄底市,2013-03-03,37.83,51.24,18.64,10.19,0.44,59.68,-0.12,-2.85,281.09,37.25,98526.23,54,二级
湖南省,娄底市,2013-03-04,40.26,74.8,23.42,12.76,0.48,63.53,-0.59,0.44,285.72,31.93,98311.85,63,二级
湖南省,娄底市,2013-03-05,60.94,104.36,27.59,16.51,0.76,68.64,-0.91,2.69,287.79,28.34,98079.16,83,二级
湖南省,娄底市,2013-03-06,69.62,117.76,25.79,20.3,0.94,74.67,0.62,3.45,291.25,31.18,97732.23,94,二级
湖南省,娄底市,2013-03-07,75.77,100.69,24.66,20.34,0.76,82.5,-0.23,-1.29,292.17,40.74,97704.95,101,三级
湖南省,娄底市,2013-03-08,91.93,148.93,29.56,15.09,0.96,91.77,1.6,2.6,294.89,37.33,97345.56,122,三级
湖南省,娄底市,2013-03-09,69.44,101.38,20.2,11.2,0.71,87.12,3.57,7.79,296.66,49.05,96839.84,94,二级
湖南省,娄底市,2013-03-10,44.2,85.7,18.38,14.2,0.56,52.08,-0.58,-7.98,286.85,53.37,97498.51,68,二级
湖南省,娄底市,2013-03-11,57.65,87.48,21.28,15.14,0.58,48.21,-2.42,-1.25,286.19,68.91,97538.88,79,二级
湖南省,娄底市,2013-03-12,64.51,109.17,20.34,12.72,0.76,62.04,1.37,4.8,294.21,60.91,96866.39,87,二级
湖南省,娄底市,2013-03-13,96.2,115.56,29.9,21.44,0.78,41.61,-3.17,-6.85,284.94,75.35,97683.56,127,三级
湖南省,娄底市,2013-03-14,126.29,137.4,30.15,27.27,0.97,31.05,-4.21,-3.42,283.17,72.7,98133.91,167,四级
湖南省,娄底市,2013-03-15,88.9,116.64,27.83,21.66,0.92,49.97,-2.06,1.13,286.37,62.92,97842.4,118,三级
湖南省,娄底市,2013-03-16,82.71,109.89,24.69,16.46,1.01,55.86,-1.14,3.21,291.25,72.79,97350.13,110,三级
湖南省,娄底市,2013-03-17,52.47,85.56,22.12,14.03,0.8,38.12,-1.04,-3.59,285.55,94.34,97008.28,72,二级
湖南省,娄底市,2013-03-18,50.67,75.04,25.43,10.7,0.71,67.75,0.06,-0.18,288.86,55.83,97084.16,70,二级
湖南省,娄底市,2013-03-19,63.66,119.38,21.21,13.38,0.89,67.7,1.45,4.08,293.23,54.37,96537.08,86,二级
湖南省,娄底市,2013-03-20,86.83,116.16,22.6,17.85,0.97,65.35,-2.38,-6.85,289.37,71.15,97299.04,115,三级
湖南省,娄底市,2013-03-21,93.94,131.47,29.44,20.5,0.92,57.12,-1.35,0.94,287.91,68.03,97151.22,124,三级
湖南省,娄底市,2013-03-22,55.11,90.79,18.43,10.46,0.8,71.5,0.56,2.45,295.23,70.57,96681.88,76,二级
湖南省,娄底市,2013-03-23,97.73,119.25,24.57,15.68,0.84,50.23,-1.36,-5.45,286.65,81.09,97000.17,129,三级
湖南省,娄底市,2013-03-24,100.74,123.79,28.37,17.46,0.86,67.77,-2.76,-2.89,288.0,79.16,97159.71,133,三级
湖南省,娄底市,2013-03-25,67.78,113.22,27.45,18.83,0.86,57.37,-5.19,-1.18,287.19,82.14,97106.86,91,二级
湖南省,娄底市,2013-03-26,53.57,73.15,20.06,14.07,0.65,48.27,-1.4,-6.59,283.08,86.11,97321.57,74,二级
湖南省,娄底市,2013-03-27,45.58,83.89,22.25,15.58,0.55,63.42,-1.26,0.53,285.98,58.75,97311.28,67,二级
湖南省,娄底市,2013-03-28,60.66,106.8,24.76,16.17,0.81,59.89,0.96,0.29,288.93,69.75,97127.09,83,二级
湖南省,娄底市,2013-03-29,53.66,80.89,20.1,14.16,0.62,79.72,-3.01,-2.08,289.98,59.87,97327.22,74,二级
湖南省,娄底市,2013-03-30,68.99,102.37,24.0,23.56,0.76,53.04,-1.7,0.02,287.9,87.23,97261.7,93,二级
湖南省,娄底市,2013-03-31,103.26,116.72,24.03,19.68,0.8,54.3,-2.64,-2.47,288.54,83.25,97481.76,136,三级
湖南省,娄底市,2013-04-01,87.15,105.61,25.14,15.78,0.85,64.1,1.73,-0.89,290.07,74.34,97360.22,116,三级
湖南省,娄底市,2013-04-02,90.97,104.97,22.63,19.22,0.96,58.13,-3.13,-1.49,290.28,79.18,97456.47,120,三级
湖南省,娄底市,2013-04-03,91.66,114.82,23.09,19.88,0.87,48.23,-2.83,0.97,289.67,88.12,96938.39,121,三级
湖南省,娄底市,2013-04-04,67.36,92.31,25.11,24.6,1.02,37.63,-3.22,-0.82,290.34,93.73,96344.53,91,二级
湖南省,娄底市,2013-04-05,68.65,67.81,19.83,14.29,0.69,50.33,-1.79,-10.07,286.75,92.43,96477.38,93,二级
湖南省,娄底市,2013-04-06,41.96,66.63,13.15,9.17,0.31,63.33,-1.58,-7.71,283.34,55.21,97537.85,59,二级
湖南省,娄底市,2013-04-07,49.66,70.62,20.7,22.22,0.59,66.21,-1.94,2.26,285.65,46.17,97218.04,69,二级
湖南省,娄底市,2013-04-08,58.7,82.93,23.32,16.84,0.77,68.14,1.67,1.06,288.74,54.28,97064.7,80,二级
湖南省,娄底市,2013-04-09,68.23,86.41,21.45,22.78,0.59,36.77,-3.03,-6.98,286.24,67.12,97749.07,92,二级
湖南省,娄底市,2013-04-10,59.45,82.83,21.42,20.35,0.45,47.73,-2.35,-1.92,286.19,42.8,97954.54,81,二级
湖南省,娄底市,2013-04-11,53.79,76.22,17.86,23.84,0.46,52.15,-1.47,1.4,286.86,56.74,97899.77,74,二级
湖南省,娄底市,2013-04-12,50.62,66.65,20.15,16.08,0.49,67.96,-0.22,0.6,289.87,42.27,97868.04,70,二级
湖南省,娄底市,2013-04-13,55.29,69.99,20.55,14.22,0.57,63.83,1.51,1.4,291.45,38.5,97415.61,76,二级
湖南省,娄底市,2013-04-14,47.32,56.33,19.12,11.47,0.54,81.28,2.4,-0.35,294.53,40.34,97106.25,66,二级
湖南省,娄底市,2013-04-15,52.9,70.5,17.72,14.96,0.65,83.83,0.28,5.43,295.99,39.23,96686.19,73,二级
湖南省,娄底市,2013-04-16,50.65,61.9,16.34,8.27,0.63,88.35,3.59,3.37,297.65,53.64,96211.72,70,二级
湖南省,娄底市,2013-04-17,51.54,62.27,19.04,10.45,0.64,87.15,-0.09,0.86,297.77,58.91,96292.26,71,二级
湖南省,娄底市,2013-04-18,49.7,59.77,15.72,12.02,0.67,76.08,-0.86,-0.39,297.14,71.52,96370.12,69,二级
湖南省,娄底市,2013-04-19,72.09,75.72,23.16,17.95,0.61,45.65,-1.55,-6.0,285.94,82.31,96750.85,97,二级
湖南省,娄底市,2013-04-20,47.66,49.89,18.18,16.04,0.46,39.2,-1.05,-6.07,278.4,89.55,97507.32,66,二级
湖南省,娄底市,2013-04-21,58.66,63.75,19.74,13.52,0.48,51.33,-2.49,-1.7,283.8,76.37,97672.36,80,二级
湖南省,娄底市,2013-04-22,60.44,70.26,21.74,15.64,0.6,49.42,-0.17,3.98,290.95,74.44,97037.38,82,二级
湖南省,娄底市,2013-04-23,47.86,52.98,14.62,12.83,0.55,45.85,-1.58,-1.29,288.11,89.76,97129.71,67,二级
湖南省,娄底市,2013-04-24,53.2,60.81,18.95,12.73,0.56,69.5,-1.37,-1.2,288.44,84.4,97224.24,73,二级
湖南省,娄底市,2013-04-25,71.06,79.59,24.36,14.72,0.76,63.65,-0.6,-0.11,289.67,71.28,97329.61,96,二级
湖南省,娄底市,2013-04-26,73.74,82.12,29.05,17.65,1.02,72.54,-1.62,0.39,292.2,52.39,97317.38,99,二级
