province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖南省,岳阳市,2013-01-01,50.49,66.37,27.41,29.91,0.8,40.13,-0.2,2.24,277.51,46.99,100926.13,70,二级
湖南省,岳阳市,2013-01-02,83.82,98.3,25.08,31.15,1.32,29.29,-5.43,-5.51,277.41,59.77,101355.53,112,三级
湖南省,岳阳市,2013-01-03,39.11,47.02,22.05,20.57,1.26,35.1,-4.47,-8.36,272.63,51.25,102267.8,56,二级
湖南省,岳阳市,2013-01-04,56.76,54.74,19.92,20.6,1.23,30.19,-2.83,-3.79,272.33,60.46,101668.27,78,二级
湖南省,岳阳市,2013-01-05,92.85,82.33,26.6,29.24,1.32,22.22,-2.57,-2.88,273.34,63.78,101254.42,123,三级
湖南省,岳阳市,2013-01-06,109.58,94.21,33.44,26.91,1.41,32.43,-1.42,-2.13,273.95,61.25,101270.72,144,三级
湖南省,岳阳市,2013-01-07,144.46,122.49,33.45,24.18,1.66,34.91,-1.14,-0.83,274.61,59.91,101085.07,193,四级
湖南省,岳阳市,2013-01-08,151.0,124.71,38.53,38.0,1.81,21.1,-2.44,-2.59,276.08,56.22,101176.82,202,五级
湖南省,岳阳市,2013-01-09,188.71,152.1,50.66,49.37,1.9,24.33,-3.32,-4.33,276.31,57.75,101394.78,239,五级
湖南省,岳阳市,2013-01-10,184.52,148.17,31.18,42.35,1.84,32.15,-4.04,-1.41,277.06,60.56,101310.76,235,五级
湖南省,岳阳市,2013-01-11,146.41,117.38,22.18,28.24,1.47,38.23,-1.29,-0.97,279.08,57.09,101213.19,195,四级
湖南省,岳阳市,2013-01-12,167.49,131.16,37.12,39.7,1.97,30.1,-3.1,-1.64,280.1,54.67,101020.86,218,五级
湖南省,岳阳市,2013-01-13,138.65,111.1,27.66,27.36,1.65,39.74,-1.18,0.76,280.66,62.53,100621.77,184,四级
湖南省,岳阳市,2013-01-14,161.09,141.44,31.32,29.76,1.95,40.97,-3.76,-1.24,281.66,58.12,100917.27,212,五级
湖南省,岳阳市,2013-01-15,146.31,119.72,24.71,20.97,1.49,48.0,-1.11,-0.51,281.62,62.68,100999.41,195,四级
湖南省,岳阳市,2013-01-16,187.73,165.35,35.65,38.29,2.28,31.84,-2.71,-3.7,281.68,56.02,101242.4,238,五级
湖南省,岳阳市,2013-01-17,189.88,159.71,35.52,47.98,1.89,31.02,-4.4,-6.09,278.62,60.19,101946.64,240,五级
湖南省,岳阳市,2013-01-18,168.17,136.53,17.47,30.13,1.38,32.91,-2.49,-0.24,277.69,56.51,101803.76,219,五级
湖南省,岳阳市,2013-01-19,103.46,88.64,21.11,34.56,0.91,34.56,-2.64,4.15,280.09,57.88,100958.5,136,三级
湖南省,岳阳市,2013-01-20,124.04,87.12,17.83,33.17,0.95,22.71,-1.14,0.6,282.85,75.76,100689.37,163,四级
湖南省,岳阳市,2013-01-21,126.41,65.43,30.35,40.27,1.5,17.25,-1.48,-5.47,277.69,81.27,101218.7,167,四级
湖南省,岳阳市,2013-01-22,199.85,137.67,58.4,52.38,2.15,14.72,-2.39,-3.77,278.25,64.6,101341.51,250,五级
湖南省,岳阳市,2013-01-23,143.65,121.79,43.59,35.07,1.93,28.4,-1.0,0.87,279.26,63.2,100967.46,191,四级
