province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖南省,株洲市,2013-01-01,47.63,54.86,25.6,11.19,0.94,38.09,-1.34,-0.33,277.54,42.3,98647.67,66,二级
湖南省,株洲市,2013-01-02,84.54,93.25,37.61,24.27,1.28,24.68,-4.17,-2.7,279.53,52.91,98829.1,112,三级
湖南省,株洲市,2013-01-03,52.97,58.78,18.25,18.87,0.97,29.16,-4.32,-5.52,273.53,71.9,99649.87,73,二级
湖南省,株洲市,2013-01-04,58.87,63.72,20.58,18.23,1.14,28.49,-3.22,-3.05,272.38,74.51,99202.63,80,二级
湖南省,株洲市,2013-01-05,88.55,89.62,23.92,20.9,1.14,23.52,-2.16,-2.77,273.19,79.69,98833.97,117,三级
湖南省,株洲市,2013-01-06,114.21,116.25,30.71,23.42,1.15,25.2,-1.27,-2.7,272.94,83.41,98892.36,150,三级
湖南省,株洲市,2013-01-07,153.74,144.02,53.2,19.53,1.39,26.21,-1.1,-2.07,274.26,79.69,98737.36,204,五级
湖南省,株洲市,2013-01-08,132.59,145.98,32.81,20.04,1.4,24.38,-2.62,-2.81,275.6,76.82,98774.56,176,四级
湖南省,株洲市,2013-01-09,174.09,165.8,41.28,31.29,1.52,25.95,-3.12,-3.64,275.51,65.64,98973.07,225,五级
湖南省,株洲市,2013-01-10,165.92,160.73,38.61,31.29,1.8,26.13,-4.6,-2.55,276.23,70.31,98897.66,216,五级
湖南省,株洲市,2013-01-11,132.97,136.7,36.55,19.23,1.29,36.1,-1.27,-1.81,277.9,75.56,98896.32,176,四级
湖南省,株洲市,2013-01-12,139.96,131.22,33.57,23.92,1.47,30.13,-2.59,-1.67,278.99,76.46,98705.95,186,四级
湖南省,株洲市,2013-01-13,114.03,129.06,34.47,14.07,1.52,38.96,-0.78,-0.89,279.89,74.93,98362.14,149,三级
湖南省,株洲市,2013-01-14,113.07,125.35,38.09,18.59,1.58,34.73,-5.72,-1.19,281.65,64.04,98569.53,148,三级
湖南省,株洲市,2013-01-15,94.32,102.65,35.83,18.07,1.21,33.47,-1.22,0.32,280.3,75.71,98752.57,125,三级
湖南省,株洲市,2013-01-16,116.56,119.43,30.33,16.97,1.48,29.66,-1.43,-1.35,280.84,79.77,98908.6,153,四级
湖南省,株洲市,2013-01-17,174.9,187.81,43.79,35.42,1.97,33.1,-4.78,-3.92,279.5,65.81,99446.98,225,五级
湖南省,株洲市,2013-01-18,141.84,143.17,28.64,22.47,1.59,32.92,-5.28,-2.15,277.79,56.15,99411.6,189,四级
湖南省,株洲市,2013-01-19,92.04,104.31,26.91,14.12,1.31,44.22,-3.21,1.29,281.24,54.67,98721.48,122,三级
湖南省,株洲市,2013-01-20,96.16,99.45,28.06,21.79,1.27,40.67,0.41,3.91,286.56,70.57,98440.26,127,三级
湖南省,株洲市,2013-01-21,116.92,115.78,27.51,29.46,1.79,16.09,1.91,-2.95,280.16,91.44,98842.21,153,四级
湖南省,株洲市,2013-01-22,174.69,167.19,46.23,30.62,2.13,17.74,0.23,-2.44,278.96,80.89,98971.41,225,五级
湖南省,株洲市,2013-01-23,144.5,174.41,34.05,17.84,2.0,30.15,-0.66,-0.95,280.6,71.38,98693.46,193,四级
湖南省,株洲市,2013-01-24,145.07,154.64,42.16,24.8,2.51,30.11,0.34,-2.7,280.64,78.87,98675.93,193,四级
湖南省,株洲市,2013-01-25,119.2,139.62,33.2,20.34,2.46,31.02,-2.86,-2.1,280.53,61.54,98721.02,156,四级
湖南省,株洲市,2013-01-26,100.01,114.04,32.54,15.6,1.86,40.12,-1.75,-1.57,282.76,59.38,98579.33,132,三级
