province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖南省,益阳市,2013-01-01,45.21,58.47,25.22,23.99,0.49,47.25,0.86,1.68,277.87,47.43,99433.84,63,二级
湖南省,益阳市,2013-01-02,95.99,112.08,34.67,37.57,1.27,22.76,-2.44,-7.06,275.59,70.14,99889.32,127,三级
湖南省,益阳市,2013-01-03,43.07,53.65,23.05,18.95,1.09,32.58,-3.84,-9.12,271.38,50.22,100795.08,61,二级
湖南省,益阳市,2013-01-04,56.84,58.42,23.6,19.11,1.21,32.22,-2.01,-4.63,270.96,59.61,100174.65,78,二级
湖南省,益阳市,2013-01-05,93.58,93.36,36.61,27.59,1.32,23.47,-1.6,-3.74,272.26,62.44,99769.38,124,三级
湖南省,益阳市,2013-01-06,89.55,88.21,40.29,25.22,1.29,35.66,-0.02,-3.17,272.43,54.28,99804.16,119,三级
湖南省,益阳市,2013-01-07,108.47,108.35,33.5,22.81,1.41,35.38,0.33,-1.3,273.34,50.59,99604.93,142,三级
湖南省,益阳市,2013-01-08,152.5,131.7,49.72,29.6,1.62,27.43,-0.22,-3.16,274.57,60.38,99716.53,203,五级
湖南省,益阳市,2013-01-09,210.67,169.73,59.89,43.91,1.87,27.05,-1.22,-5.47,275.0,60.76,99943.5,261,五级
湖南省,益阳市,2013-01-10,221.07,178.69,45.57,42.67,2.01,39.55,-2.29,-2.19,276.13,61.95,99827.98,272,五级
湖南省,益阳市,2013-01-11,155.42,131.03,26.22,24.62,1.44,47.7,0.25,-1.73,278.27,56.42,99766.16,206,五级
湖南省,益阳市,2013-01-12,163.44,137.22,50.36,33.94,1.9,37.65,-1.41,-2.15,279.4,54.64,99572.6,214,五级
湖南省,益阳市,2013-01-13,146.38,136.71,42.58,24.78,1.66,41.55,-0.18,0.02,280.58,55.41,99160.92,195,四级
湖南省,益阳市,2013-01-14,192.8,161.81,44.27,39.22,2.06,38.63,-2.52,-1.69,280.59,61.01,99454.72,243,五级
湖南省,益阳市,2013-01-15,204.37,173.47,36.79,25.18,1.81,48.5,-0.08,-1.54,281.16,63.15,99563.12,255,五级
湖南省,益阳市,2013-01-16,195.51,188.02,41.97,25.83,2.12,39.52,-1.52,-3.6,280.79,59.03,99800.38,246,五级
湖南省,益阳市,2013-01-17,205.15,179.86,38.99,46.49,1.86,30.33,-2.94,-7.29,277.82,62.7,100492.24,256,五级
湖南省,益阳市,2013-01-18,199.96,182.86,23.73,36.38,1.42,28.2,-2.0,-1.24,276.97,67.43,100312.08,250,五级
湖南省,益阳市,2013-01-19,127.07,151.58,30.41,50.6,1.43,27.52,-1.56,5.12,279.49,64.78,99428.5,168,四级
湖南省,益阳市,2013-01-20,161.74,150.28,31.82,36.11,1.44,16.68,-0.34,-0.68,280.27,86.76,99229.47,212,五级
湖南省,益阳市,2013-01-21,122.07,76.16,34.52,34.19,1.46,21.85,-0.51,-4.93,275.84,83.16,99801.06,161,四级
湖南省,益阳市,2013-01-22,201.34,158.4,60.13,45.95,2.11,18.49,-0.97,-2.77,276.77,73.34,99898.1,252,五级
