province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖南省,郴州市,2013-01-01,54.53,62.74,26.78,14.48,0.48,44.08,-0.74,-1.3,277.45,44.97,96225.18,75,二级
湖南省,郴州市,2013-01-02,70.28,79.62,26.74,14.25,0.58,43.6,-1.27,-2.79,280.4,56.98,96336.16,95,二级
湖南省,郴州市,2013-01-03,56.97,63.5,18.32,16.15,0.55,33.19,-0.98,-7.52,273.44,85.42,97010.86,78,二级
湖南省,郴州市,2013-01-04,59.24,66.69,17.1,13.82,0.56,39.57,-0.83,-4.56,271.49,83.57,96654.71,81,二级
湖南省,郴州市,2013-01-05,83.43,93.78,21.25,15.75,0.7,40.49,-0.15,-4.09,272.74,87.89,96312.19,111,三级
湖南省,郴州市,2013-01-06,109.47,122.42,26.36,16.59,0.84,41.42,0.13,-3.68,271.4,91.78,96399.08,144,三级
湖南省,郴州市,2013-01-07,129.11,142.49,33.18,15.87,0.93,46.96,-0.25,-2.52,272.59,90.79,96267.89,171,四级
湖南省,郴州市,2013-01-08,126.09,140.57,30.94,13.48,0.91,52.41,-0.78,-3.89,274.75,84.92,96282.44,166,四级
湖南省,郴州市,2013-01-09,146.57,162.57,34.2,14.58,1.04,50.32,-1.42,-5.68,274.58,77.84,96458.16,196,四级
湖南省,郴州市,2013-01-10,149.19,163.22,30.49,16.7,1.04,45.87,-1.8,-3.72,275.35,71.55,96407.96,199,四级
湖南省,郴州市,2013-01-11,107.69,118.01,26.36,14.12,0.78,42.06,-0.36,-2.69,277.3,84.81,96456.82,141,三级
湖南省,郴州市,2013-01-12,96.62,105.91,25.43,13.84,0.73,40.16,-0.48,-2.97,278.08,84.09,96281.65,128,三级
湖南省,郴州市,2013-01-13,101.02,112.72,31.55,13.01,0.77,49.34,-0.11,-2.43,279.48,79.17,95960.69,133,三级
湖南省,郴州市,2013-01-14,83.7,92.68,22.38,9.83,0.66,50.85,-2.15,-2.0,281.46,60.67,96148.75,111,三级
湖南省,郴州市,2013-01-15,84.14,93.15,23.41,13.71,0.67,42.59,-0.37,-0.02,280.84,71.74,96369.56,112,三级
湖南省,郴州市,2013-01-16,124.16,138.87,36.15,15.74,0.95,39.2,-0.23,-2.53,280.65,86.34,96487.42,164,四级
湖南省,郴州市,2013-01-17,146.33,164.71,34.28,14.11,1.11,44.02,-1.84,-6.29,279.73,72.02,96907.83,195,四级
湖南省,郴州市,2013-01-18,77.42,84.84,19.0,12.37,0.66,39.8,-2.0,-3.67,277.85,59.24,96913.5,104,三级
湖南省,郴州市,2013-01-19,49.94,55.89,14.33,9.54,0.51,51.6,-1.53,2.87,282.06,54.23,96360.38,69,二级
湖南省,郴州市,2013-01-20,33.4,37.84,12.39,9.66,0.38,54.8,0.39,7.15,286.69,74.99,96143.07,48,一级
湖南省,郴州市,2013-01-21,121.85,136.11,36.5,24.82,1.06,27.6,0.48,-1.52,282.09,93.25,96416.23,160,四级
湖南省,郴州市,2013-01-22,177.85,196.23,42.3,24.0,1.35,29.07,-0.04,-3.25,278.52,89.32,96525.58,228,五级
