province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
甘肃省,定西市,2013-01-01,44.93,55.27,7.2,9.85,1.67,63.23,1.0,-0.63,265.7,38.97,76848.35,63,二级
甘肃省,定西市,2013-01-02,46.54,60.06,20.77,10.77,2.03,46.41,-2.16,0.39,261.54,65.77,77333.46,65,二级
甘肃省,定西市,2013-01-03,45.15,55.11,19.9,9.85,0.96,40.08,-2.1,4.04,260.18,73.57,77436.71,63,二级
甘肃省,定西市,2013-01-04,56.48,71.82,18.35,9.12,1.11,43.75,-1.33,1.65,262.3,76.92,76879.3,77,二级
甘肃省,定西市,2013-01-05,57.84,70.97,16.53,10.19,1.18,42.78,-0.14,-0.41,263.25,65.25,76981.34,79,二级
甘肃省,定西市,2013-01-06,73.6,83.9,18.05,15.1,1.27,34.67,-0.55,-0.55,263.2,73.44,77075.76,99,二级
甘肃省,定西市,2013-01-07,77.19,90.14,12.65,15.17,1.19,50.38,0.13,-0.59,264.91,55.71,77059.35,103,三级
甘肃省,定西市,2013-01-08,48.41,57.68,11.92,13.74,1.02,46.32,-0.43,-0.49,262.67,55.06,77319.83,67,二级
甘肃省,定西市,2013-01-09,52.0,66.2,10.15,10.03,1.0,54.69,0.29,2.04,265.79,50.85,77085.52,72,二级
甘肃省,定西市,2013-01-10,78.46,90.15,15.28,13.67,1.38,51.15,0.28,-0.0,267.21,47.5,77075.45,105,三级
甘肃省,定西市,2013-01-11,50.57,72.06,11.48,10.79,1.04,52.74,0.63,0.29,266.72,28.42,77391.29,70,二级
甘肃省,定西市,2013-01-12,48.87,64.02,9.7,10.57,0.88,55.16,2.0,-0.16,269.18,23.7,76997.1,68,二级
甘肃省,定西市,2013-01-13,52.34,64.23,11.3,11.38,0.95,53.12,0.82,1.65,270.25,25.52,76842.32,72,二级
甘肃省,定西市,2013-01-14,83.06,111.51,18.37,14.75,1.27,45.75,-1.55,-1.38,266.91,50.13,77158.49,111,三级
甘肃省,定西市,2013-01-15,36.29,61.79,9.45,8.84,0.96,49.85,-0.26,0.62,267.33,45.04,77367.4,56,二级
甘肃省,定西市,2013-01-16,44.44,63.21,12.47,11.75,1.0,47.24,-0.53,-0.13,267.97,47.35,77584.49,62,二级
甘肃省,定西市,2013-01-17,43.23,60.27,13.74,8.69,1.02,48.47,-1.64,5.05,268.86,54.33,77647.49,61,二级
甘肃省,定西市,2013-01-18,56.75,74.03,16.73,9.06,1.03,48.7,-0.04,2.33,272.59,48.78,77343.56,78,二级
甘肃省,定西市,2013-01-19,61.01,77.06,20.08,10.72,1.11,41.75,-1.17,1.09,272.61,61.81,76643.08,83,二级
甘肃省,定西市,2013-01-20,31.86,36.4,10.13,6.79,1.27,50.9,-0.87,-4.58,262.85,67.81,77194.8,46,一级
甘肃省,定西市,2013-01-21,31.98,32.73,6.49,6.64,0.88,54.64,-1.13,-0.51,264.31,61.64,77355.44,46,一级
甘肃省,定西市,2013-01-22,40.77,41.74,8.16,9.66,0.59,57.39,3.23,-1.36,267.19,58.35,77384.0,58,二级
甘肃省,定西市,2013-01-23,39.04,44.4,7.74,8.99,0.58,58.91,2.96,-3.13,269.03,27.74,77266.41,56,二级
甘肃省,定西市,2013-01-24,22.2,40.06,5.37,5.89,0.58,55.75,1.06,-0.6,266.93,39.67,77484.97,41,一级
甘肃省,定西市,2013-01-25,38.63,50.84,6.68,8.8,0.78,57.27,0.45,-1.28,268.17,34.61,77382.47,55,二级
甘肃省,定西市,2013-01-26,49.04,57.1,10.71,13.38,0.91,56.4,1.49,-1.34,269.01,31.38,77496.1,68,二级
甘肃省,定西市,2013-01-27,45.77,52.11,9.21,9.27,0.72,59.15,-0.26,2.5,271.02,35.62,77460.38,64,二级
甘肃省,定西市,2013-01-28,56.09,64.61,14.55,13.59,1.0,52.33,1.44,-1.27,271.52,38.03,77210.58,77,二级
甘肃省,定西市,2013-01-29,56.18,67.78,16.57,14.29,0.99,54.6,0.18,0.46,271.86,43.3,77155.23,77,二级
甘肃省,定西市,2013-01-30,45.92,54.84,10.25,11.11,0.85,51.86,2.02,2.2,273.91,26.33,77030.73,64,二级
甘肃省,定西市,2013-01-31,39.64,58.9,10.69,9.29,0.51,50.88,0.23,-0.67,273.29,29.88,77110.53,56,二级
甘肃省,定西市,2013-02-01,22.06,34.94,7.12,7.62,0.48,47.95,0.49,-0.34,274.09,31.77,77386.26,35,一级
甘肃省,定西市,2013-02-02,36.11,48.47,14.53,8.64,0.64,45.81,-2.91,4.92,271.81,56.97,77264.99,52,二级
甘肃省,定西市,2013-02-03,47.55,55.09,12.09,9.16,0.64,51.48,0.29,-1.32,274.76,39.35,76894.71,66,二级
甘肃省,定西市,2013-02-04,38.12,47.28,9.98,8.4,0.67,51.97,-1.71,3.35,275.1,46.96,76918.22,54,二级
甘肃省,定西市,2013-02-05,24.06,37.59,7.93,8.46,0.41,45.66,-0.6,-0.82,274.75,32.83,77339.94,38,一级
甘肃省,定西市,2013-02-06,31.34,43.29,11.04,7.51,0.47,47.96,-1.56,1.64,274.58,48.4,77032.48,45,一级
甘肃省,定西市,2013-02-07,53.26,72.55,28.07,11.4,0.5,38.53,-2.77,1.52,267.95,84.41,77237.16,73,二级
甘肃省,定西市,2013-02-08,22.02,27.47,7.93,4.55,0.29,66.57,-0.3,-0.99,265.84,68.8,77536.83,34,一级
甘肃省,定西市,2013-02-09,33.2,45.32,7.01,5.5,0.52,73.04,2.34,1.73,271.03,37.7,77125.65,48,一级
甘肃省,定西市,2013-02-10,46.02,75.53,9.82,6.2,0.54,70.18,-0.05,0.02,272.97,34.55,76940.28,64,二级
甘肃省,定西市,2013-02-11,42.33,82.89,14.44,6.53,0.43,50.63,-2.2,-2.19,266.73,59.73,77305.83,67,二级
