province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
甘肃省,平凉市,2013-01-01,25.78,32.26,10.06,9.75,0.6,50.56,1.27,-0.61,268.0,36.11,84430.41,37,一级
甘肃省,平凉市,2013-01-02,37.76,51.04,22.59,13.59,0.84,30.56,-2.27,-0.5,264.17,54.23,85153.34,54,二级
甘肃省,平凉市,2013-01-03,38.84,49.5,24.94,13.64,0.73,30.67,-1.44,3.33,261.7,50.38,85400.91,55,二级
甘肃省,平凉市,2013-01-04,64.28,76.48,31.48,14.73,0.85,35.43,-1.2,4.3,262.84,63.18,84675.44,87,二级
甘肃省,平凉市,2013-01-05,87.23,99.35,30.84,16.83,0.92,32.87,0.14,-0.61,264.87,51.08,84637.45,116,三级
甘肃省,平凉市,2013-01-06,95.35,105.29,30.05,17.88,0.94,32.23,0.98,-0.7,265.63,49.1,84682.64,126,三级
甘肃省,平凉市,2013-01-07,39.4,44.04,11.73,12.46,0.6,42.0,0.5,-3.02,268.07,34.26,84621.62,56,二级
甘肃省,平凉市,2013-01-08,33.64,37.21,11.16,11.18,0.51,36.59,0.58,-2.99,266.52,35.14,84951.67,49,一级
甘肃省,平凉市,2013-01-09,53.79,62.3,19.74,13.57,0.83,41.18,0.68,4.41,267.32,43.42,84727.53,74,二级
甘肃省,平凉市,2013-01-10,117.07,123.71,31.65,13.66,1.2,44.92,0.65,2.51,269.57,66.04,84612.56,153,四级
甘肃省,平凉市,2013-01-11,28.92,34.57,9.97,9.55,0.52,45.14,1.47,-1.75,269.79,26.97,84935.1,42,一级
甘肃省,平凉市,2013-01-12,58.0,70.13,16.8,10.85,0.78,47.61,2.43,3.59,272.16,37.44,84437.44,79,二级
甘肃省,平凉市,2013-01-13,76.31,86.46,19.87,12.66,0.91,48.49,-0.47,1.53,271.52,29.58,84338.4,102,三级
甘肃省,平凉市,2013-01-14,109.48,122.05,30.59,16.59,1.23,39.47,0.52,-0.46,270.46,46.59,84669.47,144,三级
甘肃省,平凉市,2013-01-15,24.27,35.71,10.47,9.82,0.5,43.17,1.24,-1.71,269.61,39.73,84910.51,36,一级
甘肃省,平凉市,2013-01-16,36.19,45.19,15.26,12.28,0.6,45.81,-0.18,-1.12,271.27,34.53,85133.12,52,二级
甘肃省,平凉市,2013-01-17,52.73,66.11,27.46,16.58,0.92,35.24,-1.58,4.09,269.37,45.93,85393.13,73,二级
甘肃省,平凉市,2013-01-18,122.96,144.46,39.47,19.13,1.49,36.89,-0.03,5.94,272.17,71.53,84855.88,162,四级
甘肃省,平凉市,2013-01-19,142.29,162.48,40.08,22.25,1.87,40.35,-1.8,5.06,272.01,78.37,84168.83,189,四级
甘肃省,平凉市,2013-01-20,39.68,44.67,12.58,9.88,0.57,45.56,2.1,-6.51,267.27,59.25,84711.66,56,二级
甘肃省,平凉市,2013-01-21,20.37,23.2,8.3,8.42,0.48,48.96,0.64,-3.25,267.96,49.94,84956.0,30,一级
甘肃省,平凉市,2013-01-22,41.99,44.94,13.5,12.08,0.59,47.85,1.48,-1.06,267.97,73.37,84913.12,59,二级
甘肃省,平凉市,2013-01-23,36.48,39.67,10.85,10.21,0.55,55.36,3.85,-3.37,270.33,43.26,84647.18,52,二级
甘肃省,平凉市,2013-01-24,15.44,20.12,7.04,7.02,0.37,57.68,2.02,-3.38,267.54,41.66,85035.83,29,一级
甘肃省,平凉市,2013-01-25,28.88,33.6,10.59,10.84,0.54,51.86,3.16,-4.04,270.98,33.62,84797.14,42,一级
甘肃省,平凉市,2013-01-26,30.25,35.13,13.28,13.72,0.53,50.05,1.86,-3.6,272.57,26.26,84925.56,44,一级
甘肃省,平凉市,2013-01-27,43.65,49.76,17.12,14.27,0.7,50.3,0.36,1.15,274.08,26.28,84953.04,61,二级
甘肃省,平凉市,2013-01-28,73.11,80.93,20.65,13.65,0.93,47.95,0.23,0.65,274.62,47.36,84599.3,98,二级
甘肃省,平凉市,2013-01-29,95.87,106.41,29.55,14.17,1.17,51.09,-0.16,2.44,275.09,59.4,84570.43,127,三级
甘肃省,平凉市,2013-01-30,82.64,91.79,23.8,14.08,1.0,47.73,0.6,2.64,275.25,60.11,84430.58,110,三级
甘肃省,平凉市,2013-01-31,47.19,53.24,13.44,10.04,0.69,50.92,0.63,-1.32,276.04,43.73,84438.21,66,二级
甘肃省,平凉市,2013-02-01,58.94,64.52,16.44,14.3,0.87,46.36,-0.52,1.37,275.21,45.92,84792.02,80,二级
甘肃省,平凉市,2013-02-02,64.54,72.91,25.66,16.59,0.89,39.22,-1.02,2.88,273.91,51.01,84849.7,87,二级
甘肃省,平凉市,2013-02-03,85.7,89.59,25.68,13.83,1.07,44.73,0.72,0.93,276.24,62.2,84165.61,114,三级
甘肃省,平凉市,2013-02-04,37.77,40.83,17.36,12.08,0.7,44.69,-1.79,3.0,275.25,52.99,84381.24,54,二级
甘肃省,平凉市,2013-02-05,31.79,35.93,13.95,11.49,0.58,41.52,1.47,-3.08,276.33,43.71,84669.08,46,一级
甘肃省,平凉市,2013-02-06,57.23,63.25,19.08,14.12,0.82,40.68,-1.94,2.16,274.81,43.36,84512.25,78,二级
甘肃省,平凉市,2013-02-07,68.67,76.88,31.81,18.41,0.99,30.78,-3.1,0.71,269.34,61.95,84903.25,93,二级
甘肃省,平凉市,2013-02-08,54.02,57.26,22.48,16.12,0.75,39.68,1.45,0.2,268.72,61.39,85110.65,74,二级
甘肃省,平凉市,2013-02-09,52.34,54.77,15.68,10.06,0.61,60.45,2.27,4.13,272.71,45.75,84589.23,72,二级
甘肃省,平凉市,2013-02-10,85.66,91.43,17.45,10.32,0.79,57.87,0.11,1.51,274.88,47.57,84326.8,114,三级
甘肃省,平凉市,2013-02-11,60.85,63.61,23.01,13.59,0.83,35.6,-0.49,-3.39,269.96,51.96,84877.18,83,二级
甘肃省,平凉市,2013-02-12,22.06,25.61,9.61,7.79,0.49,41.72,0.26,0.26,269.12,33.78,85077.73,32,一级
甘肃省,平凉市,2013-02-13,57.09,64.35,20.5,9.39,0.83,51.7,-0.51,2.26,271.62,47.42,84496.32,78,二级
甘肃省,平凉市,2013-02-14,17.87,20.3,9.54,7.56,0.36,46.64,-1.47,-4.65,270.65,32.59,84749.6,26,一级
甘肃省,平凉市,2013-02-15,35.87,43.3,17.03,8.47,0.7,48.98,1.54,6.48,272.86,41.41,84550.31,52,二级
甘肃省,平凉市,2013-02-16,81.33,87.91,24.33,8.74,0.91,53.81,0.19,1.87,275.42,60.62,84056.0,108,三级
甘肃省,平凉市,2013-02-17,23.5,26.5,11.75,8.31,0.35,45.08,-3.11,-2.91,272.44,30.37,84246.93,34,一级
甘肃省,平凉市,2013-02-18,20.52,23.41,11.93,9.22,0.33,50.21,-3.13,-3.76,267.06,75.26,84627.13,30,一级
甘肃省,平凉市,2013-02-19,54.07,58.49,19.97,12.05,0.63,50.22,-0.17,4.24,269.05,71.01,84689.05,74,二级
甘肃省,平凉市,2013-02-20,47.44,50.0,15.01,11.36,0.55,52.01,-0.29,-0.2,270.35,55.05,84907.2,66,二级
甘肃省,平凉市,2013-02-21,54.38,60.42,17.64,14.53,0.62,47.93,1.24,-2.19,270.3,62.56,85158.78,75,二级
甘肃省,平凉市,2013-02-22,48.14,54.66,14.78,12.51,0.65,58.27,1.48,1.48,273.14,65.68,85095.44,67,二级
甘肃省,平凉市,2013-02-23,70.32,80.93,21.41,14.34,0.8,60.75,-0.95,5.7,276.67,67.99,84838.45,95,二级
甘肃省,平凉市,2013-02-24,106.03,120.38,28.8,17.04,1.04,55.86,-0.94,4.82,277.39,70.14,84457.9,139,三级
甘肃省,平凉市,2013-02-25,34.7,42.31,8.54,8.26,0.39,48.85,0.52,-3.83,277.95,34.75,84735.64,50,一级
甘肃省,平凉市,2013-02-26,59.21,70.29,16.84,13.66,0.67,48.22,-0.72,1.37,278.38,39.53,84641.49,81,二级
