province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
甘肃省,武威市,2013-01-01,10.94,14.35,3.65,3.07,0.35,53.82,3.14,-2.76,262.19,50.34,81274.94,27,一级
甘肃省,武威市,2013-01-02,12.59,17.77,8.47,5.52,0.34,44.3,-2.4,-0.18,257.46,54.1,82011.27,23,一级
甘肃省,武威市,2013-01-03,22.27,28.23,15.39,9.79,0.49,39.75,-1.84,0.31,258.61,44.22,81891.11,32,一级
甘肃省,武威市,2013-01-04,31.73,37.97,16.65,9.47,0.56,39.18,0.1,-0.83,258.79,49.01,81446.73,46,一级
甘肃省,武威市,2013-01-05,32.07,37.6,13.12,6.54,0.47,49.66,1.19,0.09,260.81,43.86,81461.39,46,一级
甘肃省,武威市,2013-01-06,21.02,25.23,6.94,5.47,0.43,54.58,2.31,-0.83,263.74,40.71,81495.18,31,一级
甘肃省,武威市,2013-01-07,23.18,27.7,6.93,5.26,0.5,49.39,2.04,-1.54,263.61,44.69,81492.12,34,一级
甘肃省,武威市,2013-01-08,17.82,21.39,5.69,4.53,0.41,50.98,0.73,-0.11,262.39,48.31,81750.53,26,一级
甘肃省,武威市,2013-01-09,21.14,25.47,8.42,5.61,0.48,53.25,0.65,0.45,264.26,39.71,81401.11,31,一级
甘肃省,武威市,2013-01-10,14.03,17.42,5.61,4.51,0.41,58.01,4.67,-1.86,265.59,29.83,81453.9,30,一级
甘肃省,武威市,2013-01-11,10.15,12.17,3.9,3.45,0.34,61.45,2.85,-0.43,266.39,27.71,81619.1,31,一级
甘肃省,武威市,2013-01-12,10.62,12.53,4.98,4.21,0.38,65.53,3.24,-0.29,268.56,18.27,81229.02,33,一级
甘肃省,武威市,2013-01-13,11.12,13.3,6.7,4.6,0.31,53.78,1.27,-0.98,268.23,22.67,81064.83,27,一级
甘肃省,武威市,2013-01-14,15.27,20.35,5.97,5.1,0.43,51.49,4.96,-2.76,265.62,43.92,81608.21,26,一级
甘肃省,武威市,2013-01-15,13.29,19.69,5.14,3.95,0.35,55.65,2.48,-0.97,266.85,42.81,81715.01,28,一级
甘肃省,武威市,2013-01-16,12.77,16.9,4.53,3.54,0.37,56.68,-0.35,-0.13,266.43,39.37,81992.86,29,一级
甘肃省,武威市,2013-01-17,20.73,25.27,13.0,8.82,0.46,46.37,-0.18,0.36,267.56,34.94,81881.74,30,一级
甘肃省,武威市,2013-01-18,23.61,27.46,11.6,6.61,0.49,49.07,1.16,-0.5,267.95,32.6,81648.55,34,一级
甘肃省,武威市,2013-01-19,32.62,38.2,15.31,7.14,0.55,41.51,1.39,-1.69,266.34,40.93,81130.44,47,一级
甘肃省,武威市,2013-01-20,14.57,18.54,5.88,3.99,0.42,50.63,4.24,-3.57,263.94,61.03,81693.66,26,一级
甘肃省,武威市,2013-01-21,19.83,23.69,6.42,4.5,0.43,55.05,0.52,0.32,265.31,59.83,81746.84,29,一级
甘肃省,武威市,2013-01-22,15.09,17.75,4.99,3.63,0.34,60.0,3.85,-0.17,267.14,50.7,81616.46,30,一级
甘肃省,武威市,2013-01-23,6.65,8.21,2.93,2.52,0.27,58.35,6.04,-4.36,267.64,33.96,81608.41,30,一级
甘肃省,武威市,2013-01-24,9.26,11.99,3.55,2.81,0.29,58.19,2.51,-0.54,266.92,37.26,81771.9,30,一级
甘肃省,武威市,2013-01-25,10.01,12.2,4.23,3.83,0.32,58.45,5.23,-3.22,269.38,27.45,81697.65,30,一级
甘肃省,武威市,2013-01-26,10.98,13.09,4.18,3.77,0.32,60.27,3.52,-2.01,269.72,28.17,81791.99,31,一级
甘肃省,武威市,2013-01-27,13.41,16.15,5.72,4.7,0.38,61.65,2.99,-0.81,270.42,30.15,81766.23,31,一级
甘肃省,武威市,2013-01-28,15.36,18.44,6.03,4.84,0.41,62.56,2.22,0.18,271.06,27.12,81466.84,32,一级
甘肃省,武威市,2013-01-29,14.01,16.77,6.37,5.52,0.44,55.69,2.83,0.2,271.01,26.56,81436.42,28,一级
甘肃省,武威市,2013-01-30,11.4,13.97,5.11,4.47,0.31,51.03,2.57,1.21,274.03,22.6,81024.63,26,一级
甘肃省,武威市,2013-01-31,12.31,16.16,4.3,3.14,0.34,52.42,3.41,-3.12,271.16,37.49,81350.7,27,一级
甘肃省,武威市,2013-02-01,9.87,14.47,4.31,2.7,0.33,51.47,0.85,-1.53,269.15,43.63,81777.09,26,一级
甘肃省,武威市,2013-02-02,15.05,19.93,8.13,5.6,0.34,45.31,0.33,0.89,271.58,38.61,81352.18,23,一级
甘肃省,武威市,2013-02-03,13.59,16.79,6.23,4.47,0.38,49.07,2.38,-2.35,273.53,29.72,81114.87,25,一级
甘肃省,武威市,2013-02-04,14.38,18.05,9.22,5.94,0.36,40.85,-0.67,-0.57,270.01,37.04,81215.71,21,一级
甘肃省,武威市,2013-02-05,12.14,15.31,5.75,4.31,0.29,43.52,1.93,-1.54,270.84,33.62,81621.58,22,一级
甘肃省,武威市,2013-02-06,13.41,18.19,7.19,4.63,0.34,45.22,-2.34,-0.47,269.86,34.25,81451.02,23,一级
甘肃省,武威市,2013-02-07,12.44,16.67,11.83,6.23,0.26,41.11,-1.64,-0.86,265.58,45.43,81783.75,21,一级
甘肃省,武威市,2013-02-08,10.89,14.73,5.06,3.65,0.26,54.74,3.72,-0.54,267.06,53.17,81827.01,28,一级
甘肃省,武威市,2013-02-09,15.04,19.02,5.91,3.79,0.31,63.54,1.69,0.93,272.34,32.5,81143.24,32,一级
甘肃省,武威市,2013-02-10,18.37,24.15,9.69,4.52,0.36,48.48,-0.07,-1.38,268.05,44.45,81363.47,27,一级
甘肃省,武威市,2013-02-11,10.73,23.82,5.2,2.64,0.24,45.16,2.62,-2.99,263.72,57.95,81905.21,24,一级
甘肃省,武威市,2013-02-12,11.05,17.77,4.85,3.19,0.26,54.57,1.84,-0.15,265.93,38.36,81771.81,28,一级
甘肃省,武威市,2013-02-13,11.49,17.38,5.44,3.29,0.28,55.09,2.07,-1.77,267.0,31.34,81414.95,28,一级
甘肃省,武威市,2013-02-14,9.07,14.43,3.93,2.45,0.25,57.99,0.82,-1.23,264.78,52.69,81654.13,29,一级
甘肃省,武威市,2013-02-15,9.27,13.09,4.64,3.41,0.26,57.18,2.17,0.15,270.4,31.17,81131.16,29,一级
甘肃省,武威市,2013-02-16,14.51,21.26,6.68,4.44,0.34,53.77,2.3,-2.57,269.21,30.05,81125.98,27,一级
甘肃省,武威市,2013-02-17,6.48,11.55,3.46,1.92,0.22,54.53,-1.5,-1.42,264.42,42.99,81293.31,28,一级
甘肃省,武威市,2013-02-18,7.03,9.26,3.06,1.9,0.22,59.01,-0.89,-1.07,262.41,52.52,81521.03,30,一级
