province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
辽宁省,大连市,2013-01-01,42.43,57.94,29.19,20.75,0.97,29.4,1.28,-7.72,260.3,70.53,101105.78,60,二级
辽宁省,大连市,2013-01-02,21.26,30.14,17.34,12.08,0.35,49.12,3.21,-7.09,257.94,69.24,102390.47,31,一级
辽宁省,大连市,2013-01-03,20.55,32.01,14.8,12.86,0.59,44.84,1.07,-5.52,260.46,65.72,102998.43,33,一级
辽宁省,大连市,2013-01-04,49.18,65.43,43.81,30.72,1.01,31.8,2.06,0.25,264.85,67.17,102324.64,68,二级
辽宁省,大连市,2013-01-05,91.77,110.25,47.18,37.24,1.34,38.23,2.57,-4.17,264.41,63.75,101817.82,121,三级
辽宁省,大连市,2013-01-06,42.16,63.24,29.66,28.53,0.92,33.54,-1.04,-2.27,263.51,61.73,101975.29,59,二级
辽宁省,大连市,2013-01-07,120.86,149.45,71.89,62.0,2.08,19.23,0.88,-3.48,265.0,80.51,101670.52,159,四级
辽宁省,大连市,2013-01-08,81.37,102.61,38.84,32.44,1.13,27.7,-0.16,-7.16,259.65,63.15,102113.7,108,三级
辽宁省,大连市,2013-01-09,36.82,55.0,19.33,19.85,0.81,33.75,0.36,-4.54,259.9,64.02,102094.43,53,二级
辽宁省,大连市,2013-01-10,70.31,93.29,60.22,32.62,1.02,31.44,0.45,-1.79,264.39,71.47,102111.62,95,二级
辽宁省,大连市,2013-01-11,136.14,167.91,78.84,44.04,1.53,19.42,1.38,2.02,269.0,87.25,101604.72,181,四级
辽宁省,大连市,2013-01-12,239.96,281.97,97.66,66.58,2.6,17.02,1.85,-3.33,265.33,74.87,101679.73,290,五级
辽宁省,大连市,2013-01-13,138.68,168.27,56.89,42.73,1.82,17.93,-2.11,-1.27,267.36,77.11,101644.13,184,四级
辽宁省,大连市,2013-01-14,110.91,138.82,51.29,35.14,1.08,22.04,0.3,-7.28,262.78,73.84,101914.51,145,三级
辽宁省,大连市,2013-01-15,79.02,99.04,39.19,31.28,1.1,19.88,-1.31,-3.52,262.06,63.95,101830.57,106,三级
辽宁省,大连市,2013-01-16,93.75,106.19,47.85,28.18,1.01,29.93,1.34,-9.26,259.56,71.23,102203.77,124,三级
辽宁省,大连市,2013-01-17,46.4,62.73,29.3,25.62,0.57,34.3,1.2,-6.84,260.59,64.01,102734.83,65,二级
辽宁省,大连市,2013-01-18,109.5,141.59,108.05,49.01,1.37,27.71,5.52,2.26,267.95,78.55,102046.68,144,三级
辽宁省,大连市,2013-01-19,131.29,167.34,43.13,48.63,1.43,20.92,-0.46,-6.03,264.9,63.81,102206.89,174,四级
辽宁省,大连市,2013-01-20,126.54,160.44,50.39,38.68,2.03,19.87,-2.33,-2.69,266.61,67.37,102293.87,167,四级
辽宁省,大连市,2013-01-21,167.9,191.3,69.73,38.96,1.62,35.95,-0.68,-7.47,266.66,86.14,101849.58,218,五级
辽宁省,大连市,2013-01-22,113.72,129.05,58.85,36.32,0.97,48.52,0.34,-8.6,263.86,68.46,101822.81,149,三级
辽宁省,大连市,2013-01-23,138.96,166.68,89.63,45.44,1.51,30.36,3.75,0.44,267.86,79.78,101010.73,185,四级
辽宁省,大连市,2013-01-24,44.44,61.89,23.17,17.07,0.64,47.05,3.9,-9.49,261.73,58.92,101314.82,62,二级
辽宁省,大连市,2013-01-25,20.7,35.77,18.04,13.18,0.34,56.75,2.31,-6.18,259.86,55.3,101623.19,36,一级
辽宁省,大连市,2013-01-26,29.62,48.2,29.91,22.24,0.41,38.72,0.21,-5.51,259.34,60.12,101929.27,49,一级
辽宁省,大连市,2013-01-27,55.16,76.39,61.37,33.71,0.68,33.07,1.07,-3.2,262.04,63.4,101989.49,76,二级
辽宁省,大连市,2013-01-28,144.6,187.97,106.19,48.08,1.34,15.94,0.87,1.23,268.47,94.14,101393.53,193,四级
辽宁省,大连市,2013-01-29,113.88,159.32,73.73,36.34,1.38,13.7,-2.32,-1.42,269.35,94.38,101627.38,149,三级
辽宁省,大连市,2013-01-30,145.71,182.83,67.59,34.28,1.25,43.04,-3.36,1.87,271.01,98.11,101865.44,194,四级
辽宁省,大连市,2013-01-31,105.97,142.76,27.74,21.79,0.85,64.58,-4.71,3.73,274.04,99.28,101667.81,139,三级
辽宁省,大连市,2013-02-01,28.64,37.16,14.8,12.73,0.4,49.98,2.07,-6.81,270.62,80.54,101421.28,41,一级
辽宁省,大连市,2013-02-02,18.32,32.16,18.78,13.97,0.35,47.03,2.23,-3.98,264.33,64.84,102444.96,33,一级
辽宁省,大连市,2013-02-03,30.65,45.37,24.99,21.74,0.47,41.82,-0.49,4.57,269.25,86.86,101671.57,46,一级
辽宁省,大连市,2013-02-04,32.74,42.16,17.33,15.13,0.39,43.85,1.48,-6.42,265.39,76.25,101749.82,47,一级
辽宁省,大连市,2013-02-05,44.17,56.49,34.52,26.44,0.61,31.14,0.22,-0.66,265.52,66.6,101728.37,62,二级
辽宁省,大连市,2013-02-06,83.47,93.8,30.47,26.45,1.18,37.63,2.37,-8.11,262.06,71.38,101559.85,111,三级
辽宁省,大连市,2013-02-07,10.59,21.99,9.22,6.83,0.25,64.19,3.06,-9.91,256.26,64.49,102476.05,33,一级
辽宁省,大连市,2013-02-08,29.31,46.15,18.07,15.47,0.38,48.01,0.79,-4.94,257.64,68.27,102722.62,47,一级
辽宁省,大连市,2013-02-09,92.8,123.83,88.42,33.63,0.81,33.64,2.45,-1.1,263.22,76.23,101885.71,123,三级
辽宁省,大连市,2013-02-10,68.08,90.85,31.7,16.39,0.47,48.92,0.75,-6.77,259.58,66.98,102336.6,92,二级
辽宁省,大连市,2013-02-11,34.06,46.57,29.95,19.19,0.41,51.7,-0.24,-1.41,262.39,66.68,102591.98,49,一级
辽宁省,大连市,2013-02-12,82.71,97.45,45.51,23.31,0.89,48.58,3.12,1.26,267.76,78.47,101722.17,110,三级
