province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
辽宁省,沈阳市,2013-01-01,36.74,52.36,46.69,14.01,0.86,31.89,2.47,-3.72,251.22,65.45,101519.54,53,二级
辽宁省,沈阳市,2013-01-02,29.44,35.44,26.9,7.89,0.78,43.84,5.07,-2.28,251.21,55.45,102586.22,43,一级
辽宁省,沈阳市,2013-01-03,30.98,43.2,32.08,8.97,0.8,41.78,3.7,-1.71,255.85,56.97,103187.12,45,一级
辽宁省,沈阳市,2013-01-04,77.36,115.18,106.77,30.49,1.77,28.63,1.46,2.61,256.93,70.52,102453.03,103,三级
辽宁省,沈阳市,2013-01-05,39.54,50.93,34.59,12.88,0.87,39.59,2.75,-2.94,257.85,63.9,102086.12,56,二级
辽宁省,沈阳市,2013-01-06,85.29,115.27,71.28,30.65,1.18,25.48,0.12,-1.31,255.32,72.61,102317.75,113,三级
辽宁省,沈阳市,2013-01-07,127.71,190.52,151.0,34.6,2.15,16.91,-0.38,-4.18,253.28,74.45,102177.34,169,四级
辽宁省,沈阳市,2013-01-08,50.36,66.46,37.74,19.64,1.0,34.5,0.94,-3.01,250.42,67.87,102598.13,70,二级
辽宁省,沈阳市,2013-01-09,48.55,70.89,52.88,18.07,0.93,35.47,1.61,-0.84,252.59,64.58,102388.61,67,二级
辽宁省,沈阳市,2013-01-10,94.23,128.44,97.69,31.9,1.58,22.41,0.1,-1.73,251.94,70.84,102511.6,125,三级
辽宁省,沈阳市,2013-01-11,104.28,138.92,101.0,28.73,1.83,16.49,0.05,-3.69,252.61,76.35,102002.69,137,三级
辽宁省,沈阳市,2013-01-12,114.46,161.31,76.97,29.74,1.48,17.06,-0.05,-3.48,250.85,76.3,102145.07,150,三级
辽宁省,沈阳市,2013-01-13,200.84,268.52,85.73,42.59,2.03,21.1,-0.66,-2.05,253.33,77.61,102066.01,251,五级
辽宁省,沈阳市,2013-01-14,166.23,212.47,68.98,33.49,1.7,28.81,-0.12,-5.84,251.5,75.08,102497.68,217,五级
辽宁省,沈阳市,2013-01-15,248.68,313.79,64.94,48.16,2.25,15.92,-0.58,-4.37,250.93,76.46,102286.63,299,五级
辽宁省,沈阳市,2013-01-16,90.09,129.07,41.17,29.83,1.19,25.16,0.9,-5.92,251.39,74.85,102739.57,119,三级
辽宁省,沈阳市,2013-01-17,140.41,176.9,104.42,38.4,1.8,19.33,-0.22,-0.23,252.18,73.72,103100.14,187,四级
辽宁省,沈阳市,2013-01-18,159.6,235.26,198.08,51.72,3.39,14.75,0.61,1.62,259.42,74.69,102133.45,210,五级
辽宁省,沈阳市,2013-01-19,122.6,160.11,67.14,31.4,1.44,31.85,-0.66,-3.66,253.47,75.25,102717.78,161,四级
辽宁省,沈阳市,2013-01-20,241.21,293.92,76.73,47.26,2.31,18.22,-0.82,-3.78,254.53,77.9,102741.36,292,五级
辽宁省,沈阳市,2013-01-21,205.36,277.81,52.57,38.4,2.19,38.86,0.53,-6.13,255.8,78.25,102501.75,256,五级
辽宁省,沈阳市,2013-01-22,128.54,175.11,53.64,33.61,1.52,39.72,-0.62,-4.33,254.36,78.17,102396.6,170,四级
辽宁省,沈阳市,2013-01-23,223.55,311.83,146.06,59.0,3.23,18.88,0.71,-0.99,256.37,81.15,101199.83,274,五级
辽宁省,沈阳市,2013-01-24,16.14,38.78,20.55,6.78,0.78,46.51,5.96,-5.52,255.43,53.31,101504.19,39,一级
辽宁省,沈阳市,2013-01-25,23.16,32.1,24.31,10.24,0.91,48.75,4.49,-3.96,253.87,52.91,101810.44,34,一级
辽宁省,沈阳市,2013-01-26,76.11,109.36,58.43,20.3,1.37,31.82,0.86,-2.62,250.11,71.54,102336.81,102,三级
辽宁省,沈阳市,2013-01-27,133.59,174.27,120.53,35.15,2.07,25.83,-0.54,0.9,249.6,74.32,102300.97,177,四级
辽宁省,沈阳市,2013-01-28,131.05,190.87,159.41,45.47,3.66,10.27,-0.61,1.25,261.08,87.58,101590.8,173,四级
辽宁省,沈阳市,2013-01-29,137.99,172.87,94.31,36.79,2.48,17.47,-0.77,-0.27,261.14,90.71,101908.89,183,四级
辽宁省,沈阳市,2013-01-30,216.19,291.72,193.08,45.64,4.24,14.48,0.34,5.72,267.69,93.84,101977.66,267,五级
辽宁省,沈阳市,2013-01-31,203.53,280.78,123.0,43.42,3.96,15.19,-0.29,5.2,271.45,93.96,101819.34,254,五级
辽宁省,沈阳市,2013-02-01,28.54,44.1,28.85,10.59,1.36,45.23,3.94,-3.94,267.29,72.32,101821.87,45,一级
辽宁省,沈阳市,2013-02-02,31.82,39.13,38.1,13.51,1.35,41.05,1.83,0.17,256.33,66.42,102660.39,46,一级
辽宁省,沈阳市,2013-02-03,52.56,93.62,103.47,28.13,3.03,26.84,0.41,6.3,263.85,84.94,101731.63,77,二级
辽宁省,沈阳市,2013-02-04,36.02,50.69,43.04,16.02,1.27,37.76,2.12,-3.98,258.56,72.23,102104.11,52,二级
辽宁省,沈阳市,2013-02-05,113.64,151.47,143.43,37.11,2.73,22.21,0.15,1.33,259.07,74.93,101923.07,149,三级
辽宁省,沈阳市,2013-02-06,45.52,66.32,29.77,14.26,0.69,41.56,2.77,-6.08,253.64,68.01,101979.36,64,二级
辽宁省,沈阳市,2013-02-07,9.27,22.03,15.66,4.89,0.46,56.03,4.18,-6.95,251.94,56.14,102701.81,29,一级
辽宁省,沈阳市,2013-02-08,41.3,49.42,36.21,15.41,0.63,39.36,0.73,-0.61,249.33,70.88,103046.36,58,二级
辽宁省,沈阳市,2013-02-09,118.42,168.76,163.0,33.97,1.88,22.54,0.24,-1.12,250.64,76.84,102174.01,155,四级
辽宁省,沈阳市,2013-02-10,37.35,46.2,23.48,6.36,0.53,51.53,1.66,-3.07,251.84,66.45,102636.82,53,二级
辽宁省,沈阳市,2013-02-11,89.82,117.74,101.76,21.91,1.26,39.55,0.1,2.47,253.3,76.32,102809.78,119,三级
辽宁省,沈阳市,2013-02-12,64.36,86.35,72.02,18.88,1.3,45.85,1.01,2.44,258.88,83.46,101834.96,87,二级
辽宁省,沈阳市,2013-02-13,66.75,100.67,61.72,18.01,1.3,43.86,1.76,1.29,261.98,80.48,101589.99,90,二级
辽宁省,沈阳市,2013-02-14,21.32,30.25,22.13,8.97,0.5,50.45,1.51,-2.74,258.16,70.09,102238.01,31,一级
辽宁省,沈阳市,2013-02-15,33.31,44.53,33.7,11.23,0.63,40.18,1.04,-2.31,256.36,68.49,102337.11,48,一级
辽宁省,沈阳市,2013-02-16,91.25,138.36,141.43,27.2,1.75,38.48,-1.45,6.71,262.13,73.23,101848.11,121,三级
辽宁省,沈阳市,2013-02-17,37.35,64.51,26.83,9.07,0.84,54.83,5.06,1.83,267.88,79.82,101234.37,58,二级
辽宁省,沈阳市,2013-02-18,18.6,26.61,28.16,8.33,0.58,53.43,2.01,-1.63,259.97,58.71,102085.03,29,一级
辽宁省,沈阳市,2013-02-19,11.08,19.68,14.79,5.1,0.47,57.34,4.93,-4.11,257.77,52.42,102399.66,29,一级
辽宁省,沈阳市,2013-02-20,37.54,52.01,41.11,14.6,0.64,41.61,1.1,-2.21,257.03,59.13,102513.66,54,二级
辽宁省,沈阳市,2013-02-21,66.46,94.43,77.76,22.92,1.09,38.76,1.19,1.51,260.31,67.46,102234.63,90,二级
辽宁省,沈阳市,2013-02-22,17.36,32.01,20.06,7.73,0.44,48.15,4.03,-4.06,262.64,58.21,102217.96,33,一级
辽宁省,沈阳市,2013-02-23,29.96,48.9,39.04,12.43,0.6,49.3,3.48,-2.18,264.87,55.23,102349.28,49,一级
