province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
辽宁省,辽阳市,2013-01-01,51.54,80.9,85.32,20.02,1.18,31.03,2.0,-3.84,252.32,68.87,99967.82,71,二级
辽宁省,辽阳市,2013-01-02,52.8,65.42,67.18,14.69,1.14,36.99,4.59,-2.4,250.62,59.73,101091.79,73,二级
辽宁省,辽阳市,2013-01-03,65.04,85.38,84.17,15.07,1.41,35.04,2.71,-1.71,254.78,61.92,101698.3,88,二级
辽宁省,辽阳市,2013-01-04,99.41,154.68,110.63,34.5,2.58,25.71,1.12,2.58,259.94,72.08,100983.4,131,三级
辽宁省,辽阳市,2013-01-05,61.11,98.83,76.12,23.89,1.36,31.91,1.94,-1.87,257.99,74.97,100585.48,83,二级
辽宁省,辽阳市,2013-01-06,110.92,160.05,98.36,40.26,1.73,21.81,-0.1,-1.11,256.49,75.55,100770.99,145,三级
辽宁省,辽阳市,2013-01-07,163.86,249.9,184.11,44.17,2.25,15.21,0.01,-2.91,256.86,74.11,100559.46,214,五级
辽宁省,辽阳市,2013-01-08,81.84,110.05,89.1,29.98,1.38,31.37,0.61,-3.51,251.42,74.18,101003.73,109,三级
辽宁省,辽阳市,2013-01-09,77.37,118.63,93.57,27.16,1.68,35.25,1.06,-1.13,253.03,70.2,100856.71,103,三级
辽宁省,辽阳市,2013-01-10,143.21,217.53,143.99,41.95,2.35,18.39,0.06,-0.87,255.37,71.7,100933.96,191,四级
辽宁省,辽阳市,2013-01-11,121.64,178.18,95.68,30.28,2.0,13.64,0.17,1.3,260.33,82.42,100423.52,160,四级
辽宁省,辽阳市,2013-01-12,168.52,241.08,151.86,40.06,2.28,10.62,-0.13,-2.63,254.48,79.74,100550.44,219,五级
辽宁省,辽阳市,2013-01-13,186.11,283.92,123.59,42.3,2.24,16.51,-0.77,0.1,259.08,76.7,100500.17,237,五级
辽宁省,辽阳市,2013-01-14,216.21,302.02,174.91,40.73,2.37,24.75,-0.43,-4.98,253.6,80.08,100861.93,267,五级
辽宁省,辽阳市,2013-01-15,257.35,337.52,212.88,46.19,2.24,13.37,-0.44,-1.45,254.32,72.45,100680.98,308,六级
辽宁省,辽阳市,2013-01-16,147.99,210.21,165.32,38.39,1.94,20.95,0.77,-5.0,251.79,79.65,101110.91,198,四级
辽宁省,辽阳市,2013-01-17,204.92,249.99,170.39,50.05,2.24,14.08,-0.05,-1.89,252.82,76.04,101540.02,255,五级
辽宁省,辽阳市,2013-01-18,132.3,200.37,145.43,47.12,2.63,16.26,2.26,3.44,263.5,72.48,100670.58,175,四级
辽宁省,辽阳市,2013-01-19,156.82,217.09,211.74,47.59,2.07,29.46,-1.09,-3.72,254.98,78.11,101121.49,207,五级
辽宁省,辽阳市,2013-01-20,253.25,312.97,233.32,47.63,2.64,18.61,-1.28,-0.86,259.67,69.08,101147.23,304,六级
辽宁省,辽阳市,2013-01-21,310.89,376.86,219.14,46.66,2.98,36.16,-0.12,-3.67,258.63,83.13,100879.87,361,六级
辽宁省,辽阳市,2013-01-22,186.24,249.47,179.43,48.46,2.16,28.26,-0.83,-4.02,255.48,79.41,100792.06,237,五级
辽宁省,辽阳市,2013-01-23,210.8,290.08,128.42,48.03,3.45,19.51,1.84,2.1,262.43,77.54,99711.92,261,五级
辽宁省,辽阳市,2013-01-24,29.53,69.21,55.85,12.68,1.35,67.61,5.12,-5.3,255.33,61.96,100028.65,60,二级
辽宁省,辽阳市,2013-01-25,43.13,58.43,76.07,17.52,1.54,40.71,3.81,-3.31,253.42,58.08,100318.46,64,二级
