province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,九龙坡区,2013-01-01,74.96,143.5,47.1,58.48,1.8,22.06,-1.72,-2.17,279.51,30.37,98419.98,100,二级
重庆市,九龙坡区,2013-01-02,92.15,190.33,50.91,58.76,1.6,14.8,-0.96,1.57,281.69,37.8,98550.88,122,三级
重庆市,九龙坡区,2013-01-03,59.09,107.0,20.45,36.42,1.5,16.47,-3.06,6.04,277.92,44.34,99559.44,81,二级
重庆市,九龙坡区,2013-01-04,48.57,70.16,23.42,21.32,1.07,23.3,-3.11,4.16,277.0,45.18,98856.54,67,二级
重庆市,九龙坡区,2013-01-05,71.16,106.84,24.57,28.9,1.17,17.56,-2.08,1.23,277.89,46.08,98646.39,96,二级
重庆市,九龙坡区,2013-01-06,80.34,145.24,38.18,46.73,1.25,14.82,-2.15,1.38,277.78,50.06,98709.69,107,三级
重庆市,九龙坡区,2013-01-07,76.6,155.18,30.4,55.12,1.28,17.71,-0.77,-0.36,277.73,54.6,98649.85,103,三级
重庆市,九龙坡区,2013-01-08,78.43,146.12,40.03,49.18,1.32,15.86,-1.55,-1.36,278.29,61.06,98843.01,105,三级
重庆市,九龙坡区,2013-01-09,88.69,179.14,48.28,47.04,1.43,19.26,-1.63,2.06,278.98,63.91,98996.46,118,三级
重庆市,九龙坡区,2013-01-10,123.7,185.04,40.26,47.92,1.44,20.86,-2.36,3.31,279.52,41.76,98798.63,163,四级
重庆市,九龙坡区,2013-01-11,90.82,162.26,46.5,44.52,1.42,23.12,0.24,0.48,279.58,58.94,99055.04,120,三级
重庆市,九龙坡区,2013-01-12,119.51,202.94,45.58,55.96,1.64,19.94,-1.67,0.39,281.28,51.7,98609.69,157,四级
重庆市,九龙坡区,2013-01-13,206.76,264.64,43.88,74.94,1.96,13.81,-1.41,-1.0,282.8,46.06,98113.21,257,五级
重庆市,九龙坡区,2013-01-14,158.51,240.74,62.71,47.89,1.5,14.55,-1.51,0.61,283.32,50.06,98309.2,209,五级
