province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,合川区,2013-01-01,57.44,86.08,26.96,21.37,1.18,53.04,-2.93,-0.58,279.12,31.36,97958.63,79,二级
重庆市,合川区,2013-01-02,63.27,111.3,27.82,32.91,1.25,32.64,-4.06,-0.96,281.06,40.94,98087.78,86,二级
重庆市,合川区,2013-01-03,43.02,82.84,16.75,32.03,1.34,18.95,-4.14,3.23,276.8,54.64,99089.28,67,二级
重庆市,合川区,2013-01-04,41.28,50.36,15.56,18.98,1.21,26.62,-3.2,3.34,276.42,46.26,98384.03,58,二级
重庆市,合川区,2013-01-05,62.94,71.62,24.63,22.86,1.49,22.13,-2.15,0.82,277.21,46.99,98172.38,85,二级
重庆市,合川区,2013-01-06,62.15,71.5,39.43,28.28,1.31,25.05,-2.1,1.13,277.72,51.07,98224.74,84,二级
重庆市,合川区,2013-01-07,56.66,59.29,25.82,8.43,1.12,44.43,-1.52,-0.26,277.72,55.72,98160.37,78,二级
重庆市,合川区,2013-01-08,66.21,77.79,34.31,13.04,1.73,40.52,-1.16,-1.34,278.1,57.72,98354.31,90,二级
重庆市,合川区,2013-01-09,88.18,100.48,29.53,26.95,1.74,19.39,-1.6,2.32,278.51,63.9,98492.59,117,三级
重庆市,合川区,2013-01-10,119.38,143.19,28.2,32.9,1.35,24.97,-2.98,2.53,278.76,45.74,98324.03,157,四级
重庆市,合川区,2013-01-11,93.81,110.79,34.87,11.04,1.73,52.11,0.09,-0.59,279.53,59.99,98548.82,124,三级
重庆市,合川区,2013-01-12,114.7,114.39,36.09,20.72,1.39,43.06,-1.57,0.72,280.84,51.14,98142.51,150,三级
重庆市,合川区,2013-01-13,216.21,192.18,53.77,28.48,1.68,36.72,-2.9,-1.22,282.19,47.04,97670.33,267,五级
重庆市,合川区,2013-01-14,159.0,159.29,34.49,26.04,0.98,29.18,-2.52,-0.79,282.48,50.55,97873.34,210,五级
重庆市,合川区,2013-01-15,99.99,132.33,27.41,14.77,1.1,34.84,-0.89,-0.34,282.06,57.74,98250.18,132,三级
重庆市,合川区,2013-01-16,54.49,104.05,30.68,16.66,1.33,42.55,-1.92,-0.25,281.91,64.81,98402.66,78,二级
重庆市,合川区,2013-01-17,96.12,157.11,33.11,36.72,1.35,15.39,-1.56,3.32,282.18,67.58,98937.82,127,三级
重庆市,合川区,2013-01-18,74.91,136.41,24.09,44.8,1.62,29.5,-4.3,3.82,282.54,39.27,98553.3,100,二级
重庆市,合川区,2013-01-19,73.87,138.96,32.19,38.55,1.46,26.05,-4.27,2.69,283.51,54.53,97477.08,99,二级
